date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,49.81,119778.0,49.94,49.38,49.06
1998-01-05,49.56,348578.0,50.56,50.31,49.5
1998-01-06,50.75,314578.0,52.31,52.31,50.75
1998-01-07,51.81,240978.0,52.31,51.25,51.13
1998-01-08,51.38,152667.0,51.69,50.81,50.69
1998-01-09,50.88,166800.0,50.88,49.75,49.69
1998-01-12,49.0,217600.0,49.88,48.94,48.5
1998-01-13,49.13,177867.0,50.13,49.94,49.06
1998-01-14,50.0,165200.0,50.75,50.75,50.0
1998-01-15,50.63,231200.0,51.13,50.75,50.38
1998-01-16,50.75,84400.0,51.75,51.5,50.69
1998-01-20,51.5,147200.0,51.88,51.63,51.31
1998-01-21,51.56,142667.0,51.56,51.44,51.25
1998-01-22,51.63,247200.0,52.19,51.5,51.31
1998-01-23,51.5,124667.0,51.88,51.56,51.19
1998-01-26,51.56,117244.0,52.44,52.0,51.56
1998-01-27,52.06,163200.0,53.44,52.56,52.0
1998-01-28,52.5,78844.0,52.63,52.0,52.0
1998-01-29,52.0,334267.0,53.13,51.81,51.69
1998-01-30,51.94,252578.0,53.25,52.75,51.94
1998-02-02,52.94,216444.0,54.0,53.69,52.94
1998-02-03,53.75,344000.0,54.81,54.81,53.5
1998-02-04,54.88,386578.0,57.31,57.0,54.88
1998-02-05,57.25,294267.0,57.75,56.25,56.0
1998-02-06,56.38,292044.0,57.19,56.81,56.38
1998-02-09,56.75,258178.0,57.06,56.13,55.88
1998-02-10,56.44,244578.0,56.69,56.13,56.06
1998-02-11,56.19,134444.0,56.5,55.81,55.75
1998-02-12,55.88,168667.0,56.13,56.0,55.5
1998-02-13,56.0,319244.0,57.5,56.88,55.94
1998-02-17,57.38,178178.0,58.19,57.75,57.25
1998-02-18,57.75,283600.0,59.75,59.5,57.75
1998-02-19,59.75,529867.0,59.75,58.38,58.06
1998-02-20,58.19,227644.0,58.25,58.19,57.56
1998-02-23,58.44,182667.0,59.13,58.75,58.44
1998-02-24,59.0,158844.0,59.13,58.63,58.56
1998-02-25,58.81,163600.0,59.81,59.31,58.81
1998-02-26,59.56,174578.0,60.88,60.88,59.5
1998-02-27,60.75,149644.0,61.63,61.0,60.69
1998-03-02,59.06,448178.0,60.75,60.44,59.0
1998-03-03,60.19,352978.0,60.5,59.94,59.88
1998-03-04,59.69,322267.0,59.69,58.5,58.13
1998-03-05,57.63,260044.0,57.81,57.75,57.25
1998-03-06,57.56,248978.0,59.0,58.75,57.5
1998-03-09,59.0,243244.0,59.63,59.0,58.5
1998-03-10,59.25,140844.0,59.25,58.94,58.56
1998-03-11,58.88,178044.0,59.94,58.94,58.69
1998-03-12,59.06,186844.0,60.38,60.38,59.0
1998-03-13,60.13,235600.0,61.5,61.0,60.13
1998-03-16,61.0,165200.0,61.31,60.69,60.5
1998-03-17,60.44,117600.0,60.81,60.63,60.13
1998-03-18,60.75,134267.0,61.0,60.75,60.63
1998-03-19,60.69,192578.0,60.94,59.25,59.19
1998-03-20,59.63,346267.0,61.0,59.5,59.44
1998-03-23,59.5,153467.0,59.75,59.56,59.31
1998-03-24,59.5,138044.0,59.94,59.63,59.38
1998-03-25,59.75,232578.0,59.88,59.38,59.0
1998-03-26,59.13,135067.0,60.38,60.13,59.13
1998-03-27,60.38,150844.0,60.88,59.75,59.38
1998-03-30,59.63,125867.0,60.0,59.81,59.38
1998-03-31,59.75,420267.0,61.31,61.13,59.5
1998-04-01,40.75,209778.0,41.56,41.06,40.63
1998-04-02,40.94,365800.0,42.13,42.0,40.94
1998-04-03,42.0,337000.0,43.5,42.75,42.0
1998-04-06,42.63,303067.0,44.38,42.06,41.56
1998-04-07,42.06,230400.0,42.06,41.69,41.13
1998-04-08,41.44,232067.0,41.69,41.63,41.19
1998-04-09,42.0,434200.0,42.75,42.44,41.44
1998-04-13,42.69,375200.0,43.31,43.31,42.06
1998-04-14,43.13,504000.0,45.0,44.44,42.88
1998-04-15,44.5,211800.0,44.63,44.13,43.69
1998-04-16,44.06,398467.0,44.88,43.94,43.63
1998-04-17,43.75,136400.0,44.5,44.19,43.38
1998-04-20,45.0,261467.0,45.5,45.0,44.69
1998-04-21,45.13,165267.0,45.63,45.0,44.81
1998-04-22,44.5,152467.0,44.81,44.56,44.44
1998-04-23,44.31,168467.0,44.38,43.69,43.56
1998-04-24,43.88,138200.0,44.88,43.31,42.94
1998-04-27,42.0,263867.0,42.0,41.5,41.19
1998-04-28,41.75,315400.0,42.81,41.31,41.31
1998-04-29,41.38,303867.0,41.63,41.56,41.31
1998-04-30,41.56,420600.0,42.75,42.56,41.44
1998-05-01,42.81,209400.0,43.63,43.5,42.81
1998-05-04,43.25,113400.0,43.94,43.63,43.13
1998-05-05,42.88,199267.0,44.38,44.31,42.63
1998-05-06,44.25,430600.0,45.75,45.06,44.25
1998-05-07,44.94,223667.0,45.0,44.0,43.63
1998-05-08,44.0,134067.0,45.25,45.13,43.94
1998-05-11,45.31,230067.0,46.19,45.5,45.13
1998-05-12,45.63,201000.0,45.88,45.69,45.31
1998-05-13,45.94,151600.0,46.13,45.69,45.25
1998-05-14,45.56,273800.0,46.38,46.13,45.31
1998-05-15,46.25,362800.0,46.44,46.13,46.0
1998-05-18,46.31,232000.0,46.38,46.25,46.0
1998-05-19,47.25,431067.0,47.75,47.06,46.94
1998-05-20,47.31,285467.0,47.31,47.06,46.69
1998-05-21,47.06,295667.0,47.31,47.06,46.94
1998-05-22,47.19,123867.0,47.94,46.63,46.5
1998-05-26,46.75,134200.0,46.75,45.56,45.38
1998-05-27,44.81,253000.0,44.88,44.0,43.81
1998-05-28,44.06,197867.0,44.56,44.44,43.88
1998-05-29,44.63,144267.0,44.88,44.31,44.19
1998-06-01,44.63,174267.0,45.25,45.0,44.63
1998-06-02,45.0,182667.0,45.25,45.13,44.75
1998-06-03,45.13,150000.0,45.75,44.94,44.75
1998-06-04,45.0,235667.0,46.38,46.13,44.5
1998-06-05,46.19,175667.0,47.31,47.31,45.88
1998-06-08,47.69,430467.0,49.38,49.31,47.31
1998-06-09,49.25,331200.0,49.94,48.25,48.13
1998-06-10,48.25,325067.0,48.38,48.06,47.62
1998-06-11,48.0,282800.0,49.0,47.63,46.94
1998-06-12,47.88,230200.0,48.25,46.94,46.63
1998-06-15,46.81,178867.0,46.81,45.0,45.0
1998-06-16,45.13,311600.0,45.69,45.19,44.63
1998-06-17,46.19,273467.0,47.88,47.06,46.19
1998-06-18,46.94,167667.0,47.06,46.44,46.06
1998-06-19,45.63,267267.0,46.25,45.44,45.38
1998-06-22,45.31,180800.0,47.63,47.25,45.31
1998-06-23,47.38,197400.0,47.88,47.56,46.75
1998-06-24,47.56,296067.0,48.31,46.69,46.63
1998-06-25,46.56,145400.0,47.31,46.69,46.56
1998-06-26,47.5,124867.0,47.5,47.13,47.0
1998-06-29,47.13,99000.0,47.19,46.81,46.63
1998-06-30,46.5,143667.0,46.75,45.88,45.63
1998-07-01,46.5,132267.0,46.75,46.31,46.31
1998-07-02,46.56,262200.0,47.88,47.81,46.56
1998-07-06,47.75,196000.0,48.81,47.81,47.63
1998-07-07,47.75,175600.0,49.19,48.56,47.75
1998-07-08,48.81,147200.0,49.25,48.88,48.63
1998-07-09,48.81,239867.0,49.5,48.5,48.0
1998-07-10,48.38,165867.0,48.94,48.31,48.25
1998-07-13,48.25,86400.0,49.0,48.88,48.0
1998-07-14,49.06,177267.0,50.19,48.94,48.94
1998-07-15,48.88,125467.0,49.75,49.06,48.81
1998-07-16,49.25,223867.0,49.44,49.31,48.56
1998-07-17,49.44,278467.0,51.19,50.44,49.44
1998-07-20,51.44,301667.0,52.44,51.31,51.19
1998-07-21,52.0,245667.0,52.69,51.5,51.19
1998-07-22,51.25,316867.0,52.5,50.88,50.5
1998-07-23,51.25,168600.0,51.88,50.38,50.38
1998-07-24,50.0,213667.0,51.0,50.44,50.0
1998-07-27,50.25,258467.0,50.25,48.63,48.38
1998-07-28,48.63,502067.0,49.44,48.88,47.63
1998-07-29,52.5,871200.0,52.5,50.5,50.5
1998-07-30,51.5,445600.0,51.5,50.75,50.25
1998-07-31,50.5,300000.0,50.69,49.75,49.13
1998-08-03,50.38,184667.0,50.5,50.0,49.75
1998-08-04,50.5,490267.0,50.75,48.5,48.5
1998-08-05,48.0,291467.0,49.25,48.0,46.75
1998-08-06,47.88,202067.0,50.19,49.75,47.88
1998-08-07,50.0,219400.0,50.13,49.38,49.31
1998-08-10,49.63,142267.0,49.63,48.75,48.69
1998-08-11,48.81,241267.0,48.81,47.63,47.31
1998-08-12,48.81,148467.0,48.81,47.88,47.31
1998-08-13,48.06,179800.0,48.25,47.94,47.75
1998-08-14,47.75,404667.0,48.88,48.56,47.69
1998-08-17,48.75,314400.0,49.88,49.13,48.75
1998-08-18,49.19,222667.0,50.25,49.94,49.19
1998-08-19,49.94,234867.0,50.19,49.5,49.25
1998-08-20,49.44,223000.0,49.88,49.5,48.75
1998-08-21,49.38,361600.0,49.44,47.63,46.88
1998-08-24,48.0,256800.0,49.19,49.19,48.0
1998-08-25,49.44,227667.0,50.63,49.94,49.44
1998-08-26,50.0,587000.0,50.0,49.5,49.0
1998-08-27,49.25,157200.0,49.25,47.69,47.38
1998-08-28,47.56,227400.0,47.69,47.0,45.75
1998-08-31,47.19,269667.0,47.44,45.38,44.94
1998-09-01,45.13,764000.0,46.19,45.75,42.63
1998-09-02,45.63,510667.0,46.13,46.0,45.19
1998-09-03,46.13,315867.0,46.13,45.44,45.0
1998-09-04,45.44,152000.0,46.56,46.0,45.06
1998-09-08,47.75,194867.0,48.31,48.25,47.5
1998-09-09,48.13,347600.0,49.31,48.63,48.0
1998-09-10,48.63,255867.0,49.06,49.06,47.25
1998-09-11,49.0,238667.0,49.5,49.13,48.63
1998-09-14,50.69,272800.0,50.81,50.69,49.69
1998-09-15,50.13,210800.0,50.31,49.44,49.25
1998-09-16,49.63,331400.0,49.69,48.0,47.88
1998-09-17,47.25,193800.0,48.25,47.94,46.06
1998-09-18,48.0,330600.0,48.5,48.5,47.38
1998-09-21,48.0,133200.0,48.06,47.44,47.19
