date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,76.0,484800.0,77.38,74.88,73.75
1998-01-05,76.0,872000.0,76.0,70.88,70.0
1998-01-06,71.19,940267.0,74.75,74.38,69.75
1998-01-07,72.25,538467.0,75.5,72.0,70.13
1998-01-08,71.75,372267.0,73.75,71.0,70.25
1998-01-09,70.5,1046400.0,71.0,67.06,65.38
1998-01-12,63.13,1327867.0,69.5,69.25,63.0
1998-01-13,72.0,806267.0,72.5,71.88,68.25
1998-01-14,73.63,916867.0,74.25,73.5,71.5
1998-01-15,73.75,663600.0,75.25,74.25,72.25
1998-01-16,74.75,831000.0,74.94,73.5,72.75
1998-01-20,75.38,1196000.0,78.38,77.75,74.75
1998-01-21,76.0,3245600.0,77.0,75.0,71.75
1998-01-22,73.5,1772667.0,74.88,71.25,70.63
1998-01-23,72.5,1664267.0,72.88,67.38,66.75
1998-01-26,69.0,1596200.0,69.5,65.06,63.5
1998-01-27,65.75,1276267.0,68.94,67.06,64.5
1998-01-28,68.63,913800.0,70.38,69.5,68.25
1998-01-29,69.75,1091000.0,71.75,68.0,66.88
1998-01-30,67.5,713267.0,69.13,68.75,66.38
1998-02-02,71.0,870467.0,72.0,69.88,69.0
1998-02-03,70.5,1637867.0,74.06,72.75,69.75
1998-02-04,72.75,927467.0,75.0,73.06,71.38
1998-02-05,73.5,1339067.0,75.25,72.16,71.56
1998-02-06,72.13,1440867.0,72.63,71.88,69.75
1998-02-09,72.13,598200.0,72.25,71.16,69.5
1998-02-10,71.25,372867.0,72.13,71.0,70.38
1998-02-11,70.75,379200.0,72.88,71.75,70.75
1998-02-12,71.5,776200.0,71.5,68.81,68.5
1998-02-13,69.25,623000.0,69.75,68.81,67.5
1998-02-17,69.06,2663000.0,69.38,65.56,63.0
1998-02-18,65.69,1148267.0,68.0,66.5,64.75
1998-02-19,67.19,929867.0,68.25,65.09,64.25
1998-02-20,65.5,1027800.0,65.75,64.94,63.38
1998-02-23,45.13,652333.0,45.38,42.66,42.63
1998-02-24,43.25,2240400.0,43.25,41.0,39.88
1998-02-25,42.5,2861700.0,43.69,43.69,41.88
1998-02-26,44.0,1633800.0,45.0,42.75,42.25
1998-02-27,42.63,1208400.0,44.38,42.06,41.25
1998-03-02,43.13,2102900.0,43.25,39.31,39.13
1998-03-03,37.5,3255100.0,38.25,37.5,36.38
1998-03-04,39.38,1955700.0,40.75,40.0,38.5
1998-03-05,38.75,1619000.0,40.88,39.38,37.88
1998-03-06,40.88,1082200.0,41.0,39.88,38.5
1998-03-09,39.75,1245200.0,41.5,40.88,39.0
1998-03-10,42.0,951800.0,43.0,40.63,39.75
1998-03-11,41.25,3508200.0,44.88,44.75,40.13
1998-03-12,46.12,3610600.0,47.75,46.5,45.5
1998-03-13,47.5,1326800.0,47.5,46.25,45.0
1998-03-16,46.5,836100.0,47.13,46.38,45.5
1998-03-17,46.81,682300.0,47.13,45.72,45.63
1998-03-18,45.56,1884200.0,48.38,47.78,45.13
1998-03-19,48.25,2153300.0,50.75,49.5,47.88
1998-03-20,50.0,907500.0,50.0,48.06,48.0
1998-03-23,48.31,858600.0,50.25,49.0,48.19
1998-03-24,50.25,1544000.0,52.13,51.41,49.75
1998-03-25,53.0,2034300.0,53.38,51.94,51.63
1998-03-26,51.88,787800.0,53.25,52.88,51.5
1998-03-27,53.0,661800.0,53.5,52.75,52.0
1998-03-30,52.5,648900.0,53.25,53.25,51.25
1998-03-31,53.25,804900.0,54.88,54.19,52.75
1998-04-01,54.38,1041100.0,57.31,56.88,53.69
1998-04-02,57.0,1664900.0,57.31,55.13,54.25
1998-04-03,55.38,853600.0,55.38,53.69,53.25
1998-04-06,53.75,2089800.0,53.88,50.25,49.69
1998-04-07,49.25,1382800.0,50.25,48.5,47.5
1998-04-08,49.0,1424000.0,50.88,49.88,48.5
1998-04-09,51.63,1556000.0,52.13,52.13,50.63
1998-04-13,52.25,1694900.0,56.0,55.88,52.13
1998-04-14,56.88,995700.0,56.88,56.0,55.0
1998-04-15,56.63,638400.0,56.63,55.44,55.0
1998-04-16,55.5,536600.0,55.63,54.63,52.75
1998-04-17,53.5,947900.0,56.0,54.5,52.88
1998-04-20,55.88,1236800.0,56.94,54.5,52.75
1998-04-21,60.81,4284500.0,61.5,60.25,57.13
1998-04-22,59.5,1203400.0,62.38,59.5,58.06
1998-04-23,59.0,898800.0,59.5,56.84,56.5
1998-04-24,57.88,886500.0,58.63,58.0,56.75
1998-04-27,56.63,1479100.0,58.25,56.88,53.56
1998-04-28,58.0,955500.0,59.13,58.25,57.13
1998-04-29,58.25,507200.0,59.75,59.13,57.38
1998-04-30,60.0,1177700.0,62.38,62.13,59.38
1998-05-01,62.0,916200.0,64.63,64.0,61.13
1998-05-04,64.13,721300.0,65.13,61.38,61.38
1998-05-05,61.0,720200.0,62.0,59.97,59.5
1998-05-06,61.25,492200.0,61.63,59.5,59.0
1998-05-07,59.5,688500.0,60.5,59.19,59.06
1998-05-08,59.0,609200.0,60.5,60.31,58.88
1998-05-11,61.13,688900.0,61.88,57.91,57.75
1998-05-12,57.5,798400.0,58.5,58.41,56.5
1998-05-13,58.69,639900.0,59.38,58.06,57.0
1998-05-14,57.25,405400.0,58.13,57.56,57.0
1998-05-15,58.0,314100.0,58.44,57.13,57.0
1998-05-18,56.5,716400.0,56.5,54.0,53.75
1998-05-19,55.5,793200.0,56.0,55.09,54.38
1998-05-20,55.13,550300.0,56.25,55.59,54.0
1998-05-21,56.0,364000.0,56.0,55.0,54.5
1998-05-22,54.38,564200.0,54.75,53.38,52.5
1998-05-26,53.88,1062600.0,54.5,50.63,49.13
1998-05-27,49.06,2039800.0,54.38,54.31,49.0
1998-05-28,54.44,632400.0,54.81,52.88,52.25
1998-05-29,53.5,809600.0,54.25,52.19,51.63
1998-06-01,51.5,752600.0,53.0,50.13,49.13
1998-06-02,50.5,1347600.0,51.63,50.66,49.5
1998-06-03,51.5,894300.0,52.88,51.0,51.0
1998-06-04,52.0,645800.0,54.25,52.88,51.38
1998-06-05,54.0,622500.0,55.5,54.38,53.5
1998-06-08,54.38,921500.0,56.44,56.38,53.38
1998-06-09,56.5,712800.0,57.94,57.75,56.25
1998-06-10,57.0,471900.0,57.25,54.38,54.0
1998-06-11,54.88,586900.0,56.0,54.31,54.0
1998-06-12,54.38,1085900.0,55.5,55.5,52.0
1998-06-15,53.75,679300.0,57.42,54.94,53.75
1998-06-16,57.19,1751700.0,59.44,59.31,56.06
1998-06-17,60.44,2410600.0,62.25,61.5,60.13
1998-06-18,61.5,1792500.0,63.5,62.81,61.38
1998-06-19,63.25,1184400.0,63.38,61.75,60.78
1998-06-22,62.0,1664800.0,64.5,63.88,61.63
1998-06-23,64.13,1927300.0,67.88,67.31,63.75
