date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,64.75,285200.0,64.88,63.69,63.31
1998-01-05,63.25,503900.0,65.63,65.63,62.81
1998-01-06,64.5,548500.0,64.94,62.94,62.56
1998-01-07,63.25,464800.0,63.69,63.25,61.81
1998-01-08,63.25,637500.0,63.25,62.31,61.38
1998-01-09,62.06,830900.0,62.94,62.19,61.0
1998-01-12,61.0,298700.0,63.0,63.0,60.88
1998-01-13,62.88,251100.0,63.06,63.0,61.63
1998-01-14,63.0,454500.0,65.25,65.0,63.0
1998-01-15,65.06,318300.0,65.19,64.5,64.38
1998-01-16,65.0,307700.0,65.69,65.63,64.5
1998-01-20,67.0,409000.0,67.25,67.25,65.69
1998-01-21,67.0,305500.0,67.06,65.69,65.25
1998-01-22,65.06,332700.0,66.56,65.31,65.06
1998-01-23,65.5,335200.0,66.0,64.63,64.38
1998-01-26,64.75,353600.0,65.31,64.38,64.0
1998-01-27,64.5,288700.0,66.0,64.88,64.5
1998-01-28,64.63,315600.0,66.63,66.19,64.56
1998-01-29,66.19,457800.0,66.5,65.81,65.69
1998-01-30,65.75,281900.0,65.75,65.56,64.94
1998-02-02,66.56,418000.0,67.56,67.56,66.38
1998-02-03,67.75,357000.0,68.31,68.06,67.69
1998-02-04,67.56,267800.0,68.56,68.56,67.19
1998-02-05,68.81,453900.0,69.5,68.69,68.44
1998-02-06,69.94,364200.0,71.0,70.56,69.69
1998-02-09,69.63,1023800.0,71.5,70.06,69.06
1998-02-10,70.31,623300.0,71.13,70.44,70.31
1998-02-11,70.44,909900.0,73.34,73.06,70.44
1998-02-12,72.63,556300.0,75.0,74.44,72.56
1998-02-13,73.75,370500.0,74.0,73.06,72.5
1998-02-17,73.75,435100.0,74.13,74.0,73.56
1998-02-18,73.75,411300.0,74.19,74.19,73.63
1998-02-19,74.19,378000.0,74.19,72.38,71.94
1998-02-20,72.63,578500.0,74.56,74.56,72.44
1998-02-23,74.88,403100.0,74.88,74.38,74.0
1998-02-24,74.44,269700.0,74.44,73.81,73.63
1998-02-25,73.81,410200.0,74.19,73.81,73.5
1998-02-26,73.75,336100.0,73.81,73.75,72.88
1998-02-27,73.5,484200.0,74.18,74.06,72.63
1998-03-02,73.94,238300.0,73.94,73.56,73.31
1998-03-03,73.38,347200.0,73.44,73.25,73.0
1998-03-04,73.0,283100.0,73.44,72.88,72.75
1998-03-05,72.75,512100.0,74.13,73.81,72.63
1998-03-06,73.75,576300.0,74.75,74.31,73.75
1998-03-09,74.31,662900.0,76.75,76.75,74.31
1998-03-10,77.75,750000.0,77.81,75.75,75.59
1998-03-11,75.75,445400.0,76.0,74.88,74.5
1998-03-12,74.81,379800.0,75.0,74.38,74.25
1998-03-13,74.69,461100.0,74.75,73.88,73.69
1998-03-16,73.94,556700.0,73.94,73.25,72.88
1998-03-17,73.25,514400.0,73.5,72.88,72.31
1998-03-18,72.94,276200.0,73.0,72.44,72.0
