date,1. open,5. volume,2. high,4. close,3. low
1999-09-15,22.75,268548.0,23.0,22.81,22.5
1999-09-16,22.94,54347.0,23.0,22.81,22.63
1999-09-17,22.94,99237.0,23.38,23.07,22.81
1999-09-20,23.06,52305.0,23.75,23.69,23.0
1999-09-21,23.69,2817516.0,23.69,23.38,23.13
1999-09-22,23.5,235157.0,23.5,23.38,23.19
1999-09-23,23.44,244681.0,23.63,23.38,23.25
1999-09-24,23.13,176911.0,23.38,23.31,23.06
1999-09-27,23.5,103689.0,23.63,23.56,23.5
1999-09-28,23.69,267876.0,23.94,23.69,23.38
1999-09-29,23.63,175963.0,24.25,23.94,23.63
1999-09-30,24.0,298066.0,24.38,24.13,23.88
1999-10-01,24.0,107166.0,24.0,24.0,23.38
1999-10-04,24.0,113054.0,24.06,23.69,23.63
1999-10-05,23.63,92229.0,23.69,23.25,23.06
1999-10-06,23.19,92941.0,24.0,24.0,23.19
1999-10-07,24.06,209275.0,24.5,24.0,24.0
1999-10-08,24.13,395196.0,24.31,24.06,23.81
1999-10-11,24.13,155020.0,24.31,24.19,24.0
1999-10-12,24.19,90688.0,24.19,23.44,23.44
1999-10-13,23.25,296446.0,23.38,22.38,22.38
1999-10-14,22.38,322605.0,22.94,21.69,21.63
1999-10-15,21.25,437438.0,21.25,20.13,20.13
1999-10-18,20.0,593762.0,20.25,19.63,19.25
1999-10-19,20.31,396579.0,20.88,20.56,20.13
1999-10-20,21.5,237212.0,21.63,21.06,20.94
1999-10-21,20.81,61012.0,21.19,20.63,20.5
1999-10-22,20.81,22010.0,21.38,21.38,20.81
1999-10-25,21.44,85591.0,21.75,21.56,21.0
1999-10-26,21.63,99105.0,21.63,20.81,20.81
1999-10-27,20.31,125660.0,21.0,20.88,20.31
1999-10-28,21.13,340427.0,22.0,21.5,21.13
1999-10-29,21.75,720528.0,22.5,22.5,21.63
1999-11-01,22.75,157233.0,23.25,22.88,22.5
1999-11-02,23.0,50896.0,23.88,23.88,23.0
1999-11-03,23.75,616602.0,24.13,23.88,23.63
1999-11-04,24.13,482288.0,24.31,23.75,23.38
1999-11-05,24.0,254994.0,24.13,23.63,23.38
1999-11-08,23.5,104795.0,24.0,23.75,23.5
1999-11-09,23.75,109300.0,23.81,23.69,23.44
1999-11-10,24.0,169324.0,24.63,24.63,23.69
1999-11-11,24.88,338609.0,25.5,25.5,24.88
1999-11-12,25.63,255943.0,25.75,25.25,25.0
1999-11-15,25.44,344734.0,25.63,25.25,25.0
1999-11-16,25.38,436885.0,25.38,25.0,24.44
