date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,42.44,290200.0,42.5,42.25,42.13
1998-01-05,42.25,595400.0,42.94,41.88,41.69
1998-01-06,41.63,663400.0,41.88,41.56,41.38
1998-01-07,40.88,494000.0,41.25,41.19,40.88
1998-01-08,41.31,485600.0,41.88,41.81,41.19
1998-01-09,42.0,916900.0,42.13,40.5,40.5
1998-01-12,40.25,549400.0,40.88,40.81,40.13
1998-01-13,41.0,245800.0,41.0,40.31,40.25
1998-01-14,40.31,382400.0,40.75,40.75,39.94
1998-01-15,40.69,1875800.0,40.75,40.63,40.63
1998-01-16,40.75,487600.0,40.81,40.69,40.63
1998-01-20,40.63,404400.0,40.75,40.69,40.63
1998-01-21,40.63,457300.0,40.81,40.81,40.63
1998-01-22,40.63,380900.0,40.63,40.31,39.88
1998-01-23,40.19,317800.0,40.44,39.56,39.5
1998-01-26,39.63,289200.0,40.19,40.0,39.63
1998-01-27,39.94,374100.0,40.0,39.56,39.56
1998-01-28,39.44,340300.0,39.75,39.69,39.38
1998-01-29,39.56,729800.0,40.25,40.25,39.5
1998-01-30,40.0,761000.0,40.63,39.94,39.81
1998-02-02,40.0,612900.0,40.13,39.81,39.56
1998-02-03,39.69,385300.0,39.94,39.94,39.56
1998-02-04,39.88,392400.0,40.25,40.13,39.56
1998-02-05,40.25,274000.0,40.38,39.88,39.75
1998-02-06,40.38,462800.0,40.56,40.38,40.13
1998-02-09,40.31,298300.0,40.44,40.25,40.06
1998-02-10,40.38,807600.0,40.75,40.44,40.31
1998-02-11,40.63,245700.0,40.69,40.5,40.31
1998-02-12,40.38,270200.0,40.5,40.38,40.06
1998-02-13,40.13,325500.0,40.31,40.25,40.0
1998-02-17,40.13,261700.0,40.38,40.38,40.13
1998-02-18,40.44,363300.0,40.81,40.69,40.31
1998-02-19,40.44,243500.0,40.5,40.31,40.25
1998-02-20,40.56,224600.0,40.56,40.5,40.13
1998-02-23,40.63,306800.0,40.81,40.81,40.38
1998-02-24,40.75,419600.0,40.81,40.75,40.44
1998-02-25,41.0,547200.0,41.25,41.06,40.88
1998-02-26,40.94,1839400.0,41.0,40.94,40.75
1998-02-27,40.13,2194500.0,40.31,39.88,39.81
1998-03-02,39.75,398500.0,40.19,40.13,39.63
1998-03-03,40.06,233700.0,40.31,40.25,40.06
1998-03-04,40.25,308200.0,40.44,40.44,40.13
1998-03-05,40.38,344800.0,40.44,40.31,40.19
1998-03-06,40.31,298700.0,40.56,40.38,40.25
1998-03-09,40.13,351000.0,40.75,40.75,40.13
1998-03-10,40.69,660600.0,41.13,41.13,40.69
1998-03-11,41.0,591000.0,41.13,41.0,40.94
1998-03-12,41.06,861100.0,41.31,40.63,40.63
1998-03-13,40.75,412000.0,40.94,40.63,40.5
1998-03-16,40.63,470700.0,40.75,40.69,40.5
1998-03-17,40.69,979200.0,40.69,40.63,40.38
1998-03-18,40.69,802500.0,40.75,40.31,40.31
1998-03-19,40.5,977800.0,40.56,40.5,40.19
1998-03-20,40.88,1598700.0,41.81,41.63,40.69
1998-03-23,41.69,665100.0,42.0,41.94,41.56
1998-03-24,42.0,374600.0,42.5,42.38,42.0
1998-03-25,42.38,1094500.0,42.38,41.88,41.5
1998-03-26,41.94,364500.0,41.94,41.56,41.5
1998-03-27,41.56,295200.0,41.63,41.06,40.81
1998-03-30,41.0,347600.0,41.31,41.19,40.81
1998-03-31,41.38,400800.0,42.06,41.81,41.25
1998-04-01,42.0,438500.0,42.0,41.75,41.44
1998-04-02,41.75,405200.0,41.88,41.88,41.5
1998-04-03,41.81,488200.0,42.06,41.88,41.63
1998-04-06,41.69,339100.0,41.88,41.69,41.44
1998-04-07,41.63,498400.0,41.69,41.56,41.13
1998-04-08,41.31,415800.0,41.38,40.81,40.81
1998-04-09,41.06,554200.0,41.06,40.38,40.0
1998-04-13,40.25,419900.0,40.25,40.0,39.75
1998-04-14,40.0,1079800.0,40.13,39.81,39.5
1998-04-15,39.81,929600.0,40.0,39.81,39.44
1998-04-16,40.0,700900.0,40.0,39.69,39.56
1998-04-17,39.63,554300.0,39.75,39.75,39.38
1998-04-20,39.75,393800.0,39.75,39.44,39.25
1998-04-21,39.38,877600.0,39.75,39.5,39.31
1998-04-22,39.5,626900.0,39.75,39.69,39.5
1998-04-23,39.56,381300.0,39.63,39.13,38.88
1998-04-24,38.94,485100.0,39.31,39.25,38.5
1998-04-27,39.0,349300.0,39.19,38.88,38.69
1998-04-28,39.0,312200.0,39.38,39.13,38.91
1998-04-29,39.25,328100.0,39.31,38.94,38.75
1998-04-30,39.25,363700.0,39.75,39.56,39.19
1998-05-01,39.81,275400.0,39.94,39.13,38.81
1998-05-04,39.13,247100.0,39.63,39.31,38.88
1998-05-05,39.25,228800.0,39.5,39.38,39.06
1998-05-06,39.38,186100.0,39.44,39.38,39.0
1998-05-07,39.63,636800.0,39.63,38.94,38.81
1998-05-08,39.19,800600.0,39.56,39.38,39.13
1998-05-11,39.63,455400.0,39.63,38.94,38.81
1998-05-12,39.19,626600.0,39.31,39.31,38.88
1998-05-13,39.31,184800.0,39.38,39.19,39.13
1998-05-14,39.19,431100.0,39.19,39.19,38.88
1998-05-15,39.06,412900.0,39.25,39.13,39.06
1998-05-18,39.13,484300.0,39.25,39.13,38.94
1998-05-19,38.88,289200.0,39.06,39.0,38.81
1998-05-20,38.94,385500.0,38.94,38.94,38.94
1998-05-21,39.06,749600.0,39.38,38.94,38.81
1998-05-22,38.94,364700.0,39.06,38.81,38.5
1998-05-26,39.0,1395100.0,39.06,38.56,38.5
1998-05-27,37.94,1087600.0,38.63,38.5,37.81
1998-05-28,38.44,2620400.0,38.81,38.75,38.13
1998-05-29,38.75,337600.0,39.69,39.69,38.69
1998-06-01,39.63,604900.0,40.81,40.25,39.44
1998-06-02,40.56,457500.0,40.69,40.38,39.94
1998-06-03,40.25,228600.0,40.69,40.5,40.25
1998-06-04,40.25,254600.0,40.31,40.13,40.0
1998-06-05,40.13,190800.0,40.44,40.44,39.94
1998-06-08,40.56,205300.0,40.75,40.5,40.31
1998-06-09,40.56,1333300.0,40.75,40.75,40.44
1998-06-10,40.62,680800.0,41.31,41.0,40.62
1998-06-11,41.0,409000.0,41.38,41.31,40.56
1998-06-12,41.25,439400.0,41.38,41.0,40.63
1998-06-15,41.0,558500.0,41.0,40.5,40.5
1998-06-16,40.44,603900.0,40.69,40.56,40.31
1998-06-17,40.44,834100.0,40.63,40.5,40.06
1998-06-18,40.38,547400.0,40.69,40.5,40.38
1998-06-19,40.75,683600.0,40.81,40.5,40.31
1998-06-22,40.5,627800.0,40.56,40.44,40.31
1998-06-23,40.88,537300.0,40.94,40.63,40.31
1998-06-24,40.5,972300.0,40.88,40.88,40.25
1998-06-25,40.88,746200.0,40.88,40.69,40.44
1998-06-26,40.75,382000.0,41.0,40.63,40.38
1998-06-29,40.75,595400.0,41.63,41.0,40.75
1998-06-30,41.0,414100.0,41.0,40.75,40.63
1998-07-01,40.81,249700.0,41.13,41.0,40.5
1998-07-02,41.0,303500.0,41.0,41.0,40.63
1998-07-06,40.94,566200.0,41.5,41.38,40.94
1998-07-07,41.44,318800.0,41.56,41.0,40.94
1998-07-08,41.0,371200.0,41.13,41.13,40.94
1998-07-09,41.13,547400.0,41.13,41.0,40.75
1998-07-10,40.94,309600.0,41.06,40.88,40.63
1998-07-13,40.69,359200.0,40.69,40.44,40.31
1998-07-14,40.38,421800.0,40.44,40.31,40.13
