date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,58.13,510500.0,58.13,57.44,56.88
1998-01-05,57.69,748500.0,58.0,56.44,56.25
1998-01-06,56.19,629200.0,56.5,56.25,55.5
1998-01-07,55.56,709100.0,56.13,55.56,55.38
1998-01-08,54.38,1144800.0,54.44,53.81,53.0
1998-01-09,53.56,1208100.0,53.56,50.81,50.25
1998-01-12,49.81,1256400.0,53.13,52.69,49.63
1998-01-13,52.88,890800.0,52.94,51.94,51.63
1998-01-14,51.88,597300.0,53.13,53.0,51.63
1998-01-15,52.94,545100.0,52.94,51.5,51.5
1998-01-16,51.69,752000.0,52.69,51.94,51.63
1998-01-20,52.13,877400.0,52.94,52.94,51.88
1998-01-21,52.75,1384800.0,52.75,51.63,51.38
1998-01-22,51.13,995700.0,52.38,51.19,51.06
1998-01-23,51.19,1197100.0,51.81,51.44,50.94
1998-01-26,51.63,805600.0,52.13,50.75,50.06
1998-01-27,50.69,2046800.0,51.25,49.38,49.38
1998-01-28,49.75,791900.0,51.56,51.0,49.75
1998-01-29,51.0,816000.0,52.5,52.25,51.0
1998-01-30,52.25,725200.0,52.75,52.75,51.31
1998-02-02,53.75,1248500.0,55.13,54.81,53.38
1998-02-03,55.0,840300.0,55.25,54.13,54.06
1998-02-04,54.31,555600.0,54.75,54.13,53.81
1998-02-05,54.19,527500.0,54.63,53.75,53.5
1998-02-06,54.5,627000.0,54.94,54.5,54.25
1998-02-09,54.31,890500.0,56.19,55.63,54.25
1998-02-10,56.31,962200.0,56.75,56.06,55.69
1998-02-11,56.63,447400.0,56.69,55.81,55.25
1998-02-12,55.81,439000.0,56.94,56.69,55.38
1998-02-13,56.69,690000.0,57.63,57.5,56.63
1998-02-17,57.5,651000.0,57.5,56.25,56.0
1998-02-18,56.0,660400.0,56.0,55.81,54.94
1998-02-19,55.94,654500.0,56.44,55.94,55.19
1998-02-20,55.94,825000.0,56.94,56.75,55.19
1998-02-23,56.63,569500.0,56.75,56.0,55.94
1998-02-24,55.75,635200.0,56.44,55.19,55.19
1998-02-25,55.13,643200.0,55.56,55.06,54.94
1998-02-26,55.06,535200.0,56.5,56.38,54.75
1998-02-27,56.5,689600.0,56.69,56.13,55.94
1998-03-02,56.25,1045700.0,57.13,57.0,55.88
1998-03-03,56.5,668800.0,57.13,56.44,56.44
1998-03-04,56.94,1175500.0,57.5,57.13,56.63
1998-03-05,56.5,669100.0,57.31,56.88,56.38
1998-03-06,56.81,883200.0,58.0,58.0,56.5
1998-03-09,58.0,661300.0,58.38,56.88,56.75
1998-03-10,56.63,570300.0,57.31,56.81,56.63
1998-03-11,56.75,703900.0,57.81,57.63,56.69
1998-03-12,57.69,837400.0,57.75,57.13,56.88
1998-03-13,57.19,689000.0,58.31,56.88,56.75
1998-03-16,56.88,1273100.0,58.81,58.69,56.88
1998-03-17,59.0,1118500.0,59.63,59.25,58.75
1998-03-18,58.94,619400.0,59.5,59.31,58.88
1998-03-19,59.25,1065700.0,61.06,60.56,59.25
1998-03-20,60.88,1526500.0,61.88,61.69,60.81
1998-03-23,62.0,791200.0,62.0,61.56,61.19
1998-03-24,61.69,918100.0,63.0,62.75,61.31
1998-03-25,63.75,1103900.0,64.13,62.88,62.56
1998-03-26,62.5,1260800.0,63.56,63.0,61.88
1998-03-27,64.13,741300.0,64.13,62.88,62.13
1998-03-30,62.75,623000.0,62.75,61.81,61.5
1998-03-31,62.63,630500.0,62.88,61.94,61.5
1998-04-01,60.25,967800.0,61.38,61.25,60.06
1998-04-02,61.31,585600.0,61.75,61.69,60.75
1998-04-03,61.75,743200.0,61.75,60.88,60.5
1998-04-06,60.06,1043500.0,61.06,59.88,59.81
1998-04-07,59.38,1385300.0,59.88,59.69,59.0
1998-04-08,59.88,725700.0,60.25,59.5,59.5
1998-04-09,59.63,592800.0,59.94,59.75,59.25
1998-04-13,59.56,895900.0,59.75,58.69,58.69
1998-04-14,58.94,960100.0,62.0,61.0,58.88
1998-04-15,61.5,1262800.0,62.5,62.13,61.38
1998-04-16,62.13,668000.0,62.13,61.69,61.44
1998-04-17,62.13,744500.0,62.5,62.44,61.19
1998-04-20,62.0,533100.0,62.25,61.5,61.25
1998-04-21,61.13,829800.0,62.56,62.56,60.81
1998-04-22,62.44,669400.0,62.75,62.44,62.13
1998-04-23,62.0,484000.0,62.25,61.81,61.75
1998-04-24,61.81,754700.0,62.25,60.25,60.13
1998-04-27,59.13,1249700.0,59.19,56.81,56.75
1998-04-28,57.81,1587900.0,57.81,56.5,56.44
1998-04-29,57.0,869500.0,57.19,56.63,56.5
1998-04-30,57.0,810600.0,59.0,58.44,56.88
1998-05-01,58.0,378800.0,58.94,58.94,58.0
1998-05-04,59.0,636100.0,59.5,58.19,58.13
1998-05-05,57.63,1103200.0,57.94,56.56,56.19
1998-05-06,56.88,851800.0,57.25,56.5,56.25
1998-05-07,57.25,718600.0,57.56,57.13,56.75
1998-05-08,57.0,698600.0,57.81,57.31,56.94
1998-05-11,57.13,445200.0,57.25,56.81,56.63
1998-05-12,56.31,689400.0,56.94,56.94,56.25
1998-05-13,56.31,716100.0,56.75,56.0,55.56
1998-05-14,55.94,634500.0,56.25,56.06,55.75
1998-05-15,56.06,336600.0,56.13,55.63,55.56
1998-05-18,55.81,713000.0,55.94,55.0,54.63
1998-05-19,56.0,1020200.0,56.13,54.94,54.81
