date,1. open,5. volume,2. high,4. close,3. low
2007-06-14,28.0,3279100.0,30.5,28.75,28.0
2007-06-15,29.5,790100.0,29.8,29.08,28.88
2007-06-18,29.32,1591000.0,30.2,29.93,29.3
2007-06-19,30.0,1585100.0,30.3,29.7,29.6
2007-06-20,30.04,855900.0,30.1,29.81,29.57
2007-06-21,30.06,842700.0,31.95,31.21,29.61
2007-06-22,31.5,1490700.0,32.17,31.7,31.0
2007-06-25,31.5,490000.0,32.0,31.3,31.01
2007-06-26,31.3,853900.0,31.65,30.41,30.25
2007-06-27,30.6,1127300.0,30.8,29.58,29.57
2007-06-28,29.88,488900.0,29.9,29.5,29.16
2007-06-29,29.99,3085200.0,30.3,28.5,27.93
2007-07-02,28.55,10999000.0,29.15,27.5,27.2
2007-07-03,27.5,8600100.0,27.5,26.67,26.15
2007-07-05,26.25,8422000.0,26.92,25.93,25.74
2007-07-06,25.64,7211800.0,25.86,25.64,25.21
2007-07-09,25.72,11675200.0,26.54,25.54,25.44
2007-07-10,25.6,8591800.0,25.65,24.9,24.8
2007-07-11,25.02,10251400.0,25.27,25.21,24.75
2007-07-12,25.59,10297300.0,26.59,26.34,25.21
2007-07-13,26.47,6752500.0,27.43,27.16,26.02
2007-07-16,27.21,9892000.0,27.45,26.84,26.66
2007-07-17,26.96,5434600.0,26.99,26.5,26.31
2007-07-18,26.45,4594800.0,26.5,26.36,25.7
2007-07-19,26.25,4868900.0,26.95,26.71,26.25
2007-07-20,26.71,5751300.0,27.12,26.3,26.25
2007-07-23,26.3,4711800.0,26.51,26.12,26.1
2007-07-24,25.54,5483800.0,25.6,25.0,24.93
2007-07-25,24.76,8391500.0,24.84,24.1,23.75
2007-07-26,23.26,9834900.0,24.88,24.62,22.75
2007-07-27,24.26,6678000.0,24.7,23.33,23.33
2007-07-30,23.4,5056000.0,23.93,23.57,22.37
2007-07-31,23.65,4132300.0,24.1,23.05,22.83
2007-08-01,22.68,5583900.0,23.07,22.88,22.05
2007-08-02,22.5,3032900.0,24.05,23.37,22.48
2007-08-03,22.66,5256100.0,23.11,21.99,21.53
2007-08-06,22.24,6010700.0,23.53,22.15,21.25
2007-08-07,22.05,3885200.0,23.53,22.88,21.72
2007-08-08,23.5,5645200.0,24.57,24.29,23.0
2007-08-09,23.4,4554600.0,23.96,22.16,22.06
2007-08-10,21.75,10813200.0,21.95,20.86,20.35
2007-08-13,21.26,7115200.0,22.29,22.1,21.26
2007-08-14,22.29,3845000.0,22.66,21.96,21.71
2007-08-15,21.89,3690300.0,22.4,21.66,21.16
2007-08-16,20.5,5503500.0,23.14,22.85,20.47
2007-08-17,23.89,5668600.0,23.99,23.18,22.91
2007-08-20,23.1,3786500.0,23.5,23.45,22.48
2007-08-21,23.09,2471000.0,23.96,23.67,23.07
2007-08-22,23.66,3601000.0,24.0,23.73,23.25
2007-08-23,23.94,2904000.0,24.03,23.7,23.18
2007-08-24,23.42,2001000.0,24.02,23.99,23.38
2007-08-27,24.02,1629600.0,24.04,23.83,23.7
2007-08-28,23.32,4219100.0,23.55,22.71,22.56
2007-08-29,22.57,2932600.0,23.58,23.33,21.59
2007-08-30,22.82,2269400.0,23.0,22.76,22.5
2007-08-31,23.01,3092600.0,23.88,23.14,22.54
2007-09-04,23.05,2459400.0,23.56,23.43,22.63
2007-09-05,22.68,2703300.0,23.12,22.55,22.36
2007-09-06,22.51,3297000.0,22.52,22.28,22.05
2007-09-07,21.98,3985000.0,21.98,21.11,20.86
2007-09-10,21.17,2746400.0,21.52,20.56,20.25
2007-09-11,20.52,2838100.0,21.15,20.61,20.47
2007-09-12,20.45,3052400.0,21.44,21.0,20.25
2007-09-13,21.0,2328500.0,21.74,21.34,21.0
2007-09-14,21.29,1839600.0,21.56,21.27,21.01
2007-09-17,21.21,2233500.0,21.41,21.32,20.5
2007-09-18,21.4,3637000.0,23.09,23.09,21.16
2007-09-19,23.22,4394100.0,23.82,23.41,23.02
2007-09-20,23.27,2683300.0,24.0,22.66,22.61
2007-09-21,22.75,10196300.0,22.8,22.4,21.98
2007-09-24,22.7,4334300.0,23.48,22.26,22.24
2007-09-25,22.26,9227000.0,22.26,21.72,21.17
2007-09-26,21.65,4631500.0,21.94,21.25,21.21
2007-09-27,21.16,5640600.0,21.33,20.67,20.59
2007-09-28,20.7,3736300.0,20.87,20.8,20.33
2007-10-01,21.0,3324900.0,21.59,21.57,20.63
2007-10-02,21.57,2774300.0,22.14,21.37,21.27
2007-10-03,21.3,2493400.0,22.1,21.35,21.25
2007-10-04,21.5,3491400.0,22.07,22.02,21.38
2007-10-05,22.23,3201100.0,22.9,22.73,22.2
2007-10-08,22.6,2088800.0,22.76,22.65,22.48
2007-10-09,22.67,3488500.0,23.33,23.03,22.609
2007-10-10,23.0,4030500.0,23.01,22.65,22.5
2007-10-11,22.85,3776600.0,23.13,22.03,21.94
2007-10-12,22.09,1775200.0,22.29,22.13,21.85
2007-10-15,22.1,2822500.0,22.2,21.38,20.91
2007-10-16,21.34,3155500.0,21.37,20.93,20.77
2007-10-17,21.63,3501000.0,21.73,20.78,20.44
2007-10-18,20.61,4580600.0,20.74,20.53,20.27
2007-10-19,20.49,7103200.0,20.54,19.8,19.69
2007-10-22,19.08,4088400.0,19.76,19.68,18.85
2007-10-23,20.0,4104800.0,20.1694,19.41,19.06
2007-10-24,19.39,8320900.0,19.5,18.39,17.79
2007-10-25,18.38,10096200.0,18.64,17.56,16.91
2007-10-26,18.68,9463800.0,19.01,18.93,17.99
2007-10-29,19.16,6023500.0,19.87,19.49,19.16
2007-10-30,19.4,5484300.0,20.41,20.14,19.133
2007-10-31,20.8,8865500.0,20.91,19.3,19.0
2007-11-01,18.95,7765900.0,18.98,18.52,17.5
2007-11-02,18.67,10119800.0,18.67,18.18,17.67
2007-11-05,18.14,4607700.0,18.23,18.15,17.74
2007-11-06,18.14,3727400.0,18.47,18.24,17.86
2007-11-07,17.5,7694400.0,18.02,17.26,17.14
2007-11-08,17.16,5583200.0,17.79,17.7,16.96
2007-11-09,17.0,4576800.0,17.99,17.82,17.0
2007-11-12,17.95,5020800.0,18.7,18.01,17.53
2007-11-13,18.2,6170400.0,19.5,19.0,17.97
2007-11-14,18.88,3774400.0,19.3,18.29,18.27
2007-11-15,18.18,4739100.0,18.3,17.68,17.59
2007-11-16,17.76,3061800.0,18.05,17.76,17.5
2007-11-19,17.2,6857900.0,17.2,16.74,16.65
2007-11-20,16.89,6536900.0,17.09,16.44,15.98
2007-11-21,15.72,6162200.0,16.55,16.25,15.72
2007-11-23,16.39,1605200.0,16.85,16.68,15.95
2007-11-26,17.0,5691600.0,17.0,16.3,16.2
2007-11-27,16.391,3894100.0,16.79,16.75,16.25
2007-11-28,17.159,4580500.0,17.68,17.65,16.9
2007-11-29,17.76,3924100.0,17.76,17.28,17.205
2007-11-30,17.58,7056800.0,18.58,17.37,17.21
2007-12-03,17.37,7066400.0,17.85,16.39,16.28
2007-12-04,16.32,5385500.0,16.68,16.21,16.19
2007-12-05,16.33,2925600.0,16.83,16.45,16.31
2007-12-06,16.63,2490100.0,17.32,17.32,16.47
2007-12-07,16.83,4843000.0,17.13,16.76,16.4
2007-12-10,16.77,3549000.0,17.75,17.27,16.68
2007-12-11,17.26,3755400.0,17.26,16.32,16.29
2007-12-12,16.82,7542400.0,17.1,16.51,16.115
2007-12-13,16.4,6276600.0,16.47,16.42,15.8
2007-12-14,16.16,6832200.0,16.19,15.64,15.5
2007-12-17,15.54,4135200.0,15.97,15.61,15.2
2007-12-18,15.65,4466000.0,16.05,15.89,15.54
2007-12-19,15.88,3626800.0,16.14,15.89,15.55
2007-12-20,16.35,7280200.0,16.99,15.46,15.34
2007-12-21,15.7,6675500.0,15.75,15.5,15.31
2007-12-24,15.32,1653300.0,15.73,15.63,15.32
2007-12-26,15.53,2503200.0,15.78,15.71,15.31
2007-12-27,15.72,3386300.0,15.78,15.2,15.2
2007-12-28,15.14,3749400.0,15.38,14.94,14.81
2007-12-31,14.88,3255500.0,15.27,15.08,14.87
2008-01-02,15.15,4215300.0,15.49,14.9,14.84
2008-01-03,15.01,4608900.0,15.26,14.83,14.76
2008-01-04,14.61,4191000.0,14.69,13.94,13.62
2008-01-07,14.1,4056600.0,14.77,14.38,13.99
2008-01-08,14.43,4379100.0,14.68,13.6,13.54
2008-01-09,13.57,5481500.0,14.21,14.18,13.4
2008-01-10,13.53,8705900.0,14.63,14.26,13.34
2008-01-11,13.87,9056900.0,14.0,13.73,13.43
2008-01-14,13.81,6970600.0,13.97,13.56,13.42
2008-01-15,13.37,10260500.0,13.5,13.2,13.13
2008-01-16,13.11,7914100.0,13.33,13.07,12.69
2008-01-17,13.09,6612800.0,13.25,12.55,12.5
2008-01-18,12.65,6151400.0,13.06,12.63,12.41
2008-01-22,11.375,9300700.0,13.81,12.71,10.94
2008-01-23,12.19,8571600.0,14.65,14.6,11.77
2008-01-24,14.62,7367200.0,17.09,15.7,14.52
2008-01-25,15.84,5721000.0,16.9,15.56,15.43
2008-01-28,15.45,4384200.0,16.01,16.0,15.02
2008-01-29,16.08,6238600.0,16.5,16.35,15.87
2008-01-30,16.31,5705500.0,17.02,16.3,16.22
2008-01-31,16.09,10777400.0,17.99,17.49,15.58
2008-02-01,17.14,8163500.0,17.98,17.96,17.0
2008-02-04,16.93,8015200.0,17.39,16.34,16.16
2008-02-05,16.16,6129100.0,16.6,15.8,15.5
2008-02-06,15.99,6759400.0,16.02,15.77,15.325
2008-02-07,15.98,8793400.0,16.46,16.21,15.85
2008-02-08,16.16,6680000.0,16.19,15.63,15.52
2008-02-11,15.63,9401600.0,15.76,15.17,15.06
2008-02-12,15.28,5311800.0,15.62,14.98,14.79
2008-02-13,15.28,5115500.0,15.42,15.28,15.12
2008-02-14,15.15,5875800.0,15.41,14.81,14.69
2008-02-15,14.566,6862300.0,14.78,14.23,14.14
2008-02-19,14.35,6719800.0,14.55,13.97,13.91
2008-02-20,13.83,7077600.0,14.67,14.57,13.7
2008-02-21,14.69,2851700.0,14.9,14.16,14.09
2008-02-22,15.37,7817100.0,15.4,15.1,14.29
2008-02-25,15.25,5092100.0,15.83,15.5,14.81
2008-02-26,15.39,5460500.0,16.4,16.19,15.39
2008-02-27,16.07,3978300.0,16.72,16.1,15.76
2008-02-28,16.02,3557200.0,16.02,15.76,15.56
2008-02-29,15.41,3802900.0,15.9385,15.09,15.09
2008-03-03,15.33,4419000.0,15.45,14.98,14.69
2008-03-04,14.82,7094400.0,14.96,14.73,13.73
2008-03-05,14.68,4126400.0,15.25,14.72,14.57
2008-03-06,14.49,4707100.0,14.63,13.8,13.76
2008-03-07,13.575,6101400.0,14.42,14.15,13.16
2008-03-10,14.13,5781800.0,14.31,13.3,13.0
2008-03-11,14.2,8255700.0,15.39,15.03,13.88
2008-03-12,14.85,7212900.0,16.01,15.28,14.8
2008-03-13,14.77,7547300.0,16.0,15.75,14.28
2008-03-14,15.9,6402900.0,16.0,15.47,14.52
2008-03-17,14.9,6271200.0,15.38,15.18,14.22
2008-03-18,15.74,6699200.0,17.4,17.4,15.44
2008-03-19,17.4,9266900.0,17.47,15.2,14.9
2008-03-20,15.66,8412400.0,17.0,16.76,15.2
2008-03-24,16.8,7231600.0,17.56,16.68,16.58
2008-03-25,16.77,4770700.0,17.48,17.22,16.26
2008-03-26,16.9,5033400.0,16.94,15.99,15.96
2008-03-27,16.2,3665400.0,16.64,16.22,15.89
2008-03-28,16.27,3673700.0,16.45,15.98,15.94
2008-03-31,16.0,2742500.0,16.57,16.37,15.87
2008-04-01,16.55,8233100.0,17.79,17.73,16.55
2008-04-02,17.63,4581000.0,18.09,17.47,17.0
2008-04-03,17.49,4696100.0,17.86,17.68,16.67
2008-04-04,17.75,3958000.0,17.78,17.14,16.96
2008-04-07,17.46,8179300.0,18.84,18.09,17.46
2008-04-08,18.44,6708900.0,18.84,18.37,17.92
2008-04-09,18.54,5248600.0,18.54,17.7,17.55
2008-04-10,17.73,4031300.0,17.91,17.8,17.12
2008-04-11,17.49,4127200.0,18.36,17.55,17.35
2008-04-14,17.51,4119600.0,17.73,17.04,16.56
2008-04-15,17.13,3513100.0,17.42,17.02,16.69
2008-04-16,17.13,3590600.0,17.95,17.95,17.13
2008-04-17,17.85,2757000.0,18.5,18.21,17.67
2008-04-18,18.52,4016700.0,18.98,18.48,18.16
2008-04-21,18.25,2634900.0,18.69,18.48,18.11
2008-04-22,18.31,2552700.0,18.49,18.06,17.91
2008-04-23,18.09,3589300.0,18.31,17.96,17.84
2008-04-24,18.1,5622200.0,18.38,18.31,17.87
2008-04-25,18.51,3898100.0,19.02,18.85,18.32
2008-04-28,18.91,5967400.0,19.46,18.92,18.88
2008-04-29,18.93,2772600.0,19.02,18.66,18.43
2008-04-30,18.74,5517500.0,18.74,18.21,17.85
2008-05-01,18.12,5618300.0,19.64,19.25,18.08
2008-05-02,19.7,7320500.0,19.87,18.7,18.63
2008-05-05,18.64,3977000.0,19.29,18.84,18.52
2008-05-06,18.88,3920400.0,19.32,19.23,18.44
2008-05-07,19.27,3535700.0,19.46,18.24,18.17
2008-05-08,18.48,3012400.0,18.48,17.99,17.57
2008-05-09,17.66,3188500.0,18.01,17.52,17.36
2008-05-12,17.57,2877400.0,18.22,17.99,17.5
2008-05-13,18.21,3319200.0,18.25,18.17,17.82
2008-05-14,18.25,2772900.0,18.63,18.44,18.17
2008-05-15,18.37,3588300.0,18.9,18.68,18.1
2008-05-16,18.56,3354600.0,18.68,18.41,18.24
2008-05-19,18.38,2778600.0,18.95,18.67,18.24
2008-05-20,18.31,5609800.0,18.45,17.9,17.42
2008-05-21,17.81,3967400.0,18.0,17.08,16.99
2008-05-22,17.07,2710600.0,17.37,17.16,16.9
2008-05-23,17.04,2920100.0,17.1,16.84,16.53
2008-05-27,17.01,2795500.0,17.47,17.15,16.75
2008-05-28,17.23,2755100.0,17.52,17.16,16.85
2008-05-29,17.04,3191800.0,17.46,17.25,16.81
2008-05-30,17.28,4049600.0,17.45,17.15,16.76
2008-06-02,17.05,5654000.0,17.05,16.3,15.84
2008-06-03,16.46,4943800.0,16.5,15.8,15.8
2008-06-04,15.79,4932300.0,16.26,15.94,15.34
2008-06-05,16.48,4996900.0,17.02,16.87,16.0
2008-06-06,16.69,4768100.0,16.69,15.7,15.6
2008-06-09,16.0,5154600.0,16.49,15.33,14.95
2008-06-10,15.24,4256600.0,15.71,15.2,14.84
2008-06-11,15.27,4378900.0,15.65,14.52,14.52
2008-06-12,14.63,6150700.0,15.61,15.3,14.63
2008-06-13,15.38,4021500.0,15.68,15.65,15.08
2008-06-16,15.57,4985000.0,16.21,16.13,15.17
