date,1. open,5. volume,2. high,4. close,3. low
2009-11-13,22.0,22079100.0,23.1,22.73,21.75
2009-11-16,22.9,2080000.0,23.1,23.1,22.13
2009-11-17,23.03,1328000.0,23.17,23.04,22.5
2009-11-18,23.0,918300.0,23.02,22.55,22.5
2009-11-19,22.27,1031500.0,23.14,22.87,22.27
2009-11-20,22.5,1080900.0,23.33,23.21,22.5
2009-11-23,23.7,741100.0,23.98,23.4,23.18
2009-11-24,23.6,633100.0,23.65,23.5,23.25
2009-11-25,23.0,362600.0,23.8,23.74,22.99
2009-11-27,22.74,141400.0,23.3,23.15,22.74
2009-11-30,23.12,853000.0,23.12,23.0,22.62
2009-12-01,23.44,803500.0,23.57,23.31,23.0
2009-12-02,23.29,571300.0,23.75,23.6,23.25
2009-12-03,23.82,410000.0,23.82,23.31,23.0
2009-12-04,23.47,318100.0,23.98,23.85,23.3
2009-12-07,23.77,271500.0,23.77,23.63,23.28
2009-12-08,23.5,652900.0,23.75,23.63,23.0
2009-12-09,23.63,609400.0,24.12,24.0,23.5
2009-12-10,24.77,848400.0,24.77,23.7,23.39
2009-12-11,23.6,600300.0,23.74,23.34,23.113
2009-12-14,23.29,489100.0,23.33,22.8,22.75
2009-12-15,22.8,700100.0,22.89,22.69,22.52
2009-12-16,22.84,585400.0,23.05,22.73,22.55
2009-12-17,22.75,634000.0,22.75,22.44,22.08
2009-12-18,22.61,2105100.0,22.61,22.57,22.11
2009-12-21,22.5,536400.0,22.61,22.6,22.17
2009-12-22,22.58,766100.0,22.61,22.4,22.3
2009-12-23,23.22,1103000.0,23.25,22.41,22.4
2009-12-24,22.46,254300.0,22.5999,22.15,22.1
2009-12-28,22.15,804300.0,22.68,22.62,22.15
2009-12-29,22.69,123500.0,22.8,22.61,22.53
2009-12-30,22.52,173300.0,22.8,22.61,22.52
2009-12-31,22.8,156700.0,22.84,22.43,22.38
2010-01-04,22.55,437200.0,23.4,23.08,22.4
2010-01-05,23.0,283600.0,23.26,23.26,22.96
2010-01-06,23.6,968100.0,23.9,23.58,23.41
2010-01-07,23.55,360700.0,23.78,23.74,23.4
2010-01-08,23.64,967300.0,24.15,23.87,23.32
2010-01-11,23.85,253500.0,24.08,24.0,23.76
2010-01-12,23.85,517700.0,24.0,23.95,23.56
2010-01-13,23.95,596300.0,24.3981,24.3,23.81
2010-01-14,24.18,201500.0,24.2,24.2,23.925
2010-01-15,24.44,202100.0,24.5,24.36,24.1
2010-01-19,24.4,679300.0,24.9,24.55,24.2301
2010-01-20,24.51,589800.0,24.8,24.51,24.25
2010-01-21,24.53,203300.0,24.718,23.98,23.9001
2010-01-22,23.99,892700.0,24.04,23.34,22.77
2010-01-25,23.64,119500.0,23.64,23.35,23.06
2010-01-26,23.4,164800.0,23.68,23.53,23.32
2010-01-27,23.6,175300.0,23.6,23.55,23.37
2010-01-28,23.79,131400.0,24.12,23.84,23.39
2010-01-29,24.0,337800.0,24.0,23.49,23.23
2010-02-01,23.68,407500.0,23.68,23.37,23.13
2010-02-02,23.33,208300.0,23.72,23.63,23.19
2010-02-03,23.6,827700.0,23.86,23.84,23.41
2010-02-04,23.64,714000.0,23.75,22.47,22.35
2010-02-05,22.41,1137100.0,22.57,21.71,21.3
2010-02-08,21.88,208100.0,22.63,22.39,21.7601
2010-02-09,22.49,220700.0,22.76,22.56,22.27
2010-02-10,22.38,403900.0,22.38,22.05,21.87
2010-02-11,21.97,107600.0,22.1799,22.06,21.945
2010-02-12,21.91,125600.0,22.55,22.55,21.88
2010-02-16,22.65,248000.0,23.07,23.03,22.27
2010-02-17,23.04,189800.0,23.39,22.76,22.59
2010-02-18,22.64,121400.0,23.5,23.28,22.5
2010-02-19,23.29,187600.0,23.96,23.58,23.29
2010-02-22,23.5,155500.0,23.52,23.24,23.09
2010-02-23,23.2,134300.0,23.73,23.64,23.1
2010-02-24,23.81,208400.0,24.35,24.16,23.75
2010-02-25,23.82,258000.0,24.07,23.8,23.52
2010-02-26,23.91,265000.0,23.96,23.89,23.51
2010-03-01,24.01,271500.0,24.57,24.09,23.88
2010-03-02,24.13,279500.0,24.3,24.04,23.77
2010-03-03,24.0,114700.0,24.1076,23.99,23.82
2010-03-04,24.02,149900.0,24.4,24.2,23.99
2010-03-05,24.25,189900.0,24.74,24.52,24.18
2010-03-08,24.55,144800.0,24.88,24.67,24.51
2010-03-09,24.55,185200.0,25.24,25.12,24.5
2010-03-10,25.11,248200.0,25.18,25.06,24.91
2010-03-11,24.99,99800.0,25.19,25.11,24.81
2010-03-12,25.14,55300.0,25.25,25.13,24.98
2010-03-15,25.16,195600.0,25.25,25.03,24.87
2010-03-16,25.02,109300.0,25.2,25.12,24.86
2010-03-17,25.11,503500.0,26.51,25.82,24.94
2010-03-18,25.88,156700.0,25.9299,25.24,25.23
2010-03-19,25.29,741400.0,25.75,25.6,25.0
2010-03-22,25.56,234000.0,25.7155,25.01,24.95
2010-03-23,25.0,152500.0,25.25,25.18,24.9
2010-03-24,25.17,1307200.0,25.97,25.25,25.0
2010-03-25,25.44,367900.0,25.48,24.43,24.29
2010-03-26,24.59,793000.0,25.18,24.99,24.3465
2010-03-29,25.23,336700.0,25.6,25.35,25.16
2010-03-30,25.5,553100.0,25.91,25.79,25.2
2010-03-31,26.4,1212100.0,26.4,25.25,24.85
2010-04-01,25.35,1232200.0,25.8,25.52,25.29
2010-04-05,25.73,621500.0,25.8,25.8,25.39
2010-04-06,26.11,716600.0,27.01,27.01,26.08
2010-04-07,27.02,731700.0,27.1,26.55,26.43
2010-04-08,26.6,210300.0,26.76,26.51,26.23
2010-04-09,26.6,305300.0,26.64,26.47,26.25
2010-04-12,26.45,252100.0,26.58,26.24,26.18
2010-04-13,26.25,1792000.0,27.18,27.03,26.19
2010-04-14,27.15,1010100.0,27.86,27.52,26.69
2010-04-15,27.5,11184100.0,27.63,27.0,26.95
2010-04-16,27.0,3306900.0,28.88,28.6,27.0
2010-04-19,28.6,1889200.0,29.55,29.01,28.12
2010-04-20,29.25,1273300.0,29.25,28.25,28.08
2010-04-21,28.2,1229100.0,28.45,28.19,27.9
2010-04-22,28.01,1441400.0,29.62,29.53,28.0
2010-04-23,29.67,668300.0,29.69,29.38,29.17
2010-04-26,28.55,1181100.0,29.7,29.58,28.43
2010-04-27,29.34,952900.0,29.74,28.99,28.94
2010-04-28,29.03,795200.0,29.91,29.01,28.54
2010-04-29,29.06,830100.0,29.45,29.13,28.58
2010-04-30,29.13,879600.0,29.24,28.57,28.32
2010-05-03,28.59,424200.0,29.29,29.02,28.43
2010-05-04,28.55,754800.0,28.93,28.64,27.87
2010-05-05,28.29,556000.0,28.76,28.52,28.14
2010-05-06,28.35,1625600.0,29.05,27.91,27.59
2010-05-07,27.9,1395700.0,28.13,27.19,26.74
2010-05-10,27.9,1048200.0,28.65,27.72,27.32
2010-05-11,27.31,686400.0,28.36,27.98,27.31
2010-05-12,28.28,1070400.0,29.48,29.36,28.14
2010-05-13,29.36,1661400.0,29.94,29.44,28.98
2010-05-14,29.39,2256400.0,29.725,29.27,29.01
2010-05-17,29.36,1259900.0,30.0,29.45,29.06
2010-05-18,29.71,763100.0,29.96,29.29,29.06
2010-05-19,29.24,949400.0,30.2,29.7,29.13
2010-05-20,29.31,969900.0,29.56,29.03,28.91
2010-05-21,28.74,1039500.0,29.83,29.55,28.63
2010-05-24,29.6,1703300.0,30.34,30.01,29.54
2010-05-25,29.38,1768800.0,30.64,30.61,29.225
2010-05-26,31.0,4955600.0,31.38,30.44,30.22
2010-05-27,31.07,1256000.0,31.21,30.64,30.36
2010-05-28,30.46,968700.0,30.82,30.23,30.14
2010-06-01,30.23,667200.0,30.98,30.54,30.08
2010-06-02,30.84,1251100.0,31.36,31.36,30.61
2010-06-03,31.06,773600.0,31.4099,30.7,30.29
2010-06-04,30.25,895800.0,30.5,30.04,29.58
2010-06-07,30.19,1242800.0,30.5,29.23,28.84
2010-06-08,30.35,3250900.0,30.35,29.83,29.25
2010-06-09,30.19,1581400.0,30.45,30.0,29.85
2010-06-10,30.95,1345000.0,31.23,29.98,29.66
2010-06-11,29.69,485700.0,30.01,29.97,29.41
2010-06-14,30.175,2304900.0,30.66,30.22,29.9
2010-06-15,30.19,1501100.0,30.5,30.0,29.49
2010-06-16,29.98,1516800.0,30.53,30.3,29.886
2010-06-17,30.26,909600.0,30.49,29.9,29.5
2010-06-18,29.71,739300.0,30.29,30.15,29.68
