date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,17.38,183200.0,17.38,17.06,17.0
1998-01-05,17.06,258800.0,17.06,16.75,16.56
1998-01-06,16.88,872833.0,17.31,17.31,16.88
1998-01-07,17.5,810833.0,18.06,17.81,17.5
1998-01-08,17.88,387067.0,18.31,18.06,17.75
1998-01-09,18.06,221200.0,18.19,17.56,17.31
1998-01-12,17.56,407633.0,18.19,18.19,17.25
1998-01-13,18.25,804967.0,18.88,18.88,18.25
1998-01-14,18.87,1277867.0,19.38,19.38,18.87
1998-01-15,19.5,889233.0,19.88,19.38,19.38
1998-01-16,19.44,585367.0,19.56,19.5,19.38
1998-01-20,19.94,1043867.0,20.25,20.25,19.81
1998-01-21,20.25,830800.0,20.25,20.06,19.94
1998-01-22,20.0,313867.0,20.13,20.06,19.94
1998-01-23,20.06,822433.0,20.13,19.88,19.81
1998-01-26,19.81,332433.0,19.88,19.81,19.63
1998-01-27,19.75,734033.0,19.75,19.63,19.56
1998-01-28,19.63,328400.0,19.88,19.81,19.63
1998-01-29,19.75,663767.0,20.13,20.0,19.69
1998-01-30,20.06,186167.0,20.06,19.75,19.75
1998-02-02,19.81,586433.0,20.13,20.06,19.69
1998-02-03,20.0,704800.0,20.88,20.44,19.94
1998-02-04,20.5,733233.0,21.19,20.94,20.31
1998-02-05,21.19,698000.0,21.63,21.5,20.19
1998-02-06,21.56,241600.0,21.56,21.25,21.0
1998-02-09,21.44,194800.0,21.88,21.44,21.38
1998-02-10,21.44,276667.0,21.81,21.81,21.0
1998-02-11,21.81,353867.0,21.81,21.63,21.31
1998-02-12,21.56,300167.0,22.0,21.81,21.06
1998-02-13,21.81,237467.0,21.88,21.81,21.31
1998-02-17,21.88,218000.0,22.31,22.25,21.88
1998-02-18,22.38,432033.0,22.88,22.88,22.13
1998-02-19,22.75,328567.0,22.81,22.75,22.25
1998-02-20,22.5,303600.0,22.5,22.5,22.19
1998-02-23,22.5,418400.0,22.94,22.88,22.13
1998-02-24,22.94,390033.0,23.13,22.81,22.5
1998-02-25,22.81,176033.0,22.81,22.5,22.38
1998-02-26,22.5,267200.0,22.69,22.69,22.38
1998-02-27,22.69,526400.0,23.63,23.31,22.06
1998-03-02,23.31,152967.0,23.31,23.0,22.94
1998-03-03,23.0,153200.0,23.0,23.0,22.75
1998-03-04,23.0,523233.0,23.19,23.19,22.81
1998-03-05,23.06,252400.0,23.13,23.06,23.0
1998-03-06,23.06,437467.0,23.06,22.94,22.75
1998-03-09,22.81,175600.0,22.88,22.69,22.69
1998-03-10,22.75,306567.0,22.75,22.44,22.31
1998-03-11,22.38,120567.0,22.38,22.25,22.13
1998-03-12,22.19,341067.0,23.0,23.0,22.19
1998-03-13,23.13,161633.0,23.13,23.0,22.94
1998-03-16,23.06,189200.0,23.44,23.44,23.06
1998-03-17,23.44,165767.0,23.56,23.25,23.19
1998-03-18,23.25,178400.0,23.31,22.94,22.88
1998-03-19,22.94,275767.0,22.94,22.31,22.06
1998-03-20,22.31,185767.0,22.31,22.0,21.94
1998-03-23,21.88,343367.0,21.88,21.13,20.81
1998-03-24,21.13,128967.0,21.13,21.0,20.63
1998-03-25,20.94,200433.0,21.19,21.13,20.88
1998-03-26,21.19,354567.0,21.81,21.81,21.19
