date,1. open,5. volume,2. high,4. close,3. low
2005-07-08,15.5,4067600.0,15.75,15.3,14.75
2005-07-11,15.3,1382400.0,15.45,15.35,15.1
2005-07-12,15.7,1230200.0,16.3,16.15,15.6
2005-07-13,16.25,1233900.0,16.25,15.9,15.9
2005-07-14,16.0,2311600.0,16.0,15.9,15.8
2005-07-15,15.8,1099600.0,15.85,15.7,15.5
2005-07-18,15.55,3226300.0,15.55,14.9,14.85
2005-07-19,14.95,4084800.0,15.0,14.94,14.9
2005-07-20,14.95,3596000.0,14.95,14.85,14.85
2005-07-21,14.5,35754800.0,15.1,15.09,14.2
2005-07-22,15.05,30231100.0,15.25,14.99,14.9
2005-07-25,14.99,21772800.0,15.0,14.05,13.98
2005-07-26,14.05,20022300.0,14.1,14.0,13.74
2005-07-27,13.95,22497700.0,14.32,14.0,13.87
2005-07-28,14.0,18940200.0,14.38,14.25,13.97
2005-07-29,14.25,4637900.0,14.32,14.27,13.99
2005-08-01,14.16,5177400.0,14.4,14.04,13.99
2005-08-02,13.92,13416000.0,14.03,13.98,13.51
2005-08-03,13.8,5212900.0,14.23,14.23,13.69
2005-08-04,13.91,7530700.0,14.25,14.16,13.89
2005-08-05,14.06,6118800.0,14.16,14.1,13.9
2005-08-08,13.9,3862300.0,14.2,14.05,13.85
2005-08-09,14.06,6048500.0,14.08,13.97,13.86
2005-08-10,13.95,18739600.0,14.18,14.11,13.93
2005-08-11,14.28,20197200.0,15.02,14.59,14.28
2005-08-12,14.66,10717900.0,14.78,14.69,14.5
2005-08-15,14.66,9547000.0,15.3,15.14,14.6
2005-08-16,15.3,10397300.0,15.76,15.2,15.02
2005-08-17,15.25,5430100.0,15.34,15.1,15.06
2005-08-18,15.03,2128800.0,15.12,15.02,14.96
2005-08-19,15.0,3334300.0,15.34,15.21,15.0
2005-08-22,15.17,2465800.0,15.65,15.5,15.17
2005-08-23,15.65,3480500.0,15.9,15.68,15.38
2005-08-24,15.52,3172100.0,16.05,15.83,15.52
2005-08-25,15.9,1850000.0,15.9,15.75,15.34
2005-08-26,15.78,2740600.0,15.89,15.58,15.15
2005-08-29,15.5,1647400.0,15.62,15.38,15.24
2005-08-30,15.1,4993100.0,15.5,15.32,15.0
2005-08-31,15.39,3908900.0,15.39,15.14,15.05
2005-09-01,15.05,3671100.0,15.17,15.16,14.99
2005-09-02,15.02,2594600.0,15.15,15.15,14.92
2005-09-06,15.05,3185200.0,15.25,15.21,15.05
