date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,17.0,165100.0,17.5,17.25,16.75
1998-01-05,17.63,266000.0,17.63,17.0,16.75
1998-01-06,17.13,137700.0,17.38,17.25,16.88
1998-01-07,17.13,316700.0,17.75,17.75,17.13
1998-01-08,17.75,104400.0,17.75,17.63,17.38
1998-01-09,17.63,178800.0,17.63,17.25,16.88
1998-01-12,17.38,243600.0,17.38,16.88,16.13
1998-01-13,16.88,191400.0,17.5,17.5,16.88
1998-01-14,17.63,178600.0,17.75,17.63,17.38
1998-01-15,17.63,55500.0,17.63,17.13,17.0
1998-01-16,17.25,65600.0,17.75,17.5,17.13
1998-01-20,17.75,213100.0,18.25,18.13,17.13
1998-01-21,18.0,243700.0,19.13,18.5,17.75
1998-01-22,18.5,69700.0,18.5,18.0,18.0
1998-01-23,17.88,155300.0,18.5,17.75,17.75
1998-01-26,17.63,47600.0,17.88,17.38,17.38
1998-01-27,17.25,52500.0,17.88,17.0,16.88
1998-01-28,17.25,54800.0,17.38,17.13,17.0
1998-01-29,17.25,92700.0,17.25,17.0,16.75
1998-01-30,17.13,90900.0,17.13,16.63,16.5
1998-02-02,16.5,75600.0,17.0,16.63,16.5
1998-02-03,16.75,414800.0,17.25,16.88,16.25
1998-02-04,17.0,54800.0,17.0,16.81,16.75
1998-02-05,17.0,431800.0,17.0,16.88,16.75
1998-02-06,17.0,149800.0,17.25,17.0,16.75
1998-02-09,17.25,278700.0,18.0,17.44,16.88
1998-02-10,18.0,175900.0,18.0,17.5,17.13
1998-02-11,17.13,192600.0,17.94,17.38,17.13
1998-02-12,17.5,172700.0,17.94,17.5,17.38
1998-02-13,18.0,221200.0,18.5,18.38,17.5
1998-02-17,18.63,117600.0,18.75,18.63,18.38
1998-02-18,18.63,122400.0,18.75,18.5,18.38
1998-02-19,18.75,100800.0,18.88,18.75,18.5
1998-02-20,19.63,263700.0,19.75,19.13,18.88
1998-02-23,19.75,279900.0,19.75,19.5,19.13
1998-02-24,19.81,195100.0,20.0,20.0,19.63
1998-02-25,20.13,354700.0,21.38,20.75,20.0
1998-02-26,21.0,161300.0,21.13,20.63,20.63
1998-02-27,20.63,232500.0,21.13,21.0,20.38
1998-03-02,21.25,222900.0,21.56,21.5,20.75
1998-03-03,21.38,211500.0,21.5,20.75,19.75
1998-03-04,20.38,85200.0,20.75,20.31,20.0
1998-03-05,20.25,72100.0,20.75,20.13,19.75
1998-03-06,20.38,317200.0,20.63,20.13,19.5
1998-03-09,20.0,351300.0,21.0,20.75,20.0
1998-03-10,20.63,61300.0,21.25,21.25,20.63
1998-03-11,21.25,144100.0,21.63,21.44,20.88
1998-03-12,21.0,166500.0,22.0,21.88,21.0
1998-03-13,22.0,189900.0,22.94,22.88,21.63
1998-03-16,23.0,173200.0,23.25,22.63,22.56
1998-03-17,22.56,167900.0,22.63,21.13,21.13
1998-03-18,21.25,226900.0,21.25,21.0,20.25
1998-03-19,21.13,80000.0,21.25,20.63,20.63
1998-03-20,20.5,957900.0,24.5,23.13,20.5
1998-03-23,23.0,283400.0,23.25,22.13,22.0
1998-03-24,22.5,190200.0,23.0,22.63,22.25
1998-03-25,23.0,277300.0,23.63,22.56,22.38
1998-03-26,22.56,150900.0,22.56,22.38,22.13
1998-03-27,22.38,113300.0,22.75,21.88,21.75
1998-03-30,21.63,198400.0,22.06,22.0,21.5
1998-03-31,22.0,96900.0,22.13,22.0,21.81
1998-04-01,22.5,655600.0,24.5,24.0,22.25
1998-04-02,24.25,310100.0,24.25,24.0,23.63
1998-04-03,23.88,239800.0,23.88,23.13,22.75
1998-04-06,23.13,79200.0,23.44,23.0,22.63
1998-04-07,22.5,146500.0,23.13,22.5,22.0
1998-04-08,22.75,153400.0,23.38,23.0,22.38
1998-04-09,23.5,216300.0,24.0,23.25,23.13
1998-04-13,23.38,212300.0,24.13,23.94,23.25
1998-04-14,24.38,1096600.0,27.38,26.0,24.38
1998-04-15,26.5,375800.0,27.13,27.13,26.0
1998-04-16,26.88,222500.0,27.88,27.0,26.63
1998-04-17,27.0,173700.0,27.0,25.63,25.0
1998-04-20,25.25,378800.0,26.5,26.25,25.25
1998-04-21,26.13,203800.0,26.38,26.13,26.0
1998-04-22,24.63,200800.0,26.38,24.63,24.56
1998-04-23,25.0,180900.0,25.0,24.88,24.5
1998-04-24,25.0,177800.0,25.13,24.88,24.25
1998-04-27,24.13,198100.0,24.5,24.5,22.75
1998-04-28,25.0,239100.0,26.55,26.0,24.88
1998-04-29,26.0,143200.0,26.63,26.5,25.88
1998-04-30,26.75,200500.0,27.0,26.31,26.0
1998-05-01,26.13,100700.0,26.63,26.25,26.0
1998-05-04,26.0,150500.0,26.5,25.25,25.25
1998-05-05,25.38,50900.0,25.81,24.75,24.63
1998-05-06,25.0,138200.0,26.23,25.75,24.5
1998-05-07,25.63,53400.0,26.25,26.13,25.38
1998-05-08,26.0,317200.0,27.0,27.0,26.0
1998-05-11,27.0,110900.0,27.06,26.63,26.5
1998-05-12,26.88,448500.0,27.63,27.5,26.5
1998-05-13,28.88,1141400.0,31.0,31.0,28.75
1998-05-14,31.0,563900.0,31.0,29.81,29.81
1998-05-15,30.19,505600.0,30.94,29.88,29.75
1998-05-18,29.63,345600.0,29.88,27.56,26.81
1998-05-19,27.94,286400.0,29.0,27.06,26.94
1998-05-20,27.25,495700.0,27.5,27.5,26.62
1998-05-21,27.63,267000.0,28.13,27.5,27.25
1998-05-22,27.63,175700.0,28.0,27.0,26.88
1998-05-26,26.88,144800.0,27.0,25.06,25.06
1998-05-27,25.0,209400.0,25.25,25.0,23.63
1998-05-28,24.88,486700.0,26.5,26.13,24.75
1998-05-29,26.0,109100.0,26.25,25.44,25.38
1998-06-01,25.13,124600.0,25.19,25.06,24.88
