date,1. open,5. volume,2. high,4. close,3. low
2004-10-29,12.0,5951800.0,12.01,12.0,12.0
2004-11-01,12.0,764400.0,12.01,12.0,12.0
2004-11-02,12.0,950100.0,12.01,12.0,12.0
2004-11-03,12.02,433600.0,12.2,12.15,12.01
2004-11-04,12.18,311200.0,12.18,12.06,12.05
2004-11-05,12.05,391800.0,12.1,12.08,12.0
2004-11-08,12.13,91100.0,12.13,12.01,12.0
2004-11-09,12.0,97600.0,12.06,12.01,12.0
2004-11-10,12.0,177500.0,12.04,12.01,12.0
2004-11-11,12.0,92700.0,12.02,12.02,12.0
2004-11-12,12.01,354900.0,12.38,12.29,12.01
2004-11-15,12.32,268100.0,12.45,12.39,12.2
2004-11-16,12.49,252500.0,12.65,12.5,12.31
2004-11-17,12.55,425000.0,12.6,12.51,12.35
2004-11-18,12.5,179700.0,12.74,12.72,12.5
2004-11-19,12.72,202600.0,12.74,12.71,12.5
2004-11-22,12.61,105200.0,12.73,12.63,12.51
2004-11-23,12.55,204200.0,12.95,12.8,12.52
2004-11-24,12.75,141700.0,12.95,12.79,12.7
2004-11-26,12.4,42900.0,12.78,12.65,12.4
2004-11-29,12.65,174200.0,12.75,12.68,12.55
2004-11-30,12.66,148800.0,12.85,12.76,12.65
2004-12-01,12.66,162500.0,13.17,13.15,12.66
2004-12-02,13.05,212800.0,13.07,12.95,12.78
2004-12-03,12.9,138300.0,13.2,13.15,12.9
2004-12-06,13.16,126600.0,13.19,13.12,13.05
2004-12-07,13.06,116200.0,13.2,13.0,13.0
2004-12-08,12.8,112300.0,13.0,12.86,12.7
2004-12-09,12.86,139200.0,12.95,12.85,12.5
2004-12-10,12.75,186000.0,13.05,12.97,12.55
2004-12-13,12.87,215700.0,13.04,12.91,12.7
2004-12-14,12.81,169400.0,13.1,12.9,12.79
2004-12-15,13.0,200300.0,13.14,13.05,12.89
2004-12-16,13.03,230000.0,13.09,13.05,12.93
2004-12-17,13.05,887700.0,13.55,13.4,12.94
2004-12-20,13.5,222800.0,13.5,13.34,13.0
2004-12-21,13.4,82700.0,13.5,13.45,13.29
2004-12-22,13.4,194000.0,13.7,13.7,13.21
2004-12-23,13.7,107900.0,14.1,13.94,13.65
2004-12-27,14.0,112500.0,14.04,13.6,13.52
2004-12-28,13.68,111100.0,13.77,13.53,13.47
2004-12-29,12.95,109400.0,13.47,13.28,12.95
2004-12-30,13.33,48900.0,13.57,13.3,13.2
2004-12-31,13.29,55500.0,13.69,13.47,13.29
2005-01-03,13.54,189100.0,13.6,13.59,13.39
2005-01-04,13.61,154400.0,13.77,13.65,13.55
2005-01-05,13.6,302600.0,13.66,13.2,12.5
2005-01-06,13.1,93300.0,13.65,13.39,13.0
2005-01-07,13.42,124300.0,13.42,13.26,13.08
2005-01-10,13.2,79800.0,13.74,13.3,13.1
2005-01-11,13.3,136400.0,13.53,13.26,13.05
2005-01-12,13.27,111600.0,13.4,13.3,13.2
2005-01-13,13.3,77500.0,13.6,13.37,13.28
2005-01-14,13.38,28100.0,13.77,13.59,13.38
2005-01-18,13.49,185900.0,13.8,13.7,13.23
2005-01-19,13.7,233600.0,13.87,13.65,13.5
2005-01-20,13.6,42100.0,13.65,13.56,13.4
2005-01-21,13.6,51400.0,13.64,13.6,13.46
2005-01-24,13.7,48000.0,13.75,13.52,13.45
2005-01-25,13.5,61100.0,13.66,13.5,13.5
2005-01-26,13.55,105300.0,13.84,13.71,13.55
2005-01-27,13.63,106000.0,13.8,13.7,13.57
2005-01-28,13.7,48100.0,13.83,13.8,13.65
2005-01-31,13.85,64800.0,14.0,13.8,13.79
2005-02-01,13.75,102900.0,13.83,13.8,13.6
2005-02-02,13.85,118100.0,14.03,13.95,13.84
2005-02-03,13.97,51200.0,14.05,13.98,13.85
2005-02-04,13.98,122900.0,14.05,13.96,13.93
2005-02-07,13.9,48300.0,14.15,14.05,13.9
2005-02-08,13.95,251800.0,14.09,14.0,13.93
2005-02-09,14.02,122000.0,14.05,13.85,13.84
2005-02-10,13.9,75400.0,14.22,14.11,13.9
2005-02-11,14.05,125800.0,14.6,14.56,14.0
2005-02-14,14.6,120600.0,14.63,14.5,14.4
2005-02-15,14.51,89700.0,14.61,14.47,14.3
2005-02-16,14.4,115600.0,14.55,14.5,14.4
2005-02-17,14.45,70000.0,14.45,14.0,13.96
2005-02-18,14.05,78800.0,14.1,14.0,13.92
2005-02-22,13.95,47100.0,13.99,13.88,13.7
2005-02-23,13.88,55400.0,13.95,13.85,13.8
2005-02-24,13.9,25100.0,14.0,13.98,13.73
2005-02-25,14.0,54000.0,14.07,14.05,14.0
2005-02-28,14.0,66600.0,14.45,14.33,14.0
2005-03-01,14.35,129900.0,14.35,14.25,13.74
2005-03-02,14.2,57100.0,14.67,14.5,14.2
2005-03-03,14.55,21300.0,14.75,14.41,14.3
2005-03-04,14.45,181100.0,14.65,14.49,14.4
2005-03-07,14.5,43300.0,14.7,14.52,14.45
2005-03-08,14.55,16200.0,14.55,14.25,14.24
2005-03-09,14.15,46300.0,14.38,14.26,14.0
2005-03-10,14.25,61900.0,14.4,14.31,14.2
2005-03-11,14.16,204300.0,14.21,13.98,13.92
2005-03-14,14.03,23900.0,14.64,14.64,13.98
2005-03-15,14.68,111600.0,14.81,14.17,13.98
2005-03-16,14.22,70400.0,14.22,14.0,13.96
2005-03-17,14.05,32200.0,14.05,13.97,13.95
2005-03-18,14.05,100100.0,14.1,14.1,13.91
2005-03-21,14.25,112500.0,14.3,14.14,13.89
2005-03-22,14.1,142000.0,14.15,13.91,13.75
2005-03-23,13.91,60700.0,14.25,14.25,13.78
2005-03-24,14.29,78200.0,14.71,14.51,14.29
2005-03-28,14.41,44300.0,14.55,14.51,14.32
2005-03-29,14.52,52200.0,14.6,14.5,14.43
2005-03-30,14.6,62100.0,14.68,14.68,14.14
2005-03-31,14.67,41100.0,14.73,14.37,14.24
2005-04-01,14.47,88600.0,14.51,14.31,14.15
2005-04-04,14.35,68300.0,14.38,14.32,13.86
2005-04-05,14.32,127700.0,14.33,14.16,14.06
2005-04-06,14.25,65100.0,14.6,14.6,14.2
2005-04-07,14.51,25200.0,14.59,14.43,14.27
2005-04-08,14.53,46700.0,14.53,14.02,14.02
2005-04-11,14.07,67100.0,14.12,13.95,13.9
2005-04-12,13.96,49000.0,14.4,14.4,13.67
2005-04-13,14.35,39600.0,14.35,14.15,13.8
2005-04-14,14.17,39100.0,14.31,13.9,13.9
2005-04-15,13.9,64900.0,14.0,13.83,13.82
2005-04-18,13.88,88300.0,14.0,13.84,13.76
2005-04-19,13.9,70600.0,14.18,14.0,13.9
2005-04-20,13.96,98700.0,14.0,13.98,13.85
2005-04-21,14.0,106300.0,14.25,14.25,13.9
2005-04-22,14.1,77200.0,14.1,14.0,13.85
2005-04-25,14.05,212000.0,14.23,14.12,13.93
2005-04-26,14.07,39200.0,14.15,14.02,13.9
2005-04-27,14.0,73400.0,14.23,14.16,13.97
2005-04-28,14.13,39900.0,14.35,14.1,14.0
2005-04-29,14.2,100200.0,14.35,14.27,13.99
2005-05-02,14.32,72300.0,14.46,14.39,14.32
2005-05-03,14.32,37200.0,14.58,14.58,14.32
2005-05-04,14.58,216800.0,14.94,14.89,14.5
2005-05-05,14.95,61600.0,15.13,14.9,14.83
2005-05-06,14.95,39700.0,15.09,14.66,14.4
2005-05-09,14.62,14600.0,14.98,14.98,14.59
2005-05-10,15.03,69000.0,15.03,14.88,14.43
2005-05-11,14.88,31500.0,14.88,14.6,14.49
2005-05-12,14.55,74400.0,14.6,14.5,14.34
2005-05-13,14.5,80700.0,14.5,14.32,14.2
2005-05-16,14.32,83800.0,14.7,14.56,13.8
2005-05-17,14.75,150000.0,14.75,14.47,14.37
2005-05-18,14.52,117300.0,14.75,14.6,14.5
2005-05-19,14.65,82100.0,14.75,14.71,14.65
2005-05-20,14.75,47100.0,15.01,14.99,14.7
2005-05-23,14.99,72200.0,15.44,15.23,14.92
2005-05-24,15.13,160200.0,15.23,15.06,14.92
2005-05-25,15.02,33300.0,15.18,15.01,14.95
2005-05-26,15.1,45400.0,15.15,15.06,15.03
2005-05-27,15.09,47000.0,15.19,15.13,15.0
2005-05-31,15.2,24600.0,15.2,15.0,14.85
2005-06-01,15.0,44700.0,15.0,15.0,15.0
2005-06-02,15.05,38100.0,15.3,15.16,14.9
2005-06-03,15.25,43700.0,15.41,15.17,15.04
2005-06-06,15.22,83500.0,15.38,15.2,14.98
2005-06-07,15.26,90500.0,15.35,15.24,15.09
2005-06-08,15.35,74000.0,15.9,15.78,15.35
2005-06-09,15.75,148000.0,16.07,16.0,15.45
2005-06-10,16.0,180700.0,16.16,16.02,15.95
2005-06-13,15.77,220700.0,15.99,15.65,15.14
2005-06-14,15.56,62000.0,16.0,15.73,15.51
2005-06-15,15.83,108800.0,16.25,16.25,15.8
2005-06-16,16.2,70600.0,16.54,16.28,16.13
2005-06-17,16.26,189100.0,16.27,16.1,15.9
2005-06-20,16.05,27600.0,16.12,16.0,15.89
2005-06-21,15.91,131900.0,16.7,16.38,15.91
2005-06-22,16.51,85500.0,16.7,16.3,16.26
2005-06-23,16.3,230100.0,17.14,16.53,16.26
2005-06-24,16.51,440800.0,17.2,17.13,16.43
2005-06-27,17.3,104600.0,17.49,16.7,16.7
2005-06-28,16.77,45900.0,17.23,17.0,16.77
2005-06-29,16.9,23800.0,17.25,17.21,16.84
2005-06-30,17.26,25800.0,17.49,17.38,17.25
2005-07-01,17.35,37000.0,18.14,17.75,17.29
2005-07-05,17.75,43600.0,17.98,17.65,17.55
2005-07-06,17.6,75600.0,17.85,17.52,17.52
2005-07-07,17.3,21600.0,17.57,17.47,17.15
2005-07-08,17.49,34800.0,18.0,17.85,17.31
2005-07-11,17.94,59100.0,18.08,17.89,17.73
2005-07-12,17.93,94300.0,18.43,18.03,17.93
2005-07-13,18.01,32600.0,18.1,17.98,17.93
2005-07-14,17.84,260500.0,17.89,17.61,17.45
2005-07-15,17.58,689800.0,17.58,17.24,17.03
2005-07-18,17.24,62100.0,17.62,17.3,17.1
2005-07-19,17.35,39100.0,17.55,17.46,17.3
2005-07-20,17.41,403400.0,18.05,17.8,17.41
2005-07-21,18.15,1892600.0,18.4,18.2,18.0
2005-07-22,18.23,711700.0,18.29,18.21,18.1
2005-07-25,18.05,475300.0,18.47,18.43,18.0
2005-07-26,18.47,422500.0,18.6,18.53,18.21
2005-07-27,18.6,483700.0,18.65,18.55,18.29
2005-07-28,18.46,191700.0,18.93,18.92,18.3
2005-07-29,18.92,297300.0,19.02,18.94,18.77
2005-08-01,18.94,537000.0,19.1,19.05,18.83
2005-08-02,19.03,172100.0,19.11,19.09,18.966
2005-08-03,19.06,107500.0,19.58,19.51,19.03
2005-08-04,19.51,207000.0,19.51,19.16,19.06
2005-08-05,19.06,299100.0,19.19,19.05,19.0
2005-08-08,19.0,541200.0,19.05,18.65,18.6
2005-08-09,18.65,613700.0,18.75,18.75,18.15
2005-08-10,18.75,369100.0,18.75,18.65,18.42
2005-08-11,18.6,425600.0,18.89,18.73,18.5
