date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,35.88,183400.0,36.31,35.88,35.75
1998-01-05,36.25,315200.0,36.44,36.06,35.69
1998-01-06,35.88,297800.0,36.19,36.06,35.69
1998-01-07,35.88,474600.0,35.94,35.25,35.06
1998-01-08,35.25,545300.0,35.25,34.88,34.38
1998-01-09,34.69,407500.0,34.94,34.06,34.0
1998-01-12,33.5,782800.0,34.56,34.25,33.06
1998-01-13,34.19,347200.0,34.25,34.06,33.81
1998-01-14,34.06,654300.0,35.63,35.25,33.69
1998-01-15,35.13,455700.0,35.19,34.75,34.37
1998-01-16,35.0,632300.0,35.06,34.5,34.5
1998-01-20,34.0,680200.0,35.31,35.31,33.13
1998-01-21,35.19,352800.0,35.63,35.38,34.88
1998-01-22,35.25,456200.0,35.25,33.81,33.63
1998-01-23,34.0,372700.0,34.69,34.13,33.88
1998-01-26,34.13,216900.0,34.38,33.75,33.38
1998-01-27,33.94,714200.0,34.5,33.0,32.5
1998-01-28,33.19,766300.0,33.5,33.31,33.0
1998-01-29,33.19,700800.0,34.56,34.44,33.0
1998-01-30,34.5,889500.0,35.06,34.06,33.81
1998-02-02,34.75,631600.0,35.69,35.38,34.75
1998-02-03,35.75,499100.0,35.75,35.31,34.75
1998-02-04,35.31,395600.0,35.38,35.19,34.63
1998-02-05,35.06,598500.0,35.25,35.06,34.75
1998-02-06,35.19,518500.0,35.63,35.19,35.06
1998-02-09,35.25,396800.0,35.88,35.88,35.25
1998-02-10,35.75,1062600.0,37.5,37.38,35.75
1998-02-11,37.31,289500.0,37.31,36.63,36.25
1998-02-12,36.38,668000.0,36.63,36.5,35.63
1998-02-13,36.25,247100.0,36.94,36.31,36.19
1998-02-17,36.56,251400.0,37.19,36.19,36.13
1998-02-18,36.31,351900.0,38.0,37.69,36.19
1998-02-19,37.44,301900.0,37.94,37.69,37.31
1998-02-20,37.94,373100.0,37.94,37.31,37.13
1998-02-23,37.38,350800.0,37.75,37.0,36.81
1998-02-24,37.0,427000.0,37.75,36.94,36.69
1998-02-25,36.69,316900.0,37.75,37.5,36.69
1998-02-26,37.56,436400.0,39.19,39.19,37.5
1998-02-27,39.06,452400.0,39.19,38.63,38.0
1998-03-02,38.56,294100.0,38.63,38.19,38.0
1998-03-03,38.0,447800.0,38.38,38.19,37.75
1998-03-04,38.31,411100.0,38.63,38.44,37.75
1998-03-05,37.5,683200.0,38.31,38.31,37.38
1998-03-06,38.44,817900.0,39.69,39.44,38.44
1998-03-09,39.38,446500.0,39.63,38.69,38.63
1998-03-10,38.75,166500.0,39.38,39.0,38.75
1998-03-11,39.0,402300.0,39.0,38.5,38.31
1998-03-12,37.25,1037600.0,37.94,37.5,36.44
1998-03-13,37.38,548200.0,39.0,38.06,37.38
1998-03-16,38.31,371500.0,38.31,38.13,38.0
1998-03-17,38.0,584300.0,38.13,37.88,37.0
1998-03-18,37.88,463500.0,37.88,37.69,37.25
1998-03-19,37.63,494100.0,38.25,37.88,37.44
1998-03-20,38.38,381300.0,38.5,38.25,37.94
1998-03-23,38.13,291700.0,38.38,38.19,37.94
1998-03-24,38.19,852700.0,38.5,38.13,37.88
1998-03-25,38.5,371600.0,38.63,38.13,37.75
1998-03-26,38.31,417000.0,38.31,37.75,37.63
1998-03-27,37.69,540600.0,38.0,37.63,37.56
1998-03-30,37.38,413600.0,37.81,37.69,37.25
1998-03-31,37.63,460000.0,38.06,38.0,37.44
1998-04-01,37.75,837100.0,37.88,37.69,36.63
1998-04-02,37.75,588400.0,38.13,38.13,37.38
1998-04-03,37.94,558300.0,38.0,37.5,37.06
1998-04-06,37.38,748900.0,37.38,37.06,36.81
1998-04-07,37.13,600000.0,37.13,36.81,36.44
1998-04-08,36.69,918900.0,37.0,36.75,35.88
1998-04-09,36.75,653100.0,36.75,36.0,35.75
