date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,38.5,25800.0,38.5,38.38,38.25
1998-01-05,38.0,35300.0,38.06,36.94,36.88
1998-01-06,36.75,122600.0,37.94,37.94,36.25
1998-01-07,38.13,76300.0,38.19,35.38,35.31
1998-01-08,35.13,160600.0,35.13,34.0,34.0
1998-01-09,34.0,38400.0,34.13,33.38,33.38
1998-01-12,33.13,123000.0,33.38,33.0,32.88
1998-01-13,33.06,259000.0,33.69,33.63,33.0
1998-01-14,33.56,114400.0,34.25,34.19,33.38
1998-01-15,34.0,66700.0,34.38,33.94,33.5
1998-01-16,34.19,90100.0,35.5,35.25,34.19
1998-01-20,36.0,139000.0,37.94,37.94,35.88
1998-01-21,37.75,80500.0,37.75,36.75,36.56
1998-01-22,36.75,172500.0,36.75,35.63,35.5
1998-01-23,35.59,13900.0,35.63,35.63,35.56
1998-01-26,35.63,141800.0,35.81,35.66,35.56
1998-01-27,35.88,93900.0,35.88,34.81,34.75
1998-01-28,34.75,70400.0,35.25,35.06,34.69
1998-01-29,34.81,48300.0,36.25,35.88,34.81
1998-01-30,35.63,47100.0,35.69,34.88,34.88
1998-02-02,35.0,89200.0,35.0,34.56,34.5
1998-02-03,34.56,78100.0,34.81,34.69,34.5
1998-02-04,34.44,86200.0,34.75,34.38,34.31
1998-02-05,34.0,324500.0,34.88,34.0,34.0
1998-02-06,34.0,87800.0,34.63,34.44,33.88
1998-02-09,34.44,65900.0,34.94,34.88,34.13
1998-02-10,34.88,93500.0,35.75,35.75,34.88
1998-02-11,35.5,82500.0,36.0,34.75,34.75
1998-02-12,34.5,59100.0,34.75,34.69,33.75
1998-02-13,34.88,55500.0,35.13,34.75,34.5
1998-02-17,34.5,116100.0,34.75,33.63,33.38
1998-02-18,33.75,117200.0,33.88,33.75,33.5
1998-02-19,33.94,79800.0,34.0,34.0,33.75
1998-02-20,33.88,87300.0,34.0,34.0,33.75
1998-02-23,34.0,60500.0,34.0,33.69,33.63
1998-02-24,33.63,44700.0,33.88,33.63,33.56
1998-02-25,33.5,51200.0,33.63,33.56,33.38
1998-02-26,33.38,112800.0,34.69,34.69,33.25
1998-02-27,34.75,29600.0,34.75,34.13,34.0
1998-03-02,34.25,76400.0,34.75,34.75,34.13
1998-03-03,34.56,88000.0,35.44,35.44,34.56
1998-03-04,35.5,31700.0,35.69,35.25,34.94
1998-03-05,35.0,24900.0,35.25,34.5,34.38
1998-03-06,34.25,35500.0,34.5,34.19,34.13
1998-03-09,34.0,151000.0,34.69,34.69,33.75
1998-03-10,34.94,116400.0,36.25,36.25,34.88
1998-03-11,36.0,68800.0,36.63,36.5,35.75
