date,1. open,5. volume,2. high,4. close,3. low
2017-02-01,62.38,14632.0,62.83,62.25,61.69
2017-02-02,62.04,14242.0,63.08,62.95,61.6
2017-02-03,65.45,86383.0,70.47,69.95,65.01
2017-02-06,69.95,44191.0,71.5,71.38,69.81
2017-02-07,71.45,26749.0,71.79,70.69,70.56
2017-02-08,70.64,17361.0,71.18,70.77,70.33
2017-02-09,70.37,14249.0,71.22,71.0,70.28
2017-02-10,71.09,11178.0,71.6,70.82,70.79
2017-02-13,71.3,21933.0,71.44,70.39,70.29
2017-02-14,69.96,13189.0,70.79,70.14,69.61
2017-02-15,70.23,12724.0,70.81,70.2,69.95
2017-02-16,70.61,18500.0,70.93,70.84,70.29
2017-02-17,70.57,8180.0,70.8,70.56,70.18
2017-02-21,70.94,10085.0,71.24,71.06,70.41
2017-02-22,70.71,7405.0,71.6,70.73,70.53
2017-02-23,71.11,12544.0,71.12,69.75,68.99
2017-02-24,67.99,21117.0,69.29,69.1,67.27
2017-02-27,69.16,13194.0,69.16,68.56,67.41
2017-02-28,68.54,22170.0,69.27,68.56,68.29
2017-03-01,69.17,16211.0,71.19,70.58,69.17
2017-03-02,70.21,11945.0,70.77,70.03,69.72
2017-03-03,70.14,11100.0,70.18,69.85,69.27
2017-03-06,69.2,8277.0,69.36,68.66,68.61
2017-03-07,68.41,10139.0,68.95,68.29,68.18
2017-03-08,68.35,6808.0,68.98,68.59,68.1
2017-03-09,68.41,7643.0,69.24,69.0,68.37
2017-03-10,68.73,9491.0,69.33,69.06,67.98
2017-03-13,68.98,15457.0,69.22,68.81,68.54
2017-03-14,68.31,6870.0,68.79,68.54,67.63
2017-03-15,68.72,10831.0,69.59,69.38,68.72
2017-03-16,69.48,8672.0,70.01,68.79,68.59
2017-03-17,69.18,30224.0,69.21,66.58,66.34
2017-03-20,66.77,13057.0,67.62,66.75,66.0
2017-03-21,66.8,29042.0,67.41,65.03,63.94
2017-03-22,65.49,15079.0,66.4,65.83,64.79
2017-03-23,65.25,12433.0,67.77,67.24,65.22
2017-03-24,67.9,13766.0,69.04,67.84,67.6
2017-03-27,67.01,31267.0,68.16,68.05,65.53
2017-03-28,68.35,21514.0,70.1,69.07,68.2
2017-03-29,69.28,73256.0,74.92,72.72,67.5
2017-03-30,72.99,45002.0,73.54,71.15,70.28
2017-03-31,71.09,55257.0,71.09,69.01,68.9
2017-04-03,69.32,34496446.0,71.83,67.95,67.76
