date,1. open,5. volume,2. high,4. close,3. low
1998-09-24,53.5,9095400.0,54.25,47.38,44.25
1998-09-25,45.5,2126400.0,46.13,44.88,41.13
1998-09-28,47.5,1574300.0,50.88,48.25,46.0
1998-09-29,49.38,689000.0,50.25,48.88,47.75
1998-09-30,47.19,773600.0,48.0,45.06,43.25
1998-10-01,42.63,779200.0,43.25,40.0,40.0
1998-10-02,40.5,821000.0,41.75,40.0,35.0
1998-10-05,39.13,593300.0,39.13,35.88,34.88
1998-10-06,38.25,706200.0,38.25,36.5,32.0
1998-10-07,35.0,614800.0,35.63,30.88,30.88
1998-10-08,27.88,1002600.0,29.25,29.0,25.25
1998-10-09,30.75,675500.0,32.25,30.81,29.5
1998-10-12,32.0,494500.0,32.0,31.5,31.5
1998-10-13,31.56,270600.0,31.75,29.38,29.25
1998-10-14,29.13,542500.0,32.13,30.13,29.13
1998-10-15,30.13,511100.0,32.75,32.63,30.13
1998-10-16,33.38,760100.0,36.5,36.0,33.0
1998-10-19,37.13,1370500.0,46.0,45.38,37.0
1998-10-20,49.0,1916600.0,51.88,46.5,45.25
1998-10-21,49.0,1152200.0,51.5,50.56,47.25
1998-10-22,51.75,935100.0,53.5,51.56,49.25
1998-10-23,51.63,566600.0,52.25,50.13,49.5
1998-10-26,60.0,6838900.0,73.5,73.38,58.75
1998-10-27,81.5,10013900.0,90.81,82.5,80.25
1998-10-28,78.0,4464000.0,84.75,80.0,76.5
1998-10-29,81.25,1423100.0,82.94,79.88,79.75
1998-10-30,80.88,1665000.0,84.38,83.13,80.06
1998-11-02,86.88,2169400.0,87.75,84.0,83.75
1998-11-03,85.0,806300.0,85.5,84.0,83.0
1998-11-04,85.5,782700.0,85.75,82.69,81.69
1998-11-05,81.0,1158900.0,83.75,81.19,78.75
1998-11-06,80.38,858700.0,84.44,84.0,80.25
1998-11-09,84.63,3548600.0,103.0,103.0,84.5
1998-11-10,112.7,10130800.0,140.0,130.9,111.1
