date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,35.38,212000.0,35.81,35.31,35.0
1998-01-05,35.19,250200.0,35.56,34.69,34.25
1998-01-06,34.5,219700.0,35.0,34.88,34.19
1998-01-07,34.62,273100.0,34.81,34.25,34.12
1998-01-08,34.25,237300.0,35.5,35.31,34.25
1998-01-09,35.19,383300.0,35.25,33.62,33.5
1998-01-12,32.62,517000.0,34.12,34.12,32.25
1998-01-13,34.25,153900.0,34.5,34.0,33.88
1998-01-14,34.12,106000.0,34.19,34.0,33.44
1998-01-15,34.0,139100.0,34.12,33.81,33.69
1998-01-16,34.12,274500.0,34.25,34.0,33.31
1998-01-20,34.0,193800.0,35.31,35.31,33.94
1998-01-21,35.25,129700.0,35.31,33.94,33.94
1998-01-22,34.0,177000.0,34.25,33.5,33.25
1998-01-23,32.62,820100.0,32.62,32.12,31.75
1998-01-26,32.38,416200.0,33.19,33.0,32.38
1998-01-27,33.19,282700.0,33.19,32.25,32.19
1998-01-28,32.5,251000.0,32.81,32.69,32.38
1998-01-29,32.75,548400.0,34.5,33.94,32.38
1998-01-30,33.69,491900.0,33.69,32.88,32.5
1998-02-02,33.5,427600.0,34.5,34.31,33.5
1998-02-03,34.06,408700.0,34.31,33.06,33.0
1998-02-04,33.19,925500.0,33.19,32.19,31.88
1998-02-05,32.38,420200.0,32.44,32.19,31.88
1998-02-06,32.0,368700.0,32.5,31.94,31.88
1998-02-09,31.94,518600.0,32.5,32.38,31.94
1998-02-10,32.44,437200.0,32.94,32.62,32.44
1998-02-11,32.62,399700.0,34.0,33.81,32.62
1998-02-12,33.56,343000.0,34.25,34.25,33.5
1998-02-13,34.19,413900.0,34.69,33.38,33.38
1998-02-17,33.44,387100.0,34.44,34.06,33.44
1998-02-18,34.06,337900.0,34.25,34.19,33.94
1998-02-19,34.19,460000.0,34.5,34.44,34.06
1998-02-20,34.69,318400.0,34.69,34.19,33.75
1998-02-23,34.19,246800.0,34.69,34.12,33.75
1998-02-24,34.06,469800.0,34.88,34.75,33.88
1998-02-25,34.81,438100.0,35.25,34.62,34.62
1998-02-26,34.62,412800.0,35.62,35.44,34.38
1998-02-27,35.44,316800.0,35.94,35.94,35.06
1998-03-02,35.81,304800.0,35.88,35.25,35.06
1998-03-03,35.25,195600.0,35.75,35.75,35.12
1998-03-04,35.56,254700.0,36.0,35.81,35.06
1998-03-05,35.75,332600.0,36.12,35.88,35.5
1998-03-06,35.88,149200.0,37.0,37.0,35.88
1998-03-09,36.88,330500.0,36.94,36.38,35.88
1998-03-10,36.62,177400.0,36.94,36.62,36.38
1998-03-11,36.5,160500.0,36.94,36.94,36.06
1998-03-12,36.75,117800.0,36.75,36.25,36.25
1998-03-13,36.5,135200.0,36.88,36.38,36.25
1998-03-16,36.31,119800.0,37.0,37.0,36.31
1998-03-17,37.0,133000.0,37.0,36.5,36.19
1998-03-18,36.5,255500.0,37.19,36.75,36.25
1998-03-19,37.0,223600.0,37.44,37.31,36.5
1998-03-20,37.44,247500.0,37.62,37.19,37.19
1998-03-23,37.12,150000.0,37.19,36.62,36.44
1998-03-24,36.56,148100.0,36.94,36.81,36.5
1998-03-25,37.0,195700.0,37.06,36.5,36.25
1998-03-26,36.38,178600.0,36.38,36.19,35.69
1998-03-27,36.19,222900.0,37.19,36.81,36.12
1998-03-30,36.75,177900.0,36.94,36.06,36.06
1998-03-31,36.06,277500.0,36.94,36.5,36.06
1998-04-01,36.62,320100.0,36.81,36.56,35.88
1998-04-02,36.69,121400.0,37.56,37.56,36.56
1998-04-03,37.69,279200.0,38.0,37.19,37.19
1998-04-06,37.44,278400.0,38.38,38.12,37.25
1998-04-07,38.19,396500.0,38.81,38.38,37.75
1998-04-08,38.12,243700.0,38.19,37.75,37.5
1998-04-09,37.69,179000.0,39.25,39.06,37.62
1998-04-13,38.81,216800.0,39.12,39.06,38.0
1998-04-14,39.19,210600.0,39.38,38.81,38.75
1998-04-15,38.81,252800.0,40.69,40.12,38.81
1998-04-16,40.06,325800.0,40.06,39.12,39.12
1998-04-17,39.12,245600.0,40.19,40.06,38.94
1998-04-20,39.94,181700.0,40.25,39.69,39.56
1998-04-21,39.5,98600.0,40.0,39.81,39.31
1998-04-22,39.62,115900.0,40.38,40.19,39.62
1998-04-23,40.0,205100.0,40.12,39.62,39.31
1998-04-24,39.56,245200.0,39.94,38.69,38.5
1998-04-27,38.56,221400.0,38.56,37.38,37.31
1998-04-28,38.0,517400.0,38.44,37.12,37.06
1998-04-29,37.25,227200.0,38.25,38.12,36.94
1998-04-30,38.12,146900.0,39.5,38.69,38.12
1998-05-01,38.94,124300.0,39.25,38.81,38.12
1998-05-04,38.81,119800.0,39.94,38.69,38.69
1998-05-05,38.62,138100.0,38.62,38.25,37.81
1998-05-06,38.31,247600.0,38.31,36.62,36.5
1998-05-07,36.62,149600.0,37.38,37.12,36.31
1998-05-08,37.06,127400.0,37.94,37.56,37.0
1998-05-11,37.44,201600.0,38.5,38.5,37.44
1998-05-12,38.44,295100.0,39.31,38.44,37.75
1998-05-13,38.44,85100.0,38.75,38.06,37.88
1998-05-14,37.88,84200.0,38.25,37.69,37.5
1998-05-15,37.56,264400.0,37.69,36.19,36.19
