date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,27.25,699200.0,27.44,27.19,27.06
1998-01-05,27.13,1045700.0,27.44,26.88,26.5
1998-01-06,26.81,1067400.0,26.94,26.63,26.5
1998-01-07,26.38,1049100.0,26.38,26.31,25.88
1998-01-08,26.19,2428600.0,26.25,25.56,25.56
1998-01-09,25.63,582400.0,25.75,25.19,25.19
1998-01-12,25.31,1249300.0,26.38,26.31,25.25
1998-01-13,26.19,1370100.0,26.88,26.44,26.13
1998-01-14,26.38,1074600.0,26.63,26.56,26.25
1998-01-15,26.56,745300.0,26.56,26.5,26.44
1998-01-16,26.75,916200.0,26.81,26.63,26.63
1998-01-20,26.81,2309600.0,27.13,27.06,26.5
1998-01-21,27.06,1055000.0,27.31,27.06,26.81
1998-01-22,27.0,889300.0,27.5,27.44,26.94
1998-01-23,27.44,691800.0,27.63,27.44,27.38
1998-01-26,27.44,668900.0,27.69,27.44,27.19
1998-01-27,27.56,636700.0,27.56,27.13,27.0
1998-01-28,27.13,665000.0,27.31,27.19,27.13
1998-01-29,27.31,1440600.0,27.38,26.88,26.81
1998-01-30,27.0,922900.0,27.19,26.88,26.88
1998-02-02,27.13,488100.0,27.13,27.0,26.88
1998-02-03,27.0,590100.0,27.19,27.19,26.88
1998-02-04,27.06,443100.0,27.13,26.94,26.88
1998-02-05,26.88,531400.0,27.19,27.19,26.75
1998-02-06,27.19,780200.0,27.19,27.0,26.75
1998-02-09,26.94,821700.0,27.5,27.19,26.88
1998-02-10,27.25,1450200.0,27.31,26.88,26.88
1998-02-11,26.94,801400.0,26.94,26.75,26.63
1998-02-12,26.69,772100.0,26.69,26.56,26.38
1998-02-13,26.56,455500.0,26.63,26.5,26.5
1998-02-17,26.38,464800.0,26.94,26.88,25.94
1998-02-18,26.88,559400.0,26.88,26.75,26.69
1998-02-19,26.63,1109300.0,26.69,26.25,26.0
1998-02-20,26.38,888800.0,26.63,26.44,26.31
1998-02-23,26.5,530000.0,26.94,26.94,26.5
1998-02-24,26.88,515100.0,26.94,26.81,26.63
1998-02-25,26.88,919100.0,27.44,27.31,26.81
1998-02-26,27.19,418100.0,27.44,27.38,27.13
1998-02-27,27.25,678300.0,27.63,27.63,27.13
1998-03-02,27.44,603100.0,27.69,27.63,27.44
1998-03-03,27.5,412900.0,27.56,27.56,27.31
1998-03-04,27.5,418200.0,27.88,27.88,27.5
1998-03-05,27.69,596600.0,27.81,27.75,27.63
1998-03-06,27.75,719900.0,28.13,28.06,27.75
1998-03-09,28.0,1002800.0,28.38,28.0,27.75
1998-03-10,28.0,906800.0,28.06,27.88,27.88
1998-03-11,27.88,1352100.0,28.13,28.0,27.88
1998-03-12,28.0,816300.0,28.0,27.81,27.69
1998-03-13,27.88,437500.0,28.06,27.88,27.81
1998-03-16,28.13,472100.0,28.5,28.5,28.0
1998-03-17,28.69,980600.0,29.13,29.13,28.63
1998-03-18,29.38,852000.0,29.94,29.94,29.31
1998-03-19,29.94,559900.0,30.0,29.88,29.75
1998-03-20,29.94,932600.0,30.5,30.06,29.44
1998-03-23,29.88,262400.0,30.06,29.94,29.81
1998-03-24,29.94,273400.0,30.25,30.19,29.94
1998-03-25,30.19,854400.0,30.63,30.19,30.13
1998-03-26,30.0,384600.0,30.06,29.75,29.0
1998-03-27,29.75,430600.0,29.75,29.25,29.13
1998-03-30,29.13,423200.0,29.25,29.0,28.94
1998-03-31,29.0,568300.0,29.75,29.38,28.94
1998-04-01,29.0,3375900.0,29.25,29.25,28.75
1998-04-02,29.25,391500.0,29.69,29.69,29.19
1998-04-03,29.75,463300.0,29.94,29.63,29.63
1998-04-06,29.81,935200.0,29.88,29.38,29.38
1998-04-07,29.31,596200.0,29.5,29.19,29.0
