date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,59.56,146300.0,60.25,60.13,59.56
1998-01-05,60.38,133600.0,60.56,60.25,60.13
1998-01-06,60.25,169600.0,60.44,60.13,59.88
1998-01-07,60.0,220000.0,60.25,59.38,59.19
1998-01-08,59.38,84000.0,59.69,59.13,59.0
1998-01-09,59.63,240300.0,59.63,58.31,58.06
1998-01-12,57.69,202400.0,58.63,58.63,57.38
1998-01-13,58.56,320400.0,58.63,58.0,57.19
1998-01-14,58.0,127200.0,58.69,58.69,57.69
1998-01-15,58.69,374800.0,58.69,58.25,58.0
1998-01-16,58.75,143300.0,59.63,59.56,58.75
1998-01-20,59.56,304600.0,59.56,59.44,58.81
1998-01-21,59.19,258500.0,59.25,58.81,57.81
1998-01-22,58.56,262500.0,59.0,58.94,58.0
1998-01-23,58.69,210000.0,59.0,58.63,58.38
1998-01-26,58.81,106400.0,58.94,58.69,58.63
1998-01-27,57.63,106000.0,58.44,58.19,57.63
1998-01-28,58.38,387400.0,58.81,58.81,56.81
1998-01-29,58.5,531400.0,61.0,60.0,58.44
1998-01-30,59.88,186500.0,59.88,59.56,59.06
1998-02-02,59.81,215100.0,60.5,60.44,59.75
1998-02-03,60.25,122100.0,60.44,60.44,59.69
1998-02-04,60.69,192300.0,60.69,60.13,59.5
1998-02-05,60.0,149600.0,60.25,60.06,59.69
1998-02-06,60.31,219600.0,60.63,60.0,59.69
1998-02-09,60.0,91200.0,60.5,60.44,59.75
1998-02-10,60.44,240400.0,62.25,62.13,60.44
1998-02-11,62.38,249800.0,63.0,62.75,62.31
1998-02-12,62.75,241300.0,63.5,63.31,62.06
1998-02-13,63.06,73600.0,63.25,62.63,62.5
1998-02-17,62.63,83500.0,62.88,62.69,62.38
1998-02-18,62.88,128400.0,63.25,63.13,62.75
1998-02-19,63.13,218100.0,63.94,63.69,62.75
1998-02-20,64.13,204400.0,64.13,64.13,63.31
1998-02-23,64.13,149000.0,64.13,63.75,63.56
1998-02-24,63.75,185200.0,64.19,63.88,63.56
1998-02-25,64.0,112900.0,64.94,64.75,63.94
1998-02-26,64.88,117300.0,65.38,65.25,64.69
1998-02-27,65.25,151600.0,65.74,65.5,64.94
1998-03-02,65.38,126100.0,66.38,65.94,65.25
1998-03-03,66.0,106900.0,66.75,66.63,65.75
1998-03-04,66.75,84400.0,66.94,65.94,65.75
1998-03-05,65.31,120100.0,65.75,65.38,64.75
1998-03-06,65.38,130700.0,66.5,66.06,64.88
1998-03-09,65.81,80500.0,65.94,65.81,65.25
1998-03-10,66.06,190800.0,66.44,66.06,65.56
1998-03-11,65.81,291200.0,66.13,66.13,65.0
1998-03-12,66.25,65200.0,66.38,65.5,65.44
1998-03-13,65.44,215200.0,65.88,65.69,65.25
1998-03-16,65.69,207200.0,66.38,66.13,65.56
1998-03-17,66.69,176900.0,66.94,66.94,66.13
1998-03-18,66.88,126900.0,67.63,67.25,66.81
1998-03-19,67.5,188300.0,67.5,67.25,67.0
1998-03-20,67.25,177300.0,67.38,67.19,67.06
1998-03-23,67.19,102100.0,67.25,67.13,66.88
1998-03-24,67.0,255700.0,67.94,67.25,67.0
1998-03-25,67.25,158900.0,68.0,67.25,67.0
1998-03-26,67.31,78600.0,67.69,67.31,67.25
1998-03-27,67.13,137600.0,67.44,66.88,65.88
1998-03-30,66.63,192900.0,66.94,66.75,66.5
1998-03-31,66.94,111300.0,68.13,67.44,66.88
1998-04-01,67.31,110800.0,67.75,67.75,67.06
