date,1. open,5. volume,2. high,4. close,3. low
2000-08-11,12.75,25360000.0,14.0,13.12,12.0
2000-08-14,13.09,2566400.0,13.12,12.0,12.0
2000-08-15,12.16,1548800.0,12.38,12.12,12.0
2000-08-16,12.06,1347200.0,13.06,12.38,12.06
2000-08-17,12.25,1510400.0,12.5,12.0,11.94
2000-08-18,12.53,1932800.0,14.38,14.31,12.38
2000-08-21,15.06,2128000.0,16.25,15.19,13.94
2000-08-22,15.38,1081600.0,15.69,13.5,13.5
2000-08-23,13.56,572800.0,13.75,13.0,12.75
2000-08-24,12.94,588800.0,13.06,12.06,12.06
2000-08-25,12.56,643200.0,12.94,12.88,12.12
2000-08-28,13.41,620800.0,13.55,13.12,12.5
2000-08-29,13.44,726400.0,13.5,13.38,12.62
2000-08-30,13.34,633600.0,14.69,14.19,13.25
2000-08-31,15.06,2793600.0,16.5,16.19,14.88
2000-09-01,16.12,886400.0,16.25,15.75,15.0
2000-09-05,15.81,736000.0,16.25,15.56,15.5
2000-09-06,16.12,656000.0,16.25,15.5,15.25
2000-09-07,16.0,764800.0,16.0,14.38,13.38
2000-09-08,14.27,508800.0,14.5,14.0,13.75
2000-09-11,13.81,1104000.0,14.0,13.88,13.5
2000-09-12,13.59,1081600.0,13.81,13.0,12.88
2000-09-13,12.75,329600.0,13.12,12.5,12.38
2000-09-14,13.88,259200.0,13.88,12.69,12.5
2000-09-15,12.56,115200.0,13.0,12.56,12.5
2000-09-18,13.12,595200.0,13.25,12.06,11.94
2000-09-19,13.09,1536000.0,13.12,11.25,10.75
2000-09-20,11.5,771200.0,11.56,10.38,9.75
2000-09-21,10.31,806400.0,10.75,10.62,10.19
2000-09-22,9.59,268800.0,10.81,10.56,9.44
2000-09-25,10.62,672000.0,10.81,9.44,9.38
2000-09-26,9.88,627200.0,9.94,9.25,9.0
2000-09-27,9.41,534400.0,9.44,9.34,8.62
2000-09-28,9.25,704000.0,10.75,10.0,9.12
2000-09-29,10.09,611200.0,10.12,8.88,8.72
2000-10-02,9.38,217600.0,9.41,8.5,8.38
2000-10-03,8.59,323200.0,8.88,7.94,7.75
2000-10-04,8.0,467200.0,8.06,7.12,6.75
2000-10-05,6.94,483200.0,8.12,6.56,6.5
2000-10-06,6.95,364800.0,7.0,6.09,5.94
2000-10-09,6.56,339200.0,6.69,6.19,5.78
2000-10-10,6.31,422400.0,6.38,5.69,5.5
2000-10-11,5.25,1356800.0,5.75,4.12,4.06
2000-10-12,5.09,1190400.0,5.25,5.19,4.5
2000-10-13,5.69,1369600.0,7.88,7.56,5.53
2000-10-16,8.12,1232000.0,8.19,8.12,7.38
2000-10-17,8.5,352000.0,8.56,7.81,7.62
2000-10-18,7.75,617600.0,8.38,8.06,5.94
2000-10-19,8.5,828800.0,9.31,6.91,6.75
2000-10-20,7.5,694400.0,7.5,7.31,7.0
2000-10-23,7.38,569600.0,8.41,8.25,7.12
2000-10-24,8.3,630400.0,8.5,8.44,8.12
2000-10-25,8.36,422400.0,8.5,8.5,7.88
2000-10-26,8.47,278400.0,9.62,9.06,8.44
2000-10-27,9.11,105600.0,9.12,9.0,8.62
2000-10-30,8.94,243200.0,9.38,8.94,8.62
2000-10-31,9.12,332800.0,10.25,9.75,8.75
2000-11-01,9.73,368000.0,10.5,9.75,9.56
2000-11-02,9.73,249600.0,9.88,9.25,8.88
2000-11-03,8.97,246400.0,9.44,9.12,8.97
2000-11-06,9.25,310400.0,9.38,8.88,8.69
2000-11-07,9.0,211200.0,9.0,8.88,8.75
2000-11-08,8.88,668800.0,8.88,8.06,7.53
2000-11-09,7.5,403200.0,8.0,7.91,7.5
2000-11-10,7.64,579200.0,7.75,7.44,7.44
2000-11-13,6.94,438400.0,7.06,7.06,6.81
2000-11-14,7.03,502400.0,7.31,6.62,6.5
2000-11-15,6.88,652800.0,6.94,6.31,6.31
2000-11-16,6.52,124800.0,6.62,6.34,6.25
2000-11-17,6.84,451200.0,6.88,6.62,6.38
2000-11-20,6.53,172800.0,6.56,6.31,6.31
2000-11-21,6.34,262400.0,6.5,6.19,6.19
2000-11-22,6.25,364800.0,6.25,6.0,6.0
2000-11-24,6.08,57600.0,6.12,6.03,6.0
2000-11-27,6.38,166400.0,6.62,6.0,5.94
2000-11-28,6.12,124800.0,6.12,5.44,5.38
2000-11-29,5.44,544000.0,5.56,4.88,4.5
2000-11-30,4.75,339200.0,4.84,4.38,4.25
2000-12-01,4.38,217600.0,5.06,4.81,4.34
2000-12-04,4.84,76800.0,5.12,4.94,4.84
2000-12-05,5.08,150400.0,5.19,5.06,4.88
2000-12-06,5.03,163200.0,5.06,4.81,4.56
2000-12-07,4.78,435200.0,5.19,4.5,4.5
2000-12-08,4.75,182400.0,6.0,5.5,4.75
2000-12-11,5.53,80000.0,5.81,5.5,5.5
2000-12-12,5.67,320000.0,7.31,6.62,5.5
2000-12-13,7.36,211200.0,7.62,7.06,6.88
2000-12-14,7.3,156800.0,7.31,7.0,6.81
2000-12-15,6.95,80000.0,7.05,6.69,6.69
2000-12-18,7.09,99200.0,7.12,5.84,5.62
2000-12-19,5.41,160000.0,5.94,5.56,5.12
2000-12-20,5.5,262400.0,5.58,4.88,4.69
2000-12-21,4.5,534400.0,4.62,4.06,3.94
2000-12-22,4.58,451200.0,4.62,4.0,4.0
2000-12-26,4.06,348800.0,4.44,3.94,3.81
2000-12-27,3.94,220800.0,4.0,3.81,3.5
2000-12-28,3.75,985600.0,3.81,3.5,3.25
2000-12-29,3.47,534400.0,4.75,4.38,3.44
2001-01-02,4.422,432000.0,4.438,3.563,3.375
2001-01-03,3.438,835200.0,4.5,3.625,3.25
2001-01-04,3.922,310400.0,4.188,3.625,3.5
2001-01-05,3.75,160000.0,4.063,4.0,3.563
2001-01-08,4.0,166400.0,4.063,3.938,3.75
2001-01-09,4.0,73600.0,4.0,3.719,3.563
2001-01-10,3.781,179200.0,3.875,3.813,3.563
2001-01-11,3.813,246400.0,4.063,3.875,3.594
2001-01-12,3.922,547200.0,4.625,4.625,3.922
2001-01-16,4.75,204800.0,5.25,5.0,4.5
2001-01-17,5.25,220800.0,6.0,5.625,5.188
2001-01-18,5.922,217600.0,6.125,5.813,5.75
2001-01-19,5.875,291200.0,6.063,5.875,5.75
2001-01-22,6.0,268800.0,6.25,6.0,5.75
2001-01-23,6.016,134400.0,6.5,6.375,5.938
2001-01-24,6.766,419200.0,7.5,7.0,6.313
2001-01-25,6.938,182400.0,7.0,6.5,6.5
2001-01-26,5.938,249600.0,6.125,6.0,5.5
2001-01-29,6.156,89600.0,6.375,6.063,6.0
2001-01-30,6.188,80000.0,6.188,5.938,5.875
2001-01-31,6.047,262400.0,6.25,5.938,5.75
2001-02-01,5.938,48000.0,6.188,6.0,5.906
2001-02-02,6.0,38400.0,6.063,6.0,5.875
2001-02-05,5.969,70400.0,5.969,5.375,5.375
2001-02-06,5.0,102400.0,5.406,5.281,4.875
2001-02-07,5.281,131200.0,6.125,6.125,5.188
2001-02-08,6.563,489600.0,7.0,6.5,6.25
2001-02-09,6.75,137600.0,6.75,6.188,5.813
2001-02-12,6.0,73600.0,6.5,6.0,5.875
2001-02-13,6.125,182400.0,6.219,5.875,5.531
2001-02-14,5.859,44800.0,5.906,5.438,5.25
2001-02-15,5.5,102400.0,5.875,5.125,5.125
2001-02-16,5.219,1270400.0,5.25,4.469,4.0
2001-02-20,4.5,108800.0,4.938,4.375,4.313
2001-02-21,4.25,227200.0,4.313,4.0,3.938
2001-02-22,4.063,153600.0,4.156,3.938,3.75
2001-02-23,3.953,486400.0,4.031,3.938,3.75
2001-02-26,3.969,307200.0,4.031,3.813,3.75
2001-02-27,3.797,355200.0,3.844,3.781,3.625
2001-02-28,3.766,108800.0,3.844,3.75,3.625
2001-03-01,3.719,502400.0,3.75,3.156,3.094
2001-03-02,3.219,342400.0,3.281,2.844,2.75
2001-03-05,2.984,400000.0,3.031,2.906,2.75
2001-03-06,3.016,806400.0,4.25,3.0,2.875
2001-03-07,3.156,240000.0,3.156,3.0,2.875
2001-03-08,3.047,182400.0,3.063,2.938,2.75
2001-03-09,3.0,160000.0,3.063,2.781,2.75
2001-03-12,2.813,595200.0,2.813,2.375,2.203
2001-03-13,2.063,457600.0,2.313,2.25,2.0
2001-03-14,2.141,339200.0,2.219,2.031,2.0
2001-03-15,2.125,467200.0,2.25,1.938,1.938
2001-03-16,2.0,352000.0,2.063,1.75,1.563
2001-03-19,1.844,521600.0,2.094,1.938,1.844
2001-03-20,2.047,620800.0,2.063,2.031,1.969
2001-03-21,2.031,412800.0,2.063,2.0,1.938
2001-03-22,2.031,172800.0,2.063,2.031,2.0
2001-03-23,2.0,326400.0,2.063,2.031,1.938
2001-03-26,2.016,73600.0,2.031,2.0,1.938
2001-03-27,2.0,214400.0,2.031,1.625,1.625
2001-03-28,1.5,492800.0,1.766,1.563,1.375
2001-03-29,1.656,649600.0,1.75,1.406,1.375
2001-03-30,1.5,998400.0,1.5,1.25,1.063
2001-04-02,1.375,560000.0,1.438,1.125,1.0
2001-04-03,1.188,838400.0,1.25,1.094,1.0
2001-04-04,1.188,419200.0,1.25,1.031,1.0
2001-04-05,1.125,819200.0,1.125,1.031,0.9688
2001-04-06,1.031,2921600.0,1.031,0.5938,0.5
2001-04-09,0.83,1161600.0,0.92,0.92,0.72
2001-04-10,1.045,1648000.0,1.3,1.11,1.04
2001-04-11,1.235,2572800.0,1.38,1.35,1.15
2001-04-12,1.4,793600.0,1.43,1.3,1.25
2001-04-16,1.4,835200.0,1.45,1.38,1.35
2001-04-17,1.3,358400.0,1.34,1.32,1.26
2001-04-18,1.36,918400.0,1.5,1.46,1.35
2001-04-19,1.61,1337600.0,1.85,1.63,1.6
2001-04-20,1.72,678400.0,1.73,1.5,1.45
2001-04-23,1.5,444800.0,1.53,1.23,1.19
2001-04-24,1.23,316800.0,1.3,1.29,1.2
2001-04-25,1.28,508800.0,1.36,1.27,1.25
2001-04-26,1.29,179200.0,1.3,1.25,1.25
2001-04-27,1.3,528000.0,1.39,1.3,1.24
2001-04-30,1.36,480000.0,1.38,1.32,1.27
2001-05-01,1.35,496000.0,1.38,1.32,1.28
2001-05-02,1.355,819200.0,1.91,1.73,1.32
2001-05-03,1.78,400000.0,1.79,1.7,1.5
2001-05-04,1.695,454400.0,1.7,1.62,1.52
2001-05-07,1.645,454400.0,1.65,1.58,1.49
2001-05-08,1.58,182400.0,1.7,1.62,1.58
2001-05-09,1.63,144000.0,1.63,1.53,1.5
2001-05-10,1.56,208000.0,1.59,1.5,1.48
2001-05-11,1.56,646400.0,1.56,1.39,1.2
2001-05-14,1.42,672000.0,1.42,1.16,1.0
2001-05-15,1.185,387200.0,1.3,1.27,1.18
2001-05-16,1.23,131200.0,1.35,1.3,1.22
2001-05-17,1.31,198400.0,1.37,1.25,1.2
2001-05-18,1.25,585600.0,1.28,1.2,1.16
2001-05-21,1.205,211200.0,1.43,1.39,1.2
2001-05-22,1.4,124800.0,1.49,1.44,1.32
2001-05-23,1.465,179200.0,1.47,1.43,1.35
2001-05-24,1.42,316800.0,1.7,1.54,1.4
2001-05-25,1.595,124800.0,1.64,1.5,1.45
2001-05-29,1.55,144000.0,1.57,1.46,1.44
2001-05-30,1.48,268800.0,1.49,1.3,1.26
2001-05-31,1.315,195200.0,1.38,1.3,1.25
2001-06-01,1.38,224000.0,1.38,1.35,1.24
2001-06-04,1.465,284800.0,1.5,1.49,1.31
2001-06-05,1.5,156800.0,1.56,1.52,1.45
2001-06-06,1.54,60800.0,1.55,1.44,1.44
2001-06-07,1.415,156800.0,1.47,1.36,1.31
2001-06-08,1.42,208000.0,1.43,1.35,1.29
2001-06-11,1.36,67200.0,1.37,1.35,1.28
2001-06-12,1.3,60800.0,1.35,1.31,1.28
2001-06-13,1.35,32000.0,1.4,1.33,1.33
2001-06-14,1.3,275200.0,1.36,1.19,1.13
2001-06-15,1.215,611200.0,1.22,1.15,1.05
2001-06-18,1.37,448000.0,1.44,1.22,1.18
2001-06-19,1.28,464000.0,1.28,1.23,1.2
2001-06-20,1.22,153600.0,1.29,1.16,1.08
2001-06-21,1.05,454400.0,1.2,1.14,1.01
2001-06-22,1.14,102400.0,1.14,1.11,1.04
2001-06-25,1.15,294400.0,1.25,1.13,1.11
2001-06-26,1.11,163200.0,1.2,1.13,1.08
2001-06-27,1.12,326400.0,1.17,1.1,1.08
2001-06-28,1.11,1286400.0,1.11,1.07,1.01
2001-06-29,1.03,2700800.0,1.1,1.07,1.02
2001-07-02,1.1,243200.0,1.11,1.04,1.02
2001-07-03,1.05,41600.0,1.12,1.12,1.04
2001-07-05,1.06,262400.0,1.09,1.04,1.02
2001-07-06,1.03,57600.0,1.08,1.05,1.03
2001-07-09,1.09,339200.0,1.1,1.05,1.02
2001-07-10,1.05,160000.0,1.05,1.03,1.02
2001-07-11,1.04,262400.0,1.04,1.03,1.0
2001-07-12,1.05,211200.0,1.06,1.03,1.01
2001-07-13,1.05,326400.0,1.06,1.03,1.02
2001-07-16,1.03,304000.0,1.39,1.36,1.03
2001-07-17,1.38,329600.0,1.45,1.4,1.11
2001-07-18,1.42,326400.0,1.45,1.34,1.3
2001-07-19,1.45,572800.0,1.55,1.43,1.4
2001-07-20,1.51,96000.0,1.51,1.43,1.42
2001-07-23,1.46,166400.0,1.46,1.28,1.25
