date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,35.19,89200.0,35.19,35.19,34.5
1998-01-05,35.25,43300.0,35.25,34.88,34.75
1998-01-06,34.88,56400.0,34.88,33.5,33.44
1998-01-07,33.44,23700.0,33.44,33.19,33.06
1998-01-08,33.13,24800.0,33.13,32.94,32.5
1998-01-09,32.88,50200.0,32.88,31.94,31.88
1998-01-12,31.69,36800.0,33.38,32.94,31.69
1998-01-13,32.5,224300.0,33.19,33.0,31.81
1998-01-14,32.88,34500.0,33.63,33.44,32.81
1998-01-15,33.31,55400.0,34.13,34.0,33.31
1998-01-16,34.25,91500.0,34.75,34.38,34.13
1998-01-20,34.31,99100.0,34.5,34.44,33.94
1998-01-21,34.44,142300.0,34.5,34.19,34.0
1998-01-22,34.0,120100.0,34.19,34.0,34.0
1998-01-23,34.0,11000.0,34.31,33.69,33.62
1998-01-26,33.88,30100.0,33.94,33.56,33.5
1998-01-27,33.31,89700.0,33.56,33.25,33.0
1998-01-28,33.38,108300.0,33.38,32.94,32.94
1998-01-29,32.75,96500.0,33.56,33.5,32.63
1998-01-30,33.31,49100.0,33.38,32.88,32.88
1998-02-02,32.94,129600.0,33.25,33.25,32.94
1998-02-03,33.0,49000.0,33.5,33.31,32.88
1998-02-04,33.06,103000.0,33.44,33.44,32.81
1998-02-05,33.31,49000.0,33.31,33.06,32.75
1998-02-06,33.0,56800.0,33.75,33.38,32.88
1998-02-09,33.38,39900.0,33.81,33.38,33.31
1998-02-10,33.19,235000.0,33.63,33.13,32.88
1998-02-11,33.0,31400.0,33.38,33.13,32.63
1998-02-12,32.88,49700.0,33.13,32.94,32.75
1998-02-13,32.88,17300.0,32.94,32.88,32.38
1998-02-17,32.75,43300.0,32.81,32.75,32.5
1998-02-18,32.13,62700.0,32.31,32.19,32.06
1998-02-19,32.13,36600.0,32.13,31.81,31.81
1998-02-20,31.25,56200.0,31.75,31.5,31.13
1998-02-23,31.5,37800.0,32.13,32.13,31.38
1998-02-24,32.0,44600.0,32.13,31.69,31.44
1998-02-25,32.13,106300.0,32.63,32.13,31.88
1998-02-26,32.31,85800.0,32.44,32.19,32.0
1998-02-27,32.0,1050100.0,32.13,31.5,31.0
1998-03-02,31.5,166000.0,32.0,31.75,31.38
1998-03-03,31.69,28300.0,32.0,31.81,31.63
1998-03-04,31.75,63900.0,31.75,31.63,31.38
1998-03-05,31.5,80300.0,31.69,31.0,31.0
1998-03-06,31.25,78700.0,31.38,30.5,30.31
1998-03-09,30.63,127900.0,30.88,30.13,29.63
1998-03-10,30.25,70100.0,31.0,30.56,29.88
1998-03-11,30.56,223300.0,31.94,31.94,30.56
1998-03-12,31.81,172100.0,31.81,31.38,31.13
1998-03-13,31.5,65900.0,31.5,31.25,31.25
1998-03-16,31.25,75300.0,31.75,31.75,31.25
1998-03-17,31.56,121600.0,31.75,31.63,31.44
1998-03-18,31.63,35900.0,32.13,32.13,31.63
1998-03-19,32.0,44600.0,32.0,31.94,31.5
1998-03-20,31.88,204000.0,33.5,33.5,31.75
1998-03-23,33.5,97000.0,33.75,33.38,33.38
1998-03-24,33.38,77700.0,33.38,32.88,32.5
1998-03-25,32.88,114600.0,33.25,33.19,32.88
1998-03-26,33.06,153400.0,33.13,33.13,33.0
1998-03-27,33.06,78700.0,33.38,33.06,33.0
1998-03-30,33.06,118400.0,33.19,32.63,32.56
1998-03-31,32.75,60500.0,33.5,33.25,32.25
1998-04-01,33.38,52300.0,33.44,33.38,33.0
1998-04-02,35.0,111300.0,35.0,34.44,34.25
1998-04-03,34.44,51000.0,34.56,34.0,33.63
1998-04-06,33.88,100200.0,33.88,32.94,32.94
1998-04-07,32.94,61900.0,33.5,32.69,32.5
1998-04-08,32.69,123500.0,32.94,32.88,32.38
1998-04-09,33.13,94100.0,33.19,33.0,32.63
1998-04-13,32.88,67400.0,32.88,32.63,32.06
1998-04-14,32.81,49400.0,33.25,33.0,32.63
1998-04-15,33.0,53700.0,33.63,33.63,32.81
1998-04-16,33.56,101400.0,33.63,33.5,33.38
1998-04-17,33.5,30500.0,33.88,33.81,33.5
1998-04-20,33.63,81200.0,34.0,33.88,33.63
1998-04-21,33.94,156900.0,34.25,33.25,33.25
1998-04-22,33.25,65000.0,33.25,32.75,32.75
1998-04-23,32.63,48100.0,32.63,32.19,32.06
1998-04-24,32.19,56800.0,32.88,32.13,32.0
1998-04-27,31.88,40400.0,31.88,31.69,31.0
1998-04-28,31.69,105500.0,32.5,32.0,31.69
1998-04-29,31.88,45600.0,32.5,32.31,31.88
1998-04-30,32.69,51300.0,33.0,32.5,32.13
1998-05-01,32.44,262300.0,32.88,32.75,32.25
1998-05-04,32.88,106600.0,33.25,32.94,32.88
1998-05-05,32.94,64700.0,33.19,32.63,32.38
1998-05-06,32.63,43200.0,32.63,32.25,32.13
1998-05-07,32.19,30300.0,32.19,32.06,31.75
1998-05-08,32.19,14800.0,32.5,32.25,32.19
1998-05-11,32.25,67400.0,32.25,31.81,31.75
1998-05-12,31.13,108000.0,32.06,31.94,31.06
1998-05-13,31.75,84000.0,32.0,31.69,31.5
1998-05-14,31.63,28100.0,31.63,31.44,31.25
1998-05-15,31.38,68900.0,31.38,30.63,30.63
