date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,38.25,2371500.0,38.5,38.5,37.75
1998-01-05,39.5,6597000.0,40.25,39.0,38.88
1998-01-06,38.75,6618000.0,39.0,38.88,38.12
1998-01-07,38.81,11892250.0,38.81,37.25,36.5
1998-01-08,37.12,5242250.0,38.12,37.69,36.75
1998-01-09,37.12,7809250.0,37.38,35.25,35.0
1998-01-12,34.0,8134750.0,34.88,34.81,33.88
1998-01-13,34.62,9600250.0,35.75,35.62,34.5
1998-01-14,36.25,9272000.0,38.0,37.94,35.5
1998-01-15,37.81,9546500.0,38.19,37.88,37.06
1998-01-16,38.12,10680250.0,40.0,39.62,37.88
1998-01-20,38.62,10576000.0,40.25,39.94,38.0
1998-01-21,39.38,6062500.0,39.44,38.56,38.38
1998-01-22,38.25,4495250.0,38.94,38.0,37.81
1998-01-23,38.25,5578750.0,38.62,38.62,37.88
1998-01-26,39.62,7069000.0,39.62,38.38,37.88
1998-01-27,38.88,5849750.0,40.0,40.0,38.81
1998-01-28,40.06,9491000.0,41.06,40.94,39.06
1998-01-29,39.0,16115000.0,39.88,38.5,38.25
1998-01-30,39.0,5957250.0,39.38,38.62,38.5
1998-02-02,39.5,7957250.0,40.25,39.5,38.88
1998-02-03,39.38,8430500.0,39.62,39.5,38.62
1998-02-04,39.75,11573500.0,41.38,41.31,39.62
1998-02-05,41.94,9644750.0,42.44,41.94,41.25
1998-02-06,40.88,5826500.0,41.5,40.5,40.5
1998-02-09,40.5,4107000.0,40.88,40.0,39.69
1998-02-10,40.19,5344000.0,41.31,40.88,40.12
1998-02-11,41.0,3325750.0,41.5,41.12,40.62
1998-02-12,41.62,10778750.0,43.25,43.19,40.94
1998-02-13,42.25,2731750.0,42.75,42.19,41.69
1998-02-17,43.5,4949000.0,44.0,43.25,43.0
1998-02-18,43.25,2976000.0,43.88,43.75,42.75
1998-02-19,43.5,6336250.0,44.31,44.0,43.0
1998-02-20,43.81,7131750.0,44.0,43.75,43.25
1998-02-23,44.5,6181250.0,45.38,45.12,44.25
1998-02-24,45.0,6922000.0,45.5,45.19,44.62
1998-02-25,45.44,8172500.0,46.81,46.56,45.38
1998-02-26,45.94,4950750.0,46.75,46.19,45.75
1998-02-27,45.38,8134250.0,45.94,45.31,44.75
1998-03-02,46.0,5972750.0,46.81,45.94,45.69
1998-03-03,45.25,4338250.0,45.69,45.12,44.94
1998-03-04,44.38,3372000.0,44.81,44.75,44.06
1998-03-05,43.5,7795750.0,43.94,42.44,42.0
1998-03-06,44.31,9594000.0,46.25,46.12,43.94
1998-03-09,45.5,4618250.0,45.81,44.81,44.38
1998-03-10,45.25,2513500.0,45.94,45.81,44.88
1998-03-11,45.62,4191000.0,45.62,45.38,44.88
1998-03-12,45.5,2904250.0,46.38,46.0,45.06
1998-03-13,46.19,3551000.0,47.12,46.5,46.0
1998-03-16,47.12,3023250.0,47.81,47.56,47.12
1998-03-17,47.88,3795000.0,48.0,47.12,46.81
1998-03-18,46.25,6623500.0,48.12,47.75,46.25
1998-03-19,48.0,3642500.0,48.62,47.44,47.12
1998-03-20,48.12,2988000.0,48.38,47.81,47.25
1998-03-23,47.56,3520000.0,48.62,48.0,47.38
1998-03-24,47.5,4711500.0,48.75,48.38,47.25
1998-03-25,48.62,6006500.0,48.69,47.62,47.19
1998-03-26,47.38,4985500.0,47.94,47.44,47.06
1998-03-27,47.94,2713750.0,48.12,47.5,47.0
1998-03-30,47.38,3187250.0,47.75,47.56,47.38
1998-03-31,47.38,3782250.0,48.31,47.56,47.31
1998-04-01,48.0,8256000.0,49.25,49.19,47.5
1998-04-02,48.75,4065750.0,49.5,49.19,48.75
1998-04-03,50.38,10041750.0,52.5,52.19,50.25
1998-04-06,53.0,5793000.0,53.12,53.06,51.75
1998-04-07,51.62,4889000.0,52.19,51.88,51.12
1998-04-08,52.25,3057000.0,52.38,51.69,51.31
1998-04-09,52.88,1754000.0,53.0,52.81,52.44
1998-04-13,52.69,3281000.0,53.69,53.38,52.62
1998-04-14,54.0,3561500.0,55.0,54.62,53.88
1998-04-15,54.88,3134250.0,55.75,55.62,54.5
1998-04-16,54.5,3412000.0,55.0,54.75,54.06
1998-04-17,54.62,5227500.0,55.12,55.06,54.31
1998-04-20,55.25,3994000.0,56.25,56.19,55.25
1998-04-21,56.0,3286750.0,56.62,55.88,55.75
1998-04-22,55.25,5110000.0,55.5,54.12,54.0
1998-04-23,53.44,5722000.0,53.5,51.56,51.25
1998-04-24,52.06,4844750.0,52.69,52.5,51.38
1998-04-27,51.25,4275500.0,52.38,52.12,50.88
1998-04-28,52.62,4780000.0,53.19,52.31,51.56
1998-04-29,51.38,13017500.0,52.38,51.84,49.0
1998-04-30,52.88,6057000.0,53.5,51.44,51.12
1998-05-01,51.5,3662250.0,52.0,52.0,51.12
1998-05-04,52.25,3755500.0,53.31,52.56,52.25
1998-05-05,53.44,5727500.0,54.88,54.62,53.0
1998-05-06,55.38,5380500.0,55.62,54.62,54.62
1998-05-07,55.19,3701000.0,55.44,53.88,53.69
1998-05-08,54.25,3939500.0,54.62,53.88,53.62
1998-05-11,54.38,2911500.0,55.75,55.06,54.25
1998-05-12,55.75,2587000.0,56.0,55.75,55.25
1998-05-13,55.06,3917000.0,55.38,55.38,54.56
1998-05-14,54.5,2406500.0,55.38,54.62,54.12
1998-05-15,54.56,2131500.0,54.75,53.75,53.5
1998-05-18,53.44,3594500.0,53.5,52.38,51.62
1998-05-19,52.88,2516000.0,53.94,53.75,52.88
1998-05-20,54.88,4286000.0,56.5,55.75,54.69
1998-05-21,56.0,3462250.0,56.25,55.56,55.19
1998-05-22,28.38,2424000.0,28.69,28.63,28.0
1998-05-26,29.44,6677000.0,29.56,28.56,28.5
1998-05-27,28.19,6183000.0,28.69,28.38,27.56
1998-05-28,28.06,2889500.0,28.56,28.38,27.69
1998-05-29,28.88,2626500.0,28.88,27.88,27.88
1998-06-01,27.75,8869000.0,28.0,27.63,27.38
1998-06-02,28.13,4761000.0,28.38,28.25,27.88
1998-06-03,28.44,2224000.0,28.5,27.75,27.75
1998-06-04,27.81,3873000.0,28.75,28.69,27.75
1998-06-05,28.88,5834000.0,29.63,29.56,28.56
1998-06-08,30.0,7250000.0,31.0,30.63,29.63
1998-06-09,30.25,6131000.0,31.0,30.63,30.13
1998-06-10,29.5,8374500.0,29.94,28.81,28.81
1998-06-11,28.63,9568000.0,28.63,27.31,27.31
1998-06-12,27.5,15349000.0,27.88,27.0,26.0
1998-06-15,26.25,14162500.0,26.38,26.31,25.75
1998-06-16,26.5,12101000.0,26.5,26.38,25.5
1998-06-17,27.19,9289000.0,28.0,27.44,27.0
1998-06-18,26.94,15741500.0,27.0,25.88,25.63
1998-06-19,27.63,14388500.0,27.63,26.06,25.25
1998-06-22,26.38,8511500.0,27.31,27.06,26.19
1998-06-23,27.81,8312000.0,28.0,27.88,27.25
1998-06-24,28.13,8238500.0,28.25,27.94,27.63
1998-06-25,28.63,8402000.0,29.19,28.31,28.25
1998-06-26,28.38,4216000.0,28.75,28.13,27.88
1998-06-29,28.81,6342500.0,29.13,29.0,28.63
1998-06-30,29.25,6507000.0,29.31,28.63,28.63
1998-07-01,29.13,10308000.0,29.44,29.31,28.88
1998-07-02,29.5,2944000.0,29.63,28.94,28.88
1998-07-06,30.13,4926000.0,30.31,30.22,29.75
1998-07-07,30.75,5224500.0,30.75,30.5,30.44
1998-07-08,30.69,3674500.0,31.5,31.44,30.5
1998-07-09,30.75,2189500.0,31.0,30.56,30.31
1998-07-10,30.56,4435000.0,31.0,30.75,29.88
1998-07-13,30.88,2271000.0,31.38,31.25,30.81
1998-07-14,31.25,4834500.0,32.06,31.94,31.25
1998-07-15,32.0,5352000.0,32.75,32.5,31.81
1998-07-16,32.38,3540500.0,32.38,32.25,31.75
1998-07-17,32.38,2504000.0,32.88,32.63,32.25
1998-07-20,33.0,5165000.0,34.0,33.81,32.75
1998-07-21,33.75,4739500.0,33.81,32.63,32.63
1998-07-22,32.13,5758000.0,32.13,31.69,31.25
1998-07-23,31.63,6810500.0,32.69,30.94,30.75
1998-07-24,33.25,12390500.0,33.75,33.69,32.0
1998-07-27,29.13,53685500.0,29.63,27.56,26.5
1998-07-28,27.75,32849000.0,27.81,27.06,26.63
1998-07-29,28.5,22688000.0,28.56,28.13,27.69
1998-07-30,28.75,14955500.0,28.88,28.75,27.88
1998-07-31,28.5,8835000.0,28.7,27.69,27.63
1998-08-03,27.63,7442000.0,27.88,27.56,27.38
1998-08-04,28.0,9544000.0,28.13,26.5,26.44
1998-08-05,27.0,15022500.0,27.25,26.94,26.44
1998-08-06,26.63,6437500.0,26.94,26.81,26.25
1998-08-07,26.88,8639500.0,26.94,25.94,25.75
1998-08-10,25.5,7186500.0,25.88,25.25,25.0
1998-08-11,24.5,18669500.0,24.63,23.38,23.13
1998-08-12,24.56,13657500.0,24.88,24.44,24.06
1998-08-13,23.88,15186000.0,24.19,23.13,22.63
1998-08-14,25.75,20974500.0,25.88,23.81,23.38
1998-08-17,24.5,17089000.0,24.75,24.69,23.13
1998-08-18,25.25,18921000.0,26.44,26.44,24.75
1998-08-19,26.25,8705500.0,26.25,25.31,25.13
1998-08-20,25.0,7592500.0,25.38,24.75,24.69
1998-08-21,24.44,8998000.0,24.5,24.31,23.69
