date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,11.75,284900.0,12.13,12.06,11.69
1998-01-05,12.19,469800.0,12.44,12.38,12.13
1998-01-06,12.25,820400.0,12.56,12.5,12.13
1998-01-07,12.5,956400.0,12.69,12.69,12.5
1998-01-08,12.63,328400.0,12.88,12.81,12.5
1998-01-09,12.69,407400.0,12.75,12.56,12.5
1998-01-12,12.38,207400.0,12.56,12.5,12.38
1998-01-13,12.63,139100.0,12.63,12.63,12.31
1998-01-14,12.63,220400.0,12.63,12.63,12.5
1998-01-15,12.5,283000.0,12.56,12.56,12.5
1998-01-16,12.5,253400.0,12.59,12.5,12.5
1998-01-20,12.5,427400.0,12.81,12.75,12.5
1998-01-21,12.5,344300.0,12.56,12.13,12.13
1998-01-22,12.0,270100.0,12.19,12.06,11.94
1998-01-23,12.06,75500.0,12.13,12.13,12.0
1998-01-26,12.0,198100.0,12.25,12.25,11.88
1998-01-27,12.13,206300.0,12.25,11.88,11.88
1998-01-28,12.0,361600.0,12.19,12.06,11.94
1998-01-29,12.0,499600.0,12.13,11.94,11.94
1998-01-30,12.0,1515000.0,12.31,12.25,11.88
1998-02-02,12.31,149100.0,12.38,12.31,12.25
1998-02-03,12.19,546700.0,12.38,12.31,12.13
1998-02-04,12.38,282200.0,12.5,12.5,12.25
1998-02-05,12.5,370900.0,12.63,12.63,12.44
1998-02-06,12.56,264300.0,12.75,12.75,12.56
1998-02-09,12.69,181000.0,12.75,12.56,12.56
1998-02-10,12.56,574500.0,12.69,12.56,12.5
1998-02-11,12.56,457400.0,12.69,12.56,12.44
1998-02-12,12.44,204300.0,12.75,12.75,12.44
1998-02-13,12.63,222500.0,12.69,12.56,12.5
1998-02-17,12.56,153700.0,12.63,12.56,12.56
1998-02-18,12.56,202000.0,12.69,12.69,12.38
1998-02-19,12.56,689600.0,12.63,12.5,12.38
1998-02-20,12.5,129000.0,12.5,12.5,12.38
1998-02-23,12.38,372800.0,12.63,12.5,12.38
1998-02-24,12.44,99200.0,12.56,12.5,12.44
1998-02-25,12.5,132700.0,12.63,12.63,12.5
1998-02-26,12.56,142000.0,12.69,12.63,12.56
1998-02-27,12.56,147600.0,12.56,12.44,12.31
1998-03-02,12.38,116600.0,12.5,12.5,12.31
1998-03-03,12.44,89200.0,12.5,12.31,12.31
1998-03-04,12.25,114800.0,12.44,12.38,12.19
1998-03-05,12.19,141600.0,12.44,12.38,12.19
1998-03-06,12.38,406500.0,12.81,12.63,12.31
1998-03-09,12.63,189300.0,12.81,12.69,12.56
1998-03-10,12.63,367100.0,13.0,13.0,12.63
1998-03-11,12.94,282700.0,13.0,13.0,12.69
1998-03-12,13.0,230900.0,13.25,13.13,12.94
1998-03-13,13.25,347700.0,13.81,13.81,13.25
1998-03-16,13.69,205800.0,13.88,13.44,13.44
1998-03-17,13.44,108700.0,13.69,13.5,13.38
1998-03-18,13.38,129100.0,13.44,13.38,13.25
1998-03-19,13.31,95000.0,13.44,13.38,13.25
1998-03-20,13.5,285100.0,14.0,14.0,13.38
1998-03-23,13.88,145900.0,13.94,13.75,13.63
1998-03-24,13.81,155900.0,13.88,13.75,13.63
1998-03-25,13.75,103800.0,13.81,13.63,13.56
1998-03-26,13.81,121400.0,13.88,13.88,13.69
1998-03-27,13.81,156400.0,13.88,13.88,13.69
1998-03-30,13.63,257500.0,14.13,14.13,13.63
1998-03-31,14.06,301200.0,14.31,14.31,14.0
1998-04-01,14.31,322500.0,14.88,14.75,14.13
1998-04-02,14.75,588800.0,14.88,14.81,14.56
