date,1. open,5. volume,2. high,4. close,3. low
2006-02-03,23.0,10524600.0,23.29,22.65,22.43
2006-02-06,22.74,1118100.0,22.89,22.76,22.6
2006-02-07,22.65,743600.0,22.65,22.44,22.3
2006-02-08,22.48,776600.0,22.48,21.9,21.71
2006-02-09,21.93,471400.0,22.1,21.95,21.75
2006-02-10,21.95,386600.0,22.18,22.05,21.85
2006-02-13,21.95,237800.0,22.0,21.75,21.58
2006-02-14,21.85,277500.0,21.9,21.65,21.61
2006-02-15,21.7,250500.0,21.91,21.85,21.5
2006-02-16,21.95,249000.0,22.1,21.91,21.86
2006-02-17,22.06,269300.0,22.06,21.86,21.85
2006-02-21,21.83,184800.0,22.05,21.89,21.81
2006-02-22,21.98,267300.0,21.99,21.9,21.85
2006-02-23,21.9,228300.0,21.96,21.95,21.85
2006-02-24,21.95,255300.0,22.07,22.05,21.86
2006-02-27,22.0,120500.0,22.17,22.04,21.99
2006-02-28,22.05,175400.0,22.05,21.99,21.92
2006-03-01,21.92,233100.0,22.09,21.87,21.86
2006-03-02,21.85,186100.0,22.0,21.95,21.85
2006-03-03,21.87,198300.0,22.0,21.98,21.85
2006-03-06,21.8,380800.0,21.9,21.79,21.6
2006-03-07,21.6,250100.0,21.7,21.6,21.41
2006-03-08,21.54,228200.0,21.85,21.82,21.45
2006-03-09,21.87,327400.0,22.3,22.15,21.75
2006-03-10,22.35,320600.0,22.6,22.59,22.04
2006-03-13,22.78,251800.0,22.88,22.83,22.5
2006-03-14,23.0,358000.0,23.0,22.84,22.79
2006-03-15,22.96,261500.0,22.98,22.71,22.6
2006-03-16,22.7,259500.0,23.09,23.09,22.6
2006-03-17,23.1,182900.0,23.12,23.12,22.9
2006-03-20,23.15,182500.0,23.3,23.13,23.0
2006-03-21,23.02,231600.0,23.25,23.24,23.0
2006-03-22,23.25,257100.0,23.44,23.38,23.2
2006-03-23,23.45,257200.0,23.65,23.6,23.4
2006-03-24,23.75,106800.0,23.95,23.6,23.4
2006-03-27,23.73,278900.0,24.39,24.3,23.6
2006-03-28,24.3,169000.0,24.35,24.06,24.0
2006-03-29,23.95,197600.0,24.1,23.9,23.8
2006-03-30,23.89,342100.0,24.08,23.5,23.28
2006-03-31,23.4,174400.0,23.95,23.95,23.01
2006-04-03,23.9,87800.0,23.9,23.65,23.4
2006-04-04,23.61,195200.0,23.61,23.37,23.02
2006-04-05,23.37,128600.0,23.6,23.46,23.35
2006-04-06,23.5,139700.0,23.5,23.49,23.22
2006-04-07,23.25,135800.0,23.5,23.42,23.03
