date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,89.0,349500.0,89.06,87.44,87.19
1998-01-05,88.69,604400.0,88.94,88.88,88.0
1998-01-06,88.88,382000.0,90.44,90.25,88.88
1998-01-07,90.19,506200.0,91.0,90.38,89.81
1998-01-08,91.38,332900.0,91.94,91.19,90.44
1998-01-09,91.0,765100.0,91.06,86.06,85.88
1998-01-12,85.25,480000.0,88.38,87.69,85.19
1998-01-13,87.63,482800.0,89.38,89.06,87.13
1998-01-14,89.25,318300.0,90.5,90.31,89.06
1998-01-15,90.31,215300.0,91.31,90.69,90.06
1998-01-16,91.0,286100.0,93.13,92.44,91.0
1998-01-20,92.19,316600.0,92.19,88.75,88.63
1998-01-21,89.0,555000.0,90.13,89.75,89.0
1998-01-22,89.63,462300.0,90.25,89.44,89.0
1998-01-23,89.38,647300.0,90.13,88.38,88.31
1998-01-26,88.0,350200.0,89.0,88.63,87.5
1998-01-27,88.63,415400.0,88.69,88.13,88.13
1998-01-28,88.13,329200.0,89.0,87.81,87.75
1998-01-29,88.13,423000.0,92.38,91.06,88.0
1998-01-30,90.81,223600.0,91.31,89.75,89.5
1998-02-02,90.25,304700.0,93.31,93.13,90.25
1998-02-03,92.88,247600.0,94.13,94.13,92.88
1998-02-04,94.13,161000.0,94.13,92.88,92.81
1998-02-05,92.94,257000.0,94.63,93.31,92.94
1998-02-06,94.19,279400.0,94.38,93.63,93.5
1998-02-09,93.75,205600.0,95.5,94.13,93.75
1998-02-10,94.19,409100.0,94.19,93.0,92.81
1998-02-11,93.06,280500.0,93.06,92.44,92.25
1998-02-12,92.38,357800.0,92.38,91.5,90.88
1998-02-13,91.56,391700.0,91.69,91.06,90.88
1998-02-17,92.0,485800.0,95.31,92.44,92.0
1998-02-18,91.5,226900.0,93.0,92.31,91.06
1998-02-19,92.31,334200.0,93.0,92.25,91.5
1998-02-20,92.75,521700.0,93.19,93.0,92.31
1998-02-23,92.75,233400.0,94.0,93.5,92.75
1998-02-24,93.25,310800.0,94.63,94.0,93.06
1998-02-25,94.06,333100.0,96.31,95.38,94.0
1998-02-26,95.63,177700.0,96.69,96.63,95.5
1998-02-27,96.56,214800.0,97.25,96.06,95.75
1998-03-02,95.94,128700.0,95.94,95.69,94.56
1998-03-03,95.19,129500.0,96.19,95.69,94.63
1998-03-04,96.13,245100.0,97.44,96.69,95.88
1998-03-05,96.25,162800.0,96.31,95.63,95.31
1998-03-06,95.38,256600.0,97.5,95.63,95.06
1998-03-09,95.63,173900.0,96.5,95.25,94.81
1998-03-10,95.25,162100.0,97.56,96.5,95.13
1998-03-11,96.25,117000.0,96.94,95.88,95.81
1998-03-12,95.63,305900.0,96.94,96.19,95.38
1998-03-13,96.06,169500.0,97.38,94.75,94.75
1998-03-16,94.75,157600.0,95.5,95.5,94.38
1998-03-17,95.31,220800.0,98.0,98.0,95.06
1998-03-18,97.56,212400.0,98.38,98.31,96.31
1998-03-19,98.81,197400.0,98.94,98.06,97.38
1998-03-20,99.0,244200.0,99.63,98.38,97.81
1998-03-23,98.13,332200.0,98.13,97.69,97.13
1998-03-24,97.0,156500.0,97.38,96.75,96.69
1998-03-25,96.75,262000.0,97.31,96.81,94.88
1998-03-26,97.13,271200.0,97.13,96.75,96.5
1998-03-27,96.81,186500.0,96.81,96.06,95.0
1998-03-30,95.81,496800.0,96.0,94.88,94.56
1998-03-31,94.63,286700.0,96.94,95.19,94.5
1998-04-01,95.31,317700.0,95.38,93.5,93.44
1998-04-02,93.13,658600.0,95.13,95.0,91.81
1998-04-03,95.0,391900.0,95.0,93.94,93.38
1998-04-06,93.94,653100.0,94.0,93.13,92.63
1998-04-07,93.25,269700.0,93.5,92.88,92.38
1998-04-08,92.88,348000.0,93.56,92.0,91.75
1998-04-09,91.81,219400.0,93.06,92.88,91.81
1998-04-13,92.75,325300.0,93.63,92.75,92.06
1998-04-14,92.63,389400.0,93.69,93.19,92.38
1998-04-15,93.13,1155300.0,93.38,91.88,91.63
1998-04-16,91.5,630200.0,92.5,91.38,91.38
1998-04-17,92.0,581000.0,92.19,90.81,89.13
1998-04-20,90.31,537100.0,90.5,88.25,88.25
1998-04-21,88.0,875900.0,88.0,87.75,86.5
1998-04-22,88.5,859500.0,91.94,89.56,88.5
1998-04-23,89.5,974100.0,90.38,89.94,88.31
1998-04-24,90.06,494600.0,91.88,91.0,89.56
1998-04-27,90.5,918400.0,90.88,89.56,89.13
1998-04-28,90.56,471100.0,91.56,90.56,90.38
1998-04-29,90.63,377200.0,92.44,91.5,90.56
1998-04-30,91.63,216200.0,93.0,92.38,91.63
1998-05-01,92.75,368300.0,94.19,92.75,92.5
1998-05-04,92.75,528500.0,93.19,92.06,91.25
1998-05-05,92.44,154000.0,92.44,91.06,90.56
1998-05-06,91.06,158000.0,91.38,89.56,89.56
1998-05-07,89.56,480100.0,91.25,90.25,89.31
1998-05-08,90.25,325900.0,92.19,91.44,90.25
1998-05-11,91.75,140100.0,92.44,91.81,91.69
1998-05-12,91.75,275900.0,91.75,90.94,90.56
1998-05-13,90.56,484900.0,90.56,89.5,88.75
1998-05-14,89.31,254100.0,90.63,89.81,89.25
1998-05-15,89.88,169500.0,89.88,89.25,89.19
1998-05-18,89.0,155000.0,89.13,88.81,88.06
1998-05-19,88.75,117300.0,89.44,88.44,88.44
1998-05-20,88.19,223400.0,89.69,89.19,88.19
1998-05-21,89.44,405200.0,89.88,89.56,88.94
1998-05-22,89.56,305100.0,90.19,90.19,89.0
1998-05-26,90.19,391600.0,91.5,90.63,90.19
1998-05-27,90.13,453900.0,90.5,89.0,88.75
1998-05-28,89.13,351600.0,90.5,89.69,88.75
1998-05-29,89.56,233600.0,90.25,89.81,89.56
1998-06-01,89.63,249000.0,90.25,89.69,89.13
1998-06-02,90.06,324500.0,91.31,90.0,89.88
1998-06-03,90.13,290900.0,90.25,88.0,87.81
1998-06-04,88.25,232900.0,89.88,89.63,87.88
1998-06-05,89.56,315800.0,91.38,91.38,89.56
1998-06-08,91.38,165000.0,92.25,90.38,90.38
1998-06-09,90.0,283200.0,91.0,90.94,89.25
1998-06-10,90.69,600000.0,91.06,87.88,87.5
1998-06-11,88.0,965100.0,88.25,86.0,85.56
1998-06-12,86.0,603500.0,86.0,84.94,83.25
1998-06-15,84.75,221500.0,84.75,82.25,82.19
1998-06-16,83.0,542800.0,84.81,84.81,82.38
1998-06-17,84.69,203400.0,86.25,85.31,84.38
1998-06-18,85.06,989500.0,85.13,82.94,82.0
1998-06-19,82.94,321300.0,83.38,81.38,81.38
1998-06-22,81.0,186800.0,81.81,81.63,80.88
1998-06-23,81.88,228800.0,82.88,82.25,81.69
1998-06-24,79.88,393200.0,79.94,78.81,78.81
1998-06-25,78.81,1206900.0,78.81,77.75,76.0
1998-06-26,77.69,451800.0,78.94,78.13,76.94
1998-06-29,78.25,289500.0,79.25,77.81,77.75
1998-06-30,78.06,366600.0,78.69,77.75,77.69
1998-07-01,77.88,408700.0,79.06,78.88,77.81
1998-07-02,78.69,191600.0,78.69,78.19,77.75
1998-07-06,78.06,130600.0,80.0,79.31,78.06
1998-07-07,78.69,455200.0,79.0,78.0,78.0
1998-07-08,78.06,943100.0,78.69,77.0,77.0
1998-07-09,76.94,534400.0,77.31,76.44,75.81
1998-07-10,76.38,194000.0,76.38,75.31,75.19
1998-07-13,75.06,390300.0,75.13,73.56,73.38
1998-07-14,73.31,458500.0,76.25,76.25,73.31
1998-07-15,76.0,278500.0,76.19,74.31,74.0
1998-07-16,73.88,749100.0,73.88,73.0,72.5
1998-07-17,73.0,940500.0,73.0,71.06,71.0
1998-07-20,71.56,431400.0,71.81,71.81,71.25
1998-07-21,71.0,536200.0,71.38,70.81,70.63
1998-07-22,70.56,407600.0,71.19,70.13,69.94
1998-07-23,70.0,713300.0,70.38,68.25,68.25
1998-07-24,68.5,354000.0,68.75,67.38,67.13
1998-07-27,67.13,893500.0,67.13,66.44,66.0
1998-07-28,66.13,1051200.0,66.44,66.13,65.0
1998-07-29,66.0,352600.0,67.38,64.44,64.38
1998-07-30,64.19,787000.0,64.75,64.75,63.63
1998-07-31,64.69,400500.0,65.63,65.25,64.38
1998-08-03,65.25,449400.0,65.63,65.06,64.75
1998-08-04,65.06,544000.0,65.25,64.0,63.88
