date,1. open,5. volume,2. high,4. close,3. low
2000-03-27,15.25,918900.0,16.62,16.5,15.25
2000-03-28,16.5,269400.0,16.5,16.06,16.0
2000-03-29,16.0,109300.0,16.12,16.0,15.81
2000-03-30,16.0,470900.0,16.0,15.38,15.38
2000-03-31,14.94,1982900.0,14.94,13.56,13.56
2000-04-03,14.0,2871700.0,14.81,13.75,13.75
2000-04-04,14.13,3284200.0,14.31,14.0,12.38
2000-04-05,13.88,1587400.0,14.25,13.94,13.81
2000-04-06,14.0,1795300.0,14.38,14.31,13.88
2000-04-07,14.38,3476200.0,15.25,14.44,14.38
2000-04-10,14.75,1320200.0,15.0,14.56,14.5
2000-04-11,14.31,1647500.0,14.63,14.31,14.25
2000-04-12,14.19,2136600.0,14.56,14.31,14.13
2000-04-13,14.31,1718600.0,14.63,14.45,14.31
2000-04-14,14.44,656500.0,14.5,14.44,14.13
2000-04-17,14.31,748000.0,14.44,14.25,14.06
2000-04-18,14.44,724000.0,14.5,14.06,13.94
2000-04-19,14.25,1165600.0,14.63,14.38,14.25
2000-04-20,14.31,1139700.0,14.75,14.63,14.25
2000-04-24,14.38,953800.0,14.63,14.25,14.13
2000-04-25,14.31,1158900.0,15.13,15.06,13.88
2000-04-26,15.13,1330300.0,16.5,15.31,15.0
2000-04-27,15.06,1021300.0,15.06,14.81,14.56
2000-04-28,14.75,884800.0,15.0,15.0,14.5
2000-05-01,15.0,1077500.0,15.0,14.75,14.44
2000-05-02,14.63,671100.0,14.75,14.56,14.44
2000-05-03,14.19,1041100.0,14.56,14.25,14.06
2000-05-04,14.38,902600.0,14.75,14.75,14.25
2000-05-05,14.88,427700.0,15.38,15.13,14.88
2000-05-08,15.38,358900.0,15.63,15.25,15.19
2000-05-09,15.44,335900.0,15.5,15.0,15.0
2000-05-10,15.0,193800.0,15.38,15.19,14.88
2000-05-11,15.19,571800.0,15.5,14.94,14.75
2000-05-12,14.94,192100.0,15.69,15.69,14.94
2000-05-15,15.5,332100.0,16.88,16.38,15.5
2000-05-16,16.5,315900.0,16.94,16.5,16.31
2000-05-17,16.5,629300.0,16.5,16.0,15.81
2000-05-18,16.0,519700.0,16.13,15.56,15.44
2000-05-19,15.56,157600.0,15.63,15.31,15.31
2000-05-22,15.44,157400.0,15.69,15.56,15.31
2000-05-23,15.5,216800.0,16.0,15.63,15.5
2000-05-24,15.63,566400.0,16.75,16.44,15.63
2000-05-25,16.31,753800.0,17.63,17.31,16.31
2000-05-26,17.44,573500.0,18.13,18.0,17.31
2000-05-30,18.0,952200.0,19.81,19.75,18.0
2000-05-31,19.75,815000.0,20.63,20.31,19.75
2000-06-01,20.06,359800.0,20.25,19.88,19.38
2000-06-02,19.88,332000.0,20.13,19.19,18.56
2000-06-05,18.94,503200.0,18.94,18.13,18.06
2000-06-06,18.25,977200.0,18.25,17.13,16.81
2000-06-07,17.5,590600.0,18.63,18.5,17.5
2000-06-08,18.25,347400.0,18.5,18.5,18.19
2000-06-09,18.38,314800.0,19.0,18.5,18.31
2000-06-12,18.63,207200.0,18.94,18.63,18.38
2000-06-13,18.5,229300.0,18.56,18.38,18.19
2000-06-14,18.63,377900.0,18.63,18.44,18.19
2000-06-15,18.44,179800.0,18.63,18.31,18.31
2000-06-16,18.38,265500.0,18.44,18.0,17.88
2000-06-19,17.56,350200.0,18.38,18.13,17.5
2000-06-20,18.0,450000.0,18.06,17.81,17.63
2000-06-21,17.94,253400.0,19.0,19.0,17.81
2000-06-22,18.75,394000.0,20.63,19.44,18.31
2000-06-23,19.56,764600.0,20.31,19.88,19.56
2000-06-26,20.0,524100.0,20.25,19.88,19.25
2000-06-27,19.88,575800.0,20.03,19.13,18.75
2000-06-28,18.75,491700.0,20.5,20.44,18.13
2000-06-29,20.56,362600.0,21.0,20.25,20.25
2000-06-30,20.31,957700.0,20.5,18.52,18.48
2000-07-03,18.88,258800.0,20.75,20.56,18.88
2000-07-05,20.56,166400.0,20.75,19.69,19.63
2000-07-06,19.81,165000.0,20.44,20.25,19.81
2000-07-07,20.5,262100.0,20.63,20.5,20.0
2000-07-10,20.56,430900.0,21.38,21.25,20.56
2000-07-11,21.44,580800.0,22.31,22.0,21.38
2000-07-12,22.25,325600.0,23.25,22.13,21.81
2000-07-13,22.0,574100.0,23.75,23.25,22.0
2000-07-14,23.5,370100.0,23.56,22.94,22.69
2000-07-17,23.19,266600.0,23.25,22.81,22.56
2000-07-18,23.25,447300.0,24.0,23.88,23.25
2000-07-19,24.13,475400.0,25.5,24.19,24.0
2000-07-20,24.38,183600.0,24.5,24.06,23.75
2000-07-21,23.94,382900.0,25.0,24.88,23.63
2000-07-24,24.94,224000.0,24.94,24.75,24.5
2000-07-25,24.75,232800.0,25.0,24.5,24.5
2000-07-26,24.5,214800.0,24.5,23.94,23.69
2000-07-27,23.69,201200.0,23.94,23.5,22.88
2000-07-28,23.38,156500.0,23.5,23.06,22.88
2000-07-31,23.0,275100.0,23.25,21.81,21.63
2000-08-01,21.75,218300.0,22.69,22.63,21.75
2000-08-02,22.63,425400.0,23.06,22.81,22.63
2000-08-03,22.5,461700.0,23.19,23.13,21.38
2000-08-04,22.88,119500.0,23.31,23.0,22.5
2000-08-07,23.0,72000.0,23.25,22.63,22.63
2000-08-08,22.69,56000.0,22.75,22.5,22.0
2000-08-09,22.38,141400.0,22.5,22.13,21.75
2000-08-10,21.88,163500.0,22.0,21.69,21.25
2000-08-11,21.88,125600.0,22.69,22.44,21.88
2000-08-14,22.31,92800.0,22.69,22.56,22.31
2000-08-15,22.56,125500.0,22.88,22.81,22.31
2000-08-16,22.81,165400.0,22.94,22.75,22.75
2000-08-17,22.75,142300.0,22.94,22.75,22.63
2000-08-18,22.63,140500.0,22.88,22.5,22.25
2000-08-21,22.5,172800.0,23.19,23.19,22.5
2000-08-22,23.0,81700.0,23.06,22.88,22.56
2000-08-23,22.88,55000.0,22.94,22.88,22.56
2000-08-24,22.75,177100.0,22.88,22.75,22.44
2000-08-25,22.75,68000.0,22.88,22.69,22.5
2000-08-28,22.63,136900.0,23.13,22.94,22.56
2000-08-29,22.88,135200.0,23.94,23.94,22.81
2000-08-30,23.81,185100.0,24.75,24.38,23.69
2000-08-31,25.75,659400.0,26.38,26.25,25.75
2000-09-01,25.38,1111800.0,25.63,22.63,22.25
2000-09-05,22.63,570300.0,23.25,22.63,22.0
2000-09-06,22.81,322700.0,22.88,22.44,21.69
2000-09-07,22.5,194900.0,22.63,22.63,22.25
2000-09-08,22.81,135100.0,22.81,22.25,21.88
2000-09-11,22.38,66100.0,22.38,22.31,22.13
2000-09-12,22.5,94000.0,22.5,22.25,21.44
2000-09-13,22.25,338800.0,22.25,21.0,20.63
2000-09-14,21.25,146800.0,21.5,21.38,20.88
2000-09-15,20.75,222300.0,21.06,20.88,20.63
2000-09-18,20.88,424500.0,20.88,19.75,19.38
2000-09-19,19.81,355500.0,20.25,19.88,19.63
2000-09-20,20.0,83600.0,20.25,20.19,19.81
2000-09-21,20.0,413600.0,20.38,19.88,19.75
2000-09-22,19.63,155900.0,20.25,20.25,19.38
2000-09-25,20.06,172400.0,20.56,20.44,20.06
2000-09-26,20.25,299400.0,20.75,20.63,20.19
2000-09-27,20.44,411000.0,21.19,20.5,20.44
2000-09-28,20.44,400800.0,21.25,21.0,20.44
2000-09-29,21.0,294100.0,22.13,21.81,20.63
2000-10-02,21.63,202900.0,21.75,20.19,20.19
2000-10-03,20.31,263100.0,20.88,20.13,19.94
2000-10-04,19.88,246000.0,20.19,19.94,19.63
2000-10-05,20.0,277700.0,21.5,20.56,19.94
2000-10-06,20.5,272700.0,21.13,21.13,20.25
2000-10-09,21.0,152000.0,21.13,20.69,20.25
2000-10-10,20.56,152400.0,20.75,20.63,20.38
2000-10-11,20.5,215600.0,20.94,20.81,20.44
2000-10-12,20.88,253900.0,21.81,21.06,20.88
2000-10-13,20.94,314100.0,22.44,22.38,20.81
2000-10-16,22.38,319000.0,22.81,22.06,21.88
2000-10-17,22.06,201900.0,22.75,22.75,21.88
2000-10-18,22.25,185400.0,22.94,22.94,22.0
2000-10-19,22.88,134300.0,23.44,23.44,22.69
2000-10-20,23.44,117900.0,23.44,23.25,22.88
2000-10-23,23.25,172100.0,23.69,23.69,23.13
2000-10-24,23.56,281900.0,24.5,24.19,23.19
2000-10-25,24.13,408500.0,24.5,23.88,23.44
2000-10-26,23.75,129800.0,24.0,23.31,23.0
2000-10-27,23.31,65500.0,23.5,23.0,23.0
2000-10-30,23.0,247900.0,23.0,22.94,22.31
