date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,38.5,81700.0,39.38,39.0,38.25
1998-01-05,39.25,28100.0,39.38,38.38,37.5
1998-01-06,37.75,285600.0,38.63,38.25,37.75
1998-01-07,38.38,43700.0,38.38,37.38,36.25
1998-01-08,37.5,166100.0,37.5,36.63,36.38
1998-01-09,37.25,162200.0,37.25,36.19,35.75
1998-01-12,36.0,106800.0,36.0,35.0,34.63
1998-01-13,34.63,210900.0,35.25,34.63,34.63
1998-01-14,35.13,127500.0,35.13,34.44,34.0
1998-01-15,34.13,156500.0,34.63,34.0,34.0
1998-01-16,34.38,181900.0,35.13,35.0,33.63
1998-01-20,35.13,220800.0,36.38,36.0,34.88
1998-01-21,34.63,172900.0,35.88,35.88,34.63
1998-01-22,35.0,47100.0,35.88,35.63,35.0
1998-01-23,35.0,198400.0,35.88,33.69,32.75
1998-01-26,33.13,250600.0,34.13,32.5,32.5
1998-01-27,32.75,368100.0,32.75,30.75,29.94
1998-01-28,30.5,313200.0,32.0,31.13,30.0
1998-01-29,31.5,495500.0,31.63,31.63,30.88
1998-01-30,31.63,325600.0,31.63,31.13,30.5
1998-02-02,32.25,262200.0,33.5,32.25,31.38
1998-02-03,33.13,419100.0,33.13,33.0,32.5
1998-02-04,33.0,901500.0,34.88,34.88,32.75
1998-02-05,35.0,139800.0,35.0,33.88,33.75
1998-02-06,33.75,151800.0,34.5,34.25,33.75
1998-02-09,34.25,155000.0,36.75,36.5,34.25
1998-02-10,38.5,542700.0,39.63,39.38,37.5
1998-02-11,39.13,462600.0,42.0,41.88,38.5
1998-02-12,40.88,416700.0,42.0,41.94,40.81
1998-02-13,41.13,127000.0,42.38,41.63,41.0
1998-02-17,42.13,330600.0,43.0,42.88,41.63
1998-02-18,42.5,577500.0,45.0,42.13,41.25
1998-02-19,41.75,315200.0,42.5,40.13,39.75
1998-02-20,39.88,138200.0,42.0,42.0,39.0
1998-02-23,42.0,27800.0,42.0,41.81,41.0
1998-02-24,41.81,150800.0,44.0,42.75,41.25
1998-02-25,42.75,108700.0,44.5,43.25,42.25
1998-02-26,43.0,65800.0,43.75,42.0,40.75
1998-02-27,40.63,103300.0,42.0,40.5,40.5
1998-03-02,40.75,185300.0,41.0,40.38,39.75
1998-03-03,40.5,67000.0,40.75,40.75,40.0
1998-03-04,40.0,67500.0,40.75,40.56,40.0
1998-03-05,40.0,43800.0,40.63,40.13,40.0
1998-03-06,40.63,114800.0,41.0,41.0,40.5
1998-03-09,40.81,102400.0,41.5,40.25,40.25
1998-03-10,40.38,61300.0,41.25,40.5,40.38
1998-03-11,40.25,111800.0,42.5,41.0,40.25
1998-03-12,41.0,152100.0,41.0,40.25,39.75
1998-03-13,40.25,47700.0,41.25,40.25,39.88
1998-03-16,40.5,37500.0,41.5,41.38,40.5
1998-03-17,40.5,15500.0,41.38,40.75,40.5
1998-03-18,41.38,216500.0,43.5,43.5,40.75
1998-03-19,43.0,103300.0,43.25,43.0,42.63
1998-03-20,42.63,73200.0,43.88,42.88,42.63
1998-03-23,44.0,407800.0,44.0,43.5,42.0
1998-03-24,43.0,238300.0,43.13,43.0,42.38
1998-03-25,43.0,255100.0,43.0,42.38,42.0
1998-03-26,41.5,1000900.0,41.91,41.63,40.25
1998-03-27,41.0,51500.0,42.38,42.38,41.0
1998-03-30,41.75,96100.0,42.5,42.25,41.75
1998-03-31,42.63,66800.0,43.0,42.88,42.13
1998-04-01,42.88,119200.0,44.75,44.63,42.13
1998-04-02,44.88,144600.0,46.0,45.5,44.38
1998-04-03,45.5,100000.0,46.38,45.5,45.5
1998-04-06,44.88,28700.0,46.38,45.38,44.75
1998-04-07,45.63,137900.0,45.63,44.88,44.88
1998-04-08,45.5,40300.0,45.5,45.25,44.63
1998-04-09,45.38,135500.0,46.0,46.0,45.0
1998-04-13,45.25,225300.0,46.38,46.13,45.25
1998-04-14,46.38,130900.0,48.25,47.63,46.38
1998-04-15,47.0,78700.0,48.13,48.13,46.63
1998-04-16,48.13,83400.0,48.13,46.69,46.13
1998-04-17,46.69,22100.0,47.25,47.25,46.38
1998-04-20,47.25,21800.0,47.25,47.13,46.63
1998-04-21,47.13,78900.0,47.25,47.13,46.5
1998-04-22,47.5,87700.0,47.5,47.5,46.5
1998-04-23,47.5,196200.0,47.5,46.88,46.75
1998-04-24,46.75,60900.0,46.75,45.25,44.0
1998-04-27,44.63,294100.0,44.63,42.0,41.63
1998-04-28,42.13,474100.0,43.75,43.0,42.13
1998-04-29,42.88,92900.0,43.25,43.13,42.88
1998-04-30,44.0,148300.0,44.0,42.5,42.0
1998-05-01,42.25,95300.0,42.75,41.88,41.75
1998-05-04,41.88,402000.0,42.88,42.75,41.88
1998-05-05,43.0,174100.0,43.0,42.0,42.0
1998-05-06,43.0,153600.0,43.25,42.88,41.75
1998-05-07,42.63,196200.0,44.0,43.88,42.63
1998-05-08,45.0,273900.0,45.0,43.25,42.88
1998-05-11,43.0,181100.0,43.63,41.5,41.5
