date,1. open,5. volume,2. high,4. close,3. low
2004-08-16,12.5,188800.0,12.53,12.5,12.5
2004-08-17,12.5,153600.0,12.54,12.51,12.5
2004-08-18,12.5,149800.0,12.65,12.51,12.5
2004-08-19,12.5,126900.0,12.55,12.53,12.5
2004-08-20,12.53,144900.0,12.59,12.55,12.5
2004-08-23,12.55,64400.0,12.59,12.55,12.5
2004-08-24,12.55,382900.0,12.99,12.98,12.55
2004-08-25,12.75,500200.0,13.09,13.0,12.75
2004-08-26,13.05,435200.0,13.45,13.38,12.95
2004-08-27,13.4,694300.0,13.63,13.45,13.21
2004-08-30,13.45,119100.0,13.59,13.48,13.35
2004-08-31,13.54,261900.0,13.8,13.8,13.0
2004-09-01,14.3,170900.0,14.38,13.65,13.42
2004-09-02,13.65,149200.0,13.88,13.79,13.1
2004-09-03,13.55,88600.0,13.84,13.65,13.5
2004-09-07,13.55,101100.0,13.85,13.8,13.46
2004-09-08,13.8,93800.0,13.83,13.65,13.61
2004-09-09,13.65,113900.0,13.71,13.49,13.41
2004-09-10,13.4,139900.0,13.73,13.6,13.25
2004-09-13,13.1,223700.0,13.75,13.71,12.94
2004-09-14,13.65,130000.0,13.65,13.51,13.3
2004-09-15,13.3,138800.0,13.55,13.35,13.09
2004-09-16,13.35,126300.0,13.48,13.33,13.1
2004-09-17,12.55,400200.0,13.64,13.64,12.55
2004-09-20,13.54,112300.0,13.64,13.35,13.13
2004-09-21,13.3,243700.0,13.6,13.47,13.28
2004-09-22,13.2,455800.0,13.62,13.5,13.05
2004-09-23,13.4,211000.0,13.65,13.29,13.22
2004-09-24,13.3,67500.0,13.55,13.5,13.25
2004-09-27,13.55,182200.0,13.55,13.05,12.93
2004-09-28,13.06,202900.0,13.14,12.91,12.63
2004-09-29,13.11,159900.0,13.12,12.88,12.6
2004-09-30,12.85,1156500.0,12.85,12.75,12.3
2004-10-01,12.76,217900.0,13.06,13.0,12.6
2004-10-04,13.01,122500.0,13.05,12.94,12.9
2004-10-05,12.9,128300.0,13.03,12.86,12.82
2004-10-06,12.86,447600.0,13.15,13.1,12.86
2004-10-07,13.0,160200.0,13.39,13.02,12.96
2004-10-08,13.05,118000.0,13.22,13.22,13.0
2004-10-11,13.22,90300.0,13.25,13.1,13.0
2004-10-12,13.1,69000.0,13.25,13.1,12.97
2004-10-13,13.15,75500.0,13.3,12.96,12.95
2004-10-14,12.96,44100.0,13.06,13.06,12.93
2004-10-15,13.04,73600.0,13.17,12.98,12.87
2004-10-18,13.05,52000.0,13.4,13.12,12.91
2004-10-19,13.1,56200.0,13.5,13.05,13.05
2004-10-20,12.95,57400.0,13.1,13.1,12.85
2004-10-21,13.05,49500.0,13.4,13.38,12.9
2004-10-22,13.38,75200.0,13.5,13.3,13.29
2004-10-25,13.27,99500.0,13.49,13.3,13.2
2004-10-26,13.25,137200.0,13.7,13.55,13.2
2004-10-27,13.5,173800.0,14.0,13.9,13.4
2004-10-28,14.0,107400.0,14.26,13.92,13.8
2004-10-29,13.95,233700.0,13.96,13.86,13.5
2004-11-01,13.76,60200.0,13.96,13.74,13.59
2004-11-02,13.84,93500.0,14.1,13.86,13.8
2004-11-03,13.9,84400.0,14.05,13.9,13.6
2004-11-04,13.9,47500.0,14.24,14.0,13.8
2004-11-05,14.0,55700.0,14.15,14.05,13.8
2004-11-08,14.1,63500.0,14.18,14.05,13.95
2004-11-09,14.05,129100.0,14.24,14.08,13.8
2004-11-10,14.07,59300.0,14.47,14.13,13.7
2004-11-11,14.13,44800.0,14.2,14.15,14.0
2004-11-12,14.15,39100.0,14.21,14.1,14.04
2004-11-15,14.1,133400.0,14.55,14.35,13.85
2004-11-16,14.2,74900.0,14.2,14.1,13.65
2004-11-17,14.15,120700.0,14.39,14.2,14.1
2004-11-18,14.1,43800.0,14.25,14.05,13.83
2004-11-19,14.06,22100.0,14.15,14.05,13.91
2004-11-22,14.05,71600.0,14.18,14.18,13.8
2004-11-23,14.4,108600.0,14.4,14.14,13.7
2004-11-24,14.14,80900.0,14.2,13.98,13.9
2004-11-26,13.98,25400.0,14.0,13.9,13.86
2004-11-29,13.95,115500.0,14.1,14.0,13.85
2004-11-30,14.1,83400.0,14.1,13.9,13.71
2004-12-01,13.85,145900.0,14.11,14.0,13.71
2004-12-02,14.05,46500.0,14.25,14.2,14.05
2004-12-03,14.2,75400.0,14.4,14.35,14.2
2004-12-06,14.45,94800.0,14.45,14.15,14.0
2004-12-07,14.15,326800.0,14.2,14.0,13.89
2004-12-08,14.01,621000.0,14.15,14.05,14.0
2004-12-09,13.85,84700.0,13.86,13.75,13.65
2004-12-10,13.75,83300.0,13.79,13.68,13.58
2004-12-13,13.75,98600.0,13.88,13.69,13.27
2004-12-14,13.58,139100.0,13.7,13.51,13.45
2004-12-15,13.51,75000.0,13.68,13.36,13.35
2004-12-16,13.36,192700.0,13.6,13.39,13.26
2004-12-17,13.47,134800.0,13.47,13.29,13.22
2004-12-20,13.2,63600.0,13.4,13.28,13.19
2004-12-21,13.3,112300.0,13.37,13.36,13.25
2004-12-22,13.36,71200.0,13.6,13.56,13.26
2004-12-23,13.65,44100.0,13.79,13.55,13.5
2004-12-27,13.55,31500.0,13.67,13.43,13.32
2004-12-28,13.43,50400.0,13.67,13.6,13.35
2004-12-29,13.65,58800.0,13.66,13.35,13.2
2004-12-30,13.4,98600.0,13.63,13.4,13.33
2004-12-31,13.5,43700.0,13.5,13.33,13.26
2005-01-03,13.35,157500.0,13.48,13.29,12.82
2005-01-04,13.4,74700.0,13.8,13.42,13.4
2005-01-05,13.5,77800.0,13.5,13.0,12.96
2005-01-06,13.1,60800.0,13.58,13.45,13.0
2005-01-07,13.5,68600.0,13.95,13.76,13.28
2005-01-10,13.66,123200.0,13.72,13.41,13.4
2005-01-11,13.4,41800.0,13.49,13.46,13.1
2005-01-12,13.55,120200.0,13.57,13.5,13.11
2005-01-13,13.4,281100.0,13.43,13.05,13.0
2005-01-14,13.25,525800.0,13.86,13.86,13.19
2005-01-18,13.45,790700.0,13.45,13.25,12.95
2005-01-19,13.2,1628200.0,13.44,13.3,12.8
2005-01-20,13.4,229000.0,13.4,13.15,13.1
2005-01-21,13.18,64500.0,13.2,13.18,13.07
2005-01-24,13.17,161900.0,13.25,13.23,13.13
2005-01-25,13.23,246300.0,13.3,13.11,12.95
2005-01-26,13.2,94400.0,13.2,12.95,12.8
2005-01-27,12.95,61500.0,13.06,13.0,12.94
2005-01-28,13.1,114800.0,13.1,12.94,12.8
2005-01-31,12.98,208200.0,13.06,12.97,12.75
2005-02-01,12.97,283000.0,13.09,13.05,12.95
2005-02-02,13.07,162300.0,13.19,12.96,12.81
2005-02-03,13.08,76800.0,13.17,13.0,12.88
2005-02-04,12.9,175800.0,13.31,13.2,12.88
2005-02-07,13.29,65300.0,13.37,13.27,13.22
2005-02-08,13.27,65200.0,13.35,13.35,13.25
2005-02-09,13.37,87300.0,13.46,13.29,13.2
2005-02-10,13.39,90200.0,13.58,13.52,13.3
2005-02-11,13.52,84100.0,13.95,13.84,13.52
2005-02-14,13.94,68000.0,14.15,13.79,13.6
2005-02-15,13.8,82800.0,14.1,13.65,13.55
2005-02-16,13.75,135200.0,14.15,14.03,13.7
2005-02-17,14.13,102200.0,14.13,14.03,13.65
2005-02-18,14.13,230400.0,14.13,13.98,13.76
2005-02-22,13.98,75400.0,13.98,13.71,13.65
2005-02-23,13.81,60400.0,13.95,13.8,13.75
2005-02-24,13.82,227200.0,13.92,13.8,13.64
2005-02-25,13.75,112000.0,14.25,14.0,13.75
2005-02-28,14.0,102500.0,14.0,13.9,13.7
