date,1. open,5. volume,2. high,4. close,3. low
2001-06-20,24.0,11000.0,24.5,23.9,23.9
2001-06-21,24.5,39300.0,25.5,25.5,24.5
2001-06-22,25.5,33800.0,25.65,25.6,25.5
2001-06-25,25.9,9100.0,26.5,26.5,25.9
2001-06-26,26.5,109800.0,26.5,26.45,26.15
2001-06-27,26.45,185300.0,26.6,26.6,26.44
2001-06-28,26.8,66000.0,27.5,27.5,26.8
2001-06-29,27.55,71300.0,28.1,28.0,27.55
2001-07-02,28.0,69700.0,28.4,28.0,28.0
2001-07-03,28.01,56200.0,28.16,28.05,28.01
2001-07-05,28.05,61900.0,28.05,27.95,27.94
2001-07-06,27.95,3337400.0,30.0,30.0,26.9
2001-07-09,30.0,1674700.0,31.3,29.91,29.8
2001-07-10,29.91,1210400.0,30.01,28.55,28.55
2001-07-11,28.45,2426400.0,29.01,28.5,28.38
2001-07-12,28.51,1294600.0,30.2,29.45,28.51
2001-07-13,29.35,709500.0,30.02,29.0,28.99
2001-07-16,29.0,593900.0,29.61,28.75,28.52
2001-07-17,28.75,837100.0,29.75,29.59,28.71
2001-07-18,29.52,396600.0,30.0,29.49,29.43
2001-07-19,29.44,303600.0,29.51,28.9,28.81
2001-07-20,28.8,519000.0,29.15,28.96,28.8
2001-07-23,28.96,206100.0,29.01,29.01,28.6
2001-07-24,28.95,268600.0,29.3,28.98,28.74
2001-07-25,28.97,385200.0,29.79,29.55,28.75
2001-07-26,29.4,208500.0,29.95,29.93,29.18
2001-07-27,29.92,274600.0,30.55,30.53,29.9
2001-07-30,30.54,289200.0,32.15,31.62,30.54
2001-07-31,31.6,357300.0,33.5,33.02,31.6
2001-08-01,33.1,759800.0,34.28,34.0,33.1
2001-08-02,33.95,365500.0,34.2,33.71,33.66
2001-08-03,33.5,139800.0,33.55,32.65,32.6
2001-08-06,32.8,161700.0,32.9,32.14,32.08
2001-08-07,32.14,186400.0,32.7,32.45,32.1
2001-08-08,32.5,322400.0,32.6,32.49,32.0
2001-08-09,32.5,169400.0,32.6,32.51,32.35
2001-08-10,32.51,328500.0,32.75,32.15,32.1
2001-08-13,32.14,396200.0,32.14,32.0,31.99
2001-08-14,33.0,269000.0,33.0,32.79,32.48
2001-08-15,32.8,307000.0,33.1,32.0,32.0
2001-08-16,32.0,280600.0,32.15,32.0,31.8
2001-08-17,31.95,211200.0,32.25,32.24,31.79
2001-08-20,32.24,150900.0,32.24,32.24,32.24
2001-08-21,32.0,321800.0,32.45,32.3,32.0
2001-08-22,32.2,234300.0,32.63,32.5,32.15
2001-08-23,32.25,72300.0,32.5,32.4,32.2
2001-08-24,32.35,69600.0,32.4,32.35,32.2
2001-08-27,32.35,80900.0,32.73,32.65,32.35
2001-08-28,32.72,241000.0,32.72,32.38,32.31
2001-08-29,32.38,261600.0,32.74,32.73,32.3
2001-08-30,33.12,182300.0,33.12,33.01,32.68
2001-08-31,33.25,277600.0,34.36,34.36,33.25
2001-09-04,34.35,760800.0,35.1,34.9,34.33
2001-09-05,34.9,296900.0,34.9,33.72,33.71
2001-09-06,33.7,333900.0,33.7,33.0,32.83
2001-09-07,33.0,186200.0,33.05,32.64,32.5
2001-09-10,32.5,179400.0,32.86,32.75,32.5
2001-09-17,32.0,279800.0,32.05,30.09,29.99
2001-09-18,30.09,389000.0,30.78,30.75,29.98
2001-09-19,31.2,222200.0,31.2,30.82,30.34
2001-09-20,30.85,653700.0,30.85,29.87,29.3
2001-09-21,29.9,685900.0,29.9,29.64,27.75
2001-09-24,30.0,364400.0,30.0,29.43,28.75
2001-09-25,29.43,245300.0,29.43,29.43,29.43
2001-09-26,28.72,619500.0,28.72,25.6,25.6
2001-09-27,25.6,597300.0,25.95,24.98,24.81
2001-09-28,25.0,1213300.0,26.25,25.96,25.0
2001-10-01,26.05,208600.0,28.24,28.23,26.0
2001-10-02,28.25,179100.0,28.45,28.0,27.79
2001-10-03,29.25,235300.0,29.25,29.22,27.82
2001-10-04,31.9,274100.0,31.9,31.0,29.2
2001-10-05,30.95,176000.0,30.95,30.19,29.4
2001-10-08,30.75,246600.0,30.75,28.51,28.51
2001-10-09,30.2,397600.0,30.2,29.89,26.75
2001-10-10,29.9,347100.0,30.3,29.74,29.5
2001-10-11,29.74,339700.0,29.74,28.79,28.55
2001-10-12,28.8,468100.0,28.9,27.81,27.8
2001-10-15,27.79,453100.0,30.0,29.0,27.3
