date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,81.38,295644.0,81.5,81.5,79.88
1998-01-05,81.0,347244.0,83.25,82.75,81.0
1998-01-06,82.0,483867.0,82.88,82.63,81.25
1998-01-07,82.13,259244.0,82.5,80.88,80.0
1998-01-08,79.88,215778.0,80.5,80.0,79.5
1998-01-09,79.88,411778.0,80.5,79.0,78.75
1998-01-12,78.88,384578.0,79.88,79.0,77.5
1998-01-13,79.5,208578.0,81.25,80.5,79.5
1998-01-14,80.38,806667.0,80.38,76.0,75.63
1998-01-15,76.75,697600.0,76.75,75.81,74.25
1998-01-16,76.75,513378.0,77.25,76.75,76.0
1998-01-20,77.5,504000.0,78.0,77.5,76.5
1998-01-21,77.5,428400.0,78.75,77.88,76.75
1998-01-22,77.88,287067.0,78.38,78.0,77.25
1998-01-23,77.63,230178.0,77.88,76.13,76.0
1998-01-26,77.0,259244.0,77.0,76.0,75.88
1998-01-27,76.13,398267.0,78.0,77.81,76.0
1998-01-28,78.0,194844.0,78.38,78.19,77.5
1998-01-29,77.75,344000.0,79.63,78.88,77.63
1998-01-30,78.38,330978.0,78.88,76.25,76.25
1998-02-02,77.13,437200.0,78.25,77.88,77.06
1998-02-03,77.88,394444.0,79.38,79.31,77.25
1998-02-04,78.25,296400.0,78.63,78.44,77.88
1998-02-05,78.5,156444.0,78.5,77.75,77.25
1998-02-06,77.63,247867.0,79.25,79.13,77.63
1998-02-09,78.94,136800.0,79.13,79.0,78.38
1998-02-10,79.13,149644.0,79.75,79.0,78.88
1998-02-11,79.13,122400.0,79.75,79.38,78.88
1998-02-12,79.63,301200.0,79.75,79.56,77.63
1998-02-13,79.0,127378.0,79.56,79.38,78.56
1998-02-17,78.88,459867.0,79.63,79.38,78.38
1998-02-18,79.25,349644.0,80.13,79.94,79.13
1998-02-19,79.94,398667.0,79.94,79.44,79.13
1998-02-20,79.63,425200.0,80.0,79.38,79.13
1998-02-23,79.63,216267.0,80.0,79.25,78.75
1998-02-24,79.19,190000.0,79.5,79.13,79.06
1998-02-25,79.5,264800.0,80.88,79.94,79.25
1998-02-26,80.25,138978.0,80.5,80.25,79.13
1998-02-27,79.94,154844.0,80.0,79.0,78.75
1998-03-02,79.38,216978.0,79.5,78.16,77.19
1998-03-03,77.88,203600.0,79.0,78.06,77.38
1998-03-04,78.38,155378.0,78.63,78.0,77.5
1998-03-05,77.0,186844.0,77.75,77.19,76.0
1998-03-06,77.13,260444.0,78.25,78.25,77.13
1998-03-09,78.0,143867.0,79.13,78.13,77.38
1998-03-10,78.13,133378.0,79.13,79.13,77.75
1998-03-11,78.88,116978.0,79.13,79.0,78.5
1998-03-12,78.5,162000.0,79.13,78.91,78.13
1998-03-13,79.0,169378.0,79.38,78.5,78.25
1998-03-16,78.88,262800.0,81.63,81.38,78.25
1998-03-17,81.5,580044.0,83.25,82.94,79.88
1998-03-18,82.63,274844.0,82.88,82.41,81.5
1998-03-19,82.5,200400.0,83.75,82.06,81.75
1998-03-20,82.13,467778.0,84.38,84.31,82.06
1998-03-23,83.5,311378.0,84.5,83.88,83.38
1998-03-24,83.63,304444.0,85.25,84.5,83.63
1998-03-25,85.0,374400.0,86.0,84.56,84.13
1998-03-26,84.5,352667.0,86.63,86.5,84.25
1998-03-27,86.75,460400.0,88.25,84.5,84.5
1998-03-30,84.5,192178.0,85.75,84.44,84.38
1998-03-31,84.63,432444.0,87.38,85.5,84.63
1998-04-01,85.0,234044.0,85.63,85.13,84.25
1998-04-02,85.25,411600.0,87.5,87.0,84.88
1998-04-03,87.38,211067.0,88.25,87.88,86.25
1998-04-06,88.38,291867.0,89.25,87.75,87.75
1998-04-07,88.0,155067.0,88.0,86.88,85.5
1998-04-08,86.81,201600.0,86.81,85.38,84.63
1998-04-09,85.38,158267.0,86.25,86.13,85.13
1998-04-13,86.5,306444.0,88.0,86.25,85.63
1998-04-14,85.75,183200.0,87.88,87.5,85.25
1998-04-15,87.63,239244.0,88.25,87.81,86.5
1998-04-16,58.38,239511.0,58.38,56.31,56.0
1998-04-17,56.88,414800.0,57.88,57.88,55.75
1998-04-20,58.06,365200.0,58.25,56.25,56.13
1998-04-21,56.44,385067.0,57.25,56.44,55.5
1998-04-22,57.13,256467.0,57.75,57.13,56.38
