date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,20.38,515200.0,20.38,20.31,19.75
1998-01-05,20.69,438500.0,20.81,20.81,20.5
1998-01-06,20.75,161100.0,20.81,20.75,20.31
1998-01-07,20.62,251000.0,20.62,20.31,20.25
1998-01-08,20.12,321500.0,20.81,20.81,19.81
1998-01-09,20.69,425500.0,20.69,19.69,19.62
1998-01-12,19.38,1732600.0,19.38,18.94,18.56
1998-01-13,19.06,826100.0,19.25,19.19,19.0
1998-01-14,19.5,537800.0,20.0,20.0,19.25
1998-01-15,20.19,165000.0,20.19,19.75,19.69
1998-01-16,19.88,417300.0,20.12,19.94,19.88
1998-01-20,20.06,469800.0,20.25,20.06,19.94
1998-01-21,19.94,547700.0,20.31,20.31,19.88
1998-01-22,20.12,259800.0,20.12,20.0,19.88
1998-01-23,19.94,230200.0,20.0,19.94,19.75
1998-01-26,20.0,196400.0,20.25,20.0,19.91
1998-01-27,19.94,263200.0,20.19,19.81,19.75
1998-01-28,19.81,317100.0,20.81,20.56,19.81
1998-01-29,20.56,1035900.0,22.31,21.62,20.56
1998-01-30,21.69,394600.0,22.0,21.75,21.56
1998-02-02,22.0,898200.0,22.31,22.31,21.88
1998-02-03,22.19,604100.0,22.69,22.69,21.94
1998-02-04,22.56,225400.0,22.62,22.19,22.06
1998-02-05,22.25,458200.0,22.75,22.06,22.0
1998-02-06,22.06,320400.0,22.12,21.56,21.5
1998-02-09,21.62,264700.0,22.31,22.25,21.5
1998-02-10,22.25,448700.0,22.94,22.88,22.25
1998-02-11,22.81,305400.0,23.12,22.81,22.62
1998-02-12,22.81,310300.0,23.38,23.31,22.62
1998-02-13,23.44,240100.0,23.44,23.06,23.0
1998-02-17,23.19,277000.0,23.38,23.31,23.06
1998-02-18,23.06,306100.0,23.81,23.75,23.0
1998-02-19,23.5,135600.0,23.81,23.44,23.12
1998-02-20,23.44,456100.0,24.0,24.0,23.06
1998-02-23,24.25,267300.0,24.25,23.81,23.69
1998-02-24,23.81,158500.0,23.88,23.75,23.62
1998-02-25,23.62,321800.0,23.69,23.38,23.31
1998-02-26,23.38,141000.0,23.94,23.94,23.25
1998-02-27,23.81,134300.0,23.81,23.75,23.44
1998-03-02,23.5,231700.0,23.69,23.19,23.12
1998-03-03,23.12,216400.0,24.0,23.94,23.06
1998-03-04,23.69,112800.0,23.81,23.62,23.5
1998-03-05,23.5,207000.0,23.5,23.31,23.06
1998-03-06,23.25,250800.0,23.88,23.88,23.25
1998-03-09,23.75,294700.0,24.5,24.31,23.62
1998-03-10,24.31,173500.0,24.44,24.38,24.0
1998-03-11,24.31,179500.0,24.31,24.0,23.81
1998-03-12,24.25,736400.0,25.06,24.0,23.81
1998-03-13,24.0,911100.0,24.75,24.25,23.88
1998-03-16,24.38,503200.0,25.25,25.19,24.38
1998-03-17,25.19,906800.0,26.0,25.75,25.06
1998-03-18,25.69,981800.0,26.5,26.5,25.69
1998-03-19,26.25,389100.0,26.5,26.0,25.94
1998-03-20,26.38,460200.0,26.94,26.62,26.0
1998-03-23,26.69,566400.0,27.0,26.62,26.5
1998-03-24,26.62,368800.0,26.69,26.62,26.5
1998-03-25,26.56,375100.0,26.94,26.94,26.5
1998-03-26,26.94,580400.0,27.25,26.56,26.44
1998-03-27,26.31,864700.0,26.5,25.56,25.56
1998-03-30,25.56,2015900.0,25.56,25.19,24.94
1998-03-31,25.12,1285800.0,25.12,25.0,24.81
1998-04-01,25.0,1349400.0,25.06,24.94,24.75
1998-04-02,24.88,755800.0,25.19,24.94,24.75
1998-04-03,24.94,440100.0,25.5,25.38,24.81
1998-04-06,25.38,761300.0,25.88,25.5,25.0
1998-04-07,25.44,244600.0,25.62,25.44,25.25
1998-04-08,25.56,368400.0,25.56,25.19,25.0
1998-04-09,25.12,279900.0,25.12,25.06,24.88
1998-04-13,24.94,304000.0,24.94,24.5,24.25
1998-04-14,24.38,316800.0,24.62,24.62,24.06
1998-04-15,24.56,236100.0,24.94,24.88,24.44
1998-04-16,24.88,220200.0,24.94,24.62,24.38
1998-04-17,24.62,201000.0,24.94,24.88,24.12
1998-04-20,24.88,314600.0,24.88,24.31,24.25
1998-04-21,24.31,377400.0,24.56,24.31,24.12
1998-04-22,24.38,176500.0,24.81,24.69,24.25
1998-04-23,24.56,323800.0,24.69,24.38,24.31
1998-04-24,24.25,395500.0,24.25,23.44,23.0
1998-04-27,23.31,564500.0,23.31,23.0,22.69
1998-04-28,23.19,559100.0,23.25,22.81,22.75
1998-04-29,22.88,439600.0,22.94,22.75,22.19
1998-04-30,23.0,722000.0,23.06,23.0,22.88
1998-05-01,23.12,374400.0,23.25,22.88,22.81
1998-05-04,23.0,357600.0,23.25,23.12,22.75
1998-05-05,22.94,147100.0,23.0,22.88,22.38
1998-05-06,22.69,202600.0,22.75,21.88,21.75
1998-05-07,22.0,389400.0,23.0,23.0,21.69
1998-05-08,22.12,6513900.0,22.12,21.25,20.5
1998-05-11,21.19,974700.0,21.19,20.94,20.88
1998-05-12,21.0,2771800.0,21.56,21.5,20.94
1998-05-13,21.5,1064000.0,21.56,21.31,21.25
1998-05-14,21.25,712800.0,21.38,21.12,21.12
1998-05-15,21.0,491200.0,21.06,20.81,20.81
1998-05-18,20.75,753300.0,20.81,20.38,20.31
1998-05-19,20.38,581100.0,20.81,20.5,20.38
1998-05-20,20.5,419700.0,20.69,20.5,20.38
1998-05-21,20.38,382100.0,20.94,20.56,20.38
1998-05-22,20.56,184800.0,20.56,20.44,20.38
1998-05-26,20.44,347200.0,20.44,20.06,20.0
1998-05-27,19.81,486500.0,19.88,19.5,19.5
1998-05-28,19.5,286500.0,19.62,19.56,19.44
1998-05-29,19.69,1137200.0,19.94,19.75,19.56
1998-06-01,19.75,282200.0,19.75,19.5,19.25
1998-06-02,19.56,387900.0,19.56,19.31,19.0
1998-06-03,19.25,588700.0,19.62,19.38,19.25
1998-06-04,19.12,506000.0,19.5,19.5,19.0
1998-06-05,19.75,1125500.0,20.0,19.88,19.5
1998-06-08,19.94,445300.0,20.12,19.75,19.69
1998-06-09,19.75,850700.0,20.38,20.38,19.75
1998-06-10,20.38,1499000.0,21.06,20.56,20.31
1998-06-11,20.56,626500.0,20.56,19.81,19.62
1998-06-12,19.81,512400.0,20.25,19.62,19.56
1998-06-15,19.62,286100.0,19.88,19.0,19.0
1998-06-16,19.25,506000.0,19.44,19.25,19.12
1998-06-17,19.31,431100.0,19.69,19.56,19.31
1998-06-18,19.56,192700.0,19.88,19.88,19.31
1998-06-19,19.31,410600.0,19.62,19.62,19.12
1998-06-22,19.56,217600.0,19.62,19.25,19.19
1998-06-23,19.12,368300.0,19.5,19.44,19.06
1998-06-24,19.44,517600.0,19.5,19.25,19.12
1998-06-25,19.38,975800.0,19.38,19.0,18.75
1998-06-26,18.75,465300.0,18.75,18.69,18.5
1998-06-29,18.81,318800.0,18.81,18.75,18.5
1998-06-30,18.75,741300.0,19.31,19.12,18.75
1998-07-01,19.38,876700.0,20.19,20.19,19.25
1998-07-02,20.81,1920500.0,21.5,20.88,20.81
1998-07-06,20.88,778500.0,21.0,21.0,20.62
1998-07-07,18.0,3276700.0,18.69,18.25,17.75
1998-07-08,18.12,1201500.0,18.12,18.0,17.88
1998-07-09,18.0,453500.0,18.06,17.5,17.5
1998-07-10,17.5,235100.0,17.5,17.44,17.25
1998-07-13,17.38,442300.0,17.56,17.38,17.25
1998-07-14,17.19,601800.0,17.31,16.94,16.88
1998-07-15,16.94,2146400.0,18.12,17.94,16.94
1998-07-16,17.94,1103200.0,18.0,17.5,17.25
1998-07-17,17.5,461600.0,17.56,17.0,17.0
1998-07-20,17.0,299600.0,17.06,16.94,16.81
1998-07-21,16.94,331700.0,17.12,16.81,16.81
1998-07-22,16.88,346900.0,16.88,16.75,16.38
1998-07-23,16.69,373200.0,16.69,16.31,16.25
1998-07-24,16.44,490800.0,16.56,15.81,15.69
1998-07-27,15.69,314600.0,15.69,15.56,15.25
1998-07-28,15.56,1292500.0,16.12,15.25,15.19
1998-07-29,15.38,305800.0,15.56,15.0,14.94
1998-07-30,14.88,513800.0,15.19,15.0,14.75
1998-07-31,15.0,452400.0,15.0,14.38,14.31
1998-08-03,14.38,722700.0,14.38,13.81,13.81
1998-08-04,13.81,432700.0,14.06,13.06,13.06
1998-08-05,13.06,523400.0,13.12,12.94,12.56
1998-08-06,12.88,1067900.0,14.44,14.44,12.81
1998-08-07,14.31,417200.0,14.44,14.19,13.81
1998-08-10,14.06,502800.0,14.06,13.19,13.06
1998-08-11,12.94,479400.0,13.5,13.44,12.62
1998-08-12,13.5,540600.0,13.81,13.38,13.19
1998-08-13,13.25,531000.0,13.31,12.69,12.5
1998-08-14,12.75,464300.0,12.88,12.62,12.38
1998-08-17,12.5,401500.0,13.0,12.69,12.38
1998-08-18,12.56,348000.0,12.75,12.44,12.44
1998-08-19,12.56,280300.0,12.56,12.19,12.19
1998-08-20,12.06,320600.0,12.38,12.0,11.81
1998-08-21,11.75,1087700.0,11.81,11.31,10.75
1998-08-24,11.31,662200.0,11.31,10.44,10.44
1998-08-25,10.69,1306200.0,11.09,10.94,10.69
1998-08-26,10.75,792700.0,10.94,10.56,10.56
1998-08-27,10.5,912800.0,10.5,9.56,9.44
1998-08-28,9.69,425500.0,9.88,9.38,9.19
1998-08-31,9.62,590500.0,9.69,9.06,8.88
1998-09-01,9.31,519100.0,9.69,9.62,8.75
1998-09-02,9.62,733800.0,10.12,9.56,9.38
1998-09-03,9.31,1720700.0,9.81,9.12,9.06
1998-09-04,9.25,1060200.0,9.31,8.56,8.44
1998-09-08,8.94,492700.0,9.12,8.94,8.81
1998-09-09,8.94,367400.0,9.0,8.88,8.75
1998-09-10,8.81,1451900.0,9.0,8.62,8.44
1998-09-11,8.75,499900.0,9.38,9.31,8.75
1998-09-14,9.44,360100.0,10.0,9.81,9.38
1998-09-15,9.94,742100.0,10.69,10.56,9.56
1998-09-16,10.88,1655800.0,11.44,10.44,10.38
1998-09-17,10.0,970100.0,10.31,9.81,9.81
1998-09-18,9.88,601000.0,10.12,10.12,9.88
1998-09-21,9.75,507600.0,9.81,9.81,9.44
1998-09-22,10.25,409800.0,10.69,10.0,9.75
1998-09-23,10.06,601800.0,10.25,10.12,9.94
1998-09-24,10.12,549700.0,10.12,9.62,9.62
1998-09-25,9.56,344000.0,9.75,9.5,9.31
1998-09-28,9.56,418600.0,9.88,9.19,9.0
1998-09-29,9.31,506200.0,9.38,8.94,8.88
1998-09-30,8.94,981200.0,9.0,8.69,8.44
1998-10-01,8.56,414600.0,8.56,8.38,8.12
