date,1. open,5. volume,2. high,4. close,3. low
2000-12-01,21.0,11600.0,28.12,27.0,21.0
2000-12-04,27.75,15500.0,30.0,30.0,27.25
2000-12-05,31.0,6400.0,31.0,30.25,30.0
2000-12-06,30.0,5200.0,30.38,30.0,30.0
2000-12-07,30.0,1300.0,30.0,29.62,29.62
2000-12-08,29.88,2100.0,30.0,30.0,29.88
2000-12-11,29.88,16300.0,30.38,30.38,29.62
2000-12-12,29.75,1800.0,30.25,30.25,29.75
2000-12-13,30.5,1200.0,30.75,30.75,30.5
2000-12-14,30.62,1400.0,30.62,30.5,30.5
2000-12-15,30.12,41500.0,30.25,29.5,29.5
2000-12-18,29.5,11600.0,30.25,30.25,29.5
2000-12-19,30.0,1800.0,30.5,30.25,30.0
2000-12-20,30.0,21200.0,30.0,29.5,29.25
2000-12-21,29.38,121700.0,29.38,28.88,28.75
2000-12-22,29.5,292600.0,33.19,32.69,29.5
2000-12-26,32.56,139300.0,32.88,32.31,32.12
2000-12-27,32.44,210500.0,33.06,33.06,32.44
2000-12-28,32.69,158100.0,33.25,33.19,32.63
2000-12-29,33.06,269900.0,33.31,33.06,31.75
2001-01-02,33.0,285200.0,34.63,34.25,33.0
2001-01-03,34.88,412100.0,35.13,34.75,34.31
2001-01-04,34.63,262600.0,34.75,34.63,34.25
2001-01-05,34.44,678800.0,34.69,33.63,33.5
2001-01-08,34.0,921800.0,34.06,33.69,33.5
2001-01-09,33.44,211100.0,33.63,33.56,33.31
2001-01-10,33.31,207100.0,33.63,33.56,33.25
2001-01-11,33.56,261700.0,33.69,33.44,33.19
2001-01-12,33.31,401300.0,33.44,33.25,33.25
2001-01-16,32.75,270500.0,33.13,33.0,32.75
2001-01-17,33.0,205300.0,33.75,33.44,32.88
2001-01-18,33.25,399100.0,33.56,33.44,33.06
2001-01-19,33.19,255600.0,33.38,32.94,32.81
2001-01-22,32.44,184200.0,32.88,32.44,32.19
2001-01-23,32.25,291500.0,32.63,32.63,32.0
2001-01-24,32.5,239900.0,32.69,32.56,32.0
2001-01-25,32.5,204100.0,33.25,33.19,32.5
2001-01-26,33.19,322700.0,33.44,33.19,33.06
2001-01-29,33.02,386200.0,33.18,32.82,32.75
2001-01-30,32.57,188600.0,32.57,31.82,31.7
2001-01-31,31.2,316600.0,32.54,32.44,31.2
2001-02-01,31.6,716700.0,36.0,34.51,31.6
2001-02-02,34.4,519800.0,35.25,34.12,34.1
2001-02-05,33.92,332500.0,35.35,33.7,33.7
2001-02-06,33.19,363300.0,35.19,35.01,33.19
2001-02-07,35.01,414900.0,36.45,36.22,35.01
2001-02-08,36.0,599200.0,38.01,38.01,35.89
2001-02-09,37.63,377500.0,38.52,38.52,37.3
2001-02-12,38.52,390800.0,39.47,39.4,38.26
2001-02-13,38.6,484400.0,39.9,39.19,38.46
2001-02-14,38.7,279500.0,39.1,38.7,38.45
2001-02-15,38.9,251100.0,39.43,39.18,38.86
2001-02-16,38.0,223000.0,38.3,37.54,37.24
2001-02-20,37.51,201300.0,37.89,36.2,36.2
2001-02-21,36.2,181800.0,36.56,36.1,36.07
2001-02-22,36.1,317800.0,36.75,36.71,35.67
2001-02-23,36.71,456500.0,37.15,37.05,36.7
2001-02-26,37.5,1080400.0,40.0,39.5,37.5
2001-02-27,38.5,417900.0,38.98,38.48,38.33
2001-02-28,38.0,402400.0,39.2,38.12,37.97
2001-03-01,38.75,367400.0,39.0,38.25,37.37
2001-03-02,38.15,551300.0,40.5,40.41,38.05
2001-03-05,41.0,1499400.0,47.0,46.35,40.2
2001-03-06,44.5,1928200.0,45.78,43.06,42.0
2001-03-07,42.5,1223600.0,45.3,44.8,42.5
2001-03-08,44.7,1298200.0,47.5,46.75,44.7
2001-03-09,46.0,1146800.0,46.99,46.84,45.81
2001-03-12,46.25,682800.0,47.0,46.21,46.05
2001-03-13,46.25,506100.0,46.45,45.0,44.1
2001-03-14,44.5,811000.0,45.35,42.97,42.5
2001-03-15,43.2,620300.0,45.07,44.96,43.1
2001-03-16,44.1,995300.0,44.35,44.1,43.58
2001-03-19,44.2,388100.0,44.85,43.64,43.5
2001-03-20,43.7,266500.0,44.1,43.46,43.45
2001-03-21,43.75,298500.0,43.75,42.38,42.15
2001-03-22,42.13,426500.0,42.59,40.32,39.4
2001-03-23,40.9,440500.0,41.75,41.41,40.7
2001-03-26,41.2,279000.0,42.15,41.54,41.1
2001-03-27,41.6,338000.0,41.89,41.88,41.4
2001-03-28,42.38,379200.0,42.7,42.08,42.04
2001-03-29,42.08,1605200.0,45.49,45.27,42.08
2001-03-30,45.75,1787000.0,46.0,44.5,44.4
2001-04-02,43.7,586700.0,44.58,43.23,42.7
2001-04-03,43.3,336900.0,43.5,41.43,41.05
2001-04-04,41.43,482700.0,42.5,42.22,41.4
2001-04-05,42.65,151300.0,42.99,42.32,42.14
2001-04-06,42.25,180900.0,42.32,40.97,40.61
2001-04-09,41.0,281800.0,42.15,41.97,41.0
2001-04-10,42.11,399400.0,43.0,42.69,42.05
2001-04-11,42.49,223500.0,42.65,42.05,41.89
2001-04-12,41.9,185000.0,42.6,42.16,41.62
2001-04-16,42.65,320900.0,44.1,44.0,42.65
2001-04-17,43.75,475200.0,44.54,44.5,43.6
2001-04-18,44.35,828200.0,45.45,45.24,44.35
2001-04-19,45.25,226000.0,45.33,45.0,44.64
2001-04-20,45.25,321400.0,45.49,45.13,44.9
2001-04-23,43.75,412800.0,45.55,45.55,43.75
2001-04-24,45.8,1389900.0,48.94,48.2,45.8
2001-04-25,47.5,1670000.0,51.7,51.7,47.5
2001-04-26,52.0,1720200.0,54.5,54.25,51.96
2001-04-27,54.25,630800.0,54.25,54.25,54.25
2001-04-30,54.9,1253500.0,54.91,52.71,52.26
2001-05-01,52.8,634400.0,54.8,54.65,51.5
2001-05-02,54.0,1249000.0,54.5,51.7,51.46
2001-05-03,51.6,828600.0,51.6,51.0,50.3
2001-05-04,49.95,867100.0,52.4,52.4,49.0
2001-05-07,52.4,596000.0,53.25,51.98,51.81
2001-05-08,52.2,540800.0,52.75,52.09,51.8
2001-05-09,52.2,359300.0,52.45,51.68,51.21
2001-05-10,51.93,929000.0,54.89,54.35,51.88
2001-05-11,54.35,408700.0,54.8,53.76,53.35
2001-05-14,53.51,317600.0,54.1,53.98,53.5
2001-05-15,53.4,286900.0,53.9,53.71,53.38
2001-05-16,53.94,1939000.0,57.0,56.9,53.66
2001-05-17,57.0,1800900.0,59.85,59.0,57.0
2001-05-18,58.8,845000.0,59.04,58.5,57.71
2001-05-21,58.2,779800.0,58.89,58.81,57.9
2001-05-22,58.81,1424600.0,63.2,62.65,58.8
2001-05-23,62.64,721500.0,62.64,60.54,60.27
2001-05-24,60.65,780600.0,61.06,60.55,57.71
2001-05-25,60.5,396200.0,60.7,58.25,58.15
2001-05-29,58.25,355800.0,59.0,58.21,57.4
2001-05-30,57.96,538200.0,58.73,58.27,56.5
2001-05-31,58.4,529900.0,59.5,58.32,58.19
2001-06-01,58.54,464700.0,58.8,57.71,56.95
2001-06-04,57.96,388700.0,58.55,57.4,57.31
2001-06-05,57.5,693900.0,57.67,54.76,54.5
2001-06-06,54.76,544300.0,54.76,52.8,52.5
2001-06-07,52.25,792100.0,53.21,52.75,52.0
2001-06-08,53.0,425600.0,53.85,53.15,52.58
2001-06-11,53.3,343300.0,53.49,52.11,51.76
2001-06-12,51.86,461500.0,52.49,52.14,51.45
2001-06-13,52.3,575500.0,54.72,54.12,52.3
2001-06-14,54.37,586500.0,54.37,53.72,53.1
2001-06-15,52.6,997400.0,53.75,53.0,52.06
2001-06-18,52.65,427500.0,53.74,53.18,52.51
2001-06-19,53.6,416300.0,54.85,52.07,52.07
2001-06-20,52.2,1989200.0,53.1,45.0,44.96
2001-06-21,45.0,2371000.0,48.84,48.78,44.86
2001-06-22,44.0,3531600.0,45.5,45.04,43.28
2001-06-25,45.29,679400.0,46.2,43.7,43.48
2001-06-26,42.5,585800.0,44.5,43.85,42.5
2001-06-27,43.6,348700.0,44.4,43.68,43.06
2001-06-28,43.68,540200.0,45.1,44.06,43.05
