date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,67.25,89300.0,67.75,67.69,66.75
1998-01-05,67.94,96800.0,68.25,67.5,67.0
1998-01-06,67.63,90500.0,68.38,67.5,67.38
1998-01-07,67.75,73200.0,67.75,66.38,66.13
1998-01-08,66.38,98200.0,66.38,65.75,65.0
1998-01-09,65.75,116900.0,65.88,62.63,62.31
1998-01-12,62.25,93300.0,64.13,64.13,62.25
1998-01-13,64.13,115000.0,64.88,63.75,63.25
1998-01-14,63.94,71300.0,64.0,64.0,63.0
1998-01-15,64.25,58500.0,64.25,62.88,62.81
1998-01-16,63.25,98800.0,64.25,64.0,63.25
1998-01-20,64.38,60700.0,64.63,64.31,63.81
1998-01-21,64.56,97400.0,65.31,64.06,63.75
1998-01-22,64.0,37800.0,64.5,64.06,63.88
1998-01-23,64.31,91400.0,64.81,64.38,63.75
1998-01-26,64.31,131300.0,65.44,64.69,64.31
1998-01-27,64.69,168000.0,65.75,65.31,64.31
1998-01-28,65.63,81200.0,66.88,66.56,65.63
1998-01-29,66.38,82600.0,67.75,67.19,66.38
1998-01-30,67.13,84200.0,67.63,67.25,67.06
1998-02-02,67.75,113600.0,68.38,68.19,67.75
1998-02-03,68.25,214500.0,68.5,68.19,67.84
1998-02-04,68.0,328200.0,69.19,68.88,68.0
1998-02-05,69.0,115300.0,70.0,69.94,68.88
1998-02-06,69.94,75200.0,70.56,69.81,69.5
1998-02-09,70.0,94400.0,70.25,68.75,68.75
1998-02-10,68.75,132900.0,70.94,70.63,68.75
1998-02-11,70.75,61200.0,71.13,71.13,70.75
1998-02-12,70.63,83400.0,71.25,71.19,69.56
1998-02-13,71.13,43000.0,71.88,71.06,71.0
1998-02-17,70.88,90500.0,71.88,70.13,69.75
1998-02-18,70.13,77300.0,71.94,71.56,70.0
1998-02-19,71.44,41000.0,71.44,70.38,70.25
1998-02-20,70.63,60600.0,71.25,71.0,70.5
1998-02-23,71.13,75800.0,71.25,70.81,70.5
1998-02-24,70.81,45400.0,70.81,70.38,69.88
1998-02-25,70.63,97300.0,71.63,70.81,70.56
1998-02-26,70.81,72500.0,72.31,71.75,70.63
1998-02-27,72.0,60100.0,72.5,72.38,71.88
1998-03-02,72.38,91400.0,73.5,73.13,72.13
1998-03-03,72.88,74700.0,73.06,72.69,72.25
1998-03-04,72.69,273400.0,72.75,70.5,70.5
1998-03-05,70.38,60000.0,71.25,70.81,70.31
1998-03-06,71.0,63800.0,72.25,71.56,71.0
1998-03-09,71.75,26000.0,72.0,71.38,71.31
1998-03-10,71.88,46800.0,72.56,72.56,71.75
1998-03-11,72.38,180000.0,73.38,73.19,72.38
1998-03-12,73.25,61800.0,73.5,72.88,72.63
1998-03-13,72.88,64400.0,73.25,72.81,72.5
1998-03-16,72.81,87200.0,73.44,73.38,72.75
1998-03-17,73.63,91400.0,74.69,74.25,73.5
1998-03-18,74.38,52600.0,74.69,73.44,73.25
1998-03-19,73.44,47700.0,74.38,74.38,73.44
1998-03-20,74.44,130100.0,75.0,74.88,74.44
1998-03-23,75.0,79900.0,75.44,75.25,74.81
1998-03-24,75.25,115500.0,76.25,75.88,75.25
1998-03-25,76.13,121200.0,76.56,76.31,76.0
1998-03-26,76.38,71600.0,77.13,76.94,76.19
1998-03-27,77.0,283400.0,78.63,77.94,77.0
1998-03-30,77.75,72200.0,78.19,78.0,77.5
1998-03-31,78.0,129000.0,78.56,78.5,78.0
1998-04-01,78.5,199800.0,80.88,80.81,78.38
1998-04-02,81.25,155000.0,82.0,82.0,80.88
1998-04-03,82.13,63600.0,82.19,81.38,81.0
1998-04-06,81.38,81300.0,82.19,80.31,80.31
1998-04-07,80.38,51700.0,80.63,79.63,79.5
1998-04-08,79.63,52800.0,80.0,79.0,78.88
1998-04-09,79.0,71300.0,79.44,79.31,78.69
1998-04-13,79.06,51300.0,79.19,79.0,78.13
1998-04-14,78.81,129000.0,79.56,79.19,78.31
1998-04-15,78.94,88000.0,79.0,78.88,78.0
1998-04-16,78.75,91100.0,79.31,78.5,78.25
1998-04-17,78.75,41300.0,80.0,79.75,78.69
1998-04-20,80.13,89400.0,80.44,79.38,79.06
1998-04-21,79.25,59500.0,79.25,79.06,78.0
1998-04-22,79.13,38800.0,79.56,78.81,78.75
1998-04-23,78.63,35300.0,78.88,78.06,77.63
1998-04-24,77.88,35200.0,78.25,77.06,77.0
1998-04-27,76.81,56600.0,76.88,76.38,76.06
1998-04-28,76.38,58300.0,76.63,76.31,76.0
1998-04-29,76.13,72100.0,76.63,76.44,75.94
1998-04-30,76.69,75400.0,77.81,77.56,76.38
1998-05-01,77.81,40200.0,77.81,77.31,76.5
1998-05-04,77.75,32300.0,77.75,77.31,77.13
1998-05-05,77.5,309000.0,77.5,76.63,76.25
1998-05-06,76.63,88600.0,76.81,76.19,75.63
1998-05-07,76.19,66200.0,76.38,76.0,75.75
1998-05-08,76.06,43100.0,77.63,77.0,76.06
1998-05-11,76.75,38800.0,77.63,77.06,76.69
1998-05-12,77.13,36500.0,77.38,77.13,76.19
1998-05-13,76.94,44400.0,77.13,77.0,76.69
1998-05-14,77.25,58000.0,77.44,76.75,76.75
1998-05-15,76.94,49600.0,77.38,76.44,76.38
1998-05-18,76.25,118700.0,76.63,75.13,74.63
1998-05-19,74.88,143700.0,75.63,75.06,74.63
1998-05-20,75.06,29700.0,75.88,75.81,75.0
1998-05-21,76.0,38400.0,76.63,75.63,75.63
1998-05-22,75.25,48400.0,75.63,75.19,74.81
1998-05-26,75.88,188500.0,78.5,77.0,75.88
1998-05-27,77.06,98000.0,77.06,76.19,75.63
1998-05-28,76.25,79100.0,77.38,76.94,75.63
1998-05-29,76.94,112000.0,77.0,76.44,75.88
1998-06-01,76.63,116700.0,77.5,77.19,76.56
1998-06-02,77.0,95900.0,77.69,77.13,77.0
1998-06-03,77.25,79000.0,77.38,76.81,76.75
1998-06-04,76.63,105400.0,76.75,75.25,75.13
1998-06-05,75.13,65800.0,76.0,76.0,75.13
1998-06-08,76.0,310600.0,76.0,75.75,75.56
1998-06-09,75.63,77800.0,75.88,75.0,74.63
1998-06-10,74.88,87000.0,74.94,74.38,74.31
1998-06-11,74.0,60000.0,74.38,72.19,72.19
1998-06-12,72.06,47800.0,72.13,72.0,70.88
1998-06-15,72.13,44400.0,72.13,70.31,70.13
1998-06-16,70.31,324900.0,71.44,70.69,70.25
1998-06-17,70.63,82000.0,71.69,71.06,70.63
1998-06-18,70.94,71800.0,71.13,70.63,69.75
1998-06-19,70.13,85900.0,70.31,69.13,68.88
1998-06-22,69.13,86500.0,69.38,67.88,67.75
1998-06-23,67.38,99900.0,68.0,67.81,66.5
1998-06-24,67.88,153800.0,69.06,69.0,67.81
1998-06-25,69.25,76600.0,69.75,68.31,68.31
1998-06-26,68.25,57800.0,69.13,68.75,68.25
1998-06-29,69.0,70600.0,69.38,68.63,68.5
1998-06-30,68.5,287800.0,69.13,68.19,68.19
1998-07-01,68.38,42700.0,69.06,68.88,67.88
1998-07-02,69.13,71100.0,69.25,68.5,68.13
1998-07-06,68.5,66300.0,69.44,69.31,68.5
1998-07-07,69.13,95000.0,69.13,67.88,67.88
1998-07-08,68.25,33100.0,68.38,68.13,67.94
1998-07-09,68.75,80800.0,68.81,66.88,66.88
1998-07-10,67.13,32600.0,67.19,67.06,66.63
1998-07-13,66.81,48500.0,67.25,65.5,65.0
1998-07-14,65.38,63900.0,66.88,66.19,65.38
1998-07-15,66.0,96600.0,66.25,65.88,65.75
1998-07-16,67.0,113100.0,67.13,65.88,65.75
1998-07-17,65.88,113500.0,66.38,64.56,64.25
1998-07-20,64.13,164600.0,64.5,63.25,62.75
1998-07-21,63.44,109000.0,64.31,63.75,63.38
1998-07-22,63.75,111600.0,64.25,63.94,63.75
1998-07-23,63.81,127700.0,64.38,64.0,63.63
1998-07-24,63.88,144800.0,64.75,64.06,63.88
1998-07-27,63.81,119900.0,64.81,64.31,63.81
1998-07-28,64.06,113900.0,64.63,63.31,62.31
1998-07-29,63.19,137000.0,65.13,64.38,63.13
1998-07-30,64.13,127800.0,65.94,64.94,64.13
1998-07-31,64.88,87000.0,64.94,63.88,63.88
1998-08-03,64.0,148400.0,64.5,64.13,64.0
1998-08-04,64.06,172700.0,64.38,62.5,62.5
1998-08-05,62.75,86300.0,63.5,62.81,62.63
1998-08-06,62.63,101600.0,62.88,62.56,62.0
1998-08-07,62.38,126300.0,63.88,62.94,62.25
1998-08-10,62.75,172300.0,63.0,61.25,61.13
1998-08-11,60.75,115400.0,60.75,60.13,59.75
1998-08-12,60.75,90100.0,60.75,60.63,59.75
1998-08-13,60.0,99000.0,60.5,58.69,58.63
1998-08-14,58.56,114800.0,59.25,55.5,55.5
1998-08-17,55.75,144900.0,57.75,57.75,55.63
1998-08-18,57.63,144400.0,58.44,58.38,57.31
1998-08-19,58.38,74900.0,59.31,58.94,58.38
1998-08-20,58.94,86100.0,59.81,59.5,58.94
1998-08-21,59.25,198100.0,59.5,58.19,57.5
1998-08-24,58.44,152900.0,59.94,58.94,58.44
1998-08-25,59.13,137900.0,60.06,58.81,58.75
1998-08-26,58.56,128700.0,58.88,57.44,57.38
1998-08-27,56.88,104900.0,56.88,54.5,54.44
1998-08-28,53.5,141400.0,54.94,53.38,53.38
1998-08-31,53.5,95200.0,53.75,51.75,51.75
1998-09-01,51.5,97400.0,52.75,52.0,51.5
1998-09-02,52.25,108500.0,55.0,52.69,51.38
1998-09-03,52.5,64800.0,52.75,52.75,51.31
1998-09-04,53.25,144000.0,54.63,53.0,52.31
1998-09-08,54.0,78500.0,54.38,54.38,53.63
1998-09-09,54.13,56900.0,54.5,54.31,53.75
1998-09-10,54.13,80400.0,54.31,53.25,53.19
1998-09-11,53.13,93100.0,53.88,53.5,52.75
1998-09-14,53.63,145000.0,55.75,55.75,53.63
1998-09-15,55.5,108100.0,55.5,54.56,53.94
1998-09-16,54.31,106200.0,55.13,54.13,53.88
1998-09-17,53.75,64600.0,53.75,52.81,52.5
1998-09-18,52.88,86600.0,53.38,52.75,52.19
1998-09-21,52.5,68600.0,52.88,52.25,51.63
1998-09-22,52.0,62700.0,52.63,51.94,51.13
1998-09-23,51.88,70900.0,53.06,53.0,51.88
1998-09-24,52.75,97200.0,53.0,52.44,51.13
1998-09-25,52.0,107700.0,52.0,51.56,50.56
1998-09-28,51.44,126300.0,51.75,51.69,50.81
1998-09-29,51.75,94400.0,52.5,52.5,51.75
1998-09-30,52.25,115800.0,52.75,51.56,51.5
1998-10-01,51.31,123200.0,52.5,49.19,49.13
1998-10-02,49.44,53800.0,50.44,50.25,49.0
1998-10-05,50.25,73900.0,51.63,50.81,50.25
1998-10-06,50.81,59800.0,50.88,50.75,50.19
1998-10-07,50.5,59200.0,51.5,50.44,50.0
1998-10-08,50.19,54000.0,50.88,50.69,50.0
1998-10-09,50.63,104600.0,50.94,49.19,48.38
1998-10-12,49.38,96800.0,50.44,49.81,49.31
1998-10-13,49.75,65200.0,50.25,49.81,49.63
1998-10-14,49.63,68000.0,49.94,49.06,49.0
1998-10-15,48.88,146200.0,49.13,48.81,48.5
1998-10-16,48.88,181700.0,50.38,50.0,48.63
1998-10-19,49.88,121000.0,49.94,49.13,48.75
1998-10-20,49.13,249400.0,49.5,49.38,48.25
1998-10-21,51.0,257700.0,53.0,51.94,51.0
1998-10-22,52.13,142200.0,52.13,51.56,51.25
1998-10-23,51.63,147400.0,51.63,50.44,50.25
1998-10-26,51.0,142100.0,52.06,51.19,50.81
1998-10-27,51.25,271100.0,51.25,50.44,49.5
1998-10-28,50.31,145900.0,52.13,50.56,50.31
1998-10-29,50.5,116300.0,50.81,50.69,50.0
1998-10-30,50.44,96600.0,51.88,51.06,50.44
1998-11-02,51.06,186900.0,54.5,53.38,51.06
1998-11-03,53.13,392300.0,55.5,55.13,53.13
1998-11-04,55.5,268900.0,55.88,55.0,54.75
1998-11-05,55.0,158400.0,55.63,54.94,54.38
1998-11-06,54.88,128900.0,55.94,55.63,54.5
1998-11-09,55.75,196900.0,56.63,56.06,55.56
1998-11-10,56.0,569000.0,58.38,57.75,55.63
1998-11-11,57.75,185400.0,58.13,57.13,57.06
1998-11-12,57.06,142700.0,59.0,58.63,57.06
1998-11-13,58.5,104400.0,59.75,59.0,58.5
1998-11-16,59.0,124800.0,59.38,58.44,57.88
1998-11-17,58.44,62900.0,58.88,58.0,57.94
1998-11-18,57.75,89700.0,57.75,56.88,56.19
1998-11-19,56.69,42000.0,57.19,56.88,56.5
1998-11-20,57.13,115400.0,58.88,58.81,56.88
1998-11-23,58.81,178400.0,60.5,58.94,58.63
1998-11-24,58.5,190500.0,60.25,59.88,58.5
1998-11-25,59.75,119100.0,60.5,60.06,59.75
1998-11-27,60.0,46900.0,60.0,59.5,59.38
1998-11-30,59.25,205200.0,59.31,58.13,57.38
1998-12-01,58.0,157300.0,58.31,57.31,57.19
1998-12-02,57.38,102800.0,57.38,56.19,56.19
1998-12-03,56.13,109500.0,56.63,55.69,55.5
1998-12-04,56.0,89600.0,56.94,56.88,55.63
1998-12-07,56.5,237400.0,59.0,58.81,56.5
1998-12-08,58.88,167100.0,59.0,57.81,57.75
1998-12-09,57.63,172000.0,57.75,56.94,56.0
1998-12-10,57.13,114500.0,57.13,55.88,55.63
1998-12-11,55.88,230100.0,55.88,55.44,54.0
1998-12-14,55.25,127200.0,56.5,54.75,54.75
1998-12-15,54.5,110600.0,54.69,53.38,52.75
1998-12-16,53.38,131500.0,53.94,53.81,53.38
1998-12-17,53.75,57300.0,53.81,53.38,52.63
1998-12-18,53.13,136700.0,54.5,54.44,53.13
1998-12-21,54.31,89700.0,54.38,53.69,53.25
1998-12-22,53.75,110200.0,53.75,53.06,52.75
1998-12-23,52.88,92800.0,54.81,54.56,52.81
1998-12-24,54.31,63800.0,55.0,55.0,54.31
1998-12-28,54.88,153500.0,56.69,56.5,54.75
1998-12-29,56.75,47400.0,56.75,56.0,55.38
1998-12-30,56.0,69400.0,56.0,55.44,55.38
1998-12-31,55.38,81800.0,56.69,56.0,55.38
1999-01-04,56.38,147800.0,58.63,58.25,56.38
1999-01-05,58.13,61100.0,58.25,57.56,57.0
1999-01-06,57.5,86800.0,58.94,58.94,57.31
1999-01-07,58.94,160100.0,59.19,57.94,57.81
1999-01-08,57.94,240400.0,58.38,58.31,56.5
1999-01-11,58.31,131000.0,59.25,59.19,58.31
1999-01-12,59.31,110300.0,59.38,58.56,58.5
1999-01-13,58.0,156900.0,58.0,57.25,57.06
1999-01-14,57.25,41900.0,57.38,56.75,56.63
1999-01-15,57.0,34500.0,57.38,57.38,57.0
1999-01-19,57.5,61900.0,57.5,57.06,56.63
1999-01-20,57.25,28900.0,57.38,56.81,56.81
1999-01-21,57.13,288400.0,58.31,56.06,55.5
1999-01-22,56.31,129600.0,56.38,54.0,54.0
1999-01-25,53.75,177100.0,55.0,54.44,53.75
1999-01-26,54.5,148500.0,54.5,53.75,53.13
1999-01-27,53.94,167800.0,53.94,53.44,53.19
1999-01-28,53.44,115200.0,54.69,54.63,53.34
1999-01-29,54.69,118700.0,54.69,54.06,53.75
1999-02-01,54.25,122900.0,55.0,54.0,53.56
1999-02-02,54.19,176100.0,54.5,54.25,53.88
1999-02-03,54.38,189700.0,54.56,54.31,54.19
1999-02-04,54.19,162700.0,56.5,55.81,54.13
1999-02-05,55.63,173200.0,56.0,55.5,55.38
1999-02-08,55.5,78300.0,55.5,54.94,54.63
1999-02-09,54.88,101900.0,54.94,54.25,54.25
1999-02-10,54.5,135700.0,54.5,53.94,53.5
1999-02-11,53.94,195100.0,54.94,54.81,53.75
1999-02-12,54.63,110800.0,54.63,53.56,53.5
1999-02-16,53.56,100600.0,54.5,53.88,53.56
1999-02-17,53.75,244900.0,54.25,53.88,53.63
1999-02-18,53.69,166300.0,54.38,54.19,53.69
1999-02-19,54.38,87700.0,54.38,53.81,53.63
1999-02-22,53.81,66800.0,54.13,53.88,53.69
1999-02-23,53.75,170500.0,54.13,52.88,52.13
1999-02-24,52.63,218400.0,53.0,51.56,51.13
1999-02-25,51.56,93200.0,52.13,51.63,51.38
1999-02-26,52.13,125800.0,52.13,51.19,50.81
1999-03-01,51.0,145400.0,52.0,51.88,50.5
1999-03-02,52.13,130100.0,52.13,51.5,51.38
1999-03-03,51.5,125900.0,51.56,50.5,49.88
1999-03-04,50.75,105700.0,51.38,50.56,50.5
1999-03-05,50.81,218900.0,51.13,50.63,49.63
1999-03-08,50.38,143200.0,50.56,49.31,49.0
1999-03-09,49.31,192500.0,49.31,49.06,48.5
1999-03-10,49.06,170900.0,51.88,50.75,49.06
1999-03-11,50.81,119100.0,51.25,50.94,50.75
1999-03-12,51.0,216000.0,51.75,50.38,50.38
1999-03-15,50.13,123600.0,50.63,50.19,49.38
1999-03-16,50.38,78600.0,50.38,50.13,49.75
