date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,19.87,793300.0,20.12,20.0,19.87
1998-01-05,20.0,459250.0,20.0,19.87,19.87
1998-01-06,19.94,1986300.0,20.0,20.0,19.87
1998-01-07,19.87,253550.0,19.87,19.81,19.63
1998-01-08,19.56,370700.0,19.56,19.31,19.31
1998-01-09,19.25,327350.0,19.44,18.87,18.62
1998-01-12,18.62,670000.0,19.13,19.13,18.62
1998-01-13,19.37,444300.0,19.87,19.75,19.37
1998-01-14,19.94,696950.0,20.0,19.81,19.81
1998-01-15,19.81,956750.0,19.94,19.87,19.63
1998-01-16,20.0,11083500.0,20.5,20.5,20.0
1998-01-20,21.0,3802250.0,21.5,21.44,20.88
1998-01-21,20.88,1366400.0,21.19,20.88,20.81
1998-01-22,20.62,1837450.0,21.0,20.69,20.5
1998-01-23,20.75,735800.0,21.44,21.37,20.75
1998-01-26,21.37,730100.0,21.69,21.44,21.31
1998-01-27,21.5,857000.0,21.56,21.44,21.37
1998-01-28,21.37,1589400.0,21.37,21.25,21.0
1998-01-29,20.94,486500.0,21.25,21.12,20.75
1998-01-30,21.12,211300.0,21.25,21.06,21.0
1998-02-02,21.12,603800.0,21.19,20.75,20.69
1998-02-03,20.56,288500.0,20.81,20.69,20.56
1998-02-04,20.62,449600.0,20.62,20.44,20.38
1998-02-05,21.37,1276200.0,21.5,21.5,21.25
1998-02-06,21.31,1404350.0,21.5,21.37,21.06
1998-02-09,21.87,600500.0,21.87,21.56,21.5
1998-02-10,21.63,341050.0,21.63,21.5,21.44
1998-02-11,21.56,457750.0,21.56,21.37,21.37
1998-02-12,21.5,1454250.0,21.56,21.5,21.44
1998-02-13,21.44,247450.0,21.5,21.37,21.37
1998-02-17,21.31,489700.0,21.5,21.37,21.25
1998-02-18,21.5,934000.0,21.5,21.44,21.37
1998-02-19,21.37,443950.0,21.37,21.25,21.12
1998-02-20,21.12,1188600.0,21.31,21.31,21.0
1998-02-23,21.25,135600.0,21.31,21.25,21.12
1998-02-24,21.25,305850.0,21.37,21.25,21.25
1998-02-25,21.5,1790350.0,21.56,21.5,21.44
1998-02-26,21.63,684150.0,21.75,21.69,21.56
1998-02-27,21.69,314900.0,21.75,21.69,21.63
1998-03-02,22.13,705900.0,22.37,22.25,22.13
1998-03-03,22.31,507000.0,22.37,22.37,22.13
1998-03-04,22.31,341850.0,22.56,22.44,22.25
1998-03-05,22.13,922450.0,22.13,21.63,21.56
1998-03-06,21.87,307650.0,22.0,22.0,21.75
1998-03-09,22.0,465800.0,22.5,21.94,21.94
1998-03-10,22.0,2025350.0,22.88,22.81,22.0
1998-03-11,22.88,4517100.0,24.0,23.62,22.75
1998-03-12,22.75,1194900.0,23.06,22.25,22.25
1998-03-13,22.5,745300.0,23.12,23.12,22.5
1998-03-16,23.06,1301200.0,23.44,23.31,23.06
1998-03-17,23.69,752850.0,23.81,23.5,23.44
1998-03-18,23.44,511200.0,23.5,23.44,23.38
1998-03-19,23.5,669800.0,23.87,23.62,23.5
1998-03-20,23.69,964550.0,23.94,23.81,23.69
1998-03-23,23.81,604000.0,23.94,23.94,23.75
1998-03-24,24.0,923450.0,24.06,24.0,23.94
1998-03-25,23.75,724550.0,23.87,23.62,23.62
1998-03-26,23.56,311600.0,23.69,23.69,23.5
1998-03-27,23.56,250050.0,23.56,23.31,23.25
1998-03-30,22.69,410200.0,22.81,22.75,22.69
1998-03-31,22.69,571750.0,23.12,23.0,22.56
