date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,25.75,30100.0,25.94,25.88,25.69
1998-01-05,25.81,36900.0,25.94,25.88,25.75
1998-01-06,25.94,68200.0,25.94,25.88,25.75
1998-01-07,25.75,31200.0,25.88,25.69,25.63
1998-01-08,25.75,34200.0,25.75,25.44,25.38
1998-01-09,25.56,113800.0,25.56,25.06,25.0
1998-01-12,25.0,52400.0,25.25,25.06,24.88
1998-01-13,25.06,101800.0,25.69,25.63,25.06
1998-01-14,25.69,150000.0,25.69,25.06,24.94
1998-01-15,25.13,97800.0,25.31,25.25,25.13
1998-01-16,25.5,72700.0,25.69,25.31,25.25
1998-01-20,25.31,287800.0,25.44,25.31,25.25
1998-01-21,25.31,166500.0,25.38,25.19,25.13
1998-01-22,25.25,87300.0,25.38,25.19,25.13
1998-01-23,25.25,36900.0,25.25,25.13,25.13
1998-01-26,25.13,215100.0,25.31,25.19,25.13
1998-01-27,25.25,151900.0,25.25,24.94,24.94
1998-01-28,24.94,118400.0,25.19,25.0,24.88
1998-01-29,25.19,40600.0,25.25,25.19,25.0
1998-01-30,25.06,43500.0,25.06,24.75,24.75
1998-02-02,24.94,59200.0,25.38,25.25,24.81
1998-02-03,25.31,62400.0,25.38,24.94,24.81
1998-02-04,24.94,50000.0,25.19,24.88,24.81
1998-02-05,25.0,79700.0,25.13,24.94,24.75
1998-02-06,25.0,123100.0,25.0,25.0,24.81
1998-02-09,25.0,63300.0,25.06,24.63,24.5
1998-02-10,24.63,120900.0,25.0,24.94,24.63
1998-02-11,24.94,78200.0,24.94,24.81,24.81
1998-02-12,24.88,54900.0,25.06,24.75,24.75
1998-02-13,24.75,72100.0,24.94,24.94,24.69
1998-02-17,25.0,47100.0,25.0,24.81,24.75
1998-02-18,24.75,72500.0,24.88,24.81,24.63
1998-02-19,24.81,86800.0,25.0,24.94,24.81
1998-02-20,24.94,73400.0,25.06,24.88,24.88
1998-02-23,24.88,70400.0,25.19,25.19,24.88
1998-02-24,25.19,113700.0,25.19,25.0,24.94
1998-02-25,25.0,38200.0,25.13,25.06,24.88
1998-02-26,25.0,95200.0,25.38,24.94,24.94
1998-02-27,25.0,74500.0,25.0,24.75,24.75
1998-03-02,24.75,72200.0,24.88,24.69,24.69
1998-03-03,24.69,102400.0,24.88,24.88,24.63
1998-03-04,24.88,53900.0,24.88,24.75,24.69
1998-03-05,24.69,94200.0,24.75,24.56,24.56
1998-03-06,24.69,45300.0,24.88,24.81,24.63
1998-03-09,24.88,27200.0,25.0,25.0,24.81
1998-03-10,25.0,23900.0,25.0,24.81,24.81
1998-03-11,24.81,51600.0,24.88,24.5,24.5
1998-03-12,24.63,57500.0,24.94,24.63,24.63
1998-03-13,24.75,94100.0,24.88,24.81,24.5
1998-03-16,24.75,30200.0,25.06,25.0,24.75
1998-03-17,25.13,37700.0,25.25,25.19,25.06
1998-03-18,25.13,72000.0,25.19,24.94,24.94
1998-03-19,24.94,57900.0,25.13,24.94,24.88
1998-03-20,25.13,108800.0,25.25,24.75,24.69
1998-03-23,24.31,63500.0,24.63,24.38,24.0
1998-03-24,24.63,112500.0,24.88,24.38,24.38
1998-03-25,24.44,185100.0,24.56,24.25,23.63
1998-03-26,24.31,163000.0,24.31,24.25,24.06
1998-03-27,24.19,36100.0,24.44,24.25,24.13
1998-03-30,24.19,55800.0,24.56,24.5,24.19
1998-03-31,24.5,54200.0,24.75,24.56,24.44
1998-04-01,24.69,33500.0,24.75,24.63,24.5
1998-04-02,24.63,72000.0,24.81,24.69,24.63
1998-04-03,24.69,46900.0,24.94,24.81,24.69
1998-04-06,25.0,71800.0,25.0,24.94,24.38
1998-04-07,24.88,84500.0,25.06,25.06,24.75
1998-04-08,24.94,28800.0,25.06,25.0,24.94
1998-04-09,25.06,72600.0,25.06,24.81,24.75
1998-04-13,24.88,27500.0,24.88,24.75,24.75
1998-04-14,24.81,61000.0,25.0,24.94,24.69
1998-04-15,25.0,28200.0,25.0,24.75,24.69
1998-04-16,24.81,29600.0,25.0,24.75,24.75
1998-04-17,24.63,26800.0,25.0,24.88,24.63
1998-04-20,24.88,22300.0,24.88,24.75,24.5
1998-04-21,24.88,27600.0,24.94,24.69,24.63
1998-04-22,24.69,30700.0,24.94,24.69,24.63
1998-04-23,24.25,90500.0,24.38,24.25,24.19
1998-04-24,24.38,88500.0,24.44,24.25,24.25
1998-04-27,24.19,71800.0,24.19,23.88,23.56
1998-04-28,24.13,74400.0,24.63,24.5,24.0
1998-04-29,24.44,65500.0,24.69,24.56,24.44
1998-04-30,24.56,40300.0,24.56,24.31,24.19
1998-05-01,24.31,95500.0,25.44,25.44,24.31
1998-05-04,25.31,66400.0,25.44,25.38,25.25
1998-05-05,25.38,128900.0,25.88,25.81,25.31
1998-05-06,25.88,38700.0,25.88,25.25,25.13
1998-05-07,25.31,56300.0,25.31,25.31,25.06
1998-05-08,25.25,94900.0,25.56,24.94,24.75
1998-05-11,24.88,74900.0,25.25,24.75,24.69
1998-05-12,25.5,96000.0,25.5,24.75,24.69
1998-05-13,24.75,60900.0,24.75,24.63,24.5
1998-05-14,24.38,62200.0,24.56,24.5,24.38
1998-05-15,24.44,31900.0,24.5,24.38,24.38
1998-05-18,24.5,29100.0,24.75,24.69,24.44
1998-05-19,24.63,44600.0,24.69,24.63,24.38
1998-05-20,24.5,33400.0,24.69,24.44,24.38
1998-05-21,24.44,26600.0,24.69,24.56,24.38
1998-05-22,24.31,41700.0,24.63,24.5,24.0
1998-05-26,24.5,39300.0,24.63,24.25,24.19
1998-05-27,24.19,48500.0,24.63,24.5,23.63
1998-05-28,24.5,53700.0,24.75,24.69,24.5
1998-05-29,24.75,42800.0,25.0,24.75,24.38
1998-06-01,24.75,32600.0,24.81,24.63,24.38
1998-06-02,24.63,75100.0,24.88,24.69,24.5
1998-06-03,24.75,37400.0,24.75,24.25,24.13
1998-06-04,24.5,40900.0,24.5,24.5,24.31
1998-06-05,24.63,24900.0,24.63,24.5,24.31
1998-06-08,24.5,39000.0,24.81,24.44,24.38
1998-06-09,24.44,39000.0,24.5,24.5,24.13
1998-06-10,24.44,27700.0,24.5,24.38,24.38
1998-06-11,24.38,27500.0,24.44,24.31,24.19
1998-06-12,24.5,42000.0,24.5,24.38,24.19
1998-06-15,24.5,39300.0,24.5,23.75,23.75
1998-06-16,24.0,60600.0,24.0,23.81,23.63
1998-06-17,23.88,499600.0,24.44,24.44,23.81
1998-06-18,24.19,13800.0,24.19,24.06,24.0
1998-06-19,24.31,98500.0,24.31,24.19,24.06
1998-06-22,24.31,215800.0,24.56,24.31,24.0
1998-06-23,24.0,89400.0,24.13,24.0,23.88
1998-06-24,23.88,52900.0,24.19,24.06,23.75
1998-06-25,24.13,59200.0,24.13,24.0,23.88
1998-06-26,24.0,37400.0,24.0,23.63,23.5
1998-06-29,23.56,68600.0,24.25,24.06,23.56
1998-06-30,24.06,65100.0,24.38,24.06,23.88
1998-07-01,24.06,199300.0,24.25,24.19,24.06
1998-07-02,24.13,31000.0,24.19,24.06,24.0
1998-07-06,24.13,111000.0,24.25,24.13,24.0
1998-07-07,24.19,58200.0,24.5,24.38,24.19
1998-07-08,24.44,86700.0,24.63,24.44,24.25
1998-07-09,24.44,50500.0,25.13,24.69,24.44
1998-07-10,24.81,19600.0,25.0,24.44,24.31
1998-07-13,24.56,32300.0,24.81,24.75,24.25
1998-07-14,24.56,51800.0,24.75,24.5,24.5
1998-07-15,24.63,32600.0,24.75,24.75,24.56
1998-07-16,24.88,42400.0,24.94,24.94,24.63
1998-07-17,25.0,50100.0,25.06,24.94,24.5
1998-07-20,25.0,64200.0,25.13,24.94,24.88
1998-07-21,24.94,51400.0,25.13,25.0,24.94
1998-07-22,24.94,41200.0,24.94,24.69,24.56
1998-07-23,24.63,49400.0,24.75,24.38,24.31
1998-07-24,24.38,43600.0,24.44,24.25,24.19
1998-07-27,24.19,43600.0,24.19,23.75,23.75
1998-07-28,23.69,64600.0,23.94,23.5,23.5
1998-07-29,23.63,42600.0,23.81,23.38,23.13
1998-07-30,23.25,42000.0,23.69,23.63,23.25
1998-07-31,23.5,56100.0,23.63,23.38,23.25
1998-08-03,23.56,80000.0,23.75,23.25,23.25
1998-08-04,23.38,65600.0,23.44,22.19,22.13
1998-08-05,22.19,89400.0,22.5,22.5,22.0
1998-08-06,22.25,69500.0,22.38,22.06,21.75
1998-08-07,22.19,218700.0,23.38,23.13,22.19
1998-08-10,22.88,111400.0,23.0,22.75,22.5
1998-08-11,22.5,267800.0,22.5,22.19,21.75
1998-08-12,22.5,55900.0,22.5,22.5,21.75
1998-08-13,22.38,40400.0,22.38,22.31,22.19
1998-08-14,22.44,74000.0,22.44,22.06,22.06
1998-08-17,22.13,93800.0,22.13,21.88,21.88
1998-08-18,22.0,68900.0,22.19,22.19,21.94
1998-08-19,22.13,27900.0,22.5,22.31,22.13
1998-08-20,22.44,19800.0,22.44,22.38,22.13
1998-08-21,22.25,32200.0,22.38,22.25,21.75
1998-08-24,22.13,62500.0,22.38,21.94,21.88
1998-08-25,22.06,53500.0,22.06,21.88,21.56
1998-08-26,21.81,158600.0,21.88,21.88,21.63
1998-08-27,21.75,85300.0,21.75,21.63,21.31
1998-08-28,21.63,67100.0,21.75,21.38,21.25
1998-08-31,21.5,57800.0,21.5,20.13,20.0
1998-09-01,20.25,166700.0,20.31,20.13,19.75
1998-09-02,20.25,62500.0,20.25,20.13,19.94
1998-09-03,20.13,139300.0,20.13,19.56,19.56
1998-09-04,19.56,89400.0,19.63,19.56,19.38
1998-09-08,20.25,198600.0,20.75,20.38,20.13
1998-09-09,20.13,43600.0,21.0,20.69,20.13
1998-09-10,20.88,66500.0,20.88,20.38,20.38
1998-09-11,20.38,35800.0,20.81,20.63,20.38
1998-09-14,20.75,65000.0,21.25,21.0,20.75
1998-09-15,21.0,73200.0,21.19,21.0,20.88
1998-09-16,21.0,87200.0,21.69,21.63,21.0
1998-09-17,21.63,216300.0,21.63,21.56,21.38
1998-09-18,21.75,109400.0,22.13,22.13,21.69
1998-09-21,22.25,112300.0,22.94,22.13,21.94
1998-09-22,22.25,157000.0,23.75,23.56,22.25
1998-09-23,22.94,96700.0,23.25,23.25,22.94
1998-09-24,23.0,100900.0,23.25,23.06,23.0
1998-09-25,23.0,52300.0,23.13,22.94,22.81
1998-09-28,22.94,39200.0,22.94,22.69,22.5
1998-09-29,22.88,23400.0,22.94,22.63,22.63
1998-09-30,22.56,53000.0,22.69,22.63,22.5
1998-10-01,22.56,28800.0,22.56,22.31,22.25
1998-10-02,22.31,84500.0,22.31,21.81,21.75
1998-10-05,21.94,61900.0,22.0,21.75,21.19
1998-10-06,22.0,116400.0,22.0,21.56,21.5
1998-10-07,21.69,102400.0,22.13,21.56,21.5
1998-10-08,21.63,83900.0,21.63,20.63,20.0
1998-10-09,20.63,51300.0,21.5,21.38,20.63
1998-10-12,21.56,60900.0,21.88,21.38,21.38
1998-10-13,21.38,80300.0,21.5,21.06,21.0
1998-10-14,21.13,47100.0,21.19,21.13,21.0
1998-10-15,21.13,32300.0,21.13,21.06,20.94
1998-10-16,21.13,61100.0,21.31,21.13,21.0
1998-10-19,21.13,54300.0,21.88,21.75,21.13
1998-10-20,21.63,43800.0,22.38,22.0,21.63
1998-10-21,22.13,51000.0,22.25,22.06,21.69
1998-10-22,22.0,25200.0,22.5,22.5,21.81
1998-10-23,22.69,51900.0,22.69,22.63,22.5
1998-10-26,22.69,65100.0,22.69,22.5,22.38
1998-10-27,22.63,33500.0,22.69,22.0,22.0
1998-10-28,22.0,25800.0,22.13,22.0,21.94
1998-10-29,22.25,44400.0,22.63,22.56,22.25
1998-10-30,22.56,53500.0,22.69,22.63,22.5
1998-11-02,22.75,81000.0,22.75,22.75,22.63
1998-11-03,22.75,61300.0,22.81,22.81,22.56
1998-11-04,22.88,43900.0,23.0,22.94,22.81
1998-11-05,22.94,24600.0,23.0,23.0,22.88
1998-11-06,22.94,92800.0,23.63,23.63,22.88
1998-11-09,23.75,27400.0,23.88,23.5,23.44
1998-11-10,23.31,37400.0,23.56,23.44,23.31
1998-11-11,23.56,24700.0,23.63,22.88,22.75
1998-11-12,22.69,51200.0,23.25,23.25,22.69
1998-11-13,23.25,29600.0,23.31,23.25,23.19
1998-11-16,23.38,38500.0,23.38,22.75,22.75
1998-11-17,22.81,32400.0,22.81,22.81,22.25
1998-11-18,23.06,22600.0,23.25,23.25,22.69
1998-11-19,23.0,23600.0,23.0,22.63,22.56
1998-11-20,22.38,49700.0,23.0,22.63,22.19
1998-11-23,22.38,74100.0,23.75,23.38,22.38
1998-11-24,23.38,30500.0,23.5,22.81,22.5
1998-11-25,22.94,14900.0,23.25,23.06,22.94
1998-11-27,23.19,14300.0,23.44,23.44,23.0
1998-11-30,23.38,123100.0,24.13,23.94,23.06
1998-12-01,23.94,63300.0,24.0,24.0,23.5
1998-12-02,24.13,38300.0,24.19,23.94,23.88
1998-12-03,24.0,37200.0,24.0,23.81,23.63
1998-12-04,23.75,45100.0,23.75,23.5,23.44
1998-12-07,23.75,31400.0,23.75,23.38,23.25
1998-12-08,23.44,37000.0,23.63,23.44,23.13
1998-12-09,23.38,47000.0,23.63,23.56,23.25
1998-12-10,24.0,49700.0,24.13,24.0,23.81
1998-12-11,24.06,33200.0,24.19,24.06,24.0
1998-12-14,24.19,30000.0,24.38,24.13,24.06
1998-12-15,24.06,33400.0,24.25,24.19,24.06
1998-12-16,24.19,27500.0,24.31,24.13,24.06
1998-12-17,24.06,55400.0,24.13,24.13,23.75
1998-12-18,23.94,51100.0,24.13,24.13,23.75
1998-12-21,24.25,45200.0,24.5,24.25,24.13
1998-12-22,24.19,50600.0,24.5,24.38,24.19
1998-12-23,24.19,57000.0,24.25,24.13,24.0
1998-12-24,24.06,23200.0,24.13,24.13,23.88
1998-12-28,24.13,33900.0,24.13,24.0,23.88
1998-12-29,23.94,34500.0,24.13,23.88,23.5
1998-12-30,23.31,27500.0,23.5,23.38,23.0
1998-12-31,23.13,40000.0,23.63,23.63,22.94
1999-01-04,23.13,59100.0,23.94,23.5,23.13
1999-01-05,23.94,66800.0,24.5,24.5,23.81
1999-01-06,24.75,75500.0,24.88,24.5,24.31
1999-01-07,24.5,26000.0,24.5,24.13,24.13
1999-01-08,24.13,110600.0,24.19,24.0,23.63
1999-01-11,23.94,33400.0,23.94,23.69,23.63
1999-01-12,23.63,38300.0,24.0,23.88,23.56
1999-01-13,23.13,57000.0,24.31,24.19,23.13
1999-01-14,24.25,20300.0,24.25,24.0,24.0
1999-01-15,23.88,31700.0,24.0,24.0,23.75
1999-01-19,24.0,59800.0,24.25,24.13,23.63
1999-01-20,24.13,64100.0,24.13,23.63,23.5
1999-01-21,23.5,23500.0,23.94,23.94,23.5
1999-01-22,23.94,38800.0,23.94,23.31,23.31
1999-01-25,23.5,16000.0,23.56,23.5,23.38
1999-01-26,23.44,60800.0,23.44,23.06,23.0
1999-01-27,23.06,47900.0,23.13,23.06,23.06
1999-01-28,23.06,109800.0,23.06,22.69,22.63
1999-01-29,22.69,83400.0,23.0,23.0,22.25
1999-02-01,22.88,34300.0,23.0,22.75,22.38
1999-02-02,22.63,87800.0,22.63,22.0,22.0
1999-02-03,22.0,51100.0,22.38,22.25,22.0
1999-02-04,22.25,80000.0,22.25,21.13,21.06
1999-02-05,21.25,4025900.0,21.31,20.81,20.25
1999-02-08,21.06,42100.0,21.38,21.25,20.94
1999-02-09,21.25,132300.0,21.31,21.19,21.0
1999-02-10,21.31,109500.0,21.44,21.0,21.0
1999-02-11,21.13,134200.0,21.38,21.31,21.0
1999-02-12,21.31,80400.0,21.38,21.0,20.5
1999-02-16,21.19,54900.0,21.38,21.19,20.88
1999-02-17,21.25,116400.0,21.25,20.75,20.75
1999-02-18,20.88,49100.0,21.0,21.0,20.81
1999-02-19,20.75,126600.0,21.0,20.88,20.38
1999-02-22,20.81,44200.0,21.25,21.06,20.81
1999-02-23,21.44,179900.0,21.88,21.81,21.31
1999-02-24,21.81,124200.0,22.25,22.06,21.81
1999-02-25,22.0,90400.0,22.25,22.0,22.0
1999-02-26,22.0,72600.0,22.31,22.06,21.75
1999-03-01,22.19,198100.0,22.38,22.25,22.0
1999-03-02,22.25,137500.0,22.5,22.25,22.25
1999-03-03,22.31,144100.0,22.31,21.88,21.88
1999-03-04,21.94,77700.0,22.0,21.88,21.88
1999-03-05,22.0,56100.0,22.0,21.94,21.81
1999-03-08,22.0,100400.0,22.0,21.69,21.69
1999-03-09,22.0,41100.0,22.13,21.94,21.75
1999-03-10,22.0,109400.0,22.31,22.0,21.94
1999-03-11,22.06,45300.0,22.13,22.0,21.81
1999-03-12,22.13,28900.0,22.19,22.0,21.75
1999-03-15,22.13,28600.0,22.13,21.81,21.75
1999-03-16,21.75,30500.0,21.88,21.81,21.69
1999-03-17,21.81,41800.0,21.81,21.75,21.56
1999-03-18,21.63,39300.0,21.88,21.38,21.38
1999-03-19,21.31,64100.0,21.56,21.38,21.13
1999-03-22,21.31,48500.0,21.5,21.13,21.13
1999-03-23,21.13,41800.0,21.13,20.63,20.63
1999-03-24,20.69,59400.0,20.69,20.25,20.25
1999-03-25,20.38,41300.0,20.69,20.69,20.38
1999-03-26,20.69,47600.0,21.63,21.31,20.69
1999-03-29,21.44,23000.0,21.44,21.31,21.25
1999-03-30,21.44,27600.0,21.44,21.19,21.19
1999-03-31,21.19,54000.0,21.38,21.19,21.13
1999-04-01,21.06,81300.0,21.13,21.0,20.56
1999-04-05,20.88,59300.0,21.06,21.06,20.75
1999-04-06,21.25,38300.0,21.44,21.06,20.88
1999-04-07,20.94,41000.0,21.19,21.19,20.63
1999-04-08,21.25,37500.0,21.25,21.06,20.81
1999-04-09,21.06,26500.0,21.06,20.94,20.88
1999-04-12,21.0,59600.0,21.19,21.13,20.81
1999-04-13,21.0,40800.0,21.5,21.44,20.94
1999-04-14,21.5,133500.0,21.69,21.63,21.38
1999-04-15,21.5,103500.0,21.63,21.44,21.44
1999-04-16,21.5,227000.0,22.38,21.94,21.44
1999-04-19,21.88,255200.0,23.0,22.75,21.88
1999-04-20,22.75,67200.0,22.75,22.5,22.25
1999-04-21,22.56,96500.0,23.0,23.0,22.5
1999-04-22,23.06,42800.0,23.25,23.19,22.69
1999-04-23,23.25,111200.0,24.06,24.06,23.19
1999-04-26,24.0,73200.0,24.0,23.31,23.31
1999-04-27,23.31,46100.0,23.63,23.5,23.31
1999-04-28,23.5,128800.0,23.75,23.69,23.25
1999-04-29,23.75,55300.0,23.75,23.31,23.25
1999-04-30,23.25,80900.0,23.88,23.88,23.25
1999-05-03,23.75,75400.0,23.94,23.56,23.5
1999-05-04,23.5,78500.0,23.69,23.44,23.25
1999-05-05,23.63,50000.0,23.75,23.75,23.25
1999-05-06,23.75,45600.0,24.0,23.38,23.31
1999-05-07,23.5,42800.0,23.75,23.31,23.25
1999-05-10,23.19,102400.0,23.94,23.63,23.19
1999-05-11,23.63,140500.0,23.63,23.5,23.25
1999-05-12,23.38,121600.0,23.94,23.75,23.19
1999-05-13,23.88,78200.0,23.94,23.81,23.63
1999-05-14,23.81,40400.0,23.88,23.69,23.63
1999-05-17,23.69,55200.0,23.69,23.25,23.25
1999-05-18,23.38,74400.0,23.38,22.88,22.75
1999-05-19,22.88,63000.0,23.06,22.94,22.75
1999-05-20,23.06,118500.0,23.5,23.38,23.0
1999-05-21,23.13,174200.0,23.38,23.06,23.0
1999-05-24,23.13,94500.0,23.25,22.94,22.88
1999-05-25,22.81,104500.0,23.25,22.94,22.69
1999-05-26,23.06,109800.0,23.13,22.88,22.81
1999-05-27,22.94,38300.0,23.0,22.88,22.63
1999-05-28,22.94,34600.0,23.13,23.13,22.81
1999-06-01,23.13,31100.0,23.13,23.0,22.81
1999-06-02,23.0,66600.0,23.13,22.94,22.81
1999-06-03,22.94,56500.0,23.25,23.13,22.88
1999-06-04,23.06,20800.0,23.13,23.0,22.88
1999-06-07,23.06,26800.0,23.13,22.75,22.69
1999-06-08,22.63,56400.0,22.88,22.81,22.5
1999-06-09,22.81,31700.0,22.94,22.88,22.81
1999-06-10,22.94,70600.0,23.06,23.06,22.88
1999-06-11,23.0,79300.0,23.06,22.88,22.75
1999-06-14,23.13,54100.0,23.13,22.88,22.75
1999-06-15,23.0,154500.0,23.94,23.63,22.94
1999-06-16,23.63,44900.0,23.75,23.63,23.31
1999-06-17,23.56,58700.0,23.94,23.56,23.56
1999-06-18,23.81,121900.0,23.94,23.63,23.63
1999-06-21,23.38,82900.0,23.88,23.88,23.31
1999-06-22,23.75,100800.0,23.94,23.88,23.69
1999-06-23,23.13,29700.0,23.38,23.25,23.13
1999-06-24,23.06,30300.0,23.25,22.63,22.63
1999-06-25,22.63,55500.0,22.94,22.75,22.63
1999-06-28,22.88,98700.0,23.5,23.19,22.75
1999-06-29,23.25,46200.0,23.25,23.0,22.75
1999-06-30,23.0,73200.0,23.25,22.94,22.88
1999-07-01,22.88,43100.0,23.31,23.31,22.56
1999-07-02,23.38,72400.0,23.38,23.13,23.0
1999-07-06,23.0,30400.0,23.13,23.06,22.75
1999-07-07,22.81,34400.0,22.88,22.63,22.63
1999-07-08,22.69,57600.0,22.81,22.75,22.5
1999-07-09,22.75,121900.0,22.75,22.5,22.31
1999-07-12,22.63,117600.0,22.63,22.19,22.13
1999-07-13,22.19,39000.0,22.38,22.31,22.0
1999-07-14,22.44,48000.0,22.56,22.31,22.13
1999-07-15,22.38,74100.0,22.63,22.44,22.13
1999-07-16,22.63,37000.0,22.63,22.5,22.25
1999-07-19,22.38,145300.0,22.44,22.19,21.94
1999-07-20,22.25,38500.0,22.38,22.38,22.13
1999-07-21,22.31,31200.0,22.44,22.31,22.13
