date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,73.31,3129100.0,74.06,74.0,72.0
1998-01-05,74.44,5643200.0,75.37,75.31,74.25
1998-01-06,74.56,4120800.0,75.19,74.31,74.0
1998-01-07,73.56,3338500.0,74.94,74.94,73.44
1998-01-08,74.56,3831200.0,75.31,74.25,74.06
1998-01-09,73.94,5198900.0,74.06,72.44,71.0
1998-01-12,70.5,7255000.0,74.62,74.44,70.25
1998-01-13,74.44,4692300.0,74.87,74.69,73.69
1998-01-14,74.75,3847700.0,74.87,74.37,73.94
1998-01-15,74.0,3391900.0,74.25,72.69,72.69
1998-01-16,73.69,5782400.0,74.81,73.37,73.06
1998-01-20,73.37,4661900.0,75.94,75.56,73.31
1998-01-21,75.19,5161200.0,76.0,75.56,75.0
1998-01-22,74.94,5039100.0,75.25,75.19,74.12
1998-01-23,75.56,5097000.0,75.87,74.06,73.62
1998-01-26,74.94,4038800.0,75.31,74.69,74.0
1998-01-27,74.94,6005600.0,77.12,76.25,74.81
1998-01-28,76.56,4257700.0,76.87,76.25,75.69
1998-01-29,76.25,6024500.0,77.87,77.12,76.12
1998-01-30,77.06,3776100.0,77.56,77.5,76.44
1998-02-02,78.25,6843800.0,78.62,78.56,77.06
1998-02-03,77.0,5131900.0,77.87,77.56,77.0
1998-02-04,77.0,4807600.0,77.81,76.87,76.87
1998-02-05,77.12,4196700.0,77.44,76.69,76.31
1998-02-06,77.0,3534300.0,78.12,77.69,76.87
1998-02-09,77.81,2906300.0,77.87,77.06,76.44
1998-02-10,77.06,4274500.0,78.69,77.5,76.81
1998-02-11,77.69,2653400.0,78.56,78.44,77.56
1998-02-12,77.75,5472100.0,78.94,78.5,76.69
1998-02-13,78.06,2934100.0,78.25,77.81,77.56
1998-02-17,78.44,3436300.0,78.87,78.06,78.0
1998-02-18,78.06,3236700.0,78.94,78.44,78.0
1998-02-19,78.06,2962300.0,78.25,77.81,77.62
1998-02-20,77.81,4091600.0,78.37,78.19,77.12
1998-02-23,78.12,3239900.0,78.25,77.69,77.31
1998-02-24,77.37,3657500.0,77.5,76.75,76.56
1998-02-25,77.25,3573100.0,77.56,77.12,76.75
1998-02-26,76.37,3581300.0,77.25,77.0,76.06
1998-02-27,76.5,3899700.0,77.81,77.75,76.5
