date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,4.0,0.0,4.0,4.0,4.0
1998-01-05,4.0,0.0,4.0,4.0,4.0
1998-01-06,4.0,0.0,4.0,4.0,4.0
1998-01-07,4.0,0.0,4.0,4.0,4.0
1998-01-08,4.0,0.0,4.0,4.0,4.0
1998-01-09,4.0,0.0,4.0,4.0,4.0
1998-01-12,4.0,0.0,4.0,4.0,4.0
1998-01-13,4.0,0.0,4.0,4.0,4.0
1998-01-14,4.0,0.0,4.0,4.0,4.0
1998-01-15,4.0,0.0,4.0,4.0,4.0
1998-01-16,4.0,0.0,4.0,4.0,4.0
1998-01-20,4.0,0.0,4.0,4.0,4.0
1998-01-21,4.0,0.0,4.0,4.0,4.0
1998-01-22,4.0,0.0,4.0,4.0,4.0
1998-01-23,4.12,1500.0,4.31,4.31,4.12
1998-01-26,4.31,0.0,4.31,4.31,4.31
1998-01-27,4.44,500.0,4.44,4.44,4.44
1998-01-28,4.56,500.0,4.56,4.56,4.56
1998-01-29,4.56,0.0,4.56,4.56,4.56
1998-01-30,4.56,0.0,4.56,4.56,4.56
1998-02-02,4.56,0.0,4.56,4.56,4.56
1998-02-03,4.56,0.0,4.56,4.56,4.56
1998-02-04,4.56,0.0,4.56,4.56,4.56
1998-02-05,4.69,3000.0,4.81,4.81,4.69
1998-02-06,4.94,500.0,4.94,4.94,4.94
1998-02-09,4.94,0.0,4.94,4.94,4.94
1998-02-10,5.0,500.0,5.0,5.0,5.0
1998-02-11,5.0,0.0,5.0,5.0,5.0
1998-02-12,5.0,0.0,5.0,5.0,5.0
1998-02-13,5.0,0.0,5.0,5.0,5.0
1998-02-17,4.88,600.0,4.88,4.88,4.88
1998-02-18,4.88,0.0,4.88,4.88,4.88
1998-02-19,4.88,0.0,4.88,4.88,4.88
1998-02-20,4.88,0.0,4.88,4.88,4.88
1998-02-23,4.88,0.0,4.88,4.88,4.88
1998-02-24,4.88,0.0,4.88,4.88,4.88
1998-02-25,4.88,0.0,4.88,4.88,4.88
1998-02-26,4.88,0.0,4.88,4.88,4.88
1998-02-27,4.88,0.0,4.88,4.88,4.88
1998-03-02,4.88,0.0,4.88,4.88,4.88
1998-03-03,4.88,0.0,4.88,4.88,4.88
1998-03-04,4.88,0.0,4.88,4.88,4.88
1998-03-05,4.88,0.0,4.88,4.88,4.88
1998-03-06,4.75,1000.0,4.75,4.62,4.62
1998-03-09,4.62,0.0,4.62,4.62,4.62
1998-03-10,4.62,0.0,4.62,4.62,4.62
1998-03-11,4.62,0.0,4.62,4.62,4.62
1998-03-12,4.62,0.0,4.62,4.62,4.62
1998-03-13,4.5,900.0,4.5,4.25,4.25
1998-03-16,4.25,0.0,4.25,4.25,4.25
1998-03-17,4.25,0.0,4.25,4.25,4.25
1998-03-18,4.25,0.0,4.25,4.25,4.25
1998-03-19,4.25,0.0,4.25,4.25,4.25
1998-03-20,4.25,0.0,4.25,4.25,4.25
1998-03-23,4.25,0.0,4.25,4.25,4.25
1998-03-24,4.25,0.0,4.25,4.25,4.25
1998-03-25,4.25,0.0,4.25,4.25,4.25
1998-03-26,4.25,0.0,4.25,4.25,4.25
