date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,36.25,12667.0,36.25,35.94,35.88
1998-01-05,36.19,47267.0,36.5,35.88,35.88
1998-01-06,35.75,20833.0,36.13,36.06,35.56
1998-01-07,36.0,25133.0,36.06,35.88,35.75
1998-01-08,35.88,21867.0,36.0,35.94,35.63
1998-01-09,36.0,122867.0,36.0,35.31,35.25
1998-01-12,35.06,103300.0,35.38,35.19,34.88
1998-01-13,35.31,28333.0,35.69,35.69,35.31
1998-01-14,35.81,241900.0,35.94,35.5,35.38
1998-01-15,35.56,291933.0,35.56,35.0,34.88
1998-01-16,35.13,176933.0,35.19,35.06,34.88
1998-01-20,35.13,24200.0,35.25,35.13,35.06
1998-01-21,35.25,24333.0,35.31,35.0,34.88
1998-01-22,34.88,27167.0,35.13,35.0,34.88
1998-01-23,34.94,64167.0,35.13,34.88,34.63
1998-01-26,34.88,48600.0,35.0,34.88,34.38
1998-01-27,35.0,61400.0,35.44,35.44,35.0
1998-01-28,35.38,41300.0,36.0,35.38,35.38
1998-01-29,35.63,82033.0,36.0,36.0,35.63
1998-01-30,36.13,100600.0,36.88,36.88,35.88
1998-02-02,37.0,91900.0,37.25,36.75,36.75
1998-02-03,36.75,34833.0,36.81,36.63,36.56
1998-02-04,36.63,78300.0,37.0,36.94,36.5
1998-02-05,37.0,40800.0,37.25,36.88,36.75
1998-02-06,37.0,27700.0,37.13,37.0,36.75
1998-02-09,37.0,7500.0,37.25,37.0,36.94
1998-02-10,36.94,121867.0,37.19,36.88,36.81
1998-02-11,37.13,91900.0,37.63,36.88,36.75
1998-02-12,36.94,64667.0,36.94,36.25,36.13
1998-02-13,36.38,39767.0,36.81,36.38,36.06
1998-02-17,36.38,100967.0,36.75,36.69,36.38
1998-02-18,36.75,87333.0,37.0,36.81,36.75
1998-02-19,36.94,79967.0,36.94,36.19,36.19
1998-02-20,36.0,58933.0,36.25,36.13,35.5
1998-02-23,36.13,60233.0,36.5,36.44,36.0
1998-02-24,36.5,68700.0,36.56,36.44,36.44
1998-02-25,36.31,31733.0,36.44,36.44,36.31
1998-02-26,36.5,39633.0,36.5,36.25,36.25
1998-02-27,36.38,87100.0,36.5,36.5,36.25
1998-03-02,36.5,59733.0,36.5,36.44,36.19
1998-03-03,36.5,54433.0,36.63,36.38,36.25
1998-03-04,36.38,94867.0,36.44,36.13,36.0
1998-03-05,36.06,62867.0,36.06,35.88,35.63
1998-03-06,35.88,104233.0,36.63,36.38,35.88
1998-03-09,36.5,59367.0,36.88,36.31,36.19
1998-03-10,36.31,96167.0,36.5,36.25,36.19
1998-03-11,36.31,91367.0,36.31,35.75,35.69
1998-03-12,35.94,75700.0,36.0,35.38,35.38
1998-03-13,35.44,128200.0,35.88,35.63,35.0
1998-03-16,35.38,197033.0,36.06,36.06,35.38
1998-03-17,36.19,181500.0,36.38,36.25,36.19
1998-03-18,36.25,220633.0,36.38,36.19,36.13
1998-03-19,36.06,65700.0,36.5,36.5,36.06
1998-03-20,36.63,158000.0,37.0,36.56,36.5
1998-03-23,36.44,107733.0,37.0,37.0,36.44
1998-03-24,37.06,119367.0,37.75,37.0,36.94
