date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,38.25,101300.0,38.63,38.13,37.5
1998-01-05,38.38,232400.0,39.25,39.0,38.0
1998-01-06,38.5,332200.0,39.25,39.13,37.88
1998-01-07,39.25,129100.0,39.38,38.88,38.38
1998-01-08,38.63,474000.0,40.38,39.5,38.63
1998-01-09,39.75,384900.0,39.75,38.38,38.13
1998-01-12,38.0,159400.0,38.0,37.0,36.5
1998-01-13,37.0,305200.0,39.0,38.5,37.0
1998-01-14,38.38,199000.0,38.75,37.75,37.5
1998-01-15,37.5,130500.0,38.38,38.38,37.5
1998-01-16,39.13,109800.0,39.13,39.13,38.25
1998-01-20,39.13,137000.0,40.06,39.94,38.88
1998-01-21,39.63,482300.0,40.0,38.0,38.0
1998-01-22,38.0,276600.0,38.88,38.25,38.0
1998-01-23,39.0,200200.0,39.0,38.44,37.63
1998-01-26,39.0,556500.0,39.75,38.31,38.06
1998-01-27,38.5,192700.0,39.19,39.19,37.25
1998-01-28,39.25,388200.0,41.88,41.88,39.25
1998-01-29,41.38,162300.0,42.25,42.0,41.13
1998-01-30,41.0,659400.0,41.5,40.5,40.13
1998-02-02,41.25,767000.0,41.5,38.75,38.25
1998-02-03,38.63,560400.0,39.88,39.5,37.63
1998-02-04,39.5,278400.0,40.5,39.5,39.13
1998-02-05,39.88,596600.0,40.13,36.88,36.38
1998-02-06,37.25,871500.0,40.13,39.63,37.25
1998-02-09,39.63,268300.0,40.0,38.0,37.75
1998-02-10,38.13,543800.0,38.13,37.13,36.88
1998-02-11,37.5,263900.0,38.13,37.25,36.63
1998-02-12,37.38,41600.0,37.63,37.38,37.0
1998-02-13,37.25,260100.0,37.63,37.0,36.5
1998-02-17,37.25,310200.0,37.5,36.16,36.0
1998-02-18,36.25,537200.0,37.0,35.94,35.38
1998-02-19,36.0,116300.0,36.0,35.63,35.5
1998-02-20,36.0,168600.0,37.0,36.94,35.56
1998-02-23,37.0,139600.0,38.13,37.31,36.75
1998-02-24,37.75,133300.0,37.75,36.06,36.0
1998-02-25,36.5,356300.0,37.13,37.0,36.13
1998-02-26,36.88,389500.0,37.13,36.13,35.0
1998-02-27,35.88,1116600.0,36.13,35.81,35.38
1998-03-02,35.88,197000.0,36.63,36.0,35.5
1998-03-03,36.0,402800.0,36.13,36.13,35.38
1998-03-04,35.88,266000.0,36.38,36.0,35.88
1998-03-05,35.5,153900.0,36.38,36.13,35.25
1998-03-06,36.13,469300.0,37.88,37.63,36.13
1998-03-09,37.13,82800.0,38.25,37.81,37.13
1998-03-10,38.0,210100.0,38.5,37.88,37.75
1998-03-11,38.13,422200.0,38.75,38.38,38.0
1998-03-12,38.25,385500.0,39.5,39.31,38.25
1998-03-13,39.25,146800.0,39.38,38.69,38.63
1998-03-16,38.88,96400.0,39.0,38.38,38.25
1998-03-17,38.75,213000.0,40.0,40.0,38.38
1998-03-18,40.0,376000.0,40.13,39.63,39.38
1998-03-19,40.13,284600.0,40.38,39.88,39.5
1998-03-20,39.88,123800.0,39.88,39.63,39.25
1998-03-23,39.63,163700.0,39.88,39.56,39.38
1998-03-24,39.63,507700.0,39.88,39.63,39.25
1998-03-25,39.38,124000.0,40.38,39.5,39.38
1998-03-26,39.5,73700.0,40.13,39.75,39.38
1998-03-27,39.63,62800.0,39.94,39.56,39.38
1998-03-30,39.88,377500.0,39.88,38.88,38.88
1998-03-31,38.75,1712600.0,38.88,36.0,33.75
1998-04-01,36.5,1058600.0,36.88,34.25,34.25
1998-04-02,36.38,838800.0,37.25,35.81,35.38
1998-04-03,36.0,955900.0,36.31,36.13,34.5
1998-04-06,43.0,2157000.0,44.25,43.25,42.38
1998-04-07,43.0,819600.0,43.13,43.0,42.0
1998-04-08,43.25,607600.0,43.75,42.63,42.25
1998-04-09,42.75,202700.0,43.25,41.75,41.75
1998-04-13,41.75,364800.0,42.25,42.0,40.75
1998-04-14,42.0,224100.0,43.25,42.88,41.5
1998-04-15,42.88,154000.0,43.0,42.38,42.34
1998-04-16,41.75,161800.0,42.25,42.0,41.5
1998-04-17,41.5,612600.0,41.75,41.63,40.75
1998-04-20,41.5,161300.0,42.25,42.19,41.5
1998-04-21,41.38,103300.0,42.19,41.38,41.0
1998-04-22,41.5,55100.0,41.75,41.5,41.13
1998-04-23,41.5,40500.0,41.63,41.13,41.13
1998-04-24,41.13,241600.0,41.25,39.38,39.31
1998-04-27,38.38,505800.0,39.0,37.88,37.0
1998-04-28,38.0,35300.0,38.38,38.25,37.75
1998-04-29,38.5,165600.0,39.19,38.63,37.5
1998-04-30,39.38,205400.0,39.38,38.0,37.88
1998-05-01,38.0,107600.0,38.25,38.0,38.0
1998-05-04,37.94,262000.0,38.63,38.63,37.94
1998-05-05,38.5,109100.0,38.5,38.0,37.88
1998-05-06,37.88,304500.0,38.13,37.38,37.0
1998-05-07,37.5,99500.0,38.0,37.5,37.5
1998-05-08,38.0,115500.0,38.0,37.63,37.44
