date,1. open,5. volume,2. high,4. close,3. low
2007-03-22,11.5,5237800.0,13.3,12.29,11.5
2007-03-23,12.32,1870300.0,12.5,11.51,10.75
2007-03-26,11.5,753300.0,11.9,11.69,11.26
2007-03-27,11.84,252800.0,11.84,11.5,11.32
2007-03-28,11.75,155700.0,11.75,11.05,10.75
2007-03-29,11.01,410900.0,11.112,10.31,10.02
2007-03-30,10.44,97200.0,10.44,10.0,9.76
2007-04-02,10.0,256400.0,10.3,10.03,10.0
2007-04-03,10.24,311200.0,10.35,9.99,9.76
2007-04-04,9.91,185500.0,9.91,9.78,9.75
2007-04-05,9.93,334200.0,10.45,10.0,9.75
2007-04-09,10.0,70600.0,10.04,9.92,9.75
2007-04-10,10.0,48900.0,10.03,9.85,9.75
2007-04-11,9.87,48300.0,10.77,10.14,9.8
2007-04-12,10.04,32400.0,10.5,10.31,10.04
2007-04-13,10.3,160500.0,10.95,10.89,10.24
2007-04-16,10.99,129100.0,11.55,11.34,10.9
2007-04-17,11.55,117800.0,11.8,11.79,11.45
2007-04-18,11.68,71700.0,12.11,11.98,11.55
2007-04-19,11.77,77400.0,11.99,11.95,11.57
2007-04-20,11.95,53600.0,11.95,11.88,11.63
2007-04-23,11.72,135600.0,11.8,11.56,11.28
2007-04-24,11.38,53300.0,11.74,11.45,11.31
2007-04-25,11.38,48200.0,11.68,11.68,11.31
2007-04-26,11.74,119000.0,11.77,11.55,11.34
2007-04-27,11.43,78100.0,11.55,11.4,11.32
2007-04-30,11.32,51500.0,11.5,11.235,11.05
2007-05-01,11.57,293200.0,11.9,11.29,11.25
2007-05-02,11.4001,303300.0,11.67,11.49,11.32
2007-05-03,11.76,293100.0,12.29,12.19,11.51
2007-05-04,12.37,289600.0,13.34,12.97,12.37
2007-05-07,12.91,162300.0,13.2,12.92,12.7
2007-05-08,12.91,90200.0,13.8,13.25,12.7
2007-05-09,13.25,152300.0,14.2,13.6,13.25
2007-05-10,13.32,79100.0,14.01,13.02,12.82
2007-05-11,12.96,36200.0,13.06,12.94,12.78
2007-05-14,13.2,50400.0,13.51,13.5,13.0
2007-05-15,13.51,120300.0,13.79,13.79,13.51
2007-05-16,13.79,120300.0,13.94,13.81,13.38
2007-05-17,13.53,20300.0,13.55,13.26,13.2
2007-05-18,13.18,15200.0,13.57,13.57,13.11
2007-05-21,13.1,18700.0,13.62,13.41,13.1
2007-05-22,13.34,11900.0,13.48,13.39,13.2
2007-05-23,13.47,21000.0,13.47,13.05,13.0
2007-05-24,12.795,114900.0,12.97,12.51,12.19
2007-05-25,12.76,45500.0,12.78,12.27,12.27
2007-05-29,12.55,11300.0,12.8,12.65,12.47
2007-05-30,12.82,49400.0,13.06,12.88,12.58
2007-05-31,12.82,70500.0,13.09,12.43,12.39
2007-06-01,12.5,99200.0,13.14,12.53,12.25
2007-06-04,12.75,129100.0,13.4,12.59,12.5
2007-06-05,12.61,51400.0,13.12,12.85,12.57
2007-06-06,12.85,13800.0,13.0,12.71,12.67
2007-06-07,12.94,23900.0,13.1,12.92,12.75
2007-06-08,13.26,33600.0,13.26,12.77,12.75
2007-06-11,12.8,37900.0,13.48,13.13,12.79
2007-06-12,13.49,44300.0,13.75,13.38,13.27
2007-06-13,13.5,69100.0,13.88,13.4,13.09
2007-06-14,13.55,52600.0,13.55,13.36,13.36
2007-06-15,13.58,28500.0,13.58,13.35,13.27
2007-06-18,13.49,102400.0,13.79,13.77,13.2
2007-06-19,13.89,87100.0,14.8,14.67,13.75
2007-06-20,14.75,70300.0,14.75,14.5,14.3
2007-06-21,14.46,74600.0,14.46,13.99,13.79
2007-06-22,14.49,848100.0,14.5,13.52,13.52
2007-06-25,13.52,135200.0,13.78,13.35,13.25
2007-06-26,13.45,31800.0,13.5,13.39,13.15
2007-06-27,13.24,48600.0,13.76,13.69,13.15
2007-06-28,13.69,46100.0,14.08,13.53,13.47
2007-06-29,13.55,56800.0,14.0,13.9,13.25
2007-07-02,13.9,157200.0,14.74,14.1,13.9
2007-07-03,14.16,51900.0,14.6,13.94,13.81
2007-07-05,13.98,27500.0,14.38,13.89,13.8
2007-07-06,13.98,105100.0,13.98,13.66,13.5059
2007-07-09,13.69,48400.0,13.76,13.55,13.51
2007-07-10,13.5,15900.0,13.57,13.52,13.5
2007-07-11,13.55,40800.0,13.59,13.55,13.42
2007-07-12,13.84,105800.0,14.0,13.825,13.61
2007-07-13,13.82,56500.0,14.15,13.95,13.8
2007-07-16,13.94,83400.0,14.12,13.73,13.7
2007-07-17,13.73,175600.0,14.0,13.91,13.73
2007-07-18,13.88,58700.0,13.92,13.7,13.42
2007-07-19,13.81,125800.0,14.0,13.28,13.25
2007-07-20,13.25,176100.0,13.28,12.8,12.66
2007-07-23,13.0,57300.0,13.08,12.72,12.69
2007-07-24,12.68,112200.0,12.73,12.33,12.17
2007-07-25,12.25,219100.0,12.36,12.08,11.75
2007-07-26,11.91,86000.0,12.04,11.66,11.04
2007-07-27,11.6,97400.0,12.05,11.94,11.38
2007-07-30,12.06,36100.0,12.34,11.8,11.38
2007-07-31,11.96,92500.0,12.0599,11.9,11.49
