date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,37.5,815200.0,38.38,38.38,37.5
1998-01-05,39.38,1476000.0,40.25,40.19,39.06
1998-01-06,40.19,693500.0,40.19,39.94,39.75
1998-01-07,39.69,1122600.0,39.81,39.81,38.75
1998-01-08,40.0,744500.0,40.44,40.25,39.94
1998-01-09,40.0,817100.0,40.06,38.38,38.0
1998-01-12,37.31,1110500.0,38.38,37.94,37.31
1998-01-13,37.94,830400.0,38.13,38.0,37.5
1998-01-14,37.69,657900.0,38.0,38.0,37.0
1998-01-15,37.75,539000.0,38.19,37.25,37.25
1998-01-16,37.75,643800.0,37.94,37.56,37.38
1998-01-20,37.75,791200.0,37.75,37.13,37.0
1998-01-21,37.0,2186100.0,37.06,36.5,35.63
1998-01-22,36.38,688500.0,36.44,36.0,35.81
1998-01-23,36.0,539300.0,36.38,35.69,35.63
1998-01-26,35.94,865100.0,36.0,35.5,34.69
1998-01-27,35.0,1425800.0,35.94,35.88,34.75
1998-01-28,32.0,6191800.0,33.13,32.31,32.0
1998-01-29,32.31,3916200.0,34.75,33.94,32.31
1998-01-30,33.88,907700.0,34.69,34.19,33.38
1998-02-02,34.88,1083000.0,35.38,34.94,34.56
1998-02-03,34.94,1083700.0,35.0,35.0,34.56
1998-02-04,35.38,1065300.0,35.38,34.94,34.81
1998-02-05,34.75,746200.0,35.31,35.19,34.63
1998-02-06,35.44,1526400.0,36.0,36.0,35.25
1998-02-09,36.25,742600.0,36.44,36.31,35.88
1998-02-10,37.13,1002200.0,37.31,37.06,36.69
1998-02-11,37.0,1040100.0,38.0,37.88,36.56
1998-02-12,37.38,799500.0,37.81,37.75,36.88
1998-02-13,37.5,406100.0,37.75,37.63,37.06
1998-02-17,37.63,564900.0,37.81,37.75,37.44
1998-02-18,37.44,547000.0,37.69,37.5,37.13
1998-02-19,37.25,614800.0,37.75,37.56,37.19
1998-02-20,37.63,1054900.0,38.44,38.38,37.5
1998-02-23,38.44,935600.0,38.75,38.13,37.88
1998-02-24,38.13,1197200.0,39.31,39.31,38.0
1998-02-25,40.5,1403500.0,40.88,40.31,40.06
1998-02-26,40.44,776500.0,40.75,40.69,40.13
1998-02-27,40.75,1241700.0,41.69,40.63,40.63
1998-03-02,40.31,1028400.0,40.75,40.0,40.0
1998-03-03,40.44,1064800.0,41.25,40.94,40.31
1998-03-04,40.94,458600.0,41.38,40.75,40.63
1998-03-05,40.38,717900.0,41.69,41.38,40.31
1998-03-06,41.56,729900.0,42.13,40.81,40.81
1998-03-09,40.81,518700.0,41.31,41.25,40.56
1998-03-10,40.81,562800.0,41.38,41.19,40.69
1998-03-11,40.81,454000.0,41.38,41.31,40.75
1998-03-12,41.19,622700.0,41.69,41.56,40.69
1998-03-13,41.19,721000.0,41.94,41.88,41.19
1998-03-16,41.63,449900.0,41.88,41.56,41.44
1998-03-17,41.63,1382700.0,41.75,41.75,41.19
1998-03-18,41.63,805200.0,41.88,41.81,41.5
1998-03-19,41.94,575700.0,42.0,42.0,41.31
1998-03-20,41.88,581000.0,42.63,42.5,41.63
1998-03-23,42.31,969700.0,43.06,42.5,42.25
1998-03-24,42.63,561800.0,43.19,43.0,42.63
1998-03-25,43.0,773400.0,43.56,43.31,43.0
1998-03-26,43.31,735200.0,43.75,43.69,43.31
1998-03-27,43.69,980700.0,43.75,43.44,43.25
1998-03-30,43.25,678400.0,43.94,43.94,43.19
1998-03-31,43.69,747900.0,44.25,44.25,43.5
1998-04-01,44.38,776700.0,44.38,43.5,42.63
1998-04-02,43.0,494100.0,43.25,42.38,41.88
1998-04-03,41.88,1216300.0,41.94,40.25,40.13
1998-04-06,40.0,2714800.0,40.25,39.75,39.69
1998-04-07,39.69,744900.0,39.75,39.75,39.13
1998-04-08,40.0,592600.0,40.25,39.75,39.31
1998-04-09,39.75,713700.0,40.13,39.69,39.63
1998-04-13,39.5,688400.0,39.69,39.63,38.25
1998-04-14,39.31,446600.0,39.56,39.38,39.13
1998-04-15,39.56,384600.0,39.69,39.25,39.13
1998-04-16,39.06,587800.0,39.63,39.5,39.06
1998-04-17,40.0,911800.0,40.88,40.75,40.0
1998-04-20,40.5,708900.0,40.5,40.06,39.81
1998-04-21,39.94,622200.0,40.19,39.75,39.56
1998-04-22,39.56,674800.0,40.19,40.0,39.56
1998-04-23,39.81,951300.0,40.94,40.56,39.81
1998-04-24,40.38,613800.0,40.56,40.0,39.94
1998-04-27,39.38,696100.0,39.44,39.0,38.88
1998-04-28,39.13,680700.0,39.69,39.0,38.94
1998-04-29,39.06,524300.0,39.5,39.38,39.0
1998-04-30,41.13,1268700.0,41.13,40.0,39.88
1998-05-01,40.0,531500.0,40.94,40.94,40.0
1998-05-04,41.13,782900.0,42.44,42.25,40.88
1998-05-05,41.94,575500.0,42.06,41.31,41.13
1998-05-06,41.44,480800.0,41.69,41.56,41.13
1998-05-07,41.25,362700.0,41.38,40.88,40.81
1998-05-08,40.44,495100.0,41.5,41.19,40.44
1998-05-11,41.19,740700.0,41.94,41.69,41.06
1998-05-12,41.44,848600.0,41.81,41.81,41.13
1998-05-13,41.94,375400.0,42.38,41.0,40.75
1998-05-14,41.5,301300.0,41.69,41.56,41.25
1998-05-15,41.38,525200.0,41.44,40.81,40.75
1998-05-18,40.69,362100.0,41.0,41.0,40.5
1998-05-19,40.75,469400.0,40.94,40.13,40.06
1998-05-20,39.38,1141700.0,40.31,40.31,39.25
1998-05-21,40.31,354000.0,40.38,40.13,40.0
1998-05-22,40.06,548800.0,40.5,40.38,40.0
1998-05-26,40.75,620300.0,40.81,40.0,39.88
1998-05-27,39.5,1440700.0,39.75,39.25,39.06
1998-05-28,39.13,860300.0,39.75,39.69,39.06
1998-05-29,39.69,550300.0,39.81,39.44,39.06
1998-06-01,39.31,466400.0,39.38,38.5,38.38
1998-06-02,39.06,802200.0,39.06,37.75,37.75
1998-06-03,37.69,492400.0,37.94,37.5,37.5
1998-06-04,37.56,1072900.0,37.69,37.56,37.25
1998-06-05,37.81,714100.0,37.88,37.88,37.13
1998-06-08,38.38,899600.0,38.88,38.44,38.13
1998-06-09,38.0,429900.0,38.13,37.75,37.69
1998-06-10,36.69,1237500.0,37.25,36.81,36.38
1998-06-11,36.94,1279900.0,36.94,35.38,35.38
1998-06-12,35.5,1208600.0,36.13,35.81,34.75
1998-06-15,35.0,850900.0,35.5,34.69,34.5
1998-06-16,35.06,691900.0,35.06,34.0,33.94
1998-06-17,34.38,596400.0,34.69,34.25,34.0
1998-06-18,34.06,519100.0,35.25,34.88,34.06
1998-06-19,34.75,531700.0,34.94,34.44,34.13
1998-06-22,34.44,354700.0,34.72,34.38,34.25
1998-06-23,34.5,595300.0,34.88,34.25,33.94
1998-06-24,34.0,514200.0,34.94,34.75,33.94
1998-06-25,35.19,935900.0,35.44,35.25,34.81
1998-06-26,35.88,499600.0,35.94,35.25,34.88
1998-06-29,35.5,361800.0,35.5,34.44,34.38
1998-06-30,34.19,481600.0,34.81,34.75,34.19
1998-07-01,34.69,454900.0,34.88,34.88,34.19
1998-07-02,34.81,389600.0,35.06,35.0,34.38
1998-07-06,34.75,437600.0,35.63,35.0,34.56
1998-07-07,35.75,694000.0,36.0,35.25,34.94
1998-07-08,35.13,755300.0,35.88,35.13,34.88
1998-07-09,35.13,784100.0,35.31,34.06,33.75
1998-07-10,34.31,346500.0,34.31,34.13,33.88
1998-07-13,33.94,559900.0,34.19,33.88,33.63
1998-07-14,34.0,658400.0,34.19,34.06,33.75
1998-07-15,33.75,670700.0,34.0,33.69,33.63
1998-07-16,33.69,1183700.0,33.88,33.63,32.63
