date,1. open,5. volume,2. high,4. close,3. low
2010-11-18,35.0,457044300.0,35.99,34.19,33.89
2010-11-19,34.15,107842000.0,34.5,34.26,33.11
2010-11-22,34.2,36650600.0,34.48,34.08,33.81
2010-11-23,33.95,31170200.0,33.99,33.25,33.19
2010-11-24,33.73,26138000.0,33.8,33.48,33.22
2010-11-26,33.41,12301200.0,33.81,33.8,33.21
2010-11-29,33.8,27776900.0,33.81,33.8,33.07
2010-11-30,33.53,57476900.0,34.25,34.2,33.36
2010-12-01,34.65,34633200.0,34.95,34.78,34.42
2010-12-02,34.92,23196100.0,34.98,34.68,34.51
2010-12-03,34.55,19395200.0,34.6,34.55,33.97
2010-12-06,34.48,11676500.0,34.78,34.48,34.41
2010-12-07,34.75,20823000.0,34.89,34.68,34.46
2010-12-08,34.61,12603900.0,34.73,34.45,34.33
2010-12-09,34.36,18402200.0,34.43,33.74,33.62
2010-12-10,33.85,11741700.0,33.99,33.81,33.53
2010-12-13,33.96,11029300.0,34.05,33.8,33.7
2010-12-14,33.73,15165600.0,33.92,33.89,33.45
2010-12-15,33.81,10182700.0,34.01,33.61,33.61
2010-12-16,33.57,9885700.0,33.86,33.61,33.56
2010-12-17,33.53,35681600.0,34.0,34.0,33.19
2010-12-20,33.91,12476400.0,34.05,33.76,33.74
2010-12-21,33.86,9012400.0,33.94,33.85,33.72
2010-12-22,33.72,20935100.0,34.95,34.92,33.53
2010-12-23,34.67,20529200.0,35.52,34.81,34.62
2010-12-27,34.41,7368300.0,34.89,34.6,34.19
2010-12-28,35.38,23489000.0,35.67,35.32,35.07
2010-12-29,35.47,20960800.0,36.3,36.02,35.25
2010-12-30,36.1,16980800.0,36.98,36.82,36.02
2010-12-31,36.84,6163900.0,36.96,36.86,36.57
2011-01-03,37.32,24874900.0,38.0,37.06,37.03
2011-01-04,37.1,32363400.0,37.99,37.9,36.68
2011-01-05,37.47,22503900.0,38.3,38.07,37.47
2011-01-06,38.24,38556900.0,39.48,38.9,38.07
2011-01-07,38.84,19901100.0,39.33,38.98,38.51
2011-01-10,39.34,18341600.0,39.36,38.56,38.44
2011-01-11,38.66,14856500.0,39.43,38.75,38.51
2011-01-12,38.95,16773900.0,39.37,38.62,38.37
2011-01-13,38.66,11358300.0,38.71,38.27,38.11
2011-01-14,38.18,5894200.0,38.47,38.2,38.04
2011-01-18,38.05,8918200.0,38.33,38.03,37.32
