date,1. open,5. volume,2. high,4. close,3. low
2014-02-05,11.7,2106500.0,11.75,11.0,11.0
2014-02-06,11.01,180100.0,11.4,11.0,11.0
2014-02-07,11.0,86500.0,11.26,11.04,10.9
2014-02-10,11.0,54400.0,11.44,11.39,11.0
2014-02-11,11.16,37900.0,11.39,11.39,11.15
2014-02-12,11.9,119800.0,12.39,11.77,11.34
2014-02-13,11.68,53600.0,11.79,11.59,11.25
2014-02-14,11.48,13000.0,11.6,11.495,11.3
2014-02-18,11.52,46200.0,12.3299,11.99,11.52
2014-02-19,12.49,31200.0,12.49,12.1,11.8201
2014-02-20,11.89,30900.0,12.2484,12.1,11.89
2014-02-21,12.19,47400.0,12.2,12.05,11.91
2014-02-24,12.26,79700.0,12.84,12.54,12.0
2014-02-25,12.55,128200.0,15.5,15.18,12.55
2014-02-26,16.56,95400.0,16.56,15.0,14.728
2014-02-27,15.03,83400.0,16.955,15.0,14.92
2014-02-28,15.09,72200.0,16.3511,14.67,13.0901
2014-03-03,15.0,161600.0,15.2487,15.0,13.61
2014-03-04,15.2,95400.0,16.0,14.925,14.8
2014-03-05,15.9,92600.0,16.74,16.37,15.25
2014-03-06,16.43,160000.0,18.9997,18.21,15.76
2014-03-07,18.45,131600.0,22.72,22.45,18.45
2014-03-10,23.0,119000.0,23.99,21.87,21.201
2014-03-11,22.29,83800.0,22.45,19.77,19.5
2014-03-12,19.38,88200.0,19.38,18.16,17.11
2014-03-13,18.34,74000.0,18.9199,18.49,17.65
2014-03-14,19.18,61000.0,19.18,17.61,17.54
2014-03-17,17.74,99100.0,18.0724,16.97,16.25
2014-03-18,17.53,120000.0,17.53,17.0,16.51
2014-03-19,17.39,48300.0,17.41,17.03,16.6
2014-03-20,16.78,19200.0,17.13,16.97,16.68
2014-03-21,16.97,230200.0,17.1,16.38,15.79
2014-03-24,16.58,296600.0,18.52,16.94,15.55
2014-03-25,17.0,239900.0,18.09,16.88,16.54
2014-03-26,17.01,108100.0,17.1097,16.72,16.33
2014-03-27,16.5,156100.0,17.97,17.42,16.34
2014-03-28,17.34,116600.0,18.639,17.36,16.85
2014-03-31,17.1,597100.0,18.62,18.19,17.0
2014-04-01,18.3,76200.0,18.55,18.33,17.75
2014-04-02,18.31,157200.0,18.31,17.89,17.21
2014-04-03,17.91,224400.0,18.22,17.97,17.55
