date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,26.75,272500.0,27.25,26.38,26.38
1998-01-05,26.25,130100.0,28.75,28.0,26.25
1998-01-06,27.5,83400.0,28.0,26.19,26.0
1998-01-07,26.75,189100.0,27.0,27.0,26.13
1998-01-08,26.25,160100.0,27.5,27.0,26.25
1998-01-09,27.25,291600.0,27.25,26.25,26.0
1998-01-12,25.0,119400.0,26.13,25.81,25.0
1998-01-13,26.0,96600.0,26.5,26.5,25.63
1998-01-14,25.88,99300.0,27.38,27.31,25.88
1998-01-15,27.0,243600.0,28.5,28.13,26.5
1998-01-16,27.75,388400.0,29.5,29.13,27.75
1998-01-20,29.0,158900.0,29.13,29.13,28.75
1998-01-21,28.5,139600.0,29.25,29.25,28.5
1998-01-22,28.75,69300.0,29.5,29.5,28.63
1998-01-23,29.25,76800.0,29.5,29.25,28.88
1998-01-26,28.88,945000.0,32.13,32.0,28.5
1998-01-27,32.0,857600.0,34.13,33.19,31.63
1998-01-28,32.88,827900.0,33.25,32.13,31.88
1998-01-29,32.13,502400.0,33.38,32.13,31.63
1998-01-30,31.75,291400.0,32.13,31.25,30.5
1998-02-02,31.38,263800.0,31.38,30.13,30.13
1998-02-03,30.13,437600.0,31.63,31.63,30.13
1998-02-04,31.75,191000.0,31.75,31.5,30.75
1998-02-05,31.25,150000.0,31.63,31.63,31.25
1998-02-06,31.25,255500.0,32.13,32.13,31.25
1998-02-09,31.5,128200.0,32.25,32.0,31.5
1998-02-10,32.13,80900.0,32.25,31.75,31.63
1998-02-11,31.75,170400.0,31.75,31.38,30.75
1998-02-12,31.38,83800.0,31.88,31.88,30.0
1998-02-13,31.5,129200.0,32.38,31.5,31.5
1998-02-17,31.63,81800.0,32.0,31.0,30.75
1998-02-18,31.0,83700.0,32.25,32.0,31.0
1998-02-19,31.38,124700.0,33.25,33.0,31.38
1998-02-20,32.75,129800.0,33.0,33.0,31.5
1998-02-23,32.5,101900.0,33.13,32.75,31.75
1998-02-24,33.0,155600.0,33.0,32.25,31.63
1998-02-25,31.5,78900.0,32.5,32.25,31.5
1998-02-26,32.25,310400.0,33.38,33.0,32.25
1998-02-27,33.0,230700.0,33.0,32.25,32.25
1998-03-02,32.25,56300.0,32.75,31.38,31.38
1998-03-03,32.0,64000.0,32.25,32.25,31.38
1998-03-04,31.25,44100.0,32.5,32.38,31.25
1998-03-05,31.63,39800.0,32.13,31.0,31.0
1998-03-06,30.88,28800.0,32.0,32.0,30.88
1998-03-09,32.0,78100.0,32.25,30.5,30.5
1998-03-10,31.25,81600.0,31.63,31.0,30.75
1998-03-11,31.0,40400.0,31.75,31.63,31.0
1998-03-12,31.63,45200.0,32.0,31.0,31.0
1998-03-13,31.0,47200.0,31.88,31.25,31.0
1998-03-16,31.25,44300.0,31.75,31.5,31.25
1998-03-17,31.75,245800.0,33.5,33.25,31.38
1998-03-18,32.5,204600.0,34.0,33.81,32.5
1998-03-19,33.63,106800.0,33.81,33.13,32.88
1998-03-20,33.13,71500.0,33.5,32.69,32.38
1998-03-23,32.0,68600.0,32.63,31.06,30.75
1998-03-24,31.13,112600.0,31.88,31.88,30.75
1998-03-25,31.75,168100.0,33.25,32.75,31.75
1998-03-26,32.5,175700.0,32.88,32.75,32.5
1998-03-27,32.5,185700.0,32.94,32.75,32.5
1998-03-30,32.5,180400.0,33.88,33.25,32.5
1998-03-31,33.81,250600.0,34.13,33.94,32.63
1998-04-01,33.63,304200.0,35.13,35.13,33.63
1998-04-02,35.13,328900.0,37.0,35.25,34.88
1998-04-03,35.5,112500.0,35.5,34.56,33.75
1998-04-06,34.75,164800.0,34.75,34.06,33.5
1998-04-07,34.0,144800.0,34.5,33.81,33.5
1998-04-08,33.75,42100.0,34.25,33.69,33.63
1998-04-09,33.63,92100.0,34.63,34.5,33.63
1998-04-13,34.75,125900.0,36.0,35.94,34.0
1998-04-14,35.25,143700.0,36.38,35.75,35.13
1998-04-15,35.63,136100.0,35.88,35.13,35.0
1998-04-16,35.5,147600.0,35.63,35.25,35.0
1998-04-17,35.88,129300.0,36.63,36.63,35.25
1998-04-20,36.0,299900.0,37.25,37.06,36.0
1998-04-21,37.38,177500.0,37.56,37.38,36.5
1998-04-22,36.88,86900.0,37.5,36.88,36.63
1998-04-23,37.13,210000.0,37.13,35.5,35.0
1998-04-24,35.13,102500.0,35.75,35.38,34.94
1998-04-27,35.0,190300.0,35.0,33.63,32.81
1998-04-28,33.88,176900.0,34.69,33.38,32.63
1998-04-29,32.63,47100.0,33.56,33.0,32.63
1998-04-30,33.5,165700.0,33.75,33.75,32.88
1998-05-01,33.0,77800.0,35.0,34.88,33.0
1998-05-04,34.63,43300.0,35.22,34.0,33.13
1998-05-05,33.25,43900.0,34.0,33.63,33.0
1998-05-06,33.13,416500.0,34.0,31.25,31.06
1998-05-07,31.13,302700.0,32.13,31.88,31.0
1998-05-08,32.25,75200.0,33.38,33.13,32.0
1998-05-11,33.0,362500.0,34.06,33.81,33.0
1998-05-12,33.5,64500.0,33.81,33.81,33.25
1998-05-13,34.0,263200.0,34.88,34.5,33.75
1998-05-14,34.25,160300.0,34.69,34.63,34.0
1998-05-15,34.0,119400.0,35.0,35.0,34.0
1998-05-18,35.0,57600.0,35.0,34.81,34.25
1998-05-19,35.0,61200.0,35.5,35.38,34.63
1998-05-20,35.38,78000.0,35.38,34.94,34.56
1998-05-21,35.25,64400.0,35.25,35.19,34.88
1998-05-22,35.75,177200.0,36.75,36.5,35.75
1998-05-26,36.63,270500.0,37.25,36.94,36.38
1998-05-27,37.0,157400.0,37.0,36.63,36.5
1998-05-28,36.38,89000.0,36.63,36.13,36.13
1998-05-29,36.25,192400.0,36.63,36.63,35.88
1998-06-01,35.75,107600.0,36.5,36.5,35.75
1998-06-02,36.38,140900.0,37.63,37.5,36.0
1998-06-03,37.75,86300.0,37.75,37.0,37.0
1998-06-04,37.25,128800.0,39.0,38.63,37.25
1998-06-05,38.13,53200.0,38.75,38.13,37.88
1998-06-08,38.13,222600.0,38.13,37.75,37.75
1998-06-09,37.5,292400.0,37.94,37.06,37.0
1998-06-10,36.62,320300.0,37.0,35.0,35.0
1998-06-11,35.5,294000.0,35.5,34.5,33.0
1998-06-12,34.25,218300.0,34.75,34.0,32.25
1998-06-15,33.75,59000.0,34.38,33.34,33.13
1998-06-16,33.5,84000.0,34.13,34.13,33.5
