date,1. open,5. volume,2. high,4. close,3. low
2004-08-19,100.01,44659000.0,104.06,100.335,95.96
2004-08-20,101.01,22834300.0,109.08,108.31,100.5
2004-08-23,110.76,18256100.0,113.48,109.4,109.05
2004-08-24,111.24,15247300.0,111.6,104.87,103.57
2004-08-25,104.76,9188600.0,108.0,106.0,103.88
2004-08-26,104.95,7094800.0,107.95,107.91,104.66
2004-08-27,108.1,6211700.0,108.62,106.15,105.69
2004-08-30,105.28,5196700.0,105.49,102.01,102.01
2004-08-31,102.32,4917800.0,103.71,102.37,102.16
2004-09-01,102.7,9138200.0,102.97,100.25,99.67
2004-09-02,99.09,15118600.0,102.37,101.51,98.94
2004-09-03,100.95,5152400.0,101.74,100.01,99.32
2004-09-07,101.01,5847500.0,102.0,101.58,99.61
2004-09-08,100.74,4985600.0,103.03,102.3,100.5
2004-09-09,102.5,4061700.0,102.71,102.31,101.0
2004-09-10,101.47,8698800.0,106.56,105.33,101.3
2004-09-13,106.63,7844100.0,108.41,107.5,106.46
2004-09-14,107.44,10828900.0,112.0,111.49,106.79
2004-09-15,110.56,10713000.0,114.23,112.0,110.2
2004-09-16,112.34,9266300.0,115.8,113.97,111.65
2004-09-17,114.42,9472500.0,117.49,117.49,113.55
2004-09-20,116.95,10628700.0,121.6,119.36,116.77
2004-09-21,120.2,7228700.0,120.42,117.84,117.51
2004-09-22,117.45,7581200.0,119.67,118.38,116.81
2004-09-23,118.84,8535600.0,122.63,120.82,117.02
2004-09-24,120.97,9123400.0,124.1,119.83,119.76
2004-09-27,119.56,7066100.0,120.88,118.26,117.8
2004-09-28,121.15,16929000.0,127.4,126.86,120.21
2004-09-29,126.53,30516400.0,135.02,131.08,126.23
2004-09-30,129.899,13758000.0,132.3,129.6,129.0
2004-10-01,130.8,15124800.0,134.24,132.58,128.9
2004-10-04,135.275,13022700.0,136.87,135.06,134.03
2004-10-05,134.66,14973200.0,138.53,138.37,132.24
2004-10-06,137.67,13381400.0,138.45,137.08,136.0
2004-10-07,136.56,14115000.0,139.88,138.85,136.55
2004-10-08,138.73,11069500.0,139.68,137.73,137.02
2004-10-11,137.01,10472100.0,138.86,135.26,133.85
2004-10-12,134.49,11665500.0,137.61,137.4,133.4
2004-10-13,143.24,19766200.0,143.55,140.9,140.08
2004-10-14,141.02,10442100.0,142.38,142.0,138.56
2004-10-15,144.95,13194700.0,145.5,144.11,141.95
2004-10-18,143.12,14036300.0,149.2,149.16,141.21
2004-10-19,150.5,18109800.0,152.4,147.94,147.35
2004-10-20,147.94,22722600.0,148.99,140.49,139.6
2004-10-21,144.13,29149800.0,150.13,149.38,141.62
2004-10-22,170.435,73710000.0,180.17,172.43,164.08
2004-10-25,176.28,65462800.0,194.43,187.4,172.55
2004-10-26,186.449,44569500.0,192.64,181.8,180.0
2004-10-27,182.509,26686200.0,189.52,185.97,181.77
2004-10-28,186.63,29663900.0,194.39,193.3,185.6
2004-10-29,198.87,42282600.0,199.95,190.64,190.6
2004-11-01,193.5,24425300.0,197.67,196.03,191.27
2004-11-02,198.73,22669900.0,199.25,194.87,193.34
2004-11-03,198.19,27749600.0,201.6,191.67,190.75
2004-11-04,188.25,28790300.0,190.4,184.7,183.35
2004-11-05,182.0,39626500.0,182.3,169.35,168.55
2004-11-08,170.86,22361200.0,175.44,172.55,169.4
2004-11-09,174.1,22106200.0,175.2,168.7,165.27
2004-11-10,170.67,21266700.0,172.52,167.86,166.33
2004-11-11,169.32,29941000.0,183.75,183.02,167.57
2004-11-12,185.23,33458700.0,189.8,182.0,177.4
2004-11-15,180.45,23779100.0,188.32,184.87,178.75
2004-11-16,174.39,41792900.0,179.47,172.545,170.83
2004-11-17,169.02,36229500.0,177.5,172.5,169.0
2004-11-18,170.4,33225900.0,174.42,167.54,165.73
2004-11-19,169.06,17521000.0,169.98,169.4,166.52
2004-11-22,168.6,24711600.0,169.5,165.1,161.31
2004-11-23,167.915,24801700.0,170.83,167.52,166.5
2004-11-24,174.84,30531400.0,177.21,174.76,172.51
2004-11-26,175.8,12947200.0,180.03,179.39,175.32
2004-11-29,180.255,21311800.0,182.95,181.05,177.51
2004-11-30,180.7,15384600.0,183.0,181.98,180.25
2004-12-01,181.77,15712400.0,182.5,179.96,179.55
