date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,35.19,574444.0,35.31,34.94,34.75
1998-01-05,34.81,855378.0,35.44,35.38,34.69
1998-01-06,34.94,792844.0,35.69,35.13,34.75
1998-01-07,35.0,478267.0,35.63,35.63,34.44
1998-01-08,35.75,1449067.0,37.38,37.0,35.75
1998-01-09,36.75,1408044.0,36.94,36.0,35.38
1998-01-12,35.25,809600.0,36.56,36.25,35.06
1998-01-13,36.5,859067.0,37.94,37.63,36.5
1998-01-14,37.44,478000.0,37.88,37.69,37.25
1998-01-15,37.63,705867.0,38.69,38.13,37.06
1998-01-16,38.19,703067.0,38.88,38.63,38.13
1998-01-20,39.5,1112844.0,41.25,41.13,39.38
1998-01-21,41.0,1023378.0,41.06,40.06,39.38
1998-01-22,39.25,764044.0,40.19,39.63,39.13
1998-01-23,39.44,427867.0,39.81,38.75,38.75
1998-01-26,39.0,319467.0,39.44,38.94,38.75
1998-01-27,38.94,1041244.0,39.31,38.88,38.69
1998-01-28,39.0,1104578.0,39.5,38.63,38.63
1998-01-29,39.0,1211778.0,39.31,38.81,38.69
1998-01-30,38.69,890978.0,39.94,39.06,38.69
1998-02-02,39.81,730000.0,40.0,39.94,39.5
1998-02-03,40.5,743600.0,40.88,40.69,40.25
1998-02-04,40.5,858400.0,41.19,40.94,40.06
1998-02-05,41.44,801600.0,41.88,41.81,41.13
1998-02-06,41.81,632978.0,41.94,41.69,41.31
1998-02-09,41.88,538000.0,41.88,40.75,40.56
1998-02-10,40.63,600667.0,40.94,40.75,40.44
1998-02-11,40.94,564667.0,41.0,40.75,40.38
1998-02-12,40.75,829378.0,41.94,41.25,40.56
1998-02-13,41.5,593778.0,41.94,41.13,40.81
1998-02-17,40.81,1189378.0,42.81,42.19,40.81
1998-02-18,42.19,894800.0,42.31,42.0,41.69
1998-02-19,42.25,897200.0,43.38,43.13,42.19
1998-02-20,43.38,784667.0,44.44,44.44,43.0
1998-02-23,44.38,642844.0,44.38,43.69,43.19
1998-02-24,43.88,1299200.0,45.19,44.88,43.88
1998-02-25,45.13,811644.0,46.06,45.94,44.88
1998-02-26,45.13,1923200.0,45.94,45.94,43.69
1998-02-27,45.88,939467.0,45.88,44.69,44.0
1998-03-02,44.69,606978.0,45.75,44.88,44.63
1998-03-03,44.63,624267.0,44.88,44.63,44.38
1998-03-04,43.63,1060000.0,43.63,43.19,42.38
