date,1. open,5. volume,2. high,4. close,3. low
2011-11-04,28.0,49813000.0,31.14,26.11,25.9
2011-11-07,27.44,9516000.0,27.78,25.97,24.59
2011-11-08,26.2,4266800.0,26.21,24.9,24.75
2011-11-09,23.51,4544100.0,24.56,24.02,22.76
2011-11-10,24.13,2344000.0,24.96,24.41,23.2
2011-11-11,24.96,1316100.0,25.0,24.25,23.61
2011-11-14,23.42,1577800.0,24.16,24.07,23.4
2011-11-15,24.0,1209800.0,24.74,24.07,23.68
2011-11-16,24.02,754500.0,24.3,24.03,23.7499
2011-11-17,23.6,1622600.0,24.95,24.77,23.6
2011-11-18,24.63,2504200.0,26.25,26.19,24.2
2011-11-21,26.75,2590100.0,26.9,23.58,23.28
2011-11-22,24.75,5227800.0,24.75,20.07,20.03
2011-11-23,20.0,7886900.0,20.0,16.96,16.71
2011-11-25,17.0,2125100.0,17.64,16.75,16.2
2011-11-28,17.44,6018900.0,17.75,15.24,14.85
2011-11-29,15.28,3372500.0,16.44,16.01,15.11
2011-11-30,16.69,2409400.0,17.74,17.5,16.21
2011-12-01,17.77,2153600.0,18.99,18.95,17.36
2011-12-02,19.5,3659300.0,20.82,18.95,17.9
2011-12-05,19.42,1793900.0,19.48,19.04,18.4
2011-12-06,18.8,1670500.0,19.51,19.24,18.8
2011-12-07,19.48,3512000.0,21.67,21.15,19.2
2011-12-08,20.76,3115200.0,22.9,22.27,20.25
2011-12-09,22.73,2728500.0,23.49,23.48,22.0
2011-12-12,23.34,2276900.0,23.34,22.25,21.27
2011-12-13,22.95,2334900.0,24.5,23.32,22.3
2011-12-14,23.0,2341200.0,23.2,22.55,21.1
2011-12-15,23.5,1136200.0,23.5,23.08,22.634
2011-12-16,23.44,4532000.0,25.15,23.04,21.5
2011-12-19,23.01,1129500.0,23.37,22.0,21.68
2011-12-20,22.5,1104300.0,22.9,22.75,22.1
2011-12-21,22.75,1028400.0,23.25,22.96,22.11
2011-12-22,23.05,1296500.0,23.05,22.1,21.68
2011-12-23,22.19,1227700.0,22.98,22.84,21.9
2011-12-27,22.86,771200.0,23.59,23.05,22.58
2011-12-28,23.1,731600.0,23.45,22.62,22.3
2011-12-29,22.9,875200.0,22.91,21.38,21.16
2011-12-30,21.55,1239800.0,21.66,20.63,20.01
2012-01-03,20.95,2516100.0,21.0,19.27,18.8
2012-01-04,19.19,1454600.0,19.23,18.79,18.52
2012-01-05,18.56,2736000.0,18.655,17.88,17.21
2012-01-06,17.9,1461400.0,17.97,17.81,17.5
2012-01-09,17.47,1770600.0,18.6,18.3,17.235
2012-01-10,18.99,1524900.0,19.39,19.15,18.78
2012-01-11,18.92,1684300.0,19.76,19.0,18.3401
2012-01-12,18.65,1342700.0,19.66,19.26,18.59
2012-01-13,19.07,856900.0,19.33,19.15,18.9
2012-01-17,19.12,1721200.0,19.88,19.51,18.7
2012-01-18,19.53,1851700.0,21.0,20.57,19.26
2012-01-19,20.59,1602300.0,21.99,21.19,20.11
2012-01-20,20.81,925100.0,21.21,20.85,20.19
2012-01-23,20.6,1125200.0,21.36,20.76,20.4
2012-01-24,20.47,1076400.0,20.906,20.6,20.27
2012-01-25,20.35,1762900.0,20.57,20.08,19.7
2012-01-26,20.04,1118800.0,20.26,19.53,19.45
2012-01-27,19.4,1241200.0,20.24,20.04,19.38
2012-01-30,19.92,2407400.0,20.44,19.63,19.5
2012-01-31,19.7,1543200.0,20.42,20.39,19.57
2012-02-01,20.5,2290300.0,21.66,21.49,20.0
2012-02-02,21.69,5157200.0,24.22,23.08,21.2
2012-02-03,23.49,3046900.0,24.75,24.43,23.15
