date,1. open,5. volume,2. high,4. close,3. low
1999-05-04,76.0,22320900.0,77.25,70.38,70.0
1999-05-05,69.88,7565700.0,69.88,69.13,66.25
1999-05-06,68.0,2905700.0,69.38,67.94,67.06
1999-05-07,67.94,4862300.0,74.88,74.13,66.75
1999-05-10,73.38,2589400.0,73.5,70.69,70.25
1999-05-11,70.0,1839800.0,71.19,70.63,69.5
1999-05-12,71.0,2659300.0,74.88,73.5,69.13
1999-05-13,73.25,1142900.0,75.25,74.25,72.5
1999-05-14,71.25,2058400.0,72.25,70.19,69.06
1999-05-17,69.13,2075000.0,70.25,68.63,68.0
1999-05-18,68.25,1407100.0,70.44,68.63,68.13
1999-05-19,69.38,727400.0,69.81,69.31,68.75
1999-05-20,69.56,520800.0,70.13,68.38,68.38
1999-05-21,68.13,936200.0,68.81,67.5,67.5
1999-05-24,67.0,1493000.0,67.25,65.31,65.0
1999-05-25,64.13,1662400.0,65.94,64.5,64.0
1999-05-26,65.63,1602900.0,66.63,66.06,63.06
1999-05-27,65.0,1220500.0,67.75,67.75,64.69
1999-05-28,67.75,901900.0,68.81,67.94,67.0
1999-06-01,66.63,953900.0,66.63,64.19,63.56
1999-06-02,63.75,2204300.0,64.06,63.25,62.0
1999-06-03,64.0,852600.0,64.19,63.63,63.13
1999-06-04,64.31,1357400.0,67.0,65.38,64.31
1999-06-07,65.19,891900.0,67.75,65.94,65.19
1999-06-08,65.38,571700.0,65.69,63.75,63.75
1999-06-09,64.25,611400.0,65.5,65.5,63.63
1999-06-10,64.88,664200.0,64.94,63.38,63.31
1999-06-11,63.94,969300.0,64.31,62.94,62.31
1999-06-14,63.5,821100.0,64.0,61.25,60.5
1999-06-15,62.88,831700.0,63.38,62.75,62.25
1999-06-16,63.94,690300.0,65.44,65.25,63.94
1999-06-17,64.5,955700.0,66.88,65.0,64.5
1999-06-18,64.25,613900.0,64.88,64.81,63.5
1999-06-21,66.69,1811000.0,69.94,69.5,66.56
1999-06-22,70.13,1165900.0,70.13,68.0,67.75
1999-06-23,67.06,1351700.0,67.44,65.0,64.88
1999-06-24,66.06,1408900.0,66.5,65.06,64.5
1999-06-25,65.5,1111500.0,66.81,66.25,65.38
1999-06-28,66.44,784600.0,67.5,66.56,65.75
1999-06-29,66.0,629800.0,68.5,67.75,66.0
1999-06-30,68.5,2127600.0,72.25,72.25,66.13
1999-07-01,71.38,813600.0,71.44,70.81,69.75
1999-07-02,70.56,536900.0,71.19,70.94,69.69
1999-07-06,70.0,747600.0,71.19,70.5,69.25
1999-07-07,69.56,648800.0,70.0,68.0,68.0
1999-07-08,68.0,424400.0,68.88,67.25,67.19
1999-07-09,67.44,312700.0,68.19,67.25,67.25
1999-07-12,68.0,547700.0,68.94,68.38,67.88
1999-07-13,68.25,969600.0,68.69,67.88,67.63
1999-07-14,67.38,888200.0,67.75,67.63,67.31
1999-07-15,68.0,864700.0,68.0,67.94,67.5
1999-07-16,67.75,476700.0,68.75,68.06,67.75
1999-07-19,68.25,646100.0,70.75,69.44,68.25
1999-07-20,69.13,886100.0,70.44,68.13,67.88
1999-07-21,68.0,626100.0,68.06,67.88,67.13
1999-07-22,68.13,579500.0,68.25,66.5,66.5
1999-07-23,66.38,767200.0,66.38,64.06,64.0
1999-07-26,64.25,749500.0,64.75,63.25,63.19
1999-07-27,64.25,592200.0,65.75,65.5,63.31
1999-07-28,65.25,584800.0,66.38,66.06,64.0
1999-07-29,65.5,646000.0,65.5,65.0,64.5
1999-07-30,65.0,629600.0,65.0,64.31,63.63
1999-08-02,64.25,566400.0,64.56,62.81,62.38
1999-08-03,62.81,837700.0,62.81,60.81,60.75
1999-08-04,60.56,1281600.0,61.5,60.0,60.0
1999-08-05,59.81,1539900.0,60.0,59.25,57.81
1999-08-06,58.94,1308500.0,58.94,56.25,56.0
1999-08-09,56.5,1347500.0,57.5,55.81,55.81
1999-08-10,56.25,1817400.0,57.19,57.0,55.19
1999-08-11,57.88,1369200.0,61.56,61.5,57.44
1999-08-12,61.44,832800.0,62.19,60.69,60.56
1999-08-13,62.44,557400.0,63.25,63.13,62.06
1999-08-16,63.0,762600.0,63.0,62.88,60.88
1999-08-17,63.25,936900.0,64.5,63.0,62.63
1999-08-18,63.0,819300.0,63.0,62.31,61.06
1999-08-19,61.63,624600.0,62.5,61.69,60.81
1999-08-20,61.8125,439600.0,62.9375,62.3125,61.625
1999-08-23,62.81,837200.0,63.81,63.63,62.63
1999-08-24,63.56,894200.0,65.0,63.44,62.81
1999-08-25,63.13,449900.0,64.31,64.0,62.31
1999-08-26,64.0,378400.0,64.88,62.75,62.75
1999-08-27,63.0,265300.0,63.0,61.56,61.5
1999-08-30,61.75,438100.0,61.75,59.31,59.31
1999-08-31,59.5,496600.0,60.5,59.81,58.69
1999-09-01,60.56,560100.0,60.69,60.31,59.81
1999-09-02,59.5,727600.0,60.44,59.25,58.88
1999-09-03,60.75,754900.0,63.13,63.13,60.75
1999-09-07,63.0,813600.0,64.44,62.5,62.44
1999-09-08,62.44,732100.0,63.63,62.56,62.13
1999-09-09,62.5,448800.0,62.56,61.75,61.0
1999-09-10,62.38,636300.0,63.09,63.09,61.63
1999-09-13,62.19,250700.0,62.81,62.13,62.0
1999-09-14,61.38,1160600.0,61.38,59.38,58.75
1999-09-15,60.13,970200.0,60.13,58.31,58.06
1999-09-16,58.56,753200.0,59.13,57.69,57.44
1999-09-17,58.63,1116700.0,60.06,60.06,58.5
1999-09-20,60.06,721800.0,60.75,60.75,59.5
1999-09-21,60.56,2369100.0,61.75,59.13,58.38
1999-09-22,59.94,1534700.0,62.0,61.31,59.06
1999-09-23,61.75,889800.0,62.25,60.81,60.75
1999-09-24,61.06,831400.0,62.19,61.94,60.88
1999-09-27,62.0,624700.0,62.63,61.56,61.25
1999-09-28,61.31,819900.0,62.25,62.25,61.06
1999-09-29,62.38,800900.0,62.75,61.44,61.13
1999-09-30,61.94,1113400.0,62.5,61.0,61.0
1999-10-01,61.0,793300.0,61.25,59.19,58.31
1999-10-04,59.5,739400.0,61.69,61.69,59.5
1999-10-05,62.13,1040500.0,63.25,62.25,61.38
1999-10-06,62.13,944200.0,64.0,64.0,61.81
1999-10-07,64.0,366300.0,64.13,63.19,63.19
1999-10-08,62.5,488800.0,63.94,63.94,61.88
1999-10-11,63.75,229300.0,63.94,63.69,63.5
1999-10-12,63.69,644200.0,63.75,62.94,62.75
1999-10-13,62.38,393000.0,62.63,61.0,60.69
1999-10-14,60.5,1016000.0,62.56,62.0,58.88
1999-10-15,60.5,1088000.0,60.63,59.75,58.25
1999-10-18,60.25,732700.0,60.25,59.25,57.94
1999-10-19,59.5,1082700.0,61.0,60.38,59.5
1999-10-20,60.5,499800.0,62.38,61.75,60.5
1999-10-21,61.25,281900.0,61.81,61.81,61.13
1999-10-22,62.75,1644700.0,65.75,65.5,62.69
1999-10-25,64.94,665000.0,65.0,64.0,63.25
1999-10-26,63.5,650200.0,64.56,61.81,61.81
1999-10-27,62.06,1412500.0,64.75,64.38,62.0
1999-10-28,64.5,3983400.0,72.5,72.0,64.5
1999-10-29,72.06,2490500.0,73.75,71.0,70.19
1999-11-01,70.5,949300.0,71.0,69.38,69.31
1999-11-02,69.19,543000.0,71.75,69.75,69.13
1999-11-03,69.81,924000.0,69.88,68.75,68.31
1999-11-04,69.69,570400.0,70.75,70.13,69.44
1999-11-05,72.0,1304900.0,74.31,73.69,71.25
1999-11-08,73.5,651600.0,73.5,73.0,72.5
1999-11-09,73.5,695600.0,73.56,71.88,71.75
1999-11-10,71.0,678700.0,72.75,71.94,70.63
1999-11-11,72.0,574300.0,73.5,73.31,71.56
1999-11-12,73.94,2227700.0,79.81,79.75,73.75
1999-11-15,78.75,997100.0,79.94,78.0,77.25
1999-11-16,78.38,1505100.0,83.0,82.81,78.38
1999-11-17,81.13,1245400.0,81.38,79.56,78.56
1999-11-18,79.81,1111500.0,81.13,80.19,79.25
1999-11-19,80.0,329600.0,80.88,79.94,79.63
1999-11-22,79.5,329900.0,80.25,79.69,78.5
1999-11-23,79.94,656300.0,80.63,77.75,77.5
1999-11-24,77.5,515700.0,77.75,77.13,76.75
1999-11-26,77.19,107600.0,77.75,77.31,76.63
1999-11-29,77.25,517900.0,77.25,74.5,74.38
