date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,31.08,307467.0,31.45,30.83,30.83
1998-01-05,30.83,538200.0,31.26,31.26,30.59
1998-01-06,31.51,619800.0,33.55,32.56,31.39
1998-01-07,32.62,829867.0,33.05,31.7,30.71
1998-01-08,31.94,614467.0,32.07,31.57,31.2
1998-01-09,31.45,390667.0,31.45,30.34,30.22
1998-01-12,29.48,668600.0,30.96,30.96,29.48
1998-01-13,31.33,454600.0,32.31,32.31,31.33
1998-01-14,32.19,637000.0,32.44,32.37,32.07
1998-01-15,32.56,343667.0,33.3,32.31,32.31
1998-01-16,32.81,791200.0,33.3,32.87,32.68
1998-01-20,33.05,735600.0,35.09,34.96,33.05
1998-01-21,34.59,612467.0,34.59,34.29,33.3
1998-01-22,33.55,316067.0,33.67,33.3,33.18
1998-01-23,33.18,281800.0,33.42,32.81,32.44
1998-01-26,33.05,294267.0,33.67,32.31,32.25
1998-01-27,32.31,281800.0,33.48,32.93,32.19
1998-01-28,32.93,358867.0,33.05,32.5,32.19
1998-01-29,32.44,891267.0,33.3,33.05,32.44
1998-01-30,33.05,833000.0,34.16,34.04,32.99
1998-02-02,34.53,406067.0,34.59,34.29,34.16
1998-02-03,34.16,191867.0,34.53,34.53,33.67
1998-02-04,34.29,280800.0,34.29,34.29,34.04
1998-02-05,34.53,799000.0,35.09,34.47,34.41
1998-02-06,34.9,921200.0,35.77,35.21,34.9
1998-02-09,35.4,1055200.0,35.4,34.78,34.66
1998-02-10,34.9,669400.0,35.89,35.52,34.84
1998-02-11,35.27,545800.0,36.26,35.64,35.27
1998-02-12,35.52,570800.0,35.52,35.34,35.09
1998-02-13,35.4,539667.0,35.77,35.58,35.34
1998-02-17,35.52,430067.0,35.77,35.52,35.4
1998-02-18,35.52,984067.0,35.64,35.52,35.4
1998-02-19,35.46,528267.0,35.64,35.52,35.21
1998-02-20,35.46,437267.0,36.08,36.08,35.34
1998-02-23,35.95,350200.0,35.95,35.52,34.96
1998-02-24,35.52,622400.0,35.64,34.66,34.53
1998-02-25,34.47,716800.0,35.52,34.96,34.29
1998-02-26,35.09,1015600.0,35.15,34.78,34.53
1998-02-27,34.78,907400.0,35.89,35.77,34.41
1998-03-02,35.83,423267.0,36.38,36.14,35.77
1998-03-03,35.89,322000.0,36.01,35.64,35.21
1998-03-04,35.4,416600.0,35.77,34.72,34.53
1998-03-05,34.47,514267.0,34.96,34.78,34.29
1998-03-06,34.9,503200.0,35.21,34.9,34.9
1998-03-09,35.27,612000.0,35.52,34.53,34.53
1998-03-10,34.72,1314867.0,36.75,36.51,34.72
1998-03-11,36.26,450600.0,36.69,36.63,36.14
1998-03-12,36.63,325267.0,36.63,36.32,36.08
1998-03-13,36.51,223600.0,36.51,36.01,36.01
1998-03-16,36.38,959200.0,36.63,36.01,36.01
1998-03-17,36.26,617400.0,36.75,36.63,36.14
1998-03-18,36.63,493000.0,36.75,36.63,35.89
1998-03-19,36.63,539267.0,37.49,37.25,36.51
1998-03-20,37.25,407400.0,37.25,36.63,36.51
1998-03-23,36.26,772067.0,37.31,36.75,36.26
1998-03-24,37.0,416667.0,38.11,37.86,36.88
1998-03-25,34.53,6903000.0,34.78,34.59,34.29
1998-03-26,34.59,1356067.0,35.21,34.9,34.59
1998-03-27,35.64,1258067.0,36.01,34.72,34.66
1998-03-30,34.72,942000.0,34.78,34.47,34.29
1998-03-31,34.59,633467.0,35.4,34.84,34.59
1998-04-01,34.72,1109400.0,35.7,35.64,34.59
1998-04-02,35.64,459867.0,36.75,36.26,35.52
1998-04-03,36.38,428067.0,36.45,35.77,35.64
1998-04-06,35.77,466667.0,36.51,36.45,35.52
1998-04-07,36.63,468467.0,36.63,35.77,35.64
1998-04-08,35.64,287667.0,36.38,35.89,35.58
1998-04-09,35.89,182667.0,36.63,36.38,35.77
1998-04-13,36.45,233000.0,36.94,36.45,36.14
1998-04-14,36.38,188067.0,36.51,35.64,35.58
1998-04-15,35.64,362400.0,35.77,35.52,35.27
1998-04-16,35.4,521200.0,35.55,35.03,34.66
1998-04-17,35.03,235000.0,35.15,35.15,34.41
1998-04-20,35.4,312067.0,35.77,35.52,35.27
1998-04-21,35.27,515067.0,35.7,35.09,35.03
1998-04-22,35.27,542467.0,36.88,36.88,35.21
1998-04-23,36.51,590467.0,37.25,37.25,36.38
1998-04-24,37.25,599667.0,37.49,37.0,36.57
1998-04-27,36.38,406600.0,36.51,36.51,35.7
1998-04-28,36.51,420000.0,37.37,36.51,36.51
1998-04-29,36.63,222000.0,36.75,36.26,35.77
1998-04-30,36.14,336400.0,36.32,36.32,35.77
1998-05-01,36.45,619867.0,36.45,36.38,35.95
1998-05-04,36.51,458800.0,37.12,36.51,36.51
1998-05-05,36.51,498067.0,36.63,36.51,36.26
1998-05-06,36.38,550400.0,36.63,36.45,36.14
1998-05-07,36.38,702200.0,37.86,37.31,36.32
1998-05-08,37.37,437200.0,37.74,37.12,37.0
1998-05-11,37.12,460400.0,37.49,37.37,37.12
1998-05-12,37.25,352200.0,37.56,37.56,37.25
1998-05-13,37.43,245400.0,37.8,37.25,36.94
1998-05-14,37.49,354467.0,37.74,37.0,37.0
1998-05-15,37.99,706000.0,38.36,37.99,37.62
1998-05-18,38.23,430867.0,39.59,39.59,38.11
1998-05-19,39.59,520667.0,39.59,38.48,38.11
1998-05-20,38.48,315067.0,38.6,38.05,37.37
1998-05-21,37.86,758467.0,39.22,38.97,37.56
1998-05-22,38.97,425867.0,38.97,38.6,38.23
1998-05-26,38.48,321667.0,38.85,38.42,38.11
1998-05-27,38.17,295067.0,38.23,37.49,37.49
1998-05-28,37.49,465867.0,38.3,37.8,37.49
1998-05-29,37.92,270867.0,38.23,37.74,37.37
1998-06-01,37.49,256867.0,38.23,38.23,37.0
1998-06-02,38.6,179867.0,38.73,38.42,38.11
1998-06-03,38.42,248600.0,38.48,38.36,38.11
1998-06-04,38.3,176267.0,38.36,38.3,38.05
1998-06-05,38.42,241667.0,39.41,39.41,38.36
1998-06-08,39.47,320800.0,39.96,39.59,39.34
1998-06-09,39.47,296067.0,39.96,39.9,39.41
1998-06-10,40.02,357467.0,40.08,38.6,38.48
1998-06-11,38.73,288400.0,39.1,37.99,37.8
1998-06-12,37.86,277200.0,38.05,37.62,37.12
1998-06-15,37.0,323867.0,37.25,36.88,36.69
1998-06-16,37.25,318667.0,37.43,36.88,36.51
1998-06-17,36.26,701000.0,37.18,36.26,36.08
1998-06-18,36.14,380800.0,37.18,36.88,36.14
1998-06-19,36.88,424200.0,37.25,37.25,36.75
1998-06-22,37.12,268000.0,37.37,37.18,37.0
1998-06-23,37.37,209800.0,37.49,37.37,37.25
1998-06-24,37.49,319800.0,37.74,37.68,37.31
1998-06-25,37.68,372200.0,38.23,38.05,37.62
1998-06-26,38.05,394067.0,38.48,38.42,37.99
1998-06-29,38.6,188267.0,38.73,38.3,38.23
1998-06-30,38.17,283600.0,38.85,38.79,38.11
1998-07-01,38.79,583000.0,38.85,37.49,37.37
1998-07-02,37.49,1378200.0,37.49,37.0,36.14
1998-07-06,37.12,309200.0,37.99,37.8,37.12
1998-07-07,38.11,195400.0,38.67,38.67,37.8
1998-07-08,38.54,255667.0,38.6,38.48,38.17
1998-07-09,38.73,380867.0,38.97,38.79,38.6
1998-07-10,38.91,442067.0,39.59,39.41,38.91
1998-07-13,39.41,258467.0,39.47,38.97,38.79
1998-07-14,39.1,790867.0,39.34,38.54,38.23
1998-07-15,38.36,311867.0,38.67,38.3,38.17
1998-07-16,38.3,534800.0,39.41,39.41,38.11
1998-07-17,39.34,667267.0,40.39,40.39,38.73
1998-07-20,40.27,636467.0,40.27,40.14,39.71
1998-07-21,40.02,442400.0,40.02,39.41,39.22
1998-07-22,39.28,213800.0,39.34,39.22,38.91
1998-07-23,39.1,382667.0,39.1,37.62,37.49
1998-07-24,37.62,397000.0,37.62,37.31,37.0
1998-07-27,37.31,437067.0,37.31,36.63,36.01
1998-07-28,36.63,295667.0,37.25,36.51,36.38
1998-07-29,36.75,392867.0,36.88,36.01,35.83
1998-07-30,36.14,476000.0,36.57,36.32,36.14
1998-07-31,36.45,251400.0,36.45,35.7,35.52
1998-08-03,35.52,178667.0,35.77,35.4,35.27
1998-08-04,35.4,324867.0,35.4,33.92,33.79
1998-08-05,33.55,483400.0,36.14,36.14,33.18
1998-08-06,36.26,453800.0,36.88,36.45,36.2
1998-08-07,36.32,171600.0,36.63,36.38,36.2
1998-08-10,36.26,458000.0,36.26,34.84,34.66
1998-08-11,34.53,444600.0,34.78,34.78,34.04
1998-08-12,34.78,295067.0,36.01,36.01,34.59
1998-08-13,36.26,214600.0,36.45,36.38,35.7
1998-08-14,36.51,291267.0,36.51,35.27,35.27
1998-08-17,35.03,304800.0,36.51,36.26,35.03
1998-08-18,36.14,423667.0,36.45,36.32,35.89
1998-08-19,36.32,371400.0,36.32,34.84,34.66
1998-08-20,35.03,188000.0,36.32,36.2,35.03
1998-08-21,35.95,313400.0,36.32,35.34,35.03
1998-08-24,35.64,231600.0,36.51,36.08,35.58
1998-08-25,36.08,415000.0,37.62,37.25,36.01
1998-08-26,36.63,316400.0,36.75,36.26,36.14
1998-08-27,36.14,727000.0,36.14,34.9,33.18
1998-08-28,34.9,389267.0,35.7,34.35,33.67
1998-08-31,34.23,336200.0,34.29,30.9,30.71
1998-09-01,31.57,482867.0,34.1,34.1,31.57
1998-09-02,35.27,387867.0,35.4,34.53,34.04
1998-09-03,34.29,570667.0,34.29,32.99,32.81
1998-09-04,32.99,472667.0,33.48,31.51,31.33
1998-09-08,32.25,356067.0,34.35,34.35,32.19
1998-09-09,34.35,346400.0,34.35,32.99,32.93
1998-09-10,32.99,227067.0,32.99,32.19,32.13
1998-09-11,32.25,237867.0,33.61,33.42,32.19
1998-09-14,33.42,294267.0,33.42,32.56,32.5
1998-09-15,32.56,385200.0,32.9,32.81,32.01
1998-09-16,32.81,1288467.0,32.87,30.34,29.6
1998-09-17,30.09,530867.0,30.09,29.54,29.11
1998-09-18,30.09,464400.0,30.46,30.09,29.72
1998-09-21,29.97,492467.0,31.26,31.26,29.6
1998-09-22,31.14,696600.0,31.57,30.28,30.06
1998-09-23,30.34,701000.0,30.34,30.09,29.85
1998-09-24,29.85,399400.0,30.22,29.85,29.66
1998-09-25,29.72,967267.0,30.65,30.59,29.23
1998-09-28,29.85,1183800.0,30.22,29.6,29.42
1998-09-29,29.66,516667.0,30.15,30.09,29.23
1998-09-30,29.85,541867.0,30.15,29.17,29.11
1998-10-01,29.35,679467.0,29.54,29.11,28.61
1998-10-02,29.11,878800.0,29.48,28.31,28.24
1998-10-05,28.68,370400.0,29.17,28.18,28.18
1998-10-06,28.31,588067.0,29.04,28.68,28.31
1998-10-07,28.8,585800.0,30.46,30.34,28.61
1998-10-08,30.22,562867.0,30.22,29.97,29.23
1998-10-09,29.85,516867.0,29.91,29.11,28.92
