date,1. open,5. volume,2. high,4. close,3. low
2011-03-10,31.2,64599900.0,31.5,31.02,30.7
2011-03-11,30.5,9531600.0,31.29,31.12,30.5
2011-03-14,30.96,8663800.0,31.05,30.91,30.57
2011-03-15,30.39,7121200.0,31.5,31.34,30.36
2011-03-16,31.25,6157900.0,31.95,31.25,31.12
2011-03-17,31.54,3332400.0,31.93,31.91,31.4
2011-03-18,32.11,5463200.0,33.08,33.06,31.9
2011-03-21,33.39,3823500.0,33.39,32.25,32.0
2011-03-22,32.37,3943900.0,32.39,31.87,31.3904
2011-03-23,31.7,4216300.0,32.68,32.68,31.5
2011-03-24,32.53,2125600.0,32.95,32.69,32.5
2011-03-25,32.71,3026600.0,33.1,32.95,32.58
2011-03-28,32.87,2098300.0,33.11,33.04,32.75
2011-03-29,33.44,5137300.0,34.01,33.89,33.05
2011-03-30,34.57,3049500.0,34.57,34.24,33.93
2011-03-31,34.0,1960600.0,34.11,33.87,33.665
2011-04-01,33.89,1822100.0,34.1,33.74,33.66
2011-04-04,33.87,2648000.0,33.87,33.67,33.31
2011-04-05,33.7,3607100.0,34.05,34.02,33.25
2011-04-06,33.75,2718500.0,34.2,33.3,33.24
2011-04-07,33.28,1946900.0,33.85,33.66,32.85
2011-04-08,33.52,2339800.0,33.99,33.17,32.99
2011-04-11,33.34,15028000.0,33.34,32.12,30.79
2011-04-12,32.11,3848800.0,32.59,31.53,31.33
2011-04-13,32.0,3969800.0,32.45,32.06,31.7
2011-04-14,31.89,1565900.0,32.5,32.14,31.79
2011-04-15,32.3,3072800.0,32.38,31.98,31.89
2011-04-18,31.82,2911100.0,32.54,32.08,30.75
2011-04-19,33.08,3838100.0,33.1,31.74,31.66
2011-04-20,32.0,3866100.0,32.1897,31.65,31.15
2011-04-21,31.81,1462000.0,31.98,31.4,31.27
2011-04-25,31.56,732700.0,31.5999,31.4,31.1
2011-04-26,31.35,1800000.0,32.07,32.0,31.16
2011-04-27,32.26,3354500.0,33.0,32.65,32.2503
2011-04-28,32.51,1600000.0,32.99,32.57,32.25
2011-04-29,32.5,1233900.0,32.86,32.8,32.03
2011-05-02,32.8,2786200.0,33.79,33.44,32.8
2011-05-03,33.59,3429400.0,33.882,32.61,31.94
2011-05-04,33.1,4518300.0,33.96,33.55,32.79
2011-05-05,33.45,2613000.0,34.74,34.34,33.15
2011-05-06,34.06,1601300.0,34.5,34.25,33.89
2011-05-09,34.35,1996100.0,34.75,34.49,34.14
2011-05-10,34.03,1475100.0,34.86,34.59,34.0
2011-05-11,34.2,1431700.0,34.79,34.54,34.06
2011-05-12,34.3,814000.0,34.59,34.51,34.12
2011-05-13,34.43,1694000.0,34.769,34.6,34.232
2011-05-16,34.3,1719900.0,34.6,34.25,34.05
2011-05-17,34.21,3131000.0,34.95,34.54,34.0
2011-05-18,34.4,2070300.0,35.24,35.07,34.15
2011-05-19,35.02,1183900.0,35.23,35.05,34.5
2011-05-20,34.9,2012400.0,35.04,34.63,34.15
2011-05-23,34.4,2200000.0,34.55,34.41,34.0
2011-05-24,34.53,3000000.0,34.64,34.49,34.07
2011-05-25,34.57,2539100.0,35.0,34.68,34.24
2011-05-26,34.9,1796500.0,34.91,34.83,34.05
2011-05-27,34.92,1474700.0,35.1,34.74,34.41
2011-05-31,34.99,8113400.0,35.31,34.89,34.56
2011-06-01,35.0,3049800.0,35.27,34.77,34.42
2011-06-02,34.84,2160100.0,35.05,34.36,34.25
2011-06-03,34.0,2519100.0,34.15,34.14,33.72
2011-06-06,33.98,2361000.0,34.28,33.74,33.06
2011-06-07,33.79,1896300.0,34.9,34.52,33.73
2011-06-08,34.57,1458400.0,34.99,34.76,34.25
2011-06-09,35.03,1634100.0,35.37,35.24,34.58
2011-06-10,35.0,2222700.0,35.0,33.9,33.86
2011-06-13,34.15,1671700.0,34.15,33.65,33.25
2011-06-14,33.8,1846300.0,34.07,33.54,33.26
2011-06-15,33.25,2544700.0,33.52,33.15,32.62
2011-06-16,34.05,5779300.0,34.8,33.87,33.5
2011-06-17,34.0,3872600.0,34.99,34.59,33.95
2011-06-20,34.72,1461700.0,34.72,34.23,34.05
2011-06-21,34.2,2728100.0,34.36,33.9,33.5
2011-06-22,33.9,2487500.0,33.995,33.42,33.36
2011-06-23,33.3,3222100.0,33.44,33.21,32.28
2011-06-24,33.31,11475100.0,33.31,32.25,32.16
2011-06-27,32.4,3136700.0,32.71,32.48,31.49
2011-06-28,32.59,2536500.0,33.08,32.75,32.58
2011-06-29,32.98,1405800.0,33.3,32.76,32.59
2011-06-30,32.78,1479200.0,33.39,33.0,32.63
2011-07-01,33.14,1663200.0,33.5,33.06,32.54
2011-07-05,33.07,957900.0,33.47,33.17,32.98
2011-07-06,33.26,2467500.0,34.17,33.99,33.12
2011-07-07,34.25,1928600.0,34.74,34.29,34.0
2011-07-08,33.96,874800.0,34.01,33.83,33.29
2011-07-11,33.54,777900.0,33.665,33.06,32.99
2011-07-12,33.05,1075800.0,33.73,32.8,32.65
2011-07-13,32.98,1120100.0,33.67,33.24,32.81
2011-07-14,33.3,1107800.0,33.54,33.22,32.98
2011-07-15,33.27,1116700.0,33.28,33.22,32.74
2011-07-18,33.04,1609500.0,33.0723,32.59,32.44
2011-07-19,33.04,2768200.0,33.93,33.03,32.87
2011-07-20,33.2,721700.0,33.51,33.25,32.69
2011-07-21,33.43,1554300.0,34.56,34.43,33.43
2011-07-22,34.32,2101300.0,34.92,34.61,34.02
2011-07-25,30.05,25100300.0,30.8,27.97,27.51
2011-07-26,27.67,7726300.0,28.38,28.04,26.9636
2011-07-27,27.96,7519300.0,28.38,27.37,27.33
2011-07-28,27.52,3745300.0,27.9,27.22,26.89
2011-07-29,27.03,4122700.0,27.15,26.68,26.5
2011-08-01,26.96,11984800.0,27.19,24.94,23.53
2011-08-02,25.95,4763100.0,26.09,24.64,24.34
2011-08-03,24.57,8645800.0,24.8971,24.76,22.71
2011-08-04,24.63,6587900.0,24.65,22.9,22.58
2011-08-05,23.09,5344500.0,23.25,21.99,21.69
2011-08-08,21.58,10496600.0,21.67,18.19,17.25
2011-08-09,18.51,8246200.0,19.26,18.35,17.03
2011-08-10,17.8,12044400.0,18.96,18.58,17.68
2011-08-11,18.79,7056800.0,19.87,19.47,18.75
2011-08-12,19.52,6145000.0,21.41,21.22,18.59
2011-08-15,21.42,7085300.0,23.55,22.58,21.42
2011-08-16,22.33,2753200.0,22.41,21.77,21.52
2011-08-17,21.95,3437400.0,22.06,20.99,20.81
2011-08-18,20.49,3699900.0,20.7,19.96,19.67
2011-08-19,19.67,1865200.0,20.05,19.27,19.06
2011-08-22,19.57,1310900.0,19.91,19.06,18.8
2011-08-23,19.14,3408800.0,19.595,19.58,18.55
2011-08-24,19.56,2030400.0,20.24,20.04,19.09
2011-08-25,20.24,1532500.0,20.24,19.06,18.87
2011-08-26,19.02,1456000.0,19.6,19.5,18.47
2011-08-29,19.73,2126400.0,20.44,19.98,19.64
2011-08-30,19.93,1880200.0,20.0,19.86,19.61
2011-08-31,19.89,2863200.0,20.41,20.03,19.75
2011-09-01,20.16,1599200.0,20.62,19.19,19.08
2011-09-02,18.82,1920900.0,19.0,18.65,18.31
2011-09-06,18.08,2363000.0,18.91,18.76,17.87
2011-09-07,19.1,2327200.0,20.11,19.84,18.9
2011-09-08,19.71,1371000.0,20.15,19.49,19.42
2011-09-09,19.32,2378000.0,19.5899,18.3,18.28
2011-09-12,17.795,3584300.0,18.84,18.4,17.6
2011-09-13,18.07,4192500.0,18.07,17.66,17.2
2011-09-14,17.71,7234800.0,19.11,18.61,17.6
2011-09-15,19.96,7338600.0,21.0,20.84,19.93
2011-09-16,21.26,3972600.0,21.54,21.23,20.75
2011-09-19,20.73,3967900.0,20.74,19.81,19.74
2011-09-20,20.0,2470400.0,20.19,19.9,19.49
2011-09-21,19.89,4255800.0,20.52,19.82,19.7539
2011-09-22,19.03,3843300.0,20.33,19.92,19.03
2011-09-23,19.53,2915600.0,19.84,19.46,19.23
2011-09-26,19.77,2518400.0,20.0,19.85,19.37
2011-09-27,20.3,1372800.0,20.37,19.83,19.75
2011-09-28,19.88,1467000.0,19.88,19.2,19.2
2011-09-29,19.5,1730100.0,19.94,19.8,19.23
2011-09-30,19.52,4126700.0,20.31,20.16,19.47
2011-10-03,20.09,4123900.0,20.49,18.81,18.72
2011-10-04,18.51,4096800.0,18.68,18.61,17.43
2011-10-05,17.88,4669800.0,18.84,18.07,17.7
2011-10-06,18.11,2032500.0,18.8,18.27,17.99
2011-10-07,18.58,2169300.0,19.02,18.6,18.15
2011-10-10,18.99,1054600.0,19.28,19.18,18.82
2011-10-11,19.19,875700.0,19.2641,19.1,18.86
2011-10-12,19.29,4898800.0,20.8,20.32,19.11
2011-10-13,20.12,3378300.0,21.21,21.13,19.92
2011-10-14,21.47,3463600.0,22.16,22.05,21.34
2011-10-17,21.95,1974300.0,22.21,21.8,21.46
2011-10-18,21.92,2975500.0,22.88,22.7,21.755
2011-10-19,22.75,2507400.0,22.86,21.94,21.76
2011-10-20,21.93,3167400.0,22.13,21.67,21.11
2011-10-21,22.1,3662500.0,23.38,23.31,22.1
2011-10-24,23.27,1943500.0,23.55,22.8,22.54
2011-10-25,22.59,1446000.0,22.59,22.16,22.1
2011-10-26,22.52,2247300.0,22.7,22.34,21.45
2011-10-27,22.95,3777400.0,22.95,22.67,21.33
2011-10-28,22.48,2215300.0,23.09,22.78,22.256
2011-10-31,22.68,4239400.0,23.73,23.45,22.52
2011-11-01,22.94,5719200.0,25.64,23.5,22.5
2011-11-02,24.05,4120600.0,24.7,23.35,23.31
2011-11-03,23.0,3674800.0,23.42,23.09,22.52
2011-11-04,23.23,1343600.0,23.62,23.51,22.85
2011-11-07,23.35,2936000.0,24.605,24.52,23.35
2011-11-08,24.38,6044300.0,25.59,25.21,23.9
2011-11-09,24.32,3704700.0,25.4,25.02,24.32
2011-11-10,25.01,4279400.0,25.98,25.87,25.01
2011-11-11,26.12,4686700.0,26.86,26.53,25.95
2011-11-14,26.4,2891000.0,26.725,26.53,26.06
2011-11-15,26.43,2435400.0,26.76,26.61,25.94
2011-11-16,26.52,2462500.0,26.75,25.52,25.46
2011-11-17,25.41,3054300.0,25.78,25.05,24.72
2011-11-18,25.09,3779500.0,25.69,25.2,24.63
2011-11-21,24.68,2041700.0,25.5,25.04,24.68
2011-11-22,24.93,2668800.0,25.025,23.95,23.79
2011-11-23,23.73,2631100.0,24.01,23.58,23.22
2011-11-25,23.59,258800.0,23.99,23.46,23.41
2011-11-28,23.86,1705000.0,24.36,23.77,23.61
2011-11-29,23.9,1698500.0,24.24,24.05,23.42
2011-11-30,24.68,3441400.0,24.73,24.38,23.91
2011-12-01,24.29,1495700.0,24.575,24.19,24.05
2011-12-02,24.02,8681400.0,24.47,22.45,21.55
2011-12-05,23.74,4116500.0,24.0,23.65,23.37
2011-12-06,23.65,3034400.0,24.03,23.24,23.0
2011-12-07,23.06,2697300.0,23.19,22.67,22.43
2011-12-08,22.53,2941500.0,22.55,21.45,21.13
2011-12-09,21.51,1562200.0,21.73,21.18,21.17
2011-12-12,21.08,2690300.0,21.28,20.66,20.34
2011-12-13,20.68,2385400.0,21.24,20.22,20.13
2011-12-14,20.16,4290500.0,20.77,20.6,19.86
2011-12-15,20.63,3124300.0,21.28,21.14,20.53
2011-12-16,21.42,6188100.0,21.9,21.57,21.2
2011-12-19,21.67,1709700.0,21.9,21.23,21.14
2011-12-20,21.53,2592300.0,21.8,21.06,20.94
2011-12-21,21.07,1678800.0,21.98,21.9,21.07
2011-12-22,21.91,1272600.0,22.22,21.88,21.69
2011-12-23,21.8,1161600.0,21.91,21.46,21.41
2011-12-27,21.41,981700.0,21.69,21.38,21.05
2011-12-28,21.4,1201800.0,21.44,20.91,20.82
2011-12-29,20.93,781300.0,21.39,21.27,20.85
2011-12-30,21.22,1972500.0,22.35,22.03,21.22
2012-01-03,22.0,1943500.0,22.13,21.64,21.27
2012-01-04,21.5,2927100.0,21.5,20.8,20.7
2012-01-05,20.65,1959300.0,21.57,21.29,20.65
2012-01-06,21.3,3020200.0,22.64,22.34,21.3
2012-01-09,22.14,1920600.0,22.68,21.65,21.59
2012-01-10,21.98,5678500.0,22.5,22.46,20.33
2012-01-11,22.29,5801400.0,23.95,23.8,22.19
2012-01-12,23.95,4220200.0,24.1,23.32,22.89
2012-01-13,23.32,2466300.0,24.1,23.9,23.17
2012-01-17,23.92,1641000.0,24.18,24.02,23.56
2012-01-18,24.05,2147200.0,24.54,24.26,23.84
2012-01-19,24.25,2033200.0,24.8,24.51,24.16
2012-01-20,24.5,1470800.0,24.59,24.5,24.1525
2012-01-23,24.43,1551300.0,24.8,24.64,24.43
2012-01-24,24.6,6702100.0,26.155,26.06,24.47
2012-01-25,26.12,5779500.0,27.03,27.0,25.89
2012-01-26,26.55,1779400.0,26.87,26.36,26.175
2012-01-27,26.23,2851700.0,26.26,25.72,25.71
2012-01-30,25.65,2472400.0,25.82,24.85,24.72
2012-01-31,25.13,3674000.0,25.45,24.44,24.275
2012-02-01,24.83,3174500.0,25.25,24.97,24.4
2012-02-02,25.04,2187600.0,25.31,25.27,24.78
2012-02-03,25.26,4524000.0,26.5,26.46,25.26
2012-02-06,28.99,11567800.0,28.99,28.4,27.43
2012-02-07,28.48,6231600.0,29.3,28.82,28.48
