date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,38.0,30900.0,38.25,38.25,37.75
1998-01-05,38.13,16600.0,38.13,38.06,37.81
1998-01-06,38.25,52400.0,38.5,38.13,37.88
1998-01-07,38.13,70200.0,38.5,38.25,37.81
1998-01-08,38.38,42000.0,38.38,38.31,38.0
1998-01-09,38.19,65300.0,38.88,38.13,38.0
1998-01-12,38.0,86700.0,38.13,38.0,37.75
1998-01-13,38.25,26800.0,38.44,38.31,38.0
1998-01-14,38.5,26500.0,38.69,38.69,38.31
1998-01-15,38.44,55400.0,39.25,39.19,38.44
1998-01-16,39.44,78700.0,40.0,39.25,39.0
1998-01-20,39.38,63800.0,39.44,38.88,38.88
1998-01-21,38.88,22000.0,39.25,39.25,38.75
1998-01-22,39.0,30000.0,39.13,38.63,38.31
1998-01-23,38.38,28400.0,38.88,38.44,38.25
1998-01-26,38.31,31200.0,38.75,38.38,38.13
1998-01-27,38.31,31800.0,38.75,38.31,38.25
1998-01-28,38.56,30800.0,38.75,38.63,38.25
1998-01-29,38.75,54700.0,39.19,39.06,38.5
1998-01-30,39.19,32100.0,39.38,38.81,38.81
1998-02-02,38.88,37600.0,39.0,38.63,38.56
1998-02-03,38.38,91000.0,38.38,38.13,37.75
1998-02-04,37.88,66100.0,38.13,38.06,37.75
1998-02-05,37.38,46900.0,37.63,37.13,37.0
1998-02-06,37.19,46000.0,37.56,37.5,37.13
1998-02-09,37.44,128900.0,38.0,37.75,37.31
1998-02-10,37.88,57200.0,38.0,37.75,37.69
1998-02-11,37.63,47000.0,37.75,37.31,37.31
1998-02-12,37.25,41700.0,37.56,37.5,37.13
1998-02-13,37.38,32500.0,37.94,37.38,37.38
1998-02-17,37.63,35400.0,37.94,37.63,37.5
1998-02-18,37.56,21000.0,37.63,37.56,37.5
1998-02-19,37.56,45100.0,37.56,37.0,37.0
1998-02-20,37.0,79100.0,37.06,36.25,36.06
1998-02-23,36.31,48000.0,36.69,36.56,36.31
1998-02-24,36.31,60700.0,36.56,36.38,36.0
1998-02-25,36.13,47700.0,36.75,36.5,36.06
