date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,59.0,1163100.0,59.13,58.5,57.13
1998-01-05,58.69,1552800.0,58.88,57.69,57.56
1998-01-06,57.13,1221900.0,58.06,58.06,57.13
1998-01-07,58.0,1803800.0,59.13,58.69,57.69
1998-01-08,59.69,1599300.0,59.69,58.44,58.38
1998-01-09,58.13,1389400.0,58.13,56.38,56.0
1998-01-12,55.31,1684100.0,58.13,58.13,55.31
1998-01-13,58.63,1662200.0,59.19,59.13,58.13
1998-01-14,59.0,1368200.0,59.75,59.69,58.88
1998-01-15,59.44,1181600.0,59.88,59.31,58.44
1998-01-16,59.63,1208100.0,59.88,59.31,59.13
1998-01-20,59.63,1634900.0,61.0,60.75,59.06
1998-01-21,60.69,1253500.0,60.81,60.69,59.81
1998-01-22,59.88,1195000.0,60.13,59.5,59.38
1998-01-23,59.25,1848600.0,60.25,59.88,59.13
1998-01-26,60.13,1237500.0,60.13,58.81,58.56
1998-01-27,58.69,1715400.0,60.69,60.31,58.63
1998-01-28,60.75,1993600.0,61.19,60.56,60.38
1998-01-29,60.63,1602300.0,61.63,60.56,60.38
1998-01-30,60.69,893700.0,61.31,60.5,60.13
1998-02-02,61.5,1356600.0,62.38,61.81,61.25
1998-02-03,61.63,1526300.0,63.06,62.75,61.44
1998-02-04,62.63,1262400.0,63.06,63.0,62.25
1998-02-05,63.0,1917600.0,63.38,63.06,62.38
1998-02-06,63.19,1555100.0,63.88,63.63,63.0
1998-02-09,63.0,1372200.0,63.44,63.06,62.81
1998-02-10,63.31,851900.0,64.0,64.0,63.06
1998-02-11,63.88,1712400.0,64.0,63.94,63.31
1998-02-12,63.88,1372300.0,65.25,65.13,63.06
1998-02-13,64.75,1105800.0,65.69,65.5,64.69
1998-02-17,66.38,2133600.0,67.13,66.75,66.31
1998-02-18,66.75,1652000.0,67.0,66.88,66.56
1998-02-19,67.0,1484700.0,67.13,67.13,66.56
1998-02-20,67.06,1492200.0,67.13,67.0,66.38
1998-02-23,67.25,2686500.0,68.81,68.56,67.25
1998-02-24,67.0,3892300.0,67.31,65.13,65.13
1998-02-25,65.75,3313800.0,67.13,66.56,65.0
1998-02-26,65.5,2402900.0,66.5,65.31,65.13
1998-02-27,65.13,2658300.0,65.25,63.88,63.25
1998-03-02,63.63,2262900.0,65.06,64.63,63.63
1998-03-03,63.56,1889500.0,64.69,64.38,63.56
1998-03-04,64.0,1316900.0,64.5,64.44,63.75
1998-03-05,64.0,1675000.0,65.13,64.31,63.44
1998-03-06,64.44,2266700.0,66.0,66.0,64.44
1998-03-09,65.94,1479000.0,66.69,66.38,65.31
1998-03-10,67.38,2489400.0,68.25,67.94,67.0
1998-03-11,68.44,2408600.0,69.88,69.5,68.25
1998-03-12,69.5,3704200.0,69.88,69.5,68.56
1998-03-13,69.44,2012000.0,69.88,69.25,68.94
1998-03-16,69.38,1221600.0,69.63,69.5,68.63
1998-03-17,69.94,1539000.0,70.44,69.5,69.25
1998-03-18,69.25,1639200.0,69.5,68.38,67.75
1998-03-19,68.63,1057900.0,68.63,68.06,67.75
1998-03-20,68.25,1460100.0,69.44,68.75,68.0
1998-03-23,68.13,1600900.0,68.19,66.69,66.69
1998-03-24,68.0,1791600.0,68.0,66.38,66.13
1998-03-25,66.5,3066500.0,66.75,65.38,64.44
1998-03-26,65.5,3105600.0,67.56,67.13,65.19
1998-03-27,67.75,1946700.0,67.75,66.25,65.44
1998-03-30,66.25,1304200.0,66.75,66.13,65.63
1998-03-31,68.0,4119300.0,68.5,67.63,66.44
1998-04-01,67.44,3211200.0,69.63,69.5,67.38
1998-04-02,69.5,2594100.0,70.0,69.0,68.75
1998-04-03,69.13,3760100.0,70.5,69.69,69.06
1998-04-06,71.5,3474300.0,71.5,70.14,69.44
1998-04-07,69.44,1714400.0,69.94,68.88,68.69
1998-04-08,69.0,2288100.0,69.38,68.19,67.94
1998-04-09,69.0,1616700.0,70.88,70.81,68.88
1998-04-13,71.0,1541600.0,71.19,70.81,70.19
1998-04-14,71.0,2161400.0,72.69,72.25,70.69
1998-04-15,72.0,842400.0,72.5,72.25,71.5
1998-04-16,72.0,973800.0,72.0,70.94,70.94
1998-04-17,71.0,1496000.0,71.0,70.38,70.06
1998-04-20,70.13,1456000.0,70.63,70.63,69.5
1998-04-21,70.5,1530400.0,71.44,71.13,70.13
1998-04-22,71.19,886900.0,71.5,70.94,70.44
1998-04-23,70.25,811700.0,71.0,70.25,70.0
1998-04-24,70.5,1495000.0,70.63,68.63,68.13
1998-04-27,67.5,2374900.0,67.63,66.75,65.56
1998-04-28,68.0,2361500.0,68.13,66.75,66.5
1998-04-29,67.0,1416400.0,67.38,67.31,66.13
1998-04-30,68.5,2492600.0,69.94,69.69,68.13
1998-05-01,70.63,1365000.0,70.63,69.38,69.13
1998-05-04,69.25,1106900.0,70.56,70.44,69.06
1998-05-05,70.5,1126100.0,70.94,70.69,69.75
1998-05-06,70.63,1588700.0,71.0,69.38,68.63
1998-05-07,69.31,1797300.0,69.44,67.88,67.69
1998-05-08,68.0,1360900.0,69.0,68.88,68.0
1998-05-11,69.94,1629600.0,70.63,69.69,69.5
1998-05-12,69.56,1445600.0,70.19,70.0,69.13
1998-05-13,70.63,1563700.0,71.19,71.06,70.25
1998-05-14,70.81,1384500.0,72.38,71.94,70.25
1998-05-15,72.19,1870900.0,72.94,70.94,70.88
1998-05-18,71.38,1337400.0,71.75,70.13,69.75
1998-05-19,71.94,2765000.0,73.63,73.0,71.88
1998-05-20,73.0,1719200.0,73.88,72.88,72.19
1998-05-21,73.0,2366600.0,76.19,74.56,72.38
1998-05-22,74.56,1291100.0,74.88,74.38,74.0
1998-05-26,75.63,1815600.0,76.38,74.5,74.31
1998-05-27,72.75,3418300.0,74.81,74.25,72.63
1998-05-28,75.44,5768800.0,78.0,77.0,74.38
1998-05-29,77.38,3304200.0,78.94,78.56,77.38
1998-06-01,79.5,2759300.0,79.56,79.06,78.38
1998-06-02,79.06,3342900.0,79.06,77.69,77.56
1998-06-03,77.81,2446300.0,77.88,77.0,76.81
1998-06-04,76.75,1853200.0,77.56,77.31,76.06
1998-06-05,77.63,1726400.0,79.0,78.94,77.13
1998-06-08,79.19,2754100.0,80.75,80.5,79.0
1998-06-09,80.44,1714700.0,81.19,80.75,79.81
1998-06-10,80.69,2225900.0,82.44,82.37,80.56
1998-06-11,83.13,2390500.0,83.25,81.94,81.0
1998-06-12,81.75,1462300.0,83.06,81.19,80.38
1998-06-15,80.0,1585700.0,80.31,78.75,78.69
1998-06-16,79.69,1896800.0,80.13,79.69,78.96
1998-06-17,80.0,2622100.0,82.94,82.31,80.0
1998-06-18,82.56,2256300.0,84.44,84.13,82.5
1998-06-19,83.81,2460600.0,84.25,82.13,81.0
1998-06-22,82.63,2121900.0,85.19,84.13,82.63
1998-06-23,85.88,3358700.0,86.56,84.88,84.19
1998-06-24,85.0,2316000.0,85.38,84.94,84.25
1998-06-25,85.75,1954800.0,86.0,84.88,84.63
1998-06-26,84.75,1239200.0,85.88,84.94,84.31
1998-06-29,85.06,1855500.0,85.44,84.63,83.94
1998-06-30,84.63,2178200.0,84.94,83.06,83.0
1998-07-01,83.25,2241900.0,85.44,85.0,83.25
1998-07-02,85.38,1836200.0,86.06,85.88,84.81
1998-07-06,44.88,3939033.0,46.19,46.19,43.88
1998-07-07,47.13,7189200.0,47.25,46.19,46.19
1998-07-08,47.0,5403467.0,47.88,47.88,46.69
1998-07-09,48.0,8130667.0,48.0,47.0,46.19
