date,1. open,5. volume,2. high,4. close,3. low
2013-06-27,18.0,34989500.0,19.25,18.66,17.8
2013-06-28,18.65,3850400.0,18.97,18.79,18.26
2013-07-01,18.78,2050900.0,19.2,18.92,18.53
2013-07-02,19.0,2127800.0,19.4,19.11,18.7725
2013-07-03,19.25,1320900.0,19.55,19.38,19.12
2013-07-05,19.46,1445500.0,19.7,19.61,19.4
2013-07-08,19.75,1147300.0,19.87,19.8,19.56
2013-07-09,19.9,1610200.0,20.0899,19.77,19.46
2013-07-10,19.63,991100.0,19.65,19.5,19.29
2013-07-11,19.42,1978900.0,19.78,19.3,19.28
2013-07-12,19.25,1402500.0,19.55,19.33,19.0
2013-07-15,19.35,1656600.0,19.48,19.32,19.05
2013-07-16,19.4,2158900.0,19.48,19.26,19.22
2013-07-17,19.21,3239800.0,19.42,19.05,19.04
2013-07-18,19.05,4891000.0,19.59,19.51,18.99
2013-07-19,19.37,5291900.0,20.59,20.36,19.34
2013-07-22,20.6,2767900.0,21.0,20.82,20.37
2013-07-23,20.84,2418900.0,21.55,21.49,20.12
2013-07-24,21.71,1160700.0,21.92,21.64,20.67
2013-07-25,21.65,939900.0,21.9543,21.29,21.15
2013-07-26,21.47,399900.0,21.62,21.39,21.25
2013-07-29,21.39,458400.0,21.49,21.2,20.99
2013-07-30,21.52,343600.0,21.75,21.4,21.0857
2013-07-31,21.45,375000.0,21.55,21.44,21.21
2013-08-01,21.59,3734400.0,22.428,22.08,21.41
2013-08-02,22.06,1777700.0,22.62,22.57,22.02
2013-08-05,22.52,1470200.0,23.33,23.0,22.52
2013-08-06,23.73,3294100.0,23.83,23.4,22.66
2013-08-07,23.42,1449900.0,23.65,23.28,23.15
2013-08-08,23.36,780900.0,23.43,23.27,23.11
2013-08-09,23.68,669900.0,23.75,23.08,23.0
2013-08-12,24.0,1534800.0,24.0,23.47,23.36
2013-08-13,23.7,1582900.0,23.955,23.9,23.23
2013-08-14,24.06,713000.0,24.2,23.67,23.6
2013-08-15,23.75,1590800.0,23.75,22.81,22.6
2013-08-16,22.84,1055200.0,23.42,23.18,22.83
2013-08-19,23.28,757100.0,23.48,22.69,22.68
2013-08-20,23.02,1211100.0,23.83,23.25,22.35
2013-08-21,23.36,982900.0,23.85,23.37,22.97
2013-08-22,23.44,550700.0,23.775,23.34,22.95
2013-08-23,23.47,718100.0,23.79,23.55,22.89
2013-08-26,23.72,662200.0,23.81,23.81,23.32
2013-08-27,23.69,907700.0,23.69,22.88,22.58
2013-08-28,22.95,384800.0,23.248,22.87,22.5
2013-08-29,22.85,463000.0,23.384,23.04,22.5503
2013-08-30,23.09,255300.0,23.09,22.74,22.7
2013-09-03,22.92,536600.0,23.22,23.01,22.81
2013-09-04,23.01,639700.0,23.31,23.22,22.79
2013-09-05,23.35,1143300.0,24.3,23.95,23.32
2013-09-06,24.05,772100.0,24.22,23.95,23.77
2013-09-09,24.2,2259500.0,25.06,24.748,24.01
2013-09-10,22.6,9570200.0,22.65,21.967,21.29
2013-09-11,21.71,2597700.0,22.37,22.18,21.42
2013-09-12,22.12,1800700.0,23.13,22.71,22.12
2013-09-13,22.68,748400.0,23.15,22.87,22.51
2013-09-16,23.22,634000.0,23.339,22.89,22.51
2013-09-17,22.83,1086200.0,23.2,23.05,22.83
2013-09-18,23.0,1811000.0,23.5,23.12,22.68
2013-09-19,23.21,2032100.0,23.5,23.34,23.098
2013-09-20,23.43,3576100.0,23.78,22.75,22.64
2013-09-23,22.72,1813300.0,22.9,21.98,21.94
2013-09-24,22.11,760900.0,22.74,22.38,21.92
2013-09-25,23.49,459500.0,23.49,22.15,22.1101
2013-09-26,22.11,934000.0,22.62,22.47,22.11
2013-09-27,22.31,1382400.0,22.46,22.03,21.87
2013-09-30,21.72,4945100.0,22.28,21.97,21.52
2013-10-01,21.84,1015500.0,22.44,22.22,21.79
2013-10-02,22.0,885000.0,22.84,22.4,21.88
2013-10-03,22.56,637900.0,22.58,22.15,22.03
2013-10-04,22.21,409100.0,22.43,22.2,22.092
2013-10-07,21.91,896200.0,22.11,21.87,21.54
2013-10-08,21.85,1306400.0,21.87,21.09,21.04
2013-10-09,21.08,958200.0,21.26,20.84,20.68
2013-10-10,21.06,1069200.0,21.14,21.02,20.775
2013-10-11,21.0,2069300.0,21.07,21.0,20.41
2013-10-14,20.79,646200.0,21.35,21.31,20.33
2013-10-15,21.15,2057200.0,21.286,20.47,20.47
2013-10-16,20.59,4497800.0,20.78,20.37,19.97
2013-10-17,20.33,2197100.0,20.65,20.53,19.97
2013-10-18,20.7,1349600.0,21.14,20.96,20.37
2013-10-21,21.05,1975700.0,21.421,20.6,20.47
2013-10-22,20.61,2043000.0,21.56,21.392,20.61
2013-10-23,21.35,687600.0,21.38,21.12,20.92
2013-10-24,21.1,862600.0,21.67,21.67,20.97
2013-10-25,21.75,998400.0,22.71,22.16,21.67
2013-10-28,22.1,1071800.0,22.36,21.68,21.68
2013-10-29,21.85,1066700.0,22.06,21.73,21.33
2013-10-30,21.74,2391900.0,21.77,20.97,20.95
2013-10-31,20.94,2367700.0,20.99,20.19,19.88
2013-11-01,20.17,1819600.0,20.39,19.84,19.83
2013-11-04,19.88,707900.0,20.37,20.28,19.88
2013-11-05,20.33,4787100.0,21.75,20.8,20.33
2013-11-06,20.87,1507900.0,20.87,20.282,20.17
2013-11-07,20.35,1213100.0,20.61,19.7,19.69
2013-11-08,19.7,1219700.0,20.2,19.83,19.65
2013-11-11,19.89,946600.0,20.22,20.03,19.67
2013-11-12,19.92,806100.0,20.03,19.97,19.55
2013-11-13,19.93,975900.0,20.33,20.29,19.8
2013-11-14,20.21,999600.0,20.77,20.53,19.92
2013-11-15,20.74,1381500.0,21.02,20.86,20.67
2013-11-18,20.95,1136500.0,21.06,20.76,20.6
2013-11-19,20.97,600500.0,20.98,20.75,20.55
2013-11-20,20.86,490500.0,21.0,20.67,20.5
2013-11-21,20.67,493100.0,21.02,21.01,20.42
2013-11-22,21.02,599600.0,21.17,21.04,20.8
2013-11-25,21.05,499000.0,21.18,20.9,20.82
2013-11-26,20.88,1197200.0,21.26,20.97,20.86
2013-11-27,20.98,547900.0,21.14,21.06,20.82
2013-11-29,21.13,382900.0,21.38,21.07,20.96
2013-12-02,21.28,883100.0,21.66,21.52,21.05
2013-12-03,21.37,385100.0,21.45,21.22,21.18
2013-12-04,21.03,1053300.0,21.37,20.94,20.69
2013-12-05,20.95,347800.0,20.97,20.72,20.64
2013-12-06,20.98,474600.0,21.3,21.06,20.66
2013-12-09,21.03,2387800.0,21.76,21.65,20.99
2013-12-10,22.55,3192500.0,23.5,23.01,22.22
2013-12-11,23.07,1300000.0,23.37,23.0,22.81
2013-12-12,21.87,1592500.0,23.16,23.09,21.7
2013-12-13,23.22,881700.0,23.22,22.98,22.71
2013-12-16,23.68,2134300.0,23.89,23.18,22.88
2013-12-17,23.24,648200.0,23.49,23.11,22.94
2013-12-18,23.24,1170100.0,24.3,24.26,23.19
2013-12-19,24.18,612300.0,24.36,23.95,23.8
2013-12-20,24.0,1387800.0,24.5,24.33,23.76
2013-12-23,24.47,721600.0,24.79,24.53,24.23
2013-12-24,24.88,589000.0,24.88,24.33,24.26
2013-12-26,24.34,639100.0,24.54,24.16,24.04
2013-12-27,24.11,657500.0,24.6,24.45,24.012
2013-12-30,24.03,767300.0,24.545,24.13,23.85
2013-12-31,24.27,789300.0,24.29,24.01,23.79
2014-01-02,23.35,1154000.0,24.0,23.73,23.27
2014-01-03,24.03,927700.0,24.03,23.44,23.42
2014-01-06,23.46,1277600.0,23.6,22.71,22.62
2014-01-07,22.97,1175700.0,23.34,23.12,22.93
2014-01-08,22.89,992800.0,23.26,23.19,22.86
2014-01-09,24.72,1765700.0,24.75,23.74,22.73
2014-01-10,23.75,1040700.0,24.35,24.3,23.48
2014-01-13,24.03,660300.0,24.3,23.36,23.34
2014-01-14,23.34,675600.0,23.72,23.18,23.03
2014-01-15,23.19,569000.0,24.01,23.58,23.04
2014-01-16,23.54,401100.0,24.0599,23.97,23.46
2014-01-17,24.0,691600.0,24.186,23.76,23.53
2014-01-21,23.81,668900.0,24.06,23.73,23.61
2014-01-22,23.82,469800.0,23.94,23.61,23.35
2014-01-23,23.54,679700.0,23.75,23.31,23.14
2014-01-24,23.19,702100.0,23.305,22.53,22.32
2014-01-27,22.64,749100.0,22.888,22.78,21.94
2014-01-28,22.07,3442100.0,22.642,21.76,21.38
2014-01-29,21.7,1384900.0,22.24,21.69,21.46
2014-01-30,21.89,1833200.0,22.37,21.65,21.52
2014-01-31,21.41,840400.0,22.35,21.47,21.41
2014-02-03,21.43,1264700.0,21.53,20.9,20.59
2014-02-04,21.06,1052000.0,21.74,21.6,20.92
2014-02-05,21.67,792600.0,21.67,21.41,21.05
2014-02-06,21.53,857600.0,22.265,22.09,21.0542
2014-02-07,22.09,959700.0,22.29,21.72,21.65
2014-02-10,21.69,338600.0,21.75,21.61,21.44
2014-02-11,21.63,1070400.0,22.5,21.96,21.55
2014-02-12,21.93,615200.0,22.44,22.2,21.892
2014-02-13,22.1,638800.0,22.25,22.18,21.83
2014-02-14,22.19,755100.0,22.44,22.07,21.99
2014-02-18,22.06,963000.0,22.53,21.68,21.52
2014-02-19,21.68,1990200.0,22.6,21.63,21.56
2014-02-20,21.58,1170100.0,21.75,21.36,21.195
2014-02-21,21.35,966600.0,22.11,22.03,21.31
2014-02-24,22.09,609200.0,22.5,22.16,21.96
2014-02-25,22.28,441100.0,22.47,22.17,21.87
2014-02-26,22.24,918200.0,22.99,22.75,22.13
2014-02-27,22.63,958300.0,23.2,23.17,22.27
2014-02-28,23.17,1084300.0,23.51,23.27,22.732
2014-03-03,23.07,687200.0,23.41,23.09,23.0
2014-03-04,23.24,821900.0,23.55,23.39,23.17
2014-03-05,23.31,1340200.0,24.2,23.73,23.05
2014-03-06,24.59,577000.0,24.59,24.2,23.38
