date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,54.81,206300.0,54.94,53.88,53.0
1998-01-05,54.88,611500.0,54.88,53.0,52.88
1998-01-06,52.13,547600.0,52.19,51.5,50.5
1998-01-07,51.63,632100.0,53.5,52.69,51.56
1998-01-08,52.56,259200.0,52.56,51.94,51.63
1998-01-09,52.0,896900.0,52.0,49.19,48.31
1998-01-12,48.5,488800.0,50.63,50.25,48.31
1998-01-13,51.25,519000.0,54.0,52.5,51.25
1998-01-14,52.5,252300.0,52.5,52.31,51.25
1998-01-15,52.56,200300.0,53.13,52.88,52.56
1998-01-16,54.75,504600.0,54.75,53.5,53.5
1998-01-20,54.25,214000.0,54.69,54.63,53.63
1998-01-21,54.25,456400.0,54.69,53.63,53.13
1998-01-22,53.0,543700.0,53.0,53.0,51.5
1998-01-23,52.75,517600.0,52.88,52.88,52.06
1998-01-26,53.0,326700.0,54.75,54.56,53.0
1998-01-27,54.5,277500.0,55.44,54.69,54.5
1998-01-28,54.94,216500.0,55.13,54.38,54.0
1998-01-29,54.63,218400.0,55.5,55.38,54.63
1998-01-30,55.25,203300.0,55.25,54.69,54.69
1998-02-02,55.13,132500.0,55.44,55.25,55.0
1998-02-03,56.75,1295300.0,57.0,56.5,56.31
1998-02-04,57.0,649500.0,57.94,57.56,56.88
1998-02-05,57.56,294700.0,58.0,57.63,56.69
1998-02-06,57.81,238000.0,58.63,58.5,57.75
1998-02-09,58.56,441300.0,58.88,57.75,57.75
1998-02-10,57.75,394600.0,57.75,57.63,57.31
1998-02-11,57.63,358200.0,57.94,56.75,56.75
1998-02-12,56.75,280100.0,56.81,56.69,55.88
1998-02-13,56.38,389400.0,56.69,56.5,56.31
1998-02-17,56.63,200100.0,56.69,56.06,55.94
1998-02-18,56.13,556600.0,57.06,57.0,55.63
1998-02-19,56.75,233800.0,57.5,57.13,56.5
1998-02-20,57.06,301500.0,57.06,56.94,56.63
1998-02-23,56.94,309300.0,56.94,56.69,56.0
1998-02-24,56.69,417800.0,57.63,57.63,56.69
1998-02-25,57.5,400900.0,57.63,57.38,56.94
1998-02-26,57.5,573200.0,58.75,58.56,57.5
1998-02-27,58.44,458000.0,59.5,59.06,58.38
1998-03-02,59.06,345700.0,59.63,59.56,58.75
