date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,21.88,18252.0,21.88,21.0,20.25
1998-01-05,21.75,43852.0,22.5,22.5,21.25
1998-01-06,22.5,10568.0,22.5,21.56,21.25
1998-01-07,21.25,20385.0,22.5,22.5,21.25
1998-01-08,21.13,88790.0,22.75,21.75,21.13
1998-01-09,23.0,73620.0,24.0,23.0,22.88
1998-01-12,21.75,46242.0,23.13,22.5,21.75
1998-01-13,22.5,113363.0,22.63,21.38,21.25
1998-01-14,21.25,2963.0,22.0,21.5,21.25
1998-01-15,21.13,209244.0,21.31,19.75,19.5
1998-01-16,20.5,118775.0,20.5,20.25,19.75
1998-01-20,20.5,141768.0,21.38,21.13,20.38
1998-01-21,21.38,40020.0,21.75,21.38,21.0
1998-01-22,21.38,118400.0,21.38,20.88,20.5
1998-01-23,21.0,36444.0,21.0,20.5,20.5
1998-01-26,20.25,33620.0,21.0,20.75,20.25
1998-01-27,20.25,186568.0,22.63,22.38,20.25
1998-01-28,22.63,3042.0,22.63,21.75,21.75
1998-01-29,22.0,2785.0,22.38,22.38,22.0
1998-01-30,23.0,38163.0,23.0,22.56,22.0
1998-02-02,23.25,250153.0,23.38,23.25,22.5
1998-02-03,23.38,36800.0,23.5,23.5,22.75
1998-02-04,23.5,18153.0,24.25,23.5,23.38
1998-02-05,24.0,54578.0,25.25,25.0,24.0
1998-02-06,24.75,57363.0,24.75,23.0,22.5
1998-02-09,23.44,46400.0,23.5,23.5,23.0
1998-02-10,23.25,74568.0,24.25,23.88,23.25
1998-02-11,23.88,85057.0,24.38,24.25,23.88
1998-02-12,24.38,50785.0,24.38,24.0,23.88
1998-02-13,24.38,72375.0,24.38,23.5,23.19
1998-02-17,23.5,116800.0,24.38,24.38,23.0
1998-02-18,24.38,31368.0,25.13,24.88,23.5
1998-02-19,25.0,109057.0,27.38,27.0,25.0
1998-02-20,26.5,11753.0,26.75,26.75,26.0
1998-02-23,26.75,95585.0,28.88,28.25,26.0
1998-02-24,28.5,15644.0,28.88,28.5,27.75
1998-02-25,27.0,18963.0,27.5,27.5,26.88
1998-02-26,26.5,1778.0,27.5,27.13,26.5
1998-02-27,27.0,3635.0,28.5,28.5,27.0
1998-03-02,27.88,4385.0,28.5,28.0,27.5
1998-03-03,28.0,7230.0,28.0,27.5,27.0
1998-03-04,27.5,3753.0,28.25,27.5,27.5
1998-03-05,27.75,11575.0,28.0,28.0,26.5
1998-03-06,26.5,17363.0,28.0,27.75,26.5
1998-03-09,28.0,21235.0,28.0,27.25,27.25
1998-03-10,27.5,968.0,27.5,27.25,27.25
1998-03-11,26.75,5867.0,27.0,27.0,26.75
1998-03-12,27.38,41620.0,28.38,28.38,27.25
1998-03-13,27.75,33185.0,28.75,28.75,27.75
1998-03-16,28.88,15585.0,28.88,28.0,27.38
1998-03-17,28.25,28978.0,28.25,28.0,27.75
1998-03-18,28.25,26785.0,29.13,28.0,27.75
1998-03-19,28.0,4030.0,28.44,28.0,28.0
1998-03-20,29.5,57067.0,29.5,27.63,27.5
1998-03-23,28.0,12642.0,28.0,27.25,27.13
1998-03-24,27.25,28385.0,27.88,27.75,26.25
1998-03-25,27.38,3635.0,27.75,27.38,27.38
1998-03-26,27.75,38835.0,28.5,28.0,27.13
1998-03-27,28.0,2844.0,28.25,28.25,27.63
1998-03-30,27.63,2667.0,28.0,27.5,27.25
1998-03-31,28.0,23052.0,28.0,27.75,27.5
1998-04-01,28.0,6044.0,28.0,27.25,27.25
1998-04-02,27.0,1620.0,27.88,27.88,27.0
1998-04-03,27.75,1185.0,27.75,27.63,27.13
1998-04-06,27.5,2252.0,27.5,27.0,27.0
1998-04-07,27.0,30242.0,28.25,27.75,26.75
1998-04-08,28.25,4563.0,28.5,27.75,27.75
1998-04-09,28.5,14420.0,29.25,28.5,27.75
1998-04-13,29.0,59220.0,29.88,29.25,28.5
1998-04-14,29.0,106568.0,29.25,29.13,28.88
1998-04-15,29.5,90430.0,29.88,29.88,29.0
1998-04-16,30.0,58844.0,31.75,30.75,29.75
1998-04-17,32.0,68563.0,33.5,33.0,31.0
1998-04-20,33.25,90844.0,34.75,34.25,32.63
1998-04-21,35.63,128790.0,36.25,35.63,34.0
1998-04-22,34.88,25778.0,35.63,34.88,34.75
1998-04-23,34.88,95842.0,35.25,33.88,33.38
1998-04-24,33.38,10963.0,34.0,33.75,33.25
1998-04-27,33.5,73185.0,33.88,33.63,32.75
1998-04-28,33.56,12444.0,33.88,33.88,33.38
1998-04-29,33.38,148820.0,35.88,35.38,33.38
1998-04-30,35.63,108385.0,36.0,33.5,33.5
1998-05-01,33.88,98252.0,34.13,34.13,33.75
1998-05-04,33.88,7368.0,34.63,33.88,33.88
1998-05-05,34.63,4800.0,34.63,34.13,34.0
1998-05-06,34.63,215230.0,37.5,35.0,33.88
1998-05-07,35.0,60978.0,35.0,33.88,33.5
1998-05-08,34.0,48020.0,34.13,33.38,32.0
1998-05-11,33.5,23644.0,34.63,34.0,33.38
1998-05-12,34.5,21630.0,35.13,34.5,34.25
1998-05-13,35.38,4563.0,35.5,34.25,34.25
1998-05-14,34.25,3220.0,34.75,34.5,34.25
1998-05-15,34.75,16375.0,35.75,35.0,34.75
1998-05-18,34.75,82844.0,37.25,37.0,34.75
