date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,93.0,167300.0,93.25,92.31,92.0
1998-01-05,92.56,303600.0,94.56,92.44,92.25
1998-01-06,92.38,282600.0,92.5,92.06,91.5
1998-01-07,92.06,171200.0,92.06,91.69,91.06
1998-01-08,91.31,157600.0,91.44,90.31,89.88
1998-01-09,90.13,584400.0,90.63,89.5,89.5
1998-01-12,89.0,264500.0,90.38,90.38,88.69
1998-01-13,90.31,311200.0,91.63,91.31,90.25
1998-01-14,91.31,196400.0,91.94,91.69,90.94
1998-01-15,91.56,210500.0,91.69,90.0,89.75
1998-01-16,90.25,309100.0,92.13,91.25,90.25
1998-01-20,91.5,243000.0,94.0,93.63,91.0
1998-01-21,92.69,331500.0,92.75,90.94,90.75
1998-01-22,90.5,474200.0,91.69,91.25,90.31
1998-01-23,91.5,312000.0,91.69,90.0,89.88
1998-01-26,90.25,157700.0,91.0,90.0,89.56
1998-01-27,90.25,294400.0,90.31,89.69,89.5
1998-01-28,89.88,926800.0,90.19,90.0,89.13
1998-01-29,90.0,660100.0,91.44,90.63,89.88
1998-01-30,90.13,348000.0,90.13,90.0,89.44
1998-02-02,90.25,765500.0,90.56,89.94,89.63
1998-02-03,89.5,759700.0,90.25,90.19,89.0
1998-02-04,90.19,431100.0,91.44,90.81,89.81
1998-02-05,91.06,253700.0,91.31,90.06,89.38
1998-02-06,90.5,130500.0,91.5,91.13,90.38
1998-02-09,91.63,302900.0,93.13,93.0,91.63
1998-02-10,92.75,327500.0,93.38,93.38,92.56
1998-02-11,93.13,215700.0,93.69,92.5,92.38
1998-02-12,92.75,296100.0,92.94,92.88,91.53
1998-02-13,92.63,305700.0,94.25,93.81,92.38
1998-02-17,93.38,262800.0,94.31,92.38,92.19
1998-02-18,92.31,193200.0,92.88,92.5,92.06
1998-02-19,92.75,335000.0,92.75,92.63,92.0
1998-02-20,92.75,408800.0,94.0,94.0,92.44
1998-02-23,94.44,546300.0,95.25,95.19,93.63
1998-02-24,94.94,432000.0,96.44,95.63,94.38
1998-02-25,96.25,417400.0,97.63,97.31,96.25
1998-02-26,97.0,288200.0,97.56,97.31,96.63
1998-02-27,97.56,318500.0,98.63,98.25,97.38
1998-03-02,98.13,375900.0,99.0,98.69,98.0
1998-03-03,99.44,487700.0,100.9,100.6,99.25
1998-03-04,100.6,485800.0,100.6,99.38,99.25
1998-03-05,99.0,531400.0,99.38,98.94,98.5
1998-03-06,99.25,478500.0,100.1,99.94,99.0
1998-03-09,100.1,702800.0,103.1,103.1,99.94
1998-03-10,103.0,581100.0,103.4,103.0,102.7
1998-03-11,102.9,152100.0,103.5,103.3,102.3
1998-03-12,103.1,251600.0,103.1,103.1,102.5
1998-03-13,103.3,311300.0,103.5,102.9,102.6
1998-03-16,103.3,161800.0,105.8,105.8,103.0
1998-03-17,105.7,272600.0,105.7,105.5,104.3
1998-03-18,105.3,286800.0,107.2,105.9,105.3
1998-03-19,105.9,221300.0,106.0,105.5,105.3
1998-03-20,105.5,484500.0,108.4,108.4,105.4
1998-03-23,108.4,139600.0,108.4,106.1,106.1
1998-03-24,106.3,346700.0,107.9,107.8,106.2
1998-03-25,108.5,331800.0,110.6,109.1,108.5
