date,1. open,5. volume,2. high,4. close,3. low
2006-03-31,9.12,24535187.0,9.34,8.75,8.5
2006-04-03,8.75,6571430.0,9.1,9.05,8.7
2006-04-04,9.09,1529162.0,9.45,9.15,9.0
2006-04-05,9.15,1185542.0,9.29,9.01,9.0
2006-04-06,9.0,2304113.0,9.42,9.25,9.0
2006-04-07,9.31,1963852.0,9.33,9.18,9.0
2006-04-10,9.05,1143099.0,9.17,9.05,8.95
2006-04-11,9.08,1995154.0,9.1,8.25,8.06
2006-04-12,8.49,850861.0,8.49,8.2,8.1
2006-04-13,8.48,303597.0,8.48,8.21,8.1
2006-04-17,8.25,178846.0,8.3,8.15,8.11
2006-04-18,8.26,598232.0,8.8,8.51,8.19
2006-04-19,8.51,332578.0,9.0,9.0,8.5
2006-04-20,8.92,1024370.0,9.05,9.05,8.79
2006-04-21,9.0,635002.0,9.1,8.35,8.26
2006-04-24,8.5,1099181.0,8.58,8.46,8.38
2006-04-25,8.45,196582.0,8.65,8.5,8.45
2006-04-26,8.51,693899.0,9.04,8.94,8.48
2006-04-27,8.86,2263460.0,8.99,8.94,8.74
2006-04-28,9.0,459366.0,9.0,8.9,8.75
2006-05-01,8.96,175719.0,8.96,8.85,8.75
2006-05-02,8.6,497645.0,8.65,8.6,8.5
2006-05-03,8.65,751698.0,8.7,8.572,8.45
2006-05-04,8.54,474800.0,8.83,8.81,8.54
2006-05-05,8.66,622200.0,8.72,8.6,8.5
2006-05-08,8.6,265200.0,8.73,8.65,8.52
2006-05-09,8.85,510300.0,8.95,8.79,8.65
2006-05-10,8.95,764900.0,8.98,8.7,8.6
2006-05-11,8.7,467200.0,8.88,8.5,8.5
2006-05-12,8.46,596103.0,8.64,8.27,8.23
2006-05-15,8.4,145010.0,8.5,8.3,8.21
2006-05-16,8.24,135895.0,8.45,8.25,8.2
2006-05-17,8.39,577776.0,8.42,8.15,8.14
2006-05-18,8.1,1151232.0,8.24,7.46,7.23
2006-05-19,7.39,988470.0,7.56,7.48,7.0
2006-05-22,7.27,683414.0,7.33,6.83,6.4
2006-05-23,7.0,604511.0,7.16,6.62,6.52
2006-05-24,6.68,1301917.0,7.0,6.78,6.55
2006-05-25,6.85,462561.0,6.93,6.63,6.6
2006-05-26,6.65,830938.0,6.78,6.3,6.14
2006-05-30,6.37,492101.0,6.49,6.16,6.11
2006-05-31,6.22,463973.0,6.39,6.27,6.05
2006-06-01,6.18,575028.0,6.29,6.15,6.13
2006-06-02,6.29,162773.0,6.29,6.2,6.13
2006-06-05,6.4,186146.0,6.4,5.9,5.9
2006-06-06,5.97,200315.0,6.03,5.67,5.56
2006-06-07,5.51,1041212.0,5.84,5.69,5.32
2006-06-08,5.62,1899026.0,5.68,5.15,4.8
2006-06-09,5.2,777632.0,5.63,5.35,5.2
2006-06-12,5.64,815372.0,5.8,5.59,5.26
2006-06-13,5.47,818051.0,5.69,5.01,4.98
2006-06-14,4.96,1113335.0,5.25,5.0,4.85
2006-06-15,5.04,744311.0,5.05,4.77,4.71
2006-06-16,4.81,532475.0,4.93,4.73,4.61
2006-06-19,4.74,899888.0,5.1499,5.1,4.7
2006-06-20,5.06,380914.0,5.32,5.15,5.04
2006-06-21,5.11,331716.0,5.68,5.63,5.1
