date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,33.81,75150.0,34.13,33.19,32.94
1998-01-05,33.94,271600.0,34.0,31.25,31.13
1998-01-06,30.75,295300.0,31.0,29.94,29.0
1998-01-07,30.0,276200.0,30.44,30.13,29.06
1998-01-08,30.13,344500.0,30.25,28.75,28.75
1998-01-09,28.0,511400.0,28.31,25.31,25.0
1998-01-12,23.38,1037300.0,25.69,25.5,23.38
1998-01-13,26.5,373600.0,27.69,27.31,26.25
1998-01-14,27.31,265100.0,27.75,27.63,27.13
1998-01-15,27.5,398600.0,28.38,27.31,27.31
1998-01-16,27.63,283000.0,29.31,29.0,27.63
1998-01-20,29.75,402400.0,30.63,30.31,29.44
1998-01-21,30.19,531600.0,30.19,29.38,28.75
1998-01-22,29.38,705500.0,29.38,28.88,28.25
1998-01-23,29.13,345000.0,29.56,29.0,28.5
1998-01-26,29.13,578200.0,29.44,28.0,27.5
1998-01-27,28.0,658400.0,28.06,27.19,27.0
1998-01-28,27.5,693600.0,27.94,26.56,26.0
1998-01-29,26.75,1967000.0,27.5,26.63,26.5
1998-01-30,26.69,629700.0,26.69,25.56,25.5
1998-02-02,25.63,1042300.0,25.81,24.56,24.31
1998-02-03,24.75,974600.0,26.63,25.75,24.56
1998-02-04,26.0,1013500.0,27.88,27.56,25.88
1998-02-05,29.25,1063400.0,29.25,28.25,28.0
1998-02-06,28.56,397700.0,28.81,28.25,28.06
1998-02-09,28.06,339600.0,28.69,28.31,28.06
1998-02-10,28.31,736900.0,28.63,28.31,28.13
1998-02-11,28.56,250300.0,28.94,28.25,28.19
1998-02-12,28.06,401300.0,28.44,28.31,27.69
1998-02-13,27.75,358500.0,29.13,29.0,27.75
1998-02-17,28.5,439500.0,29.19,27.75,27.56
1998-02-18,27.63,305600.0,29.0,28.94,27.63
1998-02-19,29.75,323600.0,29.75,28.5,28.31
1998-02-20,28.5,279900.0,28.69,28.19,27.81
1998-02-23,28.19,578200.0,28.19,27.75,27.13
1998-02-24,27.56,216100.0,27.88,27.31,26.94
1998-02-25,27.5,100900.0,28.19,27.69,27.5
1998-02-26,28.63,389800.0,29.88,29.88,28.63
1998-02-27,29.88,288800.0,29.88,28.94,28.56
1998-03-02,29.13,245400.0,30.0,29.88,29.13
1998-03-03,30.31,330400.0,31.0,30.75,29.38
1998-03-04,30.25,398400.0,31.13,30.0,29.94
1998-03-05,30.0,182800.0,30.94,30.69,30.0
1998-03-06,30.56,258400.0,30.75,29.25,29.0
1998-03-09,28.94,335800.0,29.75,29.44,28.0
1998-03-10,29.56,347100.0,29.63,29.13,28.19
