date,1. open,5. volume,2. high,4. close,3. low
2015-10-19,18.5,1581576.0,18.5,16.55,16.48
2015-10-20,16.25,709632.0,16.93,16.87,16.25
2015-10-21,17.25,78598.0,17.35,16.48,16.4
2015-10-22,16.71,110000.0,17.05,16.95,16.24
2015-10-23,17.25,59910.0,17.25,17.0,16.85
2015-10-26,17.11,514799.0,17.11,16.42,16.31
2015-10-27,16.56,636017.0,16.75,15.73,15.6
2015-10-28,15.9,296321.0,16.35,16.28,15.845
2015-10-29,16.01,290446.0,16.27,15.95,15.55
2015-10-30,15.9,2449278.0,16.1,14.72,14.72
2015-11-02,14.99,40865891.0,15.17,14.49,13.86
2015-11-03,14.07,40205612.0,14.71,14.36,13.675
2015-11-04,14.39,31516491.0,14.51,13.66,13.61
2015-11-05,13.64,22189959.0,13.89,13.28,13.12
2015-11-06,13.18,30049669.0,14.48,14.4,13.15
2015-11-09,14.26,17528088.0,14.48,14.2,14.13
2015-11-10,14.13,14777765.0,14.44,14.41,14.01
2015-11-11,14.2,11009387.0,14.31,14.11,14.09
2015-11-12,13.81,20371666.0,13.82,13.7,13.59
2015-11-13,13.61,14924533.0,13.76,13.39,13.15
2015-11-16,13.37,13781375.0,13.61,13.38,13.14
2015-11-17,13.38,12420759.0,13.49,13.22,13.12
2015-11-18,13.48,13020475.0,13.73,13.64,13.1886
2015-11-19,13.53,13171491.0,13.89,13.78,13.52
2015-11-20,13.78,18558586.0,14.63,14.21,13.68
2015-11-23,14.17,15317345.0,14.21,13.85,13.57
2015-11-24,13.58,24108918.0,14.025,13.69,13.5
2015-11-25,13.91,22674894.0,14.86,14.12,13.84
2015-11-27,14.12,6041718.0,14.64,14.35,14.05
2015-11-30,14.23,29096030.0,15.0,14.86,14.18
2015-12-01,14.88,25106264.0,15.88,15.61,14.85
2015-12-02,15.37,12681067.0,15.54,14.95,14.87
2015-12-03,15.0,18905240.0,15.34,14.62,14.58
2015-12-04,14.39,12001085.0,15.295,15.22,14.24
2015-12-07,15.0,9545947.0,15.48,15.45,14.92
2015-12-08,15.09,11617601.0,15.29,15.17,14.62
2015-12-09,14.99,14261925.0,15.39,14.85,14.68
2015-12-10,14.79,11350207.0,14.81,14.72,14.53
2015-12-11,14.99,10614763.0,15.4,14.18,14.14
2015-12-14,14.3,11527694.0,14.5,14.44,13.92
2015-12-15,14.51,12888739.0,14.98,14.56,14.485
2015-12-16,14.62,7840968.0,14.81,14.7,14.55
2015-12-17,14.61,7625458.0,14.72,14.31,14.22
2015-12-18,14.27,19307237.0,14.385,14.16,14.0
2015-12-21,14.12,9863255.0,14.4,14.02,13.87
2015-12-22,14.04,7292476.0,14.14,14.06,13.9201
2015-12-23,14.19,11252128.0,14.97,14.91,14.05
2015-12-24,14.81,2178459.0,15.17,15.02,14.7901
2015-12-28,14.89,5930636.0,15.28,15.23,14.82
2015-12-29,15.29,6275753.0,15.4371,15.2,15.18
2015-12-30,15.29,6275778.0,15.48,15.28,15.15
2015-12-31,15.23,6767773.0,15.31,15.2,15.1
2016-01-04,14.97,15076835.0,15.15,15.13,14.74
