date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,44.56,292100.0,44.75,44.25,43.81
1998-01-05,44.0,368500.0,44.13,42.81,42.44
1998-01-06,42.25,465200.0,42.94,41.06,41.06
1998-01-07,41.44,241400.0,42.25,42.25,41.19
1998-01-08,42.25,204000.0,42.25,41.94,41.38
1998-01-09,41.94,322700.0,41.94,40.31,39.75
1998-01-12,39.88,197100.0,41.75,41.5,39.88
1998-01-13,41.38,158200.0,42.0,41.81,40.75
1998-01-14,41.75,125200.0,41.94,41.88,41.25
1998-01-15,41.63,161900.0,42.0,41.88,41.5
1998-01-16,42.0,258300.0,43.31,42.75,42.0
1998-01-20,42.88,160200.0,43.13,42.88,42.63
1998-01-21,42.63,100100.0,42.69,42.19,41.75
1998-01-22,41.94,255300.0,42.0,41.94,41.5
1998-01-23,42.06,215300.0,42.06,40.94,40.81
1998-01-26,41.31,158400.0,41.31,40.13,39.88
1998-01-27,40.25,355400.0,41.75,40.88,40.19
1998-01-28,41.63,402400.0,42.81,41.81,41.63
1998-01-29,43.0,405500.0,43.06,42.75,42.31
1998-01-30,42.5,665500.0,43.94,43.88,42.5
1998-02-02,44.5,442100.0,44.63,43.0,42.88
1998-02-03,43.13,715400.0,44.25,44.25,43.13
1998-02-04,44.75,848700.0,45.75,45.19,44.5
1998-02-05,45.25,591800.0,45.88,44.94,44.56
1998-02-06,45.19,299200.0,45.69,45.44,44.94
1998-02-09,45.44,188700.0,45.63,45.19,44.75
1998-02-10,45.19,362200.0,45.63,45.56,45.19
1998-02-11,45.56,200900.0,45.69,45.56,45.44
1998-02-12,45.38,222100.0,45.63,45.56,44.88
1998-02-13,45.31,117200.0,45.88,45.5,45.25
1998-02-17,45.44,237800.0,46.0,45.5,44.75
1998-02-18,45.5,176900.0,45.88,45.69,45.31
1998-02-19,45.56,409700.0,45.56,45.19,44.88
1998-02-20,45.44,210900.0,45.44,45.19,44.88
1998-02-23,45.19,504900.0,45.63,45.5,45.13
1998-02-24,45.63,520800.0,45.81,45.0,44.81
1998-02-25,45.0,354800.0,45.19,44.88,44.75
1998-02-26,44.63,451600.0,47.38,47.0,44.63
1998-02-27,46.75,535800.0,47.81,47.06,46.13
1998-03-02,47.0,343600.0,47.25,46.5,46.5
1998-03-03,46.0,580400.0,47.19,47.13,45.88
1998-03-04,47.0,249700.0,47.88,47.56,47.0
1998-03-05,47.0,190600.0,47.13,47.0,46.75
1998-03-06,47.13,277100.0,47.44,47.31,46.94
1998-03-09,46.25,441500.0,48.0,47.44,46.19
1998-03-10,47.5,151700.0,47.88,47.75,47.25
1998-03-11,47.88,390500.0,47.97,47.5,47.38
1998-03-12,47.75,198400.0,47.88,47.44,47.44
1998-03-13,47.38,256100.0,47.94,47.69,47.19
1998-03-16,46.81,565000.0,49.06,48.75,46.81
1998-03-17,48.13,375600.0,48.38,47.5,47.38
1998-03-18,47.63,604800.0,47.66,47.38,47.0
1998-03-19,47.25,491800.0,47.5,47.31,47.0
1998-03-20,47.5,797000.0,47.5,47.31,46.88
1998-03-23,47.13,515900.0,47.56,47.19,46.63
1998-03-24,47.25,605100.0,48.44,47.94,47.13
1998-03-25,48.06,233200.0,48.06,47.0,46.94
1998-03-26,47.13,244200.0,48.0,46.94,46.88
1998-03-27,47.13,221900.0,47.13,46.81,45.88
1998-03-30,47.0,202500.0,47.25,46.94,46.75
1998-03-31,47.0,381200.0,47.94,47.56,47.0
1998-04-01,47.75,163100.0,47.75,47.5,46.69
1998-04-02,47.44,237200.0,48.19,48.13,46.81
1998-04-03,48.0,245300.0,48.0,47.69,47.31
1998-04-06,47.69,466200.0,47.75,46.44,46.44
1998-04-07,46.44,757200.0,47.38,47.38,46.19
1998-04-08,47.31,675300.0,47.88,46.69,46.63
1998-04-09,46.88,177100.0,47.69,47.38,46.88
1998-04-13,47.25,262400.0,47.5,47.06,47.0
1998-04-14,47.25,222300.0,47.88,47.63,47.13
1998-04-15,47.56,451200.0,48.06,47.63,47.38
1998-04-16,47.5,290700.0,47.63,46.75,46.5
1998-04-17,46.88,1362300.0,47.75,47.38,46.88
1998-04-20,47.13,812800.0,48.25,47.75,46.81
1998-04-21,48.0,239900.0,48.19,48.19,47.5
1998-04-22,48.0,340800.0,48.0,47.5,47.0
1998-04-23,47.75,636900.0,47.75,47.06,46.44
1998-04-24,46.5,1238500.0,46.56,44.88,43.88
1998-04-27,44.5,445800.0,44.93,44.63,43.5
1998-04-28,44.56,534700.0,45.0,44.38,44.13
1998-04-29,44.5,240300.0,45.13,45.0,44.5
1998-04-30,45.13,578900.0,45.5,45.0,44.94
1998-05-01,45.13,299200.0,45.5,45.19,44.63
1998-05-04,45.44,330500.0,45.63,45.0,44.5
1998-05-05,45.25,193200.0,45.25,45.0,44.69
1998-05-06,45.44,245300.0,45.44,44.56,44.5
1998-05-07,44.5,327400.0,44.81,43.81,43.75
1998-05-08,43.63,122300.0,44.63,44.31,43.63
1998-05-11,44.31,362500.0,44.56,43.31,43.31
1998-05-12,43.56,378300.0,44.0,43.31,42.63
1998-05-13,43.0,547100.0,43.0,42.63,42.38
1998-05-14,42.56,647900.0,43.31,42.75,42.13
1998-05-15,42.75,752900.0,43.25,42.94,42.63
1998-05-18,43.19,444300.0,43.19,42.5,42.38
1998-05-19,42.38,898100.0,44.13,43.69,42.38
1998-05-20,44.0,262500.0,44.19,43.75,43.38
1998-05-21,43.94,954300.0,44.25,43.94,43.38
1998-05-22,44.0,378600.0,44.63,44.63,43.75
1998-05-26,44.13,338200.0,44.44,43.94,43.88
1998-05-27,44.0,531200.0,44.19,44.0,43.38
1998-05-28,44.0,331300.0,44.25,44.06,43.56
1998-05-29,44.0,167300.0,44.63,44.0,44.0
1998-06-01,44.0,1179000.0,44.06,43.69,42.75
1998-06-02,44.0,315300.0,44.5,44.06,43.88
1998-06-03,44.0,410700.0,44.44,43.25,43.25
1998-06-04,43.19,199600.0,43.63,43.56,42.88
1998-06-05,43.69,256300.0,44.25,44.25,43.63
1998-06-08,44.13,204600.0,44.13,43.88,43.75
1998-06-09,43.88,166400.0,44.5,44.13,43.81
1998-06-10,44.12,143700.0,44.31,43.75,43.62
1998-06-11,44.0,154000.0,44.0,43.13,42.88
1998-06-12,43.38,350900.0,43.44,43.38,42.88
1998-06-15,42.5,1030600.0,43.13,42.63,42.38
1998-06-16,42.88,296400.0,43.13,43.13,42.69
1998-06-17,43.19,330200.0,44.0,43.56,43.0
1998-06-18,43.69,938600.0,43.69,42.75,42.75
1998-06-19,42.5,402200.0,43.38,43.19,42.5
1998-06-22,43.19,253100.0,43.44,42.56,42.56
1998-06-23,42.75,1004300.0,42.88,42.25,42.25
1998-06-24,42.25,968300.0,42.31,41.94,41.31
1998-06-25,42.0,269700.0,42.31,42.13,41.88
1998-06-26,42.25,665800.0,42.94,42.69,42.13
1998-06-29,42.69,208800.0,43.13,42.88,42.63
1998-06-30,43.13,310100.0,43.63,42.13,42.13
1998-07-01,42.38,477100.0,43.31,43.0,42.38
1998-07-02,43.25,128700.0,43.25,42.94,42.88
1998-07-06,42.75,507200.0,43.0,43.0,42.69
1998-07-07,42.88,191300.0,43.44,43.06,42.88
1998-07-08,43.5,255300.0,44.38,44.06,43.38
1998-07-09,44.0,203500.0,44.5,43.88,43.88
1998-07-10,43.75,158700.0,44.38,43.94,43.75
1998-07-13,43.88,477200.0,44.06,43.63,43.63
1998-07-14,43.63,163800.0,44.5,44.38,43.63
1998-07-15,44.38,236600.0,44.5,44.06,43.88
1998-07-16,43.81,260000.0,43.88,43.69,43.44
1998-07-17,43.81,208100.0,44.69,44.5,43.5
1998-07-20,44.63,246300.0,44.94,44.63,44.25
1998-07-21,44.5,381200.0,44.56,43.69,43.5
1998-07-22,43.75,446200.0,43.88,43.0,43.0
1998-07-23,42.88,601100.0,42.94,42.63,42.63
1998-07-24,42.63,382300.0,43.0,42.5,42.5
1998-07-27,42.5,209700.0,42.63,42.31,42.06
1998-07-28,42.13,181000.0,42.31,41.88,41.63
1998-07-29,42.13,353100.0,42.25,42.25,41.5
1998-07-30,42.19,214600.0,43.31,43.31,41.94
1998-07-31,43.13,231400.0,43.5,42.5,42.44
1998-08-03,42.5,207000.0,43.25,42.38,42.38
1998-08-04,42.5,279000.0,42.75,40.81,40.75
1998-08-05,41.13,304100.0,41.94,41.0,41.0
1998-08-06,41.0,628600.0,41.75,41.31,41.0
1998-08-07,41.06,242800.0,41.5,40.88,40.75
1998-08-10,40.88,449000.0,41.75,41.63,40.69
1998-08-11,41.69,623300.0,41.69,40.94,40.88
1998-08-12,41.69,337200.0,42.13,42.13,40.88
1998-08-13,42.38,166100.0,42.75,42.13,42.13
1998-08-14,42.13,221500.0,42.81,42.5,42.13
1998-08-17,42.63,354900.0,43.38,42.5,42.19
1998-08-18,42.5,281400.0,42.81,42.56,42.38
1998-08-19,42.75,194200.0,43.38,42.88,42.69
1998-08-20,43.13,183100.0,44.0,42.38,42.19
1998-08-21,42.19,290900.0,42.88,42.81,41.5
1998-08-24,42.81,462500.0,43.63,42.75,42.63
1998-08-25,42.75,149100.0,43.88,43.44,42.75
1998-08-26,43.19,144200.0,43.19,43.0,42.5
1998-08-27,42.5,361300.0,42.63,41.69,41.25
1998-08-28,41.69,588200.0,42.44,40.88,40.75
1998-08-31,41.13,387300.0,41.19,39.13,39.0
1998-09-01,39.0,768500.0,40.25,40.13,38.5
1998-09-02,40.0,381300.0,41.13,41.0,39.94
1998-09-03,40.94,660700.0,41.0,40.44,40.06
1998-09-04,40.38,405800.0,41.63,40.94,40.38
1998-09-08,41.13,335100.0,42.88,42.81,41.13
1998-09-09,42.81,251000.0,43.13,41.38,41.19
1998-09-10,40.5,356800.0,40.69,40.5,40.25
1998-09-11,40.63,332200.0,42.81,42.31,40.56
1998-09-14,42.88,237100.0,43.75,43.56,42.88
1998-09-15,43.5,228500.0,43.75,42.94,42.75
1998-09-16,42.88,312100.0,43.63,43.56,42.75
1998-09-17,43.31,313900.0,43.31,42.5,42.38
1998-09-18,42.75,349400.0,43.25,42.94,42.25
1998-09-21,42.69,211800.0,43.0,42.69,41.88
1998-09-22,42.25,273600.0,43.19,42.81,42.25
1998-09-23,43.06,380900.0,44.19,43.88,42.31
1998-09-24,44.63,336400.0,44.63,42.25,42.0
1998-09-25,42.38,267800.0,43.0,42.94,41.75
1998-09-28,42.88,355900.0,43.81,43.19,42.81
1998-09-29,43.44,414200.0,43.69,43.19,42.69
1998-09-30,43.19,140800.0,43.19,41.38,41.31
1998-10-01,41.19,481000.0,41.44,40.56,40.25
1998-10-02,40.75,1435600.0,40.94,39.38,39.25
1998-10-05,39.56,348600.0,39.88,39.19,38.25
1998-10-06,39.38,368600.0,39.44,37.31,37.25
1998-10-07,36.88,325400.0,38.03,37.38,36.25
1998-10-08,36.88,1015200.0,38.0,37.63,35.31
1998-10-09,37.88,638400.0,38.81,38.31,37.25
1998-10-12,38.56,570500.0,40.25,39.94,38.38
1998-10-13,39.81,297400.0,40.25,39.0,38.88
1998-10-14,38.69,638900.0,42.0,41.31,38.56
1998-10-15,41.88,285200.0,43.38,43.19,41.69
1998-10-16,43.75,500400.0,44.63,44.5,43.63
1998-10-19,44.56,204300.0,44.63,43.0,42.88
1998-10-20,42.88,286900.0,42.88,42.0,41.19
1998-10-21,42.13,208300.0,43.56,43.5,41.94
1998-10-22,43.75,264000.0,44.25,44.13,43.69
1998-10-23,44.0,325700.0,44.88,44.75,43.88
1998-10-26,44.75,461100.0,46.88,45.88,44.75
1998-10-27,46.13,509100.0,47.13,46.63,46.13
1998-10-28,46.25,217400.0,46.25,44.63,44.25
1998-10-29,44.75,219600.0,44.88,44.0,43.5
1998-10-30,44.0,415500.0,45.38,44.81,44.0
1998-11-02,44.81,229700.0,44.94,44.5,43.88
1998-11-03,44.63,151900.0,44.75,44.25,44.13
1998-11-04,44.5,151400.0,45.88,45.19,44.5
1998-11-05,45.0,139100.0,45.94,45.81,45.0
1998-11-06,45.75,79100.0,46.13,45.75,45.56
1998-11-09,45.94,146500.0,45.94,45.25,44.81
1998-11-10,45.06,100900.0,45.06,44.38,44.38
1998-11-11,44.38,133400.0,44.44,43.63,43.0
1998-11-12,43.75,197900.0,45.19,45.19,43.69
1998-11-13,45.44,221300.0,46.63,46.5,45.44
1998-11-16,46.5,178300.0,46.69,45.5,44.81
1998-11-17,45.75,158200.0,46.5,46.38,45.56
1998-11-18,46.63,108500.0,46.81,46.44,46.06
1998-11-19,46.44,85700.0,46.44,45.88,45.38
1998-11-20,46.38,217300.0,46.81,46.75,46.25
1998-11-23,46.81,235800.0,47.63,47.25,46.75
1998-11-24,47.5,163900.0,48.25,46.81,46.81
1998-11-25,46.75,81100.0,47.0,46.94,46.75
1998-11-27,46.94,31800.0,46.94,46.13,46.13
1998-11-30,45.88,164800.0,46.13,44.94,44.94
1998-12-01,44.81,113500.0,45.06,44.44,43.88
1998-12-02,44.19,196700.0,44.63,44.5,44.0
1998-12-03,44.25,181000.0,44.44,43.81,43.75
1998-12-04,44.0,90200.0,44.56,43.94,43.75
1998-12-07,43.75,114400.0,45.19,45.13,43.75
1998-12-08,44.88,250000.0,44.88,43.69,43.25
1998-12-09,43.63,463100.0,43.63,43.06,42.44
1998-12-10,42.81,458700.0,42.81,42.19,42.0
1998-12-11,42.13,335800.0,42.13,41.38,40.81
1998-12-14,41.13,212700.0,41.13,40.63,40.38
1998-12-15,40.63,250700.0,42.31,42.25,40.63
1998-12-16,42.06,138100.0,42.31,41.69,41.25
1998-12-17,41.75,165100.0,42.56,42.0,41.75
1998-12-18,41.5,199300.0,43.5,42.44,41.5
1998-12-21,42.19,235200.0,44.25,43.06,42.19
1998-12-22,43.25,119000.0,43.5,43.13,42.5
1998-12-23,42.75,187200.0,43.31,43.25,42.25
1998-12-24,42.88,58900.0,43.25,42.94,42.75
1998-12-28,42.81,147000.0,43.69,43.69,42.25
1998-12-29,43.88,271400.0,45.44,45.25,43.5
1998-12-30,45.25,172400.0,45.75,45.25,45.0
1998-12-31,45.38,128200.0,45.56,45.0,45.0
1999-01-04,45.25,378200.0,47.06,44.88,44.63
1999-01-05,44.88,237600.0,45.19,44.94,44.63
1999-01-06,45.0,229600.0,46.0,45.88,44.81
1999-01-07,45.63,270400.0,46.5,46.31,45.38
1999-01-08,45.56,303400.0,47.63,46.5,45.56
1999-01-11,46.44,239800.0,46.56,45.81,45.0
1999-01-12,45.38,203700.0,45.63,45.0,45.0
1999-01-13,44.5,318200.0,45.19,44.75,44.25
1999-01-14,45.25,221800.0,45.25,43.88,43.13
1999-01-15,43.88,109600.0,44.75,44.69,43.81
1999-01-19,44.69,241900.0,44.69,43.38,43.0
1999-01-20,43.63,192800.0,45.75,44.56,43.0
1999-01-21,44.0,127900.0,45.25,43.75,43.19
1999-01-22,43.5,141600.0,43.63,43.0,42.81
1999-01-25,43.0,176000.0,44.0,43.25,42.88
1999-01-26,43.25,248700.0,43.38,42.5,42.06
1999-01-27,42.63,110800.0,42.94,41.94,41.88
1999-01-28,42.19,142900.0,43.0,42.75,42.06
1999-01-29,42.63,618800.0,44.0,43.88,41.81
1999-02-01,43.94,330200.0,44.31,43.63,43.44
1999-02-02,44.13,141600.0,44.13,42.5,42.25
1999-02-03,42.69,116700.0,42.88,42.31,41.94
1999-02-04,42.13,111000.0,42.88,41.56,41.5
1999-02-05,41.5,242800.0,41.88,41.75,41.38
1999-02-08,42.0,143700.0,42.63,41.94,41.81
1999-02-09,41.94,188900.0,42.0,41.25,40.63
1999-02-10,41.25,145100.0,42.31,42.19,41.25
1999-02-11,42.06,126800.0,43.13,42.38,42.0
1999-02-12,42.63,232100.0,42.81,40.88,40.25
1999-02-16,40.63,182900.0,41.69,41.06,40.63
1999-02-17,40.81,397100.0,41.63,40.94,40.44
1999-02-18,40.88,193200.0,41.06,40.56,40.31
1999-02-19,40.69,124200.0,41.25,41.13,40.31
1999-02-22,42.0,461300.0,44.56,44.5,41.56
1999-02-23,44.63,295900.0,45.19,45.13,43.31
1999-02-24,45.13,378100.0,45.63,44.81,44.81
1999-02-25,44.69,222900.0,44.69,44.5,43.5
1999-02-26,44.88,165000.0,45.5,45.38,44.38
1999-03-01,45.44,446300.0,47.75,47.38,44.75
1999-03-02,47.56,388500.0,48.13,47.69,46.44
1999-03-03,48.5,520500.0,49.0,48.63,48.0
