date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,46.13,261400.0,46.5,45.0,44.75
1998-01-05,45.38,239800.0,46.13,45.31,44.81
1998-01-06,44.94,303450.0,45.0,44.94,44.38
1998-01-07,44.94,286700.0,44.94,43.63,43.25
1998-01-08,43.88,265300.0,45.19,44.81,43.88
1998-01-09,44.56,386300.0,44.81,43.31,42.69
1998-01-12,42.0,679800.0,43.44,42.69,41.75
1998-01-13,42.0,281400.0,44.0,43.88,42.0
1998-01-14,43.63,240650.0,44.19,44.13,42.75
1998-01-15,44.38,122950.0,44.38,43.56,43.5
1998-01-16,44.75,175250.0,45.31,44.81,44.63
1998-01-20,44.81,168150.0,46.5,46.44,44.56
1998-01-21,46.44,287250.0,46.44,45.38,45.0
1998-01-22,44.81,203950.0,45.0,44.75,43.75
1998-01-23,44.75,322500.0,45.38,45.25,44.63
1998-01-26,45.31,138850.0,45.5,44.63,44.25
1998-01-27,44.88,222150.0,45.88,45.44,44.63
1998-01-28,45.44,184050.0,45.75,45.31,45.0
1998-01-29,45.31,197150.0,47.06,46.31,45.19
1998-01-30,46.19,392350.0,47.69,47.63,46.0
1998-02-02,48.63,346500.0,48.63,47.5,47.5
1998-02-03,47.25,309150.0,47.63,47.38,46.93
1998-02-04,47.13,220950.0,48.5,47.75,46.97
1998-02-05,47.88,86000.0,48.06,47.81,47.44
1998-02-06,48.0,75350.0,48.31,47.63,47.56
1998-02-09,47.56,179900.0,47.94,47.81,47.5
1998-02-10,47.63,240450.0,49.56,49.25,47.63
1998-02-11,49.0,407550.0,50.38,50.25,48.81
1998-02-12,50.0,263850.0,50.13,49.75,49.13
1998-02-13,49.5,253450.0,50.25,49.94,49.44
1998-02-17,49.88,234000.0,51.0,50.88,49.75
1998-02-18,50.88,157350.0,51.69,50.81,50.75
1998-02-19,50.81,156600.0,51.38,51.31,50.75
1998-02-20,51.56,445150.0,51.63,51.0,50.88
1998-02-23,51.0,197150.0,51.13,50.81,50.69
1998-02-24,50.31,353300.0,50.38,49.88,49.63
1998-02-25,49.94,522400.0,50.56,50.38,49.81
1998-02-26,50.25,205950.0,52.38,51.94,50.25
1998-02-27,51.69,206250.0,51.69,50.75,50.38
1998-03-02,50.94,178650.0,51.25,50.06,50.0
1998-03-03,49.81,242650.0,50.13,50.13,49.81
1998-03-04,50.13,124000.0,50.38,50.31,49.75
1998-03-05,49.5,226250.0,49.69,49.44,48.88
1998-03-06,49.44,194400.0,50.81,50.0,49.44
1998-03-09,49.81,258950.0,50.19,49.38,49.31
1998-03-10,49.63,275400.0,51.13,51.0,49.63
1998-03-11,50.75,133100.0,51.94,51.44,50.69
1998-03-12,51.56,162350.0,51.56,51.13,50.38
1998-03-13,51.13,237600.0,51.88,50.5,50.5
1998-03-16,50.75,158000.0,52.44,52.31,50.75
1998-03-17,52.06,139250.0,52.13,50.81,50.5
1998-03-18,51.06,148450.0,51.63,51.63,50.81
1998-03-19,51.69,317400.0,53.38,53.38,51.69
1998-03-20,53.81,293050.0,53.94,52.94,52.13
1998-03-23,52.69,194600.0,54.25,53.0,52.25
1998-03-24,53.0,107000.0,53.69,53.63,52.94
1998-03-25,54.25,303100.0,55.31,54.38,53.63
1998-03-26,53.88,215250.0,54.44,53.63,53.56
1998-03-27,53.88,364600.0,53.88,52.25,52.0
1998-03-30,52.25,174950.0,52.38,52.19,51.63
1998-03-31,52.31,345350.0,52.63,52.25,51.75
1998-04-01,52.13,424100.0,52.63,52.13,51.81
1998-04-02,52.0,539550.0,52.5,51.69,51.44
1998-04-03,51.94,210500.0,52.13,51.81,51.69
1998-04-06,51.94,162650.0,52.0,50.75,50.69
1998-04-07,50.75,205000.0,50.75,49.94,48.63
1998-04-08,49.63,486200.0,50.5,50.25,49.56
1998-04-09,50.13,228600.0,50.5,50.31,50.0
1998-04-13,50.31,262350.0,50.81,49.44,49.44
1998-04-14,49.56,228300.0,50.75,50.56,49.0
1998-04-15,50.69,398050.0,51.63,51.38,50.56
1998-04-16,51.13,269750.0,51.94,51.63,50.94
1998-04-17,51.69,167200.0,52.25,51.81,51.5
1998-04-20,51.81,118300.0,51.81,50.88,50.63
1998-04-21,51.06,191000.0,51.06,50.81,50.19
1998-04-22,51.0,269450.0,52.88,52.5,50.75
1998-04-23,52.5,108250.0,53.0,51.56,51.5
1998-04-24,51.44,247550.0,51.88,49.94,49.69
1998-04-27,50.06,145600.0,50.75,49.69,49.13
1998-04-28,49.81,246600.0,49.94,48.88,48.63
1998-04-29,48.88,251350.0,49.56,49.13,48.88
1998-04-30,49.63,278450.0,50.63,48.38,48.31
1998-05-01,49.13,276650.0,51.19,51.06,48.94
1998-05-04,51.13,186350.0,52.13,51.0,50.88
1998-05-05,51.25,189850.0,51.5,51.13,50.38
1998-05-06,51.0,253250.0,52.44,51.69,50.88
1998-05-07,51.19,315600.0,51.25,51.19,50.56
1998-05-08,51.06,240150.0,52.25,52.19,51.06
1998-05-11,52.19,229750.0,52.31,51.56,51.56
1998-05-12,51.63,132300.0,51.88,51.56,50.94
1998-05-13,51.63,130700.0,52.19,52.0,51.5
1998-05-14,52.0,688350.0,52.0,51.0,51.0
1998-05-15,51.0,218850.0,51.0,50.56,50.44
1998-05-18,50.56,122350.0,51.38,50.75,50.5
1998-05-19,50.63,154500.0,50.69,50.5,50.19
1998-05-20,50.75,209000.0,51.0,50.19,48.5
1998-05-21,50.25,276850.0,50.44,50.06,50.0
1998-05-22,50.0,221300.0,50.25,49.69,48.88
1998-05-26,50.06,173150.0,50.06,49.31,49.19
1998-05-27,48.94,229850.0,48.94,47.44,47.44
1998-05-28,47.69,151950.0,48.44,48.31,47.44
1998-05-29,48.56,131850.0,48.56,48.38,48.13
1998-06-01,48.13,191000.0,48.56,48.19,47.88
1998-06-02,48.19,308800.0,48.63,47.63,47.38
1998-06-03,47.63,406200.0,49.0,47.63,47.19
1998-06-04,47.38,316550.0,47.69,47.0,46.88
1998-06-05,47.13,503900.0,47.13,45.44,45.38
1998-06-08,45.5,649650.0,46.44,45.5,45.0
1998-06-09,45.81,402600.0,46.63,46.44,45.75
1998-06-10,46.44,475850.0,46.44,45.19,44.75
1998-06-11,45.13,192950.0,45.5,44.75,44.63
1998-06-12,44.75,274000.0,45.19,43.81,43.0
1998-06-15,43.94,189350.0,44.31,42.94,42.94
1998-06-16,42.88,326900.0,43.38,42.25,42.06
1998-06-17,42.38,399100.0,43.5,42.5,42.38
1998-06-18,42.5,368850.0,43.0,41.81,41.5
1998-06-19,41.0,590600.0,42.38,42.31,41.0
1998-06-22,41.94,568350.0,42.25,42.0,41.63
1998-06-23,41.0,882900.0,41.5,40.81,40.63
1998-06-24,40.69,1145950.0,41.63,41.19,40.38
1998-06-25,41.0,1064950.0,42.44,42.19,40.69
1998-06-26,42.25,374350.0,43.5,43.38,42.13
1998-06-29,44.13,282700.0,44.38,43.88,43.69
1998-06-30,43.81,377000.0,44.81,44.69,43.5
1998-07-01,44.69,365250.0,44.88,44.19,43.88
1998-07-02,44.0,268200.0,44.25,44.25,42.88
1998-07-06,44.25,89750.0,44.25,43.69,43.44
1998-07-07,43.69,296650.0,43.69,43.0,42.0
1998-07-08,43.0,248050.0,43.19,42.0,42.0
1998-07-09,41.0,300550.0,42.25,42.13,41.0
1998-07-10,43.0,160950.0,43.0,41.75,41.63
1998-07-13,41.5,141400.0,41.5,40.75,40.75
1998-07-14,41.0,238350.0,41.75,41.25,40.88
1998-07-15,41.25,436150.0,42.75,42.31,41.13
1998-07-16,42.56,151650.0,43.19,42.88,42.25
1998-07-17,42.81,439950.0,42.94,42.25,42.0
1998-07-20,42.0,249250.0,42.06,41.88,41.63
1998-07-21,40.5,418150.0,41.75,41.69,40.5
1998-07-22,41.44,302150.0,41.75,41.75,40.75
1998-07-23,41.63,188050.0,41.63,40.25,40.0
1998-07-24,40.5,415700.0,41.0,40.81,40.5
1998-07-27,40.56,319750.0,41.0,40.88,39.56
1998-07-28,40.63,248800.0,41.56,40.94,40.5
1998-07-29,41.0,206800.0,41.13,40.31,40.25
1998-07-30,40.31,203100.0,41.19,40.81,40.19
1998-07-31,40.88,208700.0,40.88,39.63,39.31
1998-08-03,39.63,207750.0,39.69,38.44,38.38
1998-08-04,38.69,434650.0,38.94,37.69,37.5
1998-08-05,38.0,423450.0,38.88,38.0,37.56
1998-08-06,37.75,708500.0,37.81,37.63,36.69
1998-08-07,37.94,538600.0,38.5,38.25,37.69
1998-08-10,39.38,215050.0,39.38,38.19,38.0
1998-08-11,38.0,703500.0,38.0,37.0,36.63
1998-08-12,38.0,750100.0,38.0,37.56,36.63
1998-08-13,37.31,423350.0,37.56,37.0,36.75
1998-08-14,36.88,219600.0,37.0,36.06,35.94
1998-08-17,36.31,752100.0,37.5,37.25,35.94
1998-08-18,37.13,285450.0,37.75,37.75,36.75
1998-08-19,38.38,430550.0,38.56,38.38,37.75
1998-08-20,38.5,617350.0,38.81,37.94,37.75
1998-08-21,37.69,282550.0,38.0,38.0,36.88
1998-08-24,38.0,166800.0,38.94,38.5,38.0
1998-08-25,38.38,386100.0,38.63,37.94,37.75
1998-08-26,37.88,239050.0,38.0,37.13,37.0
1998-08-27,37.0,216850.0,37.0,34.94,34.88
1998-08-28,34.69,250400.0,35.31,34.06,33.88
1998-08-31,34.31,521050.0,35.0,31.88,31.88
1998-09-01,32.5,374550.0,33.81,33.81,31.88
1998-09-02,34.13,435500.0,35.0,34.44,33.25
1998-09-03,34.44,720450.0,35.38,33.5,33.13
1998-09-04,33.38,337600.0,33.88,33.75,33.31
1998-09-08,33.75,340700.0,35.44,35.0,33.75
1998-09-09,35.06,457950.0,35.13,35.0,34.31
1998-09-10,34.63,310300.0,34.63,33.31,33.13
1998-09-11,33.06,1366500.0,33.63,33.13,32.38
1998-09-14,33.25,789750.0,33.88,33.63,33.19
1998-09-15,33.75,175050.0,33.94,33.81,32.88
1998-09-16,33.81,364700.0,34.56,34.5,33.5
1998-09-17,34.0,169100.0,34.81,34.69,33.81
1998-09-18,35.5,548450.0,35.81,35.81,34.88
1998-09-21,35.31,158750.0,35.88,35.56,35.06
1998-09-22,36.06,522200.0,36.5,36.0,35.88
1998-09-23,36.19,435600.0,37.13,37.06,36.06
1998-09-24,35.5,694100.0,36.5,33.44,33.25
1998-09-25,33.0,558000.0,33.5,32.75,32.44
1998-09-28,32.94,568550.0,33.25,32.75,32.06
1998-09-29,32.88,384500.0,33.44,32.69,32.38
