date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,61.69,92400.0,62.0,61.63,61.06
1998-01-05,61.69,244600.0,62.44,61.31,60.69
1998-01-06,61.31,188600.0,62.25,61.94,61.0
1998-01-07,61.69,274200.0,62.0,62.0,60.75
1998-01-08,61.75,247600.0,62.75,62.0,61.5
1998-01-09,62.0,280700.0,62.25,60.44,60.38
1998-01-12,60.06,467400.0,61.94,61.81,60.06
1998-01-13,61.94,223300.0,62.38,62.38,61.44
1998-01-14,62.56,88000.0,62.56,62.06,61.38
1998-01-15,61.81,118400.0,62.0,61.5,61.25
1998-01-16,61.5,177600.0,62.19,61.5,61.25
1998-01-20,61.75,94400.0,62.38,62.0,61.44
1998-01-21,62.06,153000.0,62.75,61.81,60.88
1998-01-22,61.56,159500.0,61.69,61.06,60.56
1998-01-23,61.0,159100.0,61.5,60.13,59.75
1998-01-26,60.38,84100.0,60.56,59.81,59.69
1998-01-27,59.81,257200.0,61.88,60.44,59.81
1998-01-28,60.69,417800.0,64.25,64.25,60.56
1998-01-29,63.5,655900.0,65.75,65.0,62.63
1998-01-30,66.19,461200.0,66.19,63.69,63.63
1998-02-02,63.94,301300.0,64.5,62.75,62.63
1998-02-03,62.25,271600.0,64.13,63.81,62.19
1998-02-04,63.56,179700.0,64.38,63.69,63.5
1998-02-05,63.63,195600.0,63.75,62.94,62.56
1998-02-06,63.31,247400.0,64.63,64.0,63.0
1998-02-09,64.25,142600.0,64.31,64.19,63.69
1998-02-10,64.19,143200.0,64.31,63.63,63.44
1998-02-11,63.75,97700.0,63.81,63.81,63.19
1998-02-12,63.06,171900.0,64.63,64.56,63.0
1998-02-13,64.06,100900.0,64.25,63.25,63.25
1998-02-17,63.5,174700.0,64.56,64.56,63.5
1998-02-18,64.56,346000.0,66.5,65.94,64.38
1998-02-19,66.19,174600.0,66.19,64.81,64.69
1998-02-20,65.13,165900.0,65.56,65.44,64.5
1998-02-23,65.81,285100.0,67.0,66.69,65.81
1998-02-24,66.44,234300.0,67.0,67.0,65.38
1998-02-25,67.38,139100.0,67.63,66.94,66.94
1998-02-26,66.69,79100.0,67.13,67.13,66.38
1998-02-27,66.88,94400.0,67.0,66.69,66.38
1998-03-02,66.44,80200.0,66.63,66.13,65.88
1998-03-03,65.69,169000.0,66.75,66.31,65.69
1998-03-04,66.75,408100.0,69.44,68.25,66.75
1998-03-05,67.88,274900.0,68.94,68.75,67.63
1998-03-06,68.75,361400.0,71.44,70.75,68.75
1998-03-09,70.5,188600.0,71.69,71.69,70.19
1998-03-10,71.44,151900.0,71.94,71.69,71.0
1998-03-11,71.69,122400.0,71.94,71.0,70.56
1998-03-12,70.75,137000.0,71.31,70.88,70.44
1998-03-13,70.63,148600.0,71.38,70.94,70.56
1998-03-16,71.38,111400.0,71.63,71.31,71.0
1998-03-17,71.06,142300.0,71.44,71.06,70.94
1998-03-18,71.06,85600.0,71.75,71.19,70.75
1998-03-19,71.19,156300.0,71.81,71.5,71.19
1998-03-20,71.81,204600.0,73.0,72.88,71.19
1998-03-23,72.5,106900.0,72.5,71.94,71.88
1998-03-24,71.94,89900.0,72.75,72.63,71.75
1998-03-25,72.63,209200.0,73.38,72.81,72.63
1998-03-26,72.19,212800.0,72.88,72.56,72.13
1998-03-27,72.81,240500.0,73.06,71.44,70.88
1998-03-30,71.19,188900.0,71.63,71.06,70.81
1998-03-31,71.0,213700.0,72.31,71.63,71.0
1998-04-01,71.63,151400.0,72.88,72.81,71.13
1998-04-02,73.06,242900.0,74.69,74.38,73.06
1998-04-03,74.13,279000.0,75.63,74.88,74.13
1998-04-06,74.88,182300.0,76.13,75.44,74.88
1998-04-07,75.19,216800.0,75.75,75.31,74.88
1998-04-08,75.56,283400.0,75.75,74.19,73.81
1998-04-09,74.44,245800.0,76.38,76.06,74.44
1998-04-13,76.06,284800.0,76.06,75.31,74.63
1998-04-14,75.06,188700.0,75.38,74.94,74.81
1998-04-15,74.81,143000.0,75.19,74.75,74.56
1998-04-16,74.75,230300.0,74.75,74.13,73.63
1998-04-17,74.19,183500.0,74.94,74.94,73.5
1998-04-20,74.69,147000.0,75.38,74.94,74.38
1998-04-21,74.31,258500.0,74.31,73.0,72.19
1998-04-22,72.75,201200.0,73.25,71.94,71.69
1998-04-23,70.94,362400.0,71.44,70.69,69.0
1998-04-24,69.75,1019600.0,69.75,68.94,67.19
1998-04-27,68.5,470100.0,70.19,70.0,68.31
1998-04-28,70.25,393000.0,70.38,70.06,69.75
1998-04-29,70.31,155100.0,70.94,70.88,69.94
1998-04-30,71.13,359800.0,73.75,73.25,71.0
1998-05-01,73.5,335700.0,73.63,73.06,72.5
1998-05-04,72.81,101000.0,73.25,72.81,72.56
1998-05-05,72.94,145400.0,72.94,72.44,71.75
1998-05-06,72.25,201500.0,72.25,71.75,71.69
1998-05-07,71.5,123700.0,71.5,70.19,70.13
1998-05-08,70.44,107200.0,72.0,71.13,70.44
1998-05-11,71.38,110800.0,71.75,71.0,70.63
1998-05-12,70.75,165400.0,70.94,70.81,69.88
1998-05-13,70.81,115300.0,71.31,70.38,70.06
1998-05-14,70.38,219600.0,70.75,70.13,69.75
