date,1. open,5. volume,2. high,4. close,3. low
2006-11-16,15.0,36124000.0,15.78,15.72,14.9
2006-11-17,15.72,4651000.0,15.9,15.66,15.25
2006-11-20,15.65,4437000.0,16.22,16.1,15.55
2006-11-21,16.1,2301700.0,16.21,15.61,15.6
2006-11-22,15.73,1792200.0,15.85,15.41,15.4
2006-11-24,15.12,555600.0,15.3,15.24,15.1
2006-11-27,15.05,3363100.0,15.1,14.75,14.55
2006-11-28,14.9,1805800.0,15.01,15.0,14.65
2006-11-29,15.0,1086600.0,15.18,15.17,14.9
2006-11-30,15.16,2668700.0,16.1,16.0,15.15
2006-12-01,15.85,792800.0,15.95,15.91,15.4
2006-12-04,15.75,1598000.0,15.78,15.66,15.45
2006-12-05,15.65,593900.0,15.79,15.62,15.57
2006-12-06,15.5,1917100.0,15.57,15.56,15.3
2006-12-07,15.55,866000.0,15.7,15.6,15.54
2006-12-08,15.74,901700.0,15.95,15.93,15.6
2006-12-11,15.93,2152000.0,16.2,16.13,15.86
2006-12-12,16.05,217000.0,16.15,16.15,15.91
2006-12-13,16.1,537700.0,16.19,16.06,15.74
2006-12-14,15.76,1013700.0,16.44,16.3,15.76
2006-12-15,16.2,6004000.0,16.8,16.79,16.14
2006-12-18,16.69,1591700.0,16.99,16.82,16.49
2006-12-19,16.51,1516000.0,16.7,16.33,16.31
2006-12-20,16.33,2151600.0,17.05,16.85,16.3
2006-12-21,16.9,976000.0,17.47,17.31,16.85
2006-12-22,17.31,1107800.0,17.34,17.05,16.6
2006-12-26,17.2,502600.0,17.24,16.88,16.88
2006-12-27,16.95,652400.0,17.1,17.0,16.84
2006-12-28,17.15,337500.0,17.21,17.0,16.88
2006-12-29,17.1,507500.0,17.48,17.39,17.08
2007-01-03,17.39,2032400.0,17.68,17.28,17.0
2007-01-04,17.45,674000.0,17.56,17.25,17.0
2007-01-05,17.35,360700.0,17.44,17.44,17.1
2007-01-08,17.2,690900.0,17.48,17.32,16.821
2007-01-09,17.13,772400.0,17.16,17.01,16.76
2007-01-10,16.81,3468500.0,17.1,17.08,16.58
2007-01-11,17.05,3731400.0,17.24,16.69,16.69
2007-01-12,16.5,574000.0,17.2,17.11,16.4
2007-01-16,17.42,326900.0,17.5,17.26,16.95
2007-01-17,17.35,295600.0,17.49,17.36,17.06
2007-01-18,17.48,576800.0,17.63,17.38,17.26
2007-01-19,17.41,341900.0,17.45,17.32,17.12
2007-01-22,17.61,1863200.0,18.5,18.19,17.22
2007-01-23,17.74,1076200.0,19.04,18.77,17.74
2007-01-24,18.7,2567500.0,19.4,19.33,18.6
2007-01-25,19.9,3794100.0,19.95,19.09,19.0
2007-01-26,19.0,314900.0,19.25,18.89,18.73
2007-01-29,18.94,580600.0,19.4,18.92,18.6201
2007-01-30,18.8,2526100.0,19.0,18.77,18.46
2007-01-31,18.57,710700.0,18.8,18.62,18.25
2007-02-01,18.7,450500.0,19.4,18.95,18.7
2007-02-02,18.98,315800.0,19.1,18.9,18.9
2007-02-05,19.0,651500.0,19.45,19.43,18.71
2007-02-06,19.23,2112900.0,19.91,19.71,19.23
2007-02-07,19.51,513000.0,20.05,19.96,19.51
2007-02-08,19.98,600900.0,20.49,20.38,19.79
2007-02-09,20.38,727800.0,20.95,20.7,20.3
2007-02-12,20.7,1198500.0,20.73,20.3,20.29
2007-02-13,20.5,364000.0,20.61,20.36,20.28
2007-02-14,20.4,709700.0,21.32,21.22,20.28
2007-02-15,21.07,567100.0,21.8,21.62,20.75
2007-02-16,21.42,587300.0,22.05,21.9,21.37
2007-02-20,21.9201,379000.0,22.28,22.25,21.57
2007-02-21,22.0,278300.0,22.0,21.74,21.6
2007-02-22,21.75,134300.0,22.05,21.7,21.69
2007-02-23,21.95,285600.0,21.95,21.56,21.4
2007-02-26,21.56,628800.0,21.75,21.36,20.97
2007-02-27,21.36,498300.0,21.42,21.26,20.51
2007-02-28,21.26,808000.0,21.46,21.26,20.77
2007-03-01,20.4,961600.0,21.0,20.48,20.34
2007-03-02,21.5,596300.0,21.98,21.11,21.1
2007-03-05,20.8701,683400.0,21.6,21.0,20.84
2007-03-06,21.1,375100.0,21.32,21.23,21.0
2007-03-07,21.09,420100.0,21.28,20.91,20.79
2007-03-08,21.19,1429400.0,21.27,21.0,20.72
2007-03-09,21.0,1394400.0,21.13,20.9,20.69
2007-03-12,21.06,1070600.0,21.25,21.12,20.95
2007-03-13,21.3,901800.0,22.35,21.31,21.29
2007-03-14,21.32,692200.0,22.22,22.11,21.2
2007-03-15,22.0,1023200.0,22.05,21.89,21.69
2007-03-16,21.89,570900.0,22.05,22.03,21.76
2007-03-19,21.99,789100.0,22.465,21.78,21.5
2007-03-20,21.68,482100.0,22.08,21.76,21.675
2007-03-21,21.85,651100.0,22.55,22.47,21.55
2007-03-22,22.37,414300.0,22.9,22.86,21.92
2007-03-23,22.75,237200.0,22.84,22.78,22.44
2007-03-26,22.91,600100.0,23.0,22.78,22.6
2007-03-27,22.78,818000.0,23.95,23.35,22.6312
2007-03-28,23.83,466000.0,23.83,23.41,23.11
2007-03-29,23.61,512400.0,23.61,23.27,23.21
2007-03-30,23.19,433500.0,23.93,23.7,23.18
2007-04-02,23.84,679800.0,23.85,23.42,23.36
2007-04-03,23.42,358200.0,24.23,24.15,23.27
2007-04-04,24.25,874100.0,24.56,23.72,23.72
2007-04-05,23.72,303900.0,24.04,23.98,23.59
2007-04-09,24.0,322500.0,24.2,24.17,23.71
2007-04-10,24.23,439300.0,24.57,24.19,24.0301
2007-04-11,24.09,403300.0,24.19,23.84,23.74
2007-04-12,23.85,169100.0,23.9,23.73,23.46
2007-04-13,23.7,206900.0,23.76,23.74,23.6264
2007-04-16,23.75,633100.0,23.79,23.7,23.56
2007-04-17,23.58,656100.0,23.74,23.39,23.12
2007-04-18,23.32,647100.0,23.56,23.06,22.85
2007-04-19,24.94,642500.0,24.94,22.7,22.205
2007-04-20,22.9,445200.0,23.43,23.22,22.82
2007-04-23,23.05,1210400.0,23.59,23.46,23.05
2007-04-24,23.47,368200.0,23.47,23.08,23.06
2007-04-25,23.18,439200.0,23.26,23.26,22.76
2007-04-26,23.5,3701700.0,23.75,22.13,20.0
2007-04-27,22.04,1406000.0,22.04,21.1,21.03
2007-04-30,21.04,2189800.0,21.04,19.9,19.824
2007-05-01,19.8,1665100.0,20.39,20.33,19.52
2007-05-02,20.35,1805400.0,21.56,21.48,20.338
2007-05-03,21.26,910600.0,21.85,21.69,21.11
2007-05-04,21.64,1257600.0,22.09,21.8,21.54
2007-05-07,21.71,488900.0,21.83,21.38,20.91
2007-05-08,21.4,670700.0,21.51,21.49,21.0
2007-05-09,21.4,1554200.0,21.45,21.39,21.01
2007-05-10,21.3,515400.0,21.3,20.67,20.58
2007-05-11,20.57,546500.0,20.98,20.51,20.25
2007-05-14,20.6,255800.0,21.02,20.75,20.6
2007-05-15,20.64,533700.0,21.43,21.13,20.63
2007-05-16,21.19,561100.0,21.8,21.8,21.19
2007-05-17,21.8,515000.0,22.04,21.97,21.69
2007-05-18,21.85,837700.0,21.875,21.25,21.06
2007-05-21,20.5,1181600.0,21.28,20.98,20.15
2007-05-22,20.87,453200.0,21.17,20.97,20.72
2007-05-23,20.53,694800.0,21.0,20.75,20.5
2007-05-24,20.62,947000.0,20.75,20.69,20.35
2007-05-25,20.74,1282400.0,21.38,21.26,20.74
