date,1. open,5. volume,2. high,4. close,3. low
1998-01-02,21.0,533600.0,22.0,21.13,20.5
1998-01-05,21.13,262000.0,21.25,21.25,20.81
1998-01-06,20.75,409700.0,21.0,20.75,20.5
1998-01-07,20.75,395300.0,21.75,21.75,20.56
1998-01-08,21.75,417400.0,21.88,20.81,20.38
1998-01-09,20.81,294400.0,20.81,19.63,19.25
1998-01-12,19.38,292500.0,20.0,20.0,19.38
1998-01-13,20.0,181200.0,20.0,19.75,19.63
1998-01-14,19.5,324900.0,20.38,20.38,19.44
1998-01-15,20.38,358400.0,20.38,19.94,19.94
1998-01-16,19.94,364100.0,20.38,20.19,19.94
1998-01-20,20.19,672900.0,20.19,20.0,19.88
1998-01-21,20.0,738900.0,20.13,19.94,19.94
1998-01-22,19.94,325400.0,19.94,19.81,19.56
1998-01-23,19.5,265900.0,19.63,19.5,19.25
1998-01-26,19.5,205800.0,19.88,19.75,19.5
1998-01-27,19.69,328200.0,20.0,19.94,19.69
1998-01-28,19.88,886900.0,20.44,20.06,19.81
1998-01-29,20.0,370200.0,20.63,20.13,20.0
1998-01-30,20.13,421200.0,20.63,20.06,20.06
1998-02-02,20.25,423100.0,20.63,20.63,20.13
1998-02-03,20.44,337300.0,20.44,20.44,19.63
1998-02-04,20.25,479900.0,20.88,20.5,20.13
1998-02-05,20.88,916000.0,21.75,21.69,20.75
1998-02-06,20.88,822800.0,21.19,21.0,20.81
1998-02-09,21.0,703200.0,22.0,21.75,21.0
1998-02-10,21.81,1070900.0,22.13,21.25,21.25
1998-02-11,21.5,459200.0,21.88,21.75,21.5
1998-02-12,21.5,1194400.0,22.5,22.5,21.5
1998-02-13,22.5,2201200.0,24.75,24.38,22.5
1998-02-17,23.88,763800.0,24.38,24.0,23.88
1998-02-18,23.94,992900.0,24.5,24.5,23.88
1998-02-19,24.31,509300.0,24.75,24.5,24.31
1998-02-20,26.0,1709700.0,26.13,25.31,25.06
1998-02-23,25.31,534400.0,25.44,25.44,25.0
1998-02-24,25.31,337600.0,25.63,25.38,25.13
1998-02-25,25.5,703700.0,25.75,25.13,25.0
1998-02-26,25.0,691600.0,25.69,25.44,25.0
1998-02-27,25.44,531400.0,25.75,25.44,25.19
1998-03-02,25.63,292100.0,25.75,25.31,25.06
1998-03-03,25.5,703600.0,25.81,25.69,25.38
1998-03-04,25.19,570900.0,25.5,25.25,25.06
1998-03-05,25.13,770800.0,25.31,25.13,25.0
1998-03-06,25.0,530700.0,25.38,25.06,24.94
1998-03-09,25.19,455200.0,25.31,25.19,25.06
1998-03-10,25.81,1461600.0,26.06,25.94,25.63
1998-03-11,26.0,1407500.0,26.5,26.38,25.94
1998-03-12,26.19,375100.0,26.25,26.06,26.0
1998-03-13,26.06,720400.0,26.38,26.38,26.0
1998-03-16,26.38,565700.0,26.44,25.88,25.88
1998-03-17,26.0,625000.0,26.06,25.81,25.75
1998-03-18,25.81,526100.0,25.88,25.81,25.31
1998-03-19,25.81,435700.0,26.0,25.56,25.5
1998-03-20,25.69,570300.0,25.88,25.38,25.38
1998-03-23,25.25,198200.0,25.81,25.75,25.25
1998-03-24,25.63,207900.0,25.94,25.75,25.63
1998-03-25,25.94,561800.0,25.94,25.5,25.13
1998-03-26,25.38,651700.0,25.75,24.88,24.88
1998-03-27,24.94,709100.0,25.0,24.63,24.56
1998-03-30,24.88,624200.0,25.56,25.06,24.88
1998-03-31,25.25,431500.0,25.31,24.81,24.75
1998-04-01,25.13,519800.0,25.63,25.13,25.06
1998-04-02,25.13,1428200.0,26.0,25.75,24.5
1998-04-03,25.88,650100.0,26.06,26.0,25.56
1998-04-06,26.0,511500.0,26.38,25.75,25.75
1998-04-07,25.94,362800.0,25.94,25.31,24.94
1998-04-08,25.44,1123100.0,26.75,26.5,25.44
1998-04-09,26.5,1203600.0,27.5,26.94,26.38
1998-04-13,26.94,618100.0,27.13,26.88,26.63
1998-04-14,26.81,337800.0,27.0,26.69,26.5
1998-04-15,27.13,825000.0,28.0,27.63,27.13
1998-04-16,27.56,363200.0,27.56,26.63,26.0
1998-04-17,26.63,336100.0,27.06,27.06,26.31
1998-04-20,27.0,233200.0,27.31,27.06,26.88
1998-04-21,27.06,235800.0,27.38,27.13,27.0
1998-04-22,27.38,452700.0,28.06,27.81,27.38
1998-04-23,27.63,458900.0,27.75,26.06,26.0
1998-04-24,26.06,391700.0,27.19,26.19,25.88
1998-04-27,25.81,361600.0,25.81,25.0,24.81
1998-04-28,26.0,699800.0,26.25,26.0,25.13
1998-04-29,26.0,670700.0,26.06,25.63,25.0
1998-04-30,25.81,447400.0,27.0,27.0,25.75
1998-05-01,27.13,164000.0,27.13,26.63,26.5
1998-05-04,26.38,423900.0,26.5,26.0,25.75
1998-05-05,25.69,225200.0,26.63,26.56,25.69
1998-05-06,26.75,522300.0,26.75,26.25,25.88
1998-05-07,26.25,329500.0,26.5,26.5,26.13
1998-05-08,26.5,515800.0,27.06,26.5,26.06
1998-05-11,26.5,109700.0,26.5,25.94,25.94
1998-05-12,25.94,727500.0,25.94,25.88,25.44
1998-05-13,25.81,434200.0,26.31,26.13,25.75
1998-05-14,26.0,444000.0,26.63,26.56,25.81
1998-05-15,26.75,505300.0,27.13,26.69,26.5
1998-05-18,26.75,589900.0,26.88,26.06,25.81
1998-05-19,25.88,1051300.0,25.94,25.38,25.25
1998-05-20,24.88,664600.0,25.69,24.94,24.81
1998-05-21,25.56,664900.0,26.25,26.25,25.56
1998-05-22,26.44,538200.0,26.5,26.06,25.81
1998-05-26,26.0,969600.0,26.63,26.25,26.0
1998-05-27,25.75,2037200.0,26.38,26.25,25.69
1998-05-28,28.13,12237800.0,30.31,29.88,28.06
1998-05-29,30.75,6033900.0,31.19,31.06,30.5
1998-06-01,30.0,2310700.0,30.75,30.69,30.0
1998-06-02,30.63,2816400.0,30.63,29.94,29.5
1998-06-03,29.75,2579500.0,30.5,30.13,29.75
1998-06-04,29.63,1464200.0,30.13,30.06,29.63
1998-06-05,30.0,1404700.0,30.63,30.25,29.94
1998-06-08,30.25,832600.0,30.69,30.44,30.13
1998-06-09,30.19,1692700.0,30.63,30.5,30.19
1998-06-10,30.44,1522400.0,31.12,30.56,30.44
1998-06-11,30.5,961300.0,30.94,30.75,30.5
1998-06-12,30.5,812400.0,30.81,30.81,30.44
1998-06-15,30.63,1063600.0,30.75,30.31,30.31
1998-06-16,30.38,2271800.0,30.38,29.81,29.63
1998-06-17,30.06,1409900.0,30.56,30.44,30.0
